year,month,mean_temp,max_temp,min_temp,precipitation
1901,Jan,25.28,29.74,20.87,281.37
1901,Feb,25.21,29.77,20.7,252.74
1901,Mar,25.65,30.21,21.14,278.82
1901,Apr,25.74,30.37,21.16,257.9
1901,May,25.86,30.47,21.29,219.86
1901,Jun,25.19,29.84,20.58,196.78
1901,Jul,25.06,29.78,20.39,183.68
1901,Aug,24.88,29.74,20.07,153.73
1901,Sep,25.16,30.07,20.29,157.96
1901,Oct,25.6,30.59,20.67,199.58
1901,Nov,25.8,30.58,21.07,249.63
1901,Dec,25.34,29.87,20.87,275.11
1902,Jan,25.18,29.64,20.77,280.33
1902,Feb,25.18,29.74,20.67,270.4
1902,Mar,25.44,30.0,20.93,273.6
1902,Apr,25.67,30.3,21.08,245.76
1902,May,25.86,30.48,21.29,222.07
1902,Jun,25.2,29.85,20.6,159.56
1902,Jul,24.82,29.54,20.15,140.03
1902,Aug,24.94,29.8,20.13,162.85
1902,Sep,25.18,30.1,20.32,142.41
1902,Oct,25.65,30.64,20.71,171.4
1902,Nov,25.8,30.58,21.07,213.32
1902,Dec,25.5,30.03,21.03,274.35
1903,Jan,25.49,29.95,21.08,288.82
1903,Feb,25.31,29.87,20.8,270.31
1903,Mar,25.57,30.13,21.06,289.37
1903,Apr,25.65,30.28,21.06,257.64
1903,May,25.86,30.48,21.29,232.48
1903,Jun,25.19,29.84,20.59,181.07
1903,Jul,24.85,29.57,20.18,180.82
1903,Aug,24.94,29.8,20.13,182.79
1903,Sep,25.19,30.11,20.32,171.7
1903,Oct,25.42,30.4,20.48,199.34
1903,Nov,25.79,30.56,21.06,241.53
1903,Dec,25.26,29.78,20.78,290.97
1904,Jan,25.12,29.58,20.71,295.04
1904,Feb,25.1,29.66,20.59,246.24
1904,Mar,25.65,30.21,21.15,267.21
1904,Apr,25.51,30.14,20.93,265.4
1904,May,25.84,30.46,21.27,228.93
1904,Jun,25.41,30.06,20.8,179.98
1904,Jul,25.04,29.76,20.37,182.89
1904,Aug,24.79,29.65,19.97,160.97
1904,Sep,25.39,30.31,20.53,178.73
1904,Oct,25.37,30.35,20.43,229.01
1904,Nov,25.76,30.54,21.03,242.22
1904,Dec,25.33,29.86,20.86,302.03
1905,Jan,25.28,29.74,20.87,290.24
1905,Feb,25.25,29.8,20.73,271.85
1905,Mar,25.57,30.12,21.06,278.21
1905,Apr,25.6,30.23,21.02,274.44
1905,May,25.86,30.48,21.29,247.89
1905,Jun,25.37,30.02,20.77,164.74
1905,Jul,24.91,29.64,20.22,159.74
1905,Aug,24.88,29.75,20.07,157.34
1905,Sep,25.18,30.1,20.32,167.12
1905,Oct,25.69,30.67,20.76,197.44
1905,Nov,25.78,30.56,21.06,239.41
1905,Dec,25.58,30.11,21.1,243.77
1906,Jan,25.42,29.88,21.01,319.46
1906,Feb,25.55,30.11,21.04,237.67
1906,Mar,25.56,30.12,21.06,285.12
1906,Apr,25.77,30.4,21.19,265.95
1906,May,25.88,30.5,21.31,224.58
1906,Jun,25.28,29.93,20.68,205.26
1906,Jul,24.9,29.62,20.23,168.02
1906,Aug,24.91,29.77,20.09,208.23
1906,Sep,25.17,30.08,20.3,176.61
1906,Oct,25.41,30.4,20.48,224.17
1906,Nov,25.78,30.56,21.05,240.98
1906,Dec,25.33,29.85,20.85,306.89
1907,Jan,25.18,29.62,20.79,264.22
1907,Feb,25.2,29.71,20.73,263.78
