,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,29.74,29.77,30.21,30.37,30.47,29.84,29.78,29.74,30.07,30.59,30.58,29.87
1902,29.64,29.74,30.00,30.30,30.48,29.85,29.54,29.80,30.10,30.64,30.58,30.03
1903,29.95,29.87,30.13,30.28,30.48,29.84,29.57,29.80,30.11,30.40,30.56,29.78
1904,29.58,29.66,30.21,30.14,30.46,30.06,29.76,29.65,30.31,30.35,30.54,29.86
1905,29.74,29.80,30.12,30.23,30.48,30.02,29.64,29.75,30.10,30.67,30.56,30.11
1906,29.88,30.11,30.12,30.40,30.50,29.93,29.62,29.77,30.08,30.40,30.56,29.85
1907,29.62,29.71,29.89,30.21,30.46,29.82,29.53,29.69,30.31,30.46,30.56,29.88
1908,29.77,29.88,30.09,30.32,30.44,29.79,29.75,29.78,30.33,30.42,30.56,29.92
1909,29.80,29.89,30.02,30.29,30.48,30.12,29.55,29.85,30.08,30.46,30.54,29.86
1910,29.77,29.90,29.98,30.19,30.46,29.85,29.62,29.75,30.33,30.36,30.55,29.91
1911,29.79,30.04,30.28,30.47,30.53,30.02,29.76,29.84,30.26,30.58,30.88,30.23
1912,30.05,30.19,30.35,30.65,30.56,29.99,29.73,29.96,30.27,30.64,30.75,30.20
1913,29.95,30.15,30.29,30.34,30.54,29.90,29.73,29.94,30.27,30.77,30.82,30.26
1914,29.95,30.20,30.30,30.50,30.81,29.98,29.76,30.03,30.35,30.86,30.90,30.39
1915,29.88,30.03,30.33,30.54,30.54,30.18,29.81,30.17,30.36,30.76,30.91,30.17
1916,29.61,29.94,30.18,30.45,30.33,29.87,29.58,29.88,30.30,30.76,30.85,30.07
1917,29.57,29.70,29.95,30.25,30.13,29.86,29.77,29.90,30.42,30.88,30.85,30.24
1918,29.25,29.35,29.94,30.34,30.33,29.79,29.63,29.89,30.26,30.70,30.85,30.03
1919,30.01,30.23,30.37,30.50,30.52,30.00,29.49,29.88,30.27,30.70,30.75,30.09
1920,29.67,29.86,30.25,30.38,30.56,30.11,29.87,29.94,30.53,30.92,30.88,29.93
