,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,20.87,20.70,21.14,21.16,21.29,20.58,20.39,20.07,20.29,20.67,21.07,20.87
1902,20.77,20.67,20.93,21.08,21.29,20.60,20.15,20.13,20.32,20.71,21.07,21.03
1903,21.08,20.80,21.06,21.06,21.29,20.59,20.18,20.13,20.32,20.48,21.06,20.78
1904,20.71,20.59,21.15,20.93,21.27,20.80,20.37,19.97,20.53,20.43,21.03,20.86
1905,20.87,20.73,21.06,21.02,21.29,20.77,20.22,20.07,20.32,20.76,21.06,21.10
1906,21.01,21.04,21.06,21.19,21.31,20.68,20.23,20.09,20.30,20.48,21.05,20.85
1907,20.79,20.73,20.90,21.05,21.27,20.57,20.14,20.02,20.53,20.57,21.06,20.87
1908,20.87,20.77,21.02,21.13,21.30,20.53,20.41,20.10,20.55,20.49,21.05,20.92
1909,20.92,20.81,20.95,21.12,21.30,20.86,20.16,20.18,20.30,20.54,21.09,20.89
1910,20.90,20.83,20.92,21.00,21.31,20.60,20.23,20.13,20.59,20.45,21.07,20.89
1911,20.87,20.94,21.19,21.28,21.38,20.80,20.43,20.21,20.52,20.69,21.39,21.22
1912,21.17,21.10,21.29,21.46,21.38,20.79,20.34,20.35,20.55,20.75,21.26,21.19
1913,21.03,21.04,21.22,21.14,21.35,20.65,20.38,20.32,20.53,20.84,21.32,21.22
1914,21.09,21.13,21.23,21.28,21.62,20.73,20.37,20.36,20.57,20.94,21.40,21.37
1915,20.99,20.93,21.24,21.34,21.37,20.97,20.42,20.49,20.58,20.87,21.38,21.15
1916,20.69,20.81,21.10,21.20,21.15,20.64,20.25,20.24,20.55,20.84,21.32,21.05
1917,20.67,20.61,20.88,21.05,20.97,20.64,20.38,20.26,20.64,20.96,21.33,21.20
1918,20.38,20.27,20.87,21.12,21.17,20.56,20.25,20.21,20.48,20.78,21.35,21.03
1919,21.13,21.15,21.30,21.29,21.37,20.77,20.16,20.21,20.54,20.82,21.30,21.13
1920,20.82,20.80,21.20,21.22,21.37,20.86,20.48,20.27,20.74,21.00,21.44,20.96
1921,21.01,20.84,20.98,21.12,21.02,20.64,20.33,20.37,20.52,20.69,21.21,21.11
1922,21.08,20.75,20.92,21.07,21.00,20.65,20.33,20.16,20.56,20.69,21.43,21.26
1923,20.96,20.96,21.01,21.31,21.21,20.78,20.10,19.95,20.28,20.87,21.30,21.17
1924,21.28,21.03,21.16,21.18,21.33,20.77,20.46,20.47,20.51,20.54,21.15,20.98
1925,20.90,20.57,20.81,21.15,21.23,20.78,20.33,20.27,20.50,20.74,21.16,21.11
1926,20.91,20.96,21.08,21.52,21.51,20.89,20.36,20.41,20.50,20.78,21.19,21.18
1927,20.95,20.96,21.21,21.26,21.24,20.75,20.43,20.35,20.49,20.68,21.14,21.18
1928,21.11,21.05,21.06,21.23,21.34,20.73,20.30,20.29,20.49,20.74,21.13,21.21
1929,20.84,20.84,20.85,21.20,21.11,20.58,20.22,20.23,20.51,20.72,21.06,21.00
1930,21.03,20.79,21.07,21.12,21.34,20.63,20.43,20.54,20.57,20.80,21.22,21.21
1931,21.30,21.16,21.28,21.36,21.42,20.98,20.39,20.63,20.55,20.78,21.19,21.07
1932,20.94,20.83,20.95,21.15,21.21,20.59,20.30,20.23,20.51,20.86,21.06,21.10
1933,21.19,20.72,21.01,21.17,21.34,20.79,20.38,20.56,20.38,20.71,21.00,20.90
1934,20.78,20.57,20.74,21.04,21.21,20.73,20.41,20.29,20.50,20.79,21.18,21.10
1935,21.02,21.02,21.24,21.12,21.19,20.58,20.33,20.21,20.63,20.84,21.24,21.21
1936,21.08,21.06,21.16,21.22,21.39,20.74,20.41,20.30,20.60,20.68,21.19,21.23
1937,21.00,21.09,21.32,21.31,21.11,20.75,20.33,20.34,20.54,20.74,21.22,21.19
1938,21.16,21.16,21.20,21.30,21.23,20.69,20.29,20.14,20.56,20.82,21.20,21.17
1939,21.21,21.00,21.08,21.26,21.13,20.56,20.40,20.31,20.46,20.72,21.20,21.22
1940,21.07,20.85,21.11,21.18,21.00,20.76,20.46,20.16,20.64,21.05,21.32,21.30
1941,21.37,21.31,21.57,21.69,21.68,21.07,20.44,20.39,20.65,21.14,21.26,21.36
1942,21.15,21.11,21.30,21.28,21.38,20.93,20.21,20.26,20.56,20.76,21.04,21.11
1943,20.80,20.77,20.94,21.08,21.23,20.58,20.17,20.14,20.42,20.61,21.03,21.03
1944,21.01,20.90,21.09,21.08,21.04,20.63,20.13,20.14,20.48,20.80,21.02,21.10
1945,21.13,21.00,21.08,21.17,21.15,20.54,20.12,20.26,20.45,20.66,21.00,21.08
1946,21.26,20.91,21.19,21.24,21.07,20.83,20.57,20.65,20.46,20.82,21.04,21.18
1947,21.31,21.19,21.20,21.09,21.33,20.92,20.37,20.37,20.53,20.78,21.05,21.32
1948,20.57,21.07,21.30,21.41,21.50,21.07,20.47,20.35,20.61,20.99,21.18,21.30
1949,21.24,21.17,21.15,21.15,21.12,20.66,20.24,20.24,20.48,20.83,21.09,21.17
1950,21.26,20.91,21.39,21.20,21.26,20.94,20.21,20.18,20.53,20.64,20.86,20.82
1951,20.81,20.71,21.08,21.24,21.02,20.96,20.17,20.22,20.61,20.85,21.48,21.26
1952,21.30,21.30,20.91,21.33,21.21,20.78,20.32,20.21,20.54,20.74,20.64,20.95
1953,21.03,20.84,21.15,21.28,21.02,20.96,20.13,20.12,20.59,21.02,20.96,21.30
1954,21.16,20.97,21.13,21.32,21.20,20.74,20.19,20.13,20.47,20.31,20.38,20.89
1955,20.96,20.79,20.89,21.06,21.33,20.65,20.12,20.16,20.47,20.65,20.55,20.89
1956,20.58,20.82,20.99,21.22,21.05,20.53,20.10,20.13,20.24,20.52,20.78,20.65
1957,20.80,20.68,20.99,21.42,21.27,20.99,20.38,20.30,20.37,20.94,21.21,21.24
1958,21.43,21.11,21.46,21.60,21.69,21.15,20.46,20.37,20.59,20.82,20.77,21.03
1959,21.07,21.16,21.06,21.17,21.49,20.79,20.19,20.08,20.38,20.90,21.26,21.04
1960,21.02,20.98,20.96,21.31,21.18,20.68,20.38,20.53,20.56,20.93,21.15,21.27
1961,20.89,21.16,21.31,21.37,21.24,20.43,19.96,19.91,20.02,20.51,20.93,21.23
1962,20.96,20.77,20.96,21.11,21.13,20.63,20.50,20.06,20.45,21.09,21.31,21.15
