,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,30.68,30.96,30.89,31.34,31.63,31.12,31.19,31.35,31.21,31.70,31.36,31.00
1902,30.48,30.66,31.28,31.74,31.61,31.04,31.26,31.28,31.41,31.91,31.36,31.08
1903,30.49,30.82,31.18,31.77,31.78,30.96,31.11,31.29,31.43,31.72,31.20,30.84
1904,30.37,30.59,31.14,31.33,31.49,30.91,31.03,31.35,31.37,31.78,31.20,30.93
1905,30.31,30.70,31.27,31.65,31.34,30.93,31.24,31.35,31.56,31.77,31.46,31.09
1906,30.54,30.70,30.92,31.79,31.89,31.00,31.18,31.31,31.53,31.68,31.27,31.05
1907,30.44,30.64,31.03,31.62,31.34,30.98,31.02,31.23,31.50,31.62,31.21,30.79
1908,30.33,30.47,31.14,31.67,31.41,30.88,30.99,31.12,31.31,31.66,31.18,30.92
1909,30.36,30.70,31.12,31.44,31.41,30.88,30.97,31.17,31.40,31.65,31.13,30.83
1910,30.33,30.66,30.87,31.34,31.59,30.90,31.18,31.30,31.25,31.57,31.23,30.82
1911,30.35,30.81,31.20,31.55,31.58,31.10,31.36,31.35,31.54,31.69,31.73,31.29
1912,30.67,30.94,31.45,31.85,31.69,30.95,31.16,31.29,31.52,31.76,31.38,31.19
1913,30.59,30.94,31.50,31.59,31.74,30.87,31.14,31.44,31.50,31.86,31.48,31.22
1914,30.54,30.89,31.31,31.69,31.93,30.90,31.20,31.43,31.75,32.05,31.81,31.43
1915,30.70,31.00,31.39,31.82,31.83,31.10,31.21,31.52,31.66,31.83,31.56,30.99
1916,30.30,30.80,31.31,31.90,31.55,30.98,30.93,31.26,31.58,31.86,31.46,31.00
1917,30.18,30.51,31.02,31.63,31.25,30.93,31.07,31.13,31.41,31.70,31.47,30.92
1918,29.95,29.96,31.12,31.43,31.31,30.69,31.20,31.35,31.54,31.66,31.54,30.90
1919,30.78,30.98,31.41,31.84,31.83,31.15,31.14,31.55,31.70,31.93,31.45,31.09
1920,30.50,30.62,31.42,31.72,31.66,31.14,31.28,31.24,31.56,31.73,31.60,30.83
1921,30.58,30.54,31.26,31.67,31.43,30.96,31.10,31.36,31.52,31.64,31.28,31.17
1922,30.63,30.65,30.97,31.27,31.38,30.87,31.05,31.14,31.56,31.70,31.51,31.12
1923,30.39,30.57,31.13,31.66,31.48,31.00,30.88,31.16,31.22,31.72,31.43,31.21
1924,30.41,30.55,31.02,31.63,31.41,30.86,31.10,31.55,31.43,31.47,31.09,30.77
1925,30.40,30.29,30.98,31.57,31.83,31.19,31.22,31.59,31.75,31.64,31.57,31.08
1926,30.41,31.05,31.69,32.11,31.91,31.22,31.39,31.55,31.60,31.80,31.60,31.08
1927,30.35,30.75,31.36,31.46,31.61,31.06,31.16,31.53,31.73,31.66,31.46,31.19
1928,30.68,30.51,31.10,31.52,31.74,31.16,31.38,31.45,31.76,31.79,31.51,31.28
1929,30.66,30.40,30.97,31.86,31.72,30.91,31.41,31.35,31.67,31.75,31.34,31.05
1930,30.86,31.04,31.11,31.96,31.84,31.11,31.47,31.79,31.52,31.95,31.33,31.22
1931,30.52,31.49,31.85,31.96,31.96,31.14,31.15,31.69,31.60,31.76,31.67,30.87
1932,30.58,30.88,31.24,31.56,31.74,30.80,31.13,31.25,31.53,31.79,31.07,31.29
1933,30.37,31.07,31.27,31.57,31.96,31.25,31.13,31.54,31.62,31.61,31.20,31.01
1934,30.07,30.20,30.82,31.42,31.71,30.81,31.24,31.28,31.59,31.60,31.33,31.17
1935,30.63,31.03,31.34,31.76,31.34,30.80,31.18,31.22,31.62,31.70,31.21,31.08
1936,30.18,30.90,31.17,31.65,31.59,30.90,31.07,31.14,31.54,31.55,31.35,31.33
1937,30.65,31.05,31.33,31.54,31.36,31.01,31.14,31.60,31.56,31.61,31.44,30.90
1938,30.63,30.92,30.68,31.40,31.33,31.07,31.21,31.02,31.35,31.77,31.22,31.23
1939,30.34,30.59,31.16,31.37,31.49,30.67,31.11,31.18,31.23,31.39,31.30,30.67
1940,30.21,30.73,31.27,31.82,31.56,30.93,31.19,30.94,31.31,31.84,31.44,31.28
1941,30.80,30.73,31.22,31.79,31.67,31.43,31.42,31.27,31.57,31.80,31.43,31.47
1942,30.43,30.56,30.67,30.94,31.01,30.75,30.81,30.89,30.99,31.20,31.00,30.71
1943,30.11,30.70,30.89,31.47,31.46,30.95,31.05,31.39,31.41,31.50,31.13,30.67
1944,30.27,30.54,30.97,31.45,31.46,30.93,30.86,31.03,31.21,31.45,31.20,30.63
1945,30.16,30.42,30.77,31.42,31.40,30.75,30.86,31.03,31.29,31.38,31.23,30.83
1946,30.25,30.60,31.15,31.42,31.46,31.04,31.26,31.28,31.42,31.85,31.52,31.21
1947,30.30,30.74,30.95,31.50,31.72,30.96,31.11,30.90,31.51,31.68,31.50,30.83
1948,30.25,30.52,31.15,31.78,31.73,31.19,31.12,31.37,31.67,31.93,31.33,31.80
1949,30.65,30.60,31.59,31.51,31.56,30.89,30.93,31.31,31.59,31.47,31.36,31.21
1950,30.69,30.80,31.28,31.37,31.55,30.91,31.13,31.33,31.30,31.57,31.35,31.00
1951,29.39,29.33,30.63,31.23,30.84,30.92,30.35,31.16,31.19,31.47,31.45,30.81
1952,30.26,30.27,30.51,30.99,31.17,30.79,30.70,30.73,31.35,31.33,30.54,30.45
1953,29.88,29.63,30.36,30.91,30.99,30.77,30.48,31.43,30.91,31.69,31.26,31.10
1954,30.12,30.40,30.67,31.03,30.98,30.58,30.46,30.86,30.85,30.99,30.80,30.58
1955,29.57,30.23,31.17,30.95,31.34,30.36,30.74,30.60,31.49,31.20,30.49,30.49
1956,29.58,30.11,30.60,30.95,30.89,30.35,30.34,30.49,30.78,31.00,30.83,30.18
1957,30.13,30.37,30.76,31.33,31.37,31.23,30.84,30.99,31.14,31.43,31.57,30.77
1958,30.90,30.82,31.22,32.21,32.02,31.02,31.35,31.00,31.62,31.42,30.67,31.23
1959,30.63,31.11,30.93,31.06,31.44,30.86,30.63,30.80,31.31,31.36,31.06,31.29
