,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,29.44,29.48,29.83,29.89,29.85,29.01,29.04,28.98,29.59,30.23,30.37,29.80
1902,29.37,29.48,29.61,29.80,29.85,29.01,28.82,29.03,29.59,30.26,30.37,29.92
1903,29.63,29.57,29.73,29.80,29.85,29.01,28.82,29.03,29.59,30.06,30.37,29.72
1904,29.32,29.38,29.83,29.70,29.85,29.23,29.04,28.90,29.81,30.04,30.37,29.80
1905,29.45,29.53,29.73,29.72,29.85,29.14,28.91,28.98,29.59,30.27,30.37,29.99
1906,29.54,29.70,29.73,29.89,29.85,29.10,28.91,28.98,29.59,30.06,30.37,29.80
1907,29.37,29.48,29.61,29.80,29.85,29.01,28.82,28.97,29.81,30.14,30.37,29.80
1908,29.45,29.57,29.70,29.85,29.85,29.01,29.04,28.98,29.81,30.06,30.37,29.85
1909,29.51,29.57,29.66,29.81,29.85,29.23,28.82,29.07,29.59,30.06,30.37,29.80
1910,29.45,29.57,29.61,29.72,29.85,29.01,28.87,28.98,29.81,30.01,30.37,29.80
1911,29.41,29.48,29.73,29.81,29.85,29.01,28.82,28.98,29.68,30.06,30.37,29.89
1912,29.45,29.60,29.70,30.02,29.85,29.06,28.82,29.11,29.64,30.14,30.37,29.89
1913,29.45,29.60,29.61,29.80,29.85,29.01,28.91,29.07,29.68,30.23,30.37,29.89
1914,29.54,29.60,29.73,29.81,29.85,29.10,28.91,29.07,29.64,30.36,30.37,29.99
1915,28.87,28.63,29.53,29.54,29.26,29.13,28.84,29.00,29.68,30.23,30.37,29.85
1916,28.24,28.27,29.61,29.12,28.86,28.13,28.54,28.67,29.59,30.14,30.37,29.72
1917,28.51,28.50,28.73,28.84,29.06,28.43,28.74,29.11,29.81,30.36,30.37,30.02
1918,28.41,27.91,28.63,29.32,29.65,28.43,28.24,28.43,29.68,30.26,30.37,29.89
1919,29.44,29.61,29.53,29.42,29.16,28.56,28.04,28.30,29.64,30.23,30.37,29.89
1920,28.57,28.40,28.83,29.33,29.55,28.66,29.01,29.40,29.81,30.36,30.37,29.89
1921,29.34,29.20,28.73,28.95,28.72,28.70,28.74,29.13,29.59,30.14,30.37,29.72
1922,28.94,28.40,28.63,29.23,28.86,28.63,28.64,28.50,29.64,30.14,30.37,29.89
1923,29.45,29.40,29.13,29.69,29.26,28.80,28.32,27.70,29.59,30.33,30.37,29.89
1924,29.67,29.10,29.43,29.45,30.05,29.13,28.94,29.10,29.74,30.06,30.37,29.80
1925,29.41,28.60,28.63,29.42,29.55,28.63,28.44,28.91,29.74,30.26,30.37,29.93
1926,29.14,29.47,29.40,30.02,30.15,29.13,28.74,29.40,29.71,30.23,30.37,29.85
1927,29.14,29.70,29.54,29.90,29.75,29.03,29.04,29.20,29.71,30.23,30.37,29.89
1928,29.94,29.67,29.33,29.69,29.95,29.16,28.85,29.38,29.68,30.23,30.37,29.85
1929,29.24,29.50,28.83,29.42,28.78,28.63,27.94,28.50,29.72,30.26,30.37,29.80
1930,29.64,29.10,29.53,29.14,29.85,28.43,28.44,29.00,29.74,30.26,30.37,30.02
1931,30.04,29.77,30.03,29.92,30.05,29.50,29.04,29.30,29.78,30.23,30.37,29.89
1932,29.51,29.10,29.03,29.33,29.85,28.83,28.74,28.73,29.72,30.26,30.37,29.89
1933,29.94,28.80,29.13,29.32,29.95,28.93,28.54,30.17,29.59,30.18,30.37,29.89
1934,29.44,28.70,28.73,29.14,29.16,28.83,28.95,28.76,29.64,30.26,30.37,29.89
1935,29.65,29.70,29.76,29.32,29.85,28.43,28.14,28.27,29.71,30.23,30.37,30.02
1936,29.45,29.50,29.46,29.39,29.95,28.93,28.64,29.20,29.74,30.23,30.37,29.99
1937,29.14,29.90,29.93,29.52,29.26,28.43,28.07,28.19,29.72,30.23,30.37,29.89
1938,30.11,29.80,29.73,29.72,29.75,28.23,28.64,28.50,29.74,30.27,30.37,29.89
1939,30.14,30.07,29.33,29.62,28.98,28.23,29.21,29.20,29.71,30.23,30.37,29.93
1940,30.21,29.87,28.83,28.36,27.52,27.55,28.44,27.73,29.81,30.45,30.37,30.02
1941,30.45,30.00,30.53,30.22,30.15,29.03,27.93,27.93,29.74,30.33,30.37,30.02
1942,30.57,30.47,30.33,29.82,30.05,29.53,27.87,28.73,29.81,30.27,30.37,30.02
1943,29.41,29.57,29.70,29.85,29.85,29.06,28.87,29.07,29.72,30.18,30.37,29.93
1944,30.25,29.77,30.14,29.12,28.86,28.40,27.82,28.19,29.78,30.36,30.37,30.02
1945,30.44,29.91,29.73,29.82,29.45,27.66,27.82,28.60,29.72,30.23,30.37,30.02
1946,30.21,28.87,29.83,29.72,28.78,29.46,30.27,30.98,29.74,30.36,30.37,30.09
1947,30.61,30.40,29.63,28.74,30.05,29.46,29.04,29.20,29.78,30.33,30.37,30.15
1948,26.84,29.70,29.83,29.52,30.45,29.94,28.87,28.23,29.81,30.45,30.37,30.02
1949,30.11,30.07,29.33,29.42,29.15,28.53,28.14,28.23,29.31,30.33,30.27,30.02
1950,29.84,29.30,30.11,29.42,29.45,29.04,27.47,28.00,29.68,30.14,28.87,28.92
1951,29.14,29.30,29.72,29.33,28.85,29.28,28.24,28.10,29.71,30.24,31.37,29.62
1952,30.04,30.10,28.92,29.62,28.95,28.61,28.27,28.40,29.86,29.66,28.78,29.82
1953,29.74,29.60,29.93,29.92,28.95,29.04,27.94,28.03,29.82,30.56,29.60,30.32
