,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,29.42,29.38,31.05,31.07,31.59,30.55,31.28,30.62,30.49,31.03,31.09,28.95
1902,29.15,29.28,30.13,30.70,31.59,30.63,30.30,30.81,30.58,31.22,31.09,29.58
1903,30.22,29.72,30.58,30.60,31.59,30.63,30.40,30.81,30.58,30.37,31.09,28.66
1904,28.96,29.01,31.05,30.24,31.59,31.64,31.28,30.37,31.48,30.19,31.09,28.95
1905,29.52,29.65,30.58,30.42,31.59,31.26,30.67,30.71,30.58,31.41,31.09,29.75
1906,29.97,30.57,30.58,30.98,31.59,30.89,30.57,30.71,30.49,30.37,31.09,28.85
1907,29.15,29.38,29.97,30.51,31.59,30.55,30.30,30.47,31.48,30.65,31.09,29.05
1908,29.62,29.72,30.49,30.89,31.59,30.55,31.28,30.71,31.48,30.47,31.09,29.23
1909,29.72,29.72,30.21,30.80,31.59,31.64,30.20,30.91,30.49,30.47,31.09,29.05
1910,29.62,29.91,30.13,30.42,31.59,30.63,30.48,30.62,31.48,30.10,31.09,29.05
1911,29.65,30.37,31.07,31.50,31.93,31.50,31.28,31.25,31.41,31.26,32.17,30.12
1912,30.46,30.75,31.33,31.94,31.93,31.28,31.07,31.67,31.35,31.42,31.76,30.08
1913,30.10,30.66,31.13,31.14,31.93,31.14,31.22,31.56,31.44,31.79,31.91,30.22
1914,30.21,30.85,31.16,31.47,32.74,31.33,31.25,31.78,31.58,32.09,32.34,30.62
1915,30.17,30.61,31.35,31.74,31.99,31.86,31.28,32.04,31.41,31.71,32.17,30.03
1916,29.58,30.43,30.82,31.51,31.53,31.19,30.77,31.29,31.34,31.65,31.99,29.73
1917,29.37,29.72,30.57,31.11,30.93,31.21,31.17,31.29,31.75,32.14,31.99,30.44
1918,28.61,29.17,30.53,31.41,31.35,31.17,31.13,31.49,31.35,31.59,31.99,29.69
1919,30.37,30.86,31.45,31.66,32.04,31.59,30.88,31.57,31.39,31.66,31.83,29.90
1920,29.70,30.33,31.46,31.31,31.91,31.64,31.36,31.19,32.15,32.31,32.34,29.31
1921,30.03,30.11,30.75,31.29,31.24,30.68,31.07,31.66,31.32,31.18,31.59,29.83
1922,30.31,30.14,30.67,31.06,31.22,31.23,31.17,31.38,31.39,31.26,32.34,30.31
1923,29.81,30.46,30.78,31.68,31.60,31.51,30.71,30.96,30.85,31.77,31.83,30.00
1924,30.51,30.57,30.84,31.36,31.56,31.34,31.41,31.95,31.18,30.37,31.19,29.56
1925,29.81,29.61,30.31,31.34,31.79,31.71,31.28,31.75,31.55,31.52,31.59,29.97
1926,29.79,30.58,31.08,32.20,32.10,31.76,31.43,31.88,31.42,31.53,31.68,30.03
1927,29.88,30.37,31.10,31.37,31.65,31.39,31.28,31.78,31.45,31.36,31.51,30.18
1928,30.32,30.47,30.90,31.42,31.88,31.44,31.20,31.41,31.42,31.48,31.35,30.08
1929,29.81,30.14,30.22,31.48,31.65,31.14,31.12,31.70,31.54,31.62,31.09,29.82
1930,30.26,30.46,30.88,31.41,31.65,31.42,31.64,32.42,31.74,31.57,31.70,30.49
1931,30.73,31.31,31.45,31.85,32.01,31.79,31.34,32.42,31.65,31.60,31.63,29.77
1932,29.77,30.36,30.48,31.15,31.38,31.04,31.30,31.68,31.37,31.66,31.11,30.04
1933,30.18,30.19,30.66,31.24,31.80,31.55,31.24,31.85,30.99,31.26,30.85,29.65
1934,29.37,29.59,30.02,30.95,31.56,31.19,31.14,31.64,31.35,31.42,31.40,30.09
1935,30.22,30.74,31.20,31.22,31.27,30.99,31.17,31.48,31.62,31.53,31.68,30.39
1936,30.24,30.99,30.93,31.32,31.68,31.28,31.28,31.53,31.55,31.27,31.36,30.34
1937,30.22,30.74,31.55,31.36,31.29,31.52,31.29,32.02,31.51,31.36,31.61,30.05
1938,30.21,30.96,31.00,31.50,31.37,31.46,31.21,31.23,31.50,31.72,31.59,30.15
1939,30.27,30.24,31.04,31.47,31.56,31.11,31.35,31.71,31.17,31.26,31.66,30.08
1940,29.97,30.44,31.39,31.66,31.33,31.67,31.58,31.39,31.59,32.26,31.83,30.50
1941,30.74,31.34,31.81,32.26,32.15,32.45,31.84,32.05,31.86,32.28,31.83,30.61
1942,30.21,30.65,31.36,31.37,31.64,31.70,30.96,31.54,31.38,31.41,31.09,30.02
1943,29.33,29.81,30.30,30.89,31.59,30.81,30.48,30.99,31.11,30.94,31.09,29.66
1944,29.78,30.16,30.73,31.19,31.34,31.36,30.92,31.47,31.28,31.62,31.09,29.92
1945,30.24,30.46,30.85,31.23,31.49,31.26,30.92,31.57,31.11,31.12,31.09,30.02
