,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,29.29,29.08,30.88,31.02,31.84,30.47,31.65,30.87,31.18,31.55,31.65,29.67
1902,28.93,28.98,29.88,30.62,31.84,30.57,30.55,31.07,31.28,31.75,31.65,30.37
1903,30.19,29.48,30.38,30.52,31.84,30.57,30.65,31.07,31.28,30.85,31.65,29.37
1904,28.79,28.68,30.88,30.12,31.84,31.67,31.65,30.57,32.28,30.65,31.65,29.67
1905,29.31,29.38,30.38,30.32,31.84,31.27,30.95,30.97,31.28,31.95,31.65,30.57
1906,29.81,30.38,30.38,30.92,31.84,30.87,30.85,30.97,31.18,30.85,31.65,29.57
1907,28.93,29.08,29.68,30.42,31.84,30.47,30.55,30.67,32.28,31.15,31.65,29.77
1908,29.46,29.48,30.28,30.82,31.84,30.47,31.65,30.97,32.28,30.95,31.65,29.97
1909,29.59,29.48,29.98,30.72,31.84,31.67,30.45,31.17,31.18,30.95,31.65,29.77
1910,29.46,29.68,29.88,30.32,31.84,30.57,30.75,30.87,32.28,30.55,31.65,29.77
1911,29.24,29.63,30.59,31.08,31.94,31.03,31.00,31.08,31.79,31.39,32.00,30.49
1912,29.78,30.14,30.55,31.76,31.94,30.99,31.01,31.74,31.72,31.54,31.86,30.44
1913,29.69,30.10,30.30,30.80,31.94,30.88,31.23,31.44,31.85,32.00,31.91,30.59
1914,29.84,30.17,30.64,31.07,32.21,31.13,31.21,31.55,31.82,32.41,32.04,31.02
1915,29.66,29.94,30.95,31.46,31.81,31.62,31.51,31.92,31.79,31.90,32.00,30.42
1916,28.92,29.62,30.22,31.14,31.55,30.86,31.05,31.34,31.63,31.79,31.94,29.95
1917,28.93,29.23,30.05,30.74,31.47,31.02,31.39,31.53,32.38,32.49,31.94,31.02
1918,28.39,29.43,29.93,31.44,31.74,31.31,31.19,31.41,31.83,32.05,31.94,30.35
1919,29.94,30.34,30.90,31.26,31.79,31.19,30.87,31.39,31.73,31.89,31.89,30.39
1920,29.11,29.62,30.71,30.94,31.84,31.26,31.50,31.35,32.49,32.55,32.04,30.07
1921,29.64,29.64,30.11,30.94,31.42,30.74,31.20,31.72,31.60,31.39,31.81,30.00
1922,29.71,29.42,30.17,30.92,31.47,31.08,31.31,31.48,31.73,31.41,32.04,30.56
1923,29.44,29.94,30.32,31.37,31.71,31.32,30.80,30.85,31.38,32.25,31.89,30.43
1924,30.15,30.07,30.52,31.07,31.92,31.35,31.59,32.01,31.98,30.85,31.65,30.02
