,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,29.57,28.89,30.36,30.57,31.21,30.09,30.71,30.44,30.91,31.69,31.41,29.74
1902,29.34,28.82,29.59,30.27,31.21,30.18,29.89,30.60,30.98,31.84,31.41,30.26
1903,30.25,29.20,29.97,30.19,31.21,30.18,29.97,30.60,30.98,31.17,31.41,29.51
1904,29.19,28.58,30.36,29.87,31.21,31.01,30.71,30.21,31.74,31.02,31.41,29.74
1905,29.65,29.11,29.97,30.04,31.21,30.70,30.20,30.51,30.98,32.00,31.41,30.42
1906,30.00,29.90,29.97,30.50,31.21,30.41,30.12,30.51,30.91,31.17,31.41,29.65
1907,29.34,28.89,29.45,30.12,31.21,30.09,29.89,30.30,31.74,31.38,31.41,29.82
1908,29.72,29.20,29.89,30.44,31.21,30.09,30.71,30.51,31.74,31.23,31.41,29.95
1909,29.79,29.20,29.66,30.35,31.21,31.01,29.82,30.67,30.91,31.23,31.41,29.82
1910,29.72,29.34,29.59,30.04,31.21,30.18,30.03,30.44,31.74,30.94,31.41,29.82
1911,29.76,29.76,30.40,30.97,31.52,30.94,30.75,30.96,31.71,31.90,32.41,30.79
1912,30.52,30.10,30.65,31.35,31.52,30.71,30.56,31.34,31.65,32.04,32.04,30.72
1913,30.18,30.01,30.49,30.64,31.52,30.59,30.68,31.24,31.74,32.37,32.18,30.85
1914,30.26,30.18,30.48,30.93,32.29,30.77,30.72,31.46,31.88,32.63,32.57,31.22
1915,30.30,30.06,30.68,31.18,31.84,31.21,30.71,31.67,31.71,32.28,32.41,30.70
1916,29.76,29.93,30.20,31.02,31.39,30.67,30.19,30.95,31.67,32.25,32.26,30.44
1917,29.55,29.17,29.99,30.64,30.61,30.68,30.64,30.91,31.96,32.66,32.26,31.02
1918,28.74,28.65,29.95,30.92,31.01,30.63,30.64,31.20,31.66,32.16,32.26,30.35
1919,30.44,30.19,30.77,31.11,31.90,31.02,30.39,31.29,31.71,32.25,32.10,30.56
1920,29.86,29.80,31.04,30.77,31.68,31.07,30.76,30.75,32.37,32.82,32.57,30.04
1921,30.10,29.46,30.15,30.80,31.05,30.09,30.52,31.29,31.66,31.83,31.88,30.52
1922,30.44,29.60,30.11,30.55,31.01,30.68,30.63,31.07,31.71,31.93,32.57,30.94
1923,29.85,29.81,30.14,31.09,31.39,30.93,30.17,30.74,31.19,32.33,32.10,30.63
1924,30.55,29.95,30.17,30.80,31.12,30.71,30.84,31.59,31.50,31.17,31.50,30.27
1925,29.86,29.05,29.73,30.81,31.52,31.16,30.77,31.42,31.84,32.14,31.89,30.60
1926,29.89,29.94,30.44,31.63,31.76,31.14,30.92,31.52,31.72,32.15,31.96,30.70
1927,29.96,29.72,30.41,30.75,31.33,30.79,30.72,31.42,31.76,31.95,31.81,30.83
1928,30.38,29.78,30.23,30.84,31.52,30.79,30.66,31.00,31.72,32.11,31.64,30.72
1929,29.90,29.50,29.73,30.99,31.51,30.58,30.65,31.37,31.79,32.18,31.41,30.43
1930,30.29,29.79,30.25,30.90,31.31,30.83,31.11,32.03,31.96,32.21,31.95,31.00
1931,30.72,30.58,30.71,31.27,31.70,31.15,30.74,32.00,31.88,32.19,31.95,30.43
1932,29.85,29.70,29.95,30.71,31.01,30.44,30.72,31.40,31.66,32.29,31.42,30.63
1933,30.28,29.56,30.05,30.75,31.44,30.92,30.72,31.37,31.33,31.92,31.25,30.28
1934,29.47,29.05,29.51,30.53,31.38,30.68,30.63,31.33,31.67,32.05,31.71,30.70
1935,30.18,30.06,30.52,30.75,30.93,30.54,30.71,31.25,31.91,32.22,31.95,30.90
1936,30.23,30.28,30.38,30.85,31.42,30.68,30.76,31.21,31.79,31.88,31.71,30.89
1937,30.29,30.05,30.79,30.91,31.01,30.97,30.85,31.81,31.77,31.99,31.89,30.68
1938,30.19,30.22,30.34,30.96,31.06,30.95,30.60,30.95,31.79,32.32,31.88,30.77
1939,30.21,29.58,30.36,30.97,31.39,30.62,30.68,31.27,31.44,31.92,31.90,30.74
1940,30.06,29.79,30.80,31.28,31.42,31.26,31.02,31.24,31.83,32.80,32.20,31.06
1941,30.64,30.53,31.04,31.64,31.88,31.76,31.35,31.71,32.07,32.79,32.10,31.20
1942,30.00,29.80,30.58,30.81,31.21,31.01,30.62,31.29,31.64,32.00,31.41,30.63
1943,29.49,29.28,29.75,30.44,31.21,30.32,30.03,30.74,31.44,31.63,31.41,30.35
1944,29.66,29.43,29.90,30.80,31.21,30.91,30.62,31.36,31.59,32.22,31.41,30.55
1945,30.10,29.70,30.12,30.65,31.21,31.01,30.62,31.36,31.44,31.76,31.41,30.63
1946,30.93,30.09,30.36,31.03,31.21,31.01,30.64,31.42,31.50,32.27,31.40,30.88
1947,30.87,30.10,30.41,30.93,31.19,30.96,30.57,31.28,31.59,32.08,31.39,31.14
1948,30.18,30.00,30.74,31.93,31.68,31.35,30.93,31.73,32.05,32.78,31.77,31.26
1949,30.47,30.06,30.77,31.12,31.20,31.19,30.68,31.58,31.84,32.27,31.78,30.98
1950,30.62,29.98,30.50,30.87,31.28,31.00,30.59,31.28,31.62,31.79,31.76,30.60
1951,29.37,28.94,30.25,31.05,30.96,31.14,30.42,31.28,31.74,32.17,31.71,30.71
1952,30.01,29.67,30.14,31.03,31.12,31.15,30.67,31.15,31.68,32.15,31.20,30.51
1953,30.10,29.37,29.97,30.76,30.85,31.11,30.51,31.51,31.74,32.53,31.64,30.93
1954,29.98,29.64,30.29,30.78,30.94,30.73,30.41,31.19,31.56,31.66,31.05,30.27
1955,29.72,29.64,30.21,30.70,31.35,30.81,30.15,30.57,31.46,31.94,31.30,30.21
1956,29.34,29.51,30.17,30.86,30.79,30.51,30.24,30.83,31.45,31.88,31.08,30.21
1957,29.99,29.66,30.11,31.09,30.89,31.21,30.57,31.10,31.73,32.31,31.51,30.34
1958,30.45,29.86,30.42,31.38,31.54,31.21,30.96,31.09,31.94,32.36,31.22,30.56
1959,30.17,30.20,30.23,30.75,31.19,30.94,30.51,30.98,31.69,32.37,31.30,30.70
1960,29.42,29.35,30.23,30.34,31.15,31.09,30.53,31.55,31.77,32.20,31.28,30.59
1961,29.56,29.42,30.25,30.51,31.12,30.74,30.48,31.20,31.69,32.10,30.99,30.29
1962,29.40,29.52,29.67,30.48,31.04,30.43,30.58,30.49,31.48,31.59,31.06,30.25
1963,28.98,28.95,30.05,31.47,31.07,31.03,30.30,31.18,31.59,32.11,31.19,30.33
1964,30.37,29.74,29.97,30.59,31.00,30.57,29.86,30.99,31.20,31.22,31.07,29.89
1965,29.16,29.60,29.76,30.53,30.75,30.80,30.48,31.10,31.59,31.62,31.55,30.73
1966,30.05,29.65,30.13,31.11,30.94,30.80,30.11,30.92,31.75,31.69,31.13,30.25
1967,30.09,28.90,30.13,30.38,30.83,30.83,29.93,31.13,31.38,31.96,30.57,29.76
1968,29.96,29.28,30.68,31.43,31.09,30.90,30.29,30.74,31.58,31.95,31.28,30.33
1969,30.45,29.62,30.91,31.38,31.07,30.84,30.59,30.87,31.37,32.06,31.08,30.19
1970,30.16,29.80,30.72,31.21,31.03,30.78,30.46,31.15,31.41,31.83,31.11,30.29
1971,29.97,28.79,30.26,31.19,31.37,30.78,30.48,30.89,32.17,32.14,30.99,30.42
1972,29.48,30.00,30.01,30.79,30.99,31.18,31.22,31.76,31.93,33.24,31.34,30.71
1973,30.59,30.39,30.14,31.13,30.99,31.07,31.31,31.09,31.34,32.20,31.60,30.43
1974,29.51,29.40,30.21,31.20,30.79,30.74,30.56,31.27,31.62,32.84,31.44,30.93
1975,30.49,29.56,30.27,31.30,30.96,30.86,30.38,31.44,31.80,32.44,30.92,30.55
1976,29.28,29.60,30.01,30.91,30.96,31.06,30.66,31.46,31.74,32.35,31.20,30.89
1977,29.93,29.23,29.89,31.72,31.07,30.75,30.96,31.33,31.91,33.13,31.44,31.05
1978,30.19,30.18,30.13,30.91,30.91,30.67,30.60,31.27,31.75,31.98,31.45,30.68
1979,30.34,30.38,30.90,30.87,31.70,30.81,30.73,31.55,31.82,32.37,31.25,30.78
1980,30.41,30.28,30.60,30.85,31.40,31.23,31.25,31.00,31.92,32.36,31.54,30.56
1981,29.66,29.88,30.52,31.07,30.95,31.54,31.04,32.23,31.71,32.62,32.06,30.80
1982,30.41,30.14,30.64,30.81,31.22,31.54,31.14,31.64,32.19,32.82,31.97,31.36
1983,30.52,31.13,31.58,32.35,31.78,31.46,31.00,31.75,32.22,32.87,31.73,30.44
1984,29.78,29.06,29.99,30.97,31.11,31.03,30.79,31.31,31.51,32.24,31.46,30.31
1985,30.55,30.29,30.40,30.72,31.51,31.52,30.68,31.65,31.90,32.28,31.69,31.26
1986,29.71,30.20,30.06,30.96,31.70,31.02,31.19,32.14,32.03,32.24,31.78,31.41
1987,30.00,30.46,31.16,31.44,31.38,31.92,31.76,31.84,32.21,32.89,32.47,31.28
1988,30.88,30.50,30.80,31.61,32.10,31.34,30.99,31.24,31.99,32.56,31.57,31.07
1989,30.41,29.79,30.08,30.95,31.20,31.12,31.11,31.67,31.84,32.46,32.01,30.88
1990,30.22,30.30,31.29,31.82,32.11,31.55,31.01,31.97,32.06,32.70,31.97,31.07
1991,30.48,30.15,30.93,31.64,31.42,31.96,31.47,32.04,32.14,32.79,31.42,30.51
1992,30.04,30.36,30.85,31.54,31.38,31.43,31.00,31.99,32.21,32.15,31.43,30.70
1993,30.05,30.16,30.49,30.89,31.34,31.56,31.25,32.07,32.29,32.69,31.78,31.11
1994,30.58,30.35,29.97,31.55,31.31,31.22,31.52,31.79,32.24,32.49,31.43,31.38
1995,30.55,29.89,30.47,31.50,31.58,31.78,31.41,31.50,32.55,32.99,31.97,30.77
1996,30.10,29.70,30.79,31.04,31.97,31.32,32.00,31.91,32.70,32.58,32.28,30.93
1997,30.36,30.60,31.30,31.28,32.07,32.50,31.66,32.21,32.50,32.71,31.70,31.27
1998,31.28,31.15,31.52,31.85,32.35,31.65,31.60,32.00,32.74,32.91,32.61,31.31
1999,30.26,29.91,30.79,32.22,31.39,31.58,31.19,31.79,32.46,32.50,32.21,31.02
2000,30.24,30.09,31.01,31.72,32.12,30.73,31.67,31.85,32.60,33.09,32.13,31.63
2001,30.44,30.15,31.21,31.67,31.96,31.76,32.13,32.08,32.71,33.01,32.45,31.58
2002,30.86,30.98,31.72,31.92,32.45,32.28,32.06,32.53,32.59,32.91,32.47,31.90
2003,30.92,30.37,31.47,31.48,32.34,32.39,31.02,32.13,32.46,32.80,32.06,31.27
2004,31.34,30.78,31.46,32.12,32.37,32.15,31.42,32.63,32.03,32.61,31.93,31.08
2005,31.23,31.07,31.75,31.74,32.09,32.06,31.40,32.31,32.72,31.83,31.80,30.96
2006,30.82,30.25,31.83,31.45,31.88,31.63,31.30,32.12,32.19,32.55,31.84,31.25
2007,30.06,30.28,30.92,31.03,31.52,31.31,31.54,32.14,32.47,32.15,31.82,30.91
2008,31.01,29.78,30.11,30.97,31.73,31.19,30.92,32.03,32.29,32.61,31.94,31.15
2009,30.14,30.27,30.55,31.61,31.86,31.93,31.51,31.96,32.64,32.90,31.71,31.31
2010,30.77,31.09,31.14,31.69,32.21,31.57,31.55,32.28,32.35,32.31,32.07,31.11
2011,30.18,30.54,30.65,31.29,31.73,31.45,31.65,32.05,32.49,32.44,31.93,31.45
2012,30.89,30.75,30.67,31.45,31.84,32.02,31.17,31.96,32.54,33.04,32.00,31.31
2013,30.76,30.25,31.24,31.26,31.94,32.37,31.46,32.27,32.32,32.74,32.02,31.16
2014,30.13,30.57,31.48,31.56,31.86,32.05,31.72,31.99,32.55,32.53,32.06,31.10
2015,30.57,30.27,31.12,31.58,32.01,32.06,31.79,32.41,32.69,33.08,32.13,31.66
2016,30.95,30.75,31.36,31.31,32.18,31.84,31.67,32.20,32.72,32.20,31.99,31.63
2017,30.99,30.26,30.67,30.85,31.88,31.72,31.80,32.32,32.33,32.65,32.02,31.70
2018,30.49,30.56,31.17,31.99,31.73,31.66,31.74,32.55,32.25,32.70,32.22,31.87
2019,31.35,31.17,31.85,31.64,32.26,32.55,31.71,32.44,32.88,32.44,32.25,31.63
2020,31.53,30.87,31.50,31.66,31.94,31.19,31.50,32.67,32.47,33.28,32.08,31.31
2021,30.00,30.59,31.99,31.10,31.70,31.79,31.64,31.83,32.41,32.85,32.17,31.46
