,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,27.94,28.11,28.27,27.25,28.58,28.06,27.80,28.04,28.11,28.55,28.15,28.17
1902,27.94,28.11,28.27,27.25,28.58,28.06,27.80,28.04,28.11,28.55,28.15,28.17
1903,27.94,28.11,28.27,27.25,28.58,28.06,27.80,28.04,28.11,28.55,28.15,28.17
1904,27.94,28.11,28.27,27.21,28.54,28.06,27.80,28.04,28.11,28.55,28.15,28.17
1905,27.94,28.11,28.27,27.25,28.58,28.06,27.80,28.04,28.11,28.55,28.15,28.17
1906,27.94,28.11,28.27,27.25,28.58,28.06,27.80,28.04,28.11,28.55,28.15,28.17
1907,27.94,28.08,28.24,27.25,28.58,28.06,27.80,28.04,28.11,28.55,28.15,28.17
1908,27.94,28.11,28.27,27.25,28.57,28.06,27.80,28.04,28.11,28.55,28.15,28.17
1909,27.94,28.11,28.27,27.25,28.58,28.06,27.80,28.04,28.11,28.55,28.15,28.17
1910,27.94,28.11,28.27,27.25,28.57,28.06,27.80,28.03,28.10,28.55,28.15,28.17
1911,27.95,28.11,28.27,27.25,28.57,28.06,27.80,28.03,28.10,28.55,28.15,28.17
1912,27.94,28.11,28.27,27.25,28.58,28.06,27.80,28.03,28.10,28.55,28.15,28.17
1913,27.95,28.11,28.27,27.25,28.58,28.06,27.80,28.03,28.10,28.55,28.15,28.18
1914,27.94,28.11,28.27,27.25,28.58,28.06,27.80,28.04,28.11,28.55,28.15,28.17
1915,27.94,28.11,28.27,27.25,28.58,28.06,27.80,28.04,28.11,28.55,28.15,28.17
1916,27.95,28.11,28.27,27.26,28.50,28.06,27.80,28.04,28.11,28.55,28.15,28.17
1917,27.95,28.11,28.27,27.25,28.58,28.06,27.80,28.03,28.11,28.55,28.15,28.18
1918,27.89,28.11,28.27,27.25,28.58,28.06,27.80,28.04,28.11,28.55,28.15,28.17
1919,27.94,28.11,28.27,27.25,28.58,28.06,27.78,28.04,28.10,28.55,28.15,28.17
1920,27.94,28.11,28.27,27.25,28.58,28.06,27.80,28.04,28.11,28.55,28.15,28.17
1921,27.94,28.11,28.27,27.25,28.58,28.06,27.80,28.03,28.11,28.55,28.15,28.17
1922,27.94,28.11,28.26,27.25,28.58,28.06,27.80,28.03,28.10,28.55,28.15,28.17
1923,27.94,28.11,28.26,27.25,28.58,28.06,27.80,28.03,28.11,28.55,28.15,28.17
1924,27.94,28.11,28.26,27.25,28.58,28.06,27.78,28.03,28.10,28.55,28.15,28.17
1925,27.94,28.11,28.26,27.25,28.58,28.06,27.80,28.04,28.11,28.55,28.15,28.17
1926,27.94,28.11,28.27,27.25,28.58,28.06,27.80,28.04,28.11,28.55,28.15,28.17
1927,27.94,28.11,28.27,27.25,28.58,28.06,27.80,28.03,28.11,28.55,28.15,28.18
1928,27.95,28.11,28.27,27.25,28.58,28.06,27.80,28.03,28.11,28.55,28.15,28.17
1929,27.95,28.11,28.27,27.25,28.58,28.06,27.80,28.03,28.10,28.55,28.15,28.18
1930,27.94,28.11,28.27,27.25,28.57,28.06,27.80,28.03,28.10,28.55,28.15,28.17
1931,27.94,28.11,28.27,27.25,28.58,28.06,27.80,28.03,28.11,28.55,28.15,28.17
1932,27.94,28.11,28.27,27.25,28.58,28.06,27.80,28.04,28.10,28.55,28.15,28.17
1933,27.94,28.11,28.26,27.25,28.58,28.06,27.78,28.04,28.10,28.55,28.15,28.18
1934,27.94,28.11,28.27,27.25,28.58,28.06,27.80,28.04,28.11,28.55,28.15,28.17
