,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,30.14,29.94,31.20,31.43,31.97,30.61,31.22,31.01,31.51,32.15,32.11,30.34
1902,29.95,29.88,30.56,31.17,31.97,30.67,30.54,31.15,31.57,32.28,32.11,30.79
1903,30.71,30.19,30.87,31.11,31.97,30.67,30.61,31.15,31.57,31.70,32.11,30.14
1904,29.83,29.71,31.20,30.86,31.97,31.37,31.22,30.84,32.21,31.57,32.11,30.34
1905,30.20,30.13,30.87,30.98,31.97,31.11,30.80,31.08,31.57,32.40,32.11,30.91
1906,30.48,30.79,30.87,31.35,31.97,30.86,30.72,31.08,31.51,31.70,32.11,30.28
1907,29.95,29.94,30.43,31.04,31.97,30.61,30.54,30.89,32.21,31.90,32.11,30.40
1908,30.27,30.19,30.81,31.28,31.97,30.61,31.22,31.08,32.21,31.77,32.11,30.53
1909,30.32,30.19,30.63,31.23,31.97,31.37,30.48,31.21,31.51,31.77,32.11,30.40
1910,30.27,30.32,30.56,30.98,31.97,30.67,30.66,31.01,32.21,31.54,32.11,30.40
1911,30.31,30.85,31.34,31.88,32.36,31.45,31.52,31.49,32.30,32.40,33.35,31.42
1912,31.28,31.19,31.74,32.24,32.36,31.15,31.19,31.85,32.26,32.54,32.87,31.37
1913,30.81,31.09,31.58,31.46,32.36,30.99,31.30,31.81,32.34,32.90,33.07,31.51
1914,30.89,31.31,31.46,31.82,33.30,31.17,31.38,32.10,32.55,33.14,33.53,31.95
1915,30.96,31.12,31.62,32.09,32.73,31.76,31.30,32.32,32.30,32.80,33.35,31.33
1916,30.39,31.02,31.16,31.91,32.17,31.13,30.72,31.46,32.28,32.78,33.16,31.08
1917,30.11,30.10,30.88,31.52,31.21,31.08,31.22,31.35,32.51,33.12,33.16,31.57
1918,29.12,29.29,30.87,31.64,31.67,30.89,31.25,31.77,32.23,32.57,33.16,30.83
1919,31.11,31.29,31.82,32.05,32.83,31.56,30.99,31.91,32.32,32.74,32.97,31.14
1920,30.48,30.85,32.06,31.68,32.54,31.60,31.42,31.27,32.97,33.31,33.53,30.59
1921,30.71,30.45,31.11,31.69,31.77,30.61,31.13,31.85,32.30,32.28,32.68,31.19
1922,31.14,30.63,31.00,31.31,31.67,31.08,31.23,31.52,32.32,32.39,33.53,31.65
1923,30.44,30.85,31.08,32.03,32.17,31.39,30.77,31.21,31.68,32.75,32.97,31.25
1924,31.05,30.87,30.95,31.69,31.81,31.06,31.46,32.21,32.01,31.66,32.13,30.79
1925,30.48,29.91,30.58,31.70,32.51,31.74,31.39,32.16,32.55,32.61,32.86,31.23
1926,30.49,31.19,31.66,32.66,32.64,31.65,31.61,32.17,32.39,32.67,32.96,31.33
1927,30.51,30.78,31.44,31.58,32.21,31.31,31.34,32.09,32.40,32.42,32.69,31.49
1928,31.03,30.62,31.18,31.77,32.48,31.35,31.40,31.66,32.43,32.64,32.50,31.38
1929,30.55,30.35,30.40,31.94,32.42,30.99,31.41,32.10,32.43,32.78,32.18,31.16
1930,30.98,30.99,31.02,31.95,31.99,31.43,31.95,32.97,32.72,32.68,32.86,31.80
1931,31.36,31.91,31.88,32.18,32.65,31.60,31.46,32.79,32.55,32.72,32.79,30.87
1932,30.33,30.87,30.67,31.44,31.67,30.86,31.44,31.94,32.26,32.77,32.22,31.41
1933,30.67,30.71,30.84,31.49,32.32,31.46,31.31,31.93,31.93,32.28,31.89,30.90
1934,29.78,29.92,30.17,31.20,32.10,31.01,31.22,31.89,32.35,32.37,32.54,31.48
1935,31.02,31.16,31.51,31.55,31.53,30.76,31.30,31.72,32.45,32.60,32.84,31.68
1936,30.91,31.58,31.16,31.68,32.11,31.04,31.29,31.76,32.40,32.38,32.48,31.66
1937,31.06,31.04,31.90,31.59,31.71,31.50,31.53,32.51,32.39,32.39,32.80,31.29
1938,30.82,31.43,31.18,31.72,31.70,31.50,31.30,31.45,32.30,32.85,32.73,31.47
1939,30.84,30.49,31.42,31.74,32.22,30.99,31.45,31.85,31.90,32.22,32.88,31.17
1940,30.74,30.80,31.99,32.23,32.32,31.72,31.67,31.62,32.30,33.34,33.23,31.80
1941,31.43,31.72,32.09,32.50,32.72,32.46,32.19,32.27,32.83,33.40,32.97,31.78
1942,30.48,30.70,31.39,31.61,31.97,31.37,31.17,31.72,32.12,32.40,32.11,31.09
1943,30.06,30.25,30.68,31.28,31.97,30.80,30.66,31.27,31.95,32.08,32.11,30.85
1944,30.20,30.38,30.81,31.61,31.97,31.28,31.17,31.77,32.10,32.63,32.11,31.04
1945,30.58,30.62,31.00,31.48,31.97,31.37,31.17,31.77,31.95,32.22,32.11,31.09
1946,31.27,30.94,31.18,31.82,31.95,31.27,31.13,31.74,31.95,32.59,32.04,31.36
1947,31.22,30.85,30.97,31.43,31.73,31.06,31.06,31.63,32.10,32.38,32.00,31.37
1948,30.61,30.88,31.59,32.97,32.55,31.82,31.46,32.28,32.64,33.32,32.44,31.99
1949,31.28,31.09,31.82,31.85,31.85,31.48,31.22,32.15,32.42,32.63,32.61,31.57
1950,31.38,31.09,31.29,31.52,31.91,31.43,31.25,31.76,32.19,32.15,32.65,31.21
1951,29.64,29.66,30.93,31.72,31.57,31.55,30.94,31.79,32.21,32.54,32.50,31.21
1952,30.29,30.32,30.89,31.68,31.64,31.44,31.07,31.41,32.29,32.60,31.74,30.97
1953,30.52,30.00,30.64,31.30,31.32,31.48,30.97,32.12,32.19,32.95,32.53,31.48
1954,30.33,30.43,30.96,31.46,31.50,31.05,30.87,31.62,32.09,32.01,31.69,30.63
1955,29.97,30.45,31.00,31.30,32.28,31.14,30.69,30.84,31.95,32.30,31.91,30.59
1956,29.64,30.28,30.98,31.52,31.44,30.95,30.83,31.22,31.94,32.18,31.65,30.54
1957,30.47,30.60,30.86,31.77,31.51,31.63,31.08,31.45,32.16,32.60,32.35,30.65
1958,31.14,30.71,31.25,32.28,32.29,31.69,31.78,31.54,32.56,32.78,31.70,31.18
1959,30.68,31.26,30.98,31.33,31.89,31.20,30.96,31.20,32.10,32.61,31.94,31.34
1960,30.11,30.16,31.19,31.18,32.05,31.42,31.06,32.01,32.31,32.70,31.88,31.04
1961,30.08,30.34,31.11,31.31,31.87,30.99,31.03,31.62,32.12,32.40,31.85,30.80
1962,29.80,30.34,30.46,31.28,31.92,30.90,31.17,30.88,31.87,32.12,31.87,30.83
1963,29.38,29.70,30.87,32.33,31.96,31.44,31.04,31.56,32.07,32.45,32.05,30.93
1964,30.99,30.45,30.78,31.42,31.77,30.99,30.39,31.49,31.79,31.75,31.79,30.36
1965,29.79,30.53,30.67,31.28,31.48,31.17,31.02,31.53,32.08,32.11,32.45,31.25
1966,30.58,30.66,31.08,31.92,31.78,31.08,30.65,31.35,32.31,32.11,31.95,30.89
1967,30.42,29.63,30.91,31.15,31.47,31.11,30.48,31.51,31.95,32.40,31.27,30.34
1968,30.37,30.56,31.35,32.04,31.81,31.40,30.93,31.35,32.15,32.29,32.12,30.89
1969,30.99,30.86,31.82,32.23,31.99,31.26,31.11,31.29,32.08,32.58,31.68,30.69
1970,30.69,30.85,31.57,31.91,31.87,31.19,30.98,31.63,31.86,32.19,31.87,30.87
1971,30.18,29.68,30.96,31.99,32.11,31.15,31.05,31.14,32.60,32.53,31.65,30.65
1972,30.02,30.90,30.86,31.51,31.94,31.40,31.86,32.20,32.26,33.36,32.20,31.19
1973,31.13,31.29,31.00,31.86,31.73,31.37,31.69,31.46,31.79,32.50,32.17,30.55
