,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,29.20,28.95,30.55,30.38,31.04,29.39,30.39,29.74,30.08,30.66,31.16,29.28
1902,28.90,28.85,29.55,29.98,31.04,29.49,29.29,29.94,30.18,30.86,31.16,29.98
1903,30.10,29.35,30.05,29.88,31.04,29.49,29.39,29.94,30.18,29.96,31.16,28.98
1904,28.70,28.55,30.55,29.48,31.04,30.59,30.39,29.44,31.18,29.76,31.16,29.28
1905,29.26,29.25,30.05,29.68,31.04,30.19,29.69,29.84,30.18,31.06,31.16,30.18
1906,29.76,30.25,30.05,30.28,31.04,29.79,29.59,29.84,30.08,29.96,31.16,29.18
1907,28.90,28.95,29.35,29.78,31.04,29.39,29.29,29.54,31.18,30.26,31.16,29.38
1908,29.39,29.35,29.95,30.18,31.04,29.39,30.39,29.84,31.18,30.06,31.16,29.58
1909,29.50,29.35,29.65,30.08,31.04,30.59,29.19,30.04,30.08,30.06,31.16,29.38
1910,29.39,29.55,29.55,29.68,31.04,29.49,29.49,29.74,31.18,29.66,31.16,29.38
1911,29.05,29.28,30.16,30.30,31.10,29.78,29.48,29.79,30.54,30.30,31.34,29.91
1912,29.50,29.84,30.00,31.01,31.10,29.82,29.59,30.52,30.47,30.49,31.27,29.89
1913,29.48,29.81,29.72,30.05,31.10,29.70,29.85,30.18,30.63,30.96,31.28,30.00
1914,29.65,29.86,30.18,30.29,31.23,29.98,29.79,30.25,30.50,31.42,31.36,30.41
1915,29.30,29.49,30.47,30.63,30.76,30.39,30.20,30.58,30.54,30.87,31.34,29.81
1916,28.55,29.12,29.71,30.26,30.43,29.57,29.79,30.14,30.38,30.70,31.31,29.35
1917,28.66,28.96,29.52,29.84,30.46,29.82,30.02,30.44,31.22,31.52,31.31,30.54
1918,28.30,28.83,29.38,30.57,30.93,30.02,29.72,30.08,30.61,31.07,31.31,29.88
1919,29.66,30.01,30.33,30.40,30.71,29.86,29.42,29.96,30.47,30.86,31.28,29.85
1920,28.79,29.18,30.01,30.11,30.94,29.95,30.12,30.29,31.29,31.55,31.36,29.68
1921,29.43,29.44,29.55,30.04,30.27,29.73,29.89,30.54,30.30,30.36,31.25,29.37
1922,29.31,29.01,29.64,30.23,30.38,29.90,29.93,30.24,30.47,30.38,31.36,29.95
1923,29.30,29.68,29.80,30.58,30.69,30.10,29.42,29.50,30.18,31.27,31.28,29.87
1924,29.91,29.73,30.15,30.31,31.19,30.29,30.23,30.70,30.88,29.96,31.16,29.46
1925,29.35,29.05,29.40,30.37,30.91,30.15,29.92,30.56,30.98,30.98,31.25,30.18
1926,29.29,29.86,30.07,31.13,31.34,30.50,30.21,30.85,30.78,30.90,31.26,29.81
1927,29.30,29.95,30.15,30.59,31.03,30.13,30.20,30.67,30.80,30.79,31.23,30.07
