,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,29.91,29.47,30.94,30.78,31.34,29.83,30.70,29.97,30.44,31.09,31.46,29.73
1902,29.63,29.37,29.99,30.41,31.34,29.92,29.69,30.16,30.53,31.28,31.46,30.38
1903,30.71,29.83,30.46,30.32,31.34,29.92,29.78,30.16,30.53,30.45,31.46,29.45
1904,29.44,29.09,30.94,29.95,31.34,30.95,30.70,29.70,31.47,30.26,31.46,29.73
1905,30.00,29.74,30.46,30.13,31.34,30.56,30.06,30.07,30.53,31.46,31.46,30.56
1906,30.46,30.68,30.46,30.69,31.34,30.20,29.96,30.07,30.44,30.45,31.46,29.64
1907,29.63,29.47,29.82,30.23,31.34,29.83,29.69,29.79,31.47,30.73,31.46,29.83
1908,30.10,29.83,30.37,30.60,31.34,29.83,30.70,30.07,31.47,30.54,31.46,30.01
1909,30.21,29.83,30.09,30.51,31.34,30.95,29.59,30.25,30.44,30.54,31.46,29.83
1910,30.10,30.03,29.99,30.13,31.34,29.92,29.86,29.97,31.47,30.17,31.46,29.83
1911,29.73,29.58,30.46,30.53,31.34,30.02,29.62,29.89,30.73,30.55,31.47,30.13
1912,30.01,30.12,30.21,31.25,31.34,30.12,29.81,30.62,30.64,30.74,31.46,30.13
1913,30.11,30.12,29.93,30.33,31.34,30.01,30.08,30.27,30.83,31.21,31.47,30.23
1914,30.31,30.12,30.46,30.52,31.35,30.30,29.99,30.27,30.65,31.65,31.47,30.58
1915,29.91,29.79,30.79,30.90,30.79,30.75,30.50,30.72,30.73,31.11,31.47,30.04
1916,29.19,29.40,30.00,30.50,30.40,29.85,30.10,30.32,30.54,30.93,31.47,29.57
1917,29.31,29.38,29.84,30.10,30.58,30.15,30.30,30.64,31.47,31.80,31.47,30.83
1918,29.10,28.83,29.74,30.70,31.14,30.18,30.00,30.22,30.82,31.38,31.47,30.21
1919,30.31,30.38,30.64,30.70,30.70,30.15,29.70,30.05,30.64,31.11,31.46,30.13
1920,29.41,29.49,29.99,30.40,31.08,30.25,30.40,30.56,31.47,31.80,31.47,30.10
1921,30.11,29.88,29.84,30.30,30.21,30.15,30.20,30.72,30.47,30.64,31.46,29.58
1922,29.91,29.36,29.94,30.60,30.40,30.25,30.20,30.42,30.64,30.64,31.47,30.13
1923,30.01,30.08,30.14,30.90,30.79,30.45,29.71,29.62,30.44,31.57,31.46,30.13
1924,30.59,30.08,30.54,30.60,31.54,30.65,30.50,30.82,31.17,30.45,31.46,29.75
1925,30.10,29.48,29.74,30.70,31.07,30.45,30.20,30.72,31.17,31.30,31.46,30.48
1926,30.01,30.28,30.44,31.40,31.64,30.85,30.50,31.02,31.00,31.21,31.46,30.04
1927,30.01,30.38,30.54,30.97,31.24,30.54,30.50,30.82,31.00,31.11,31.46,30.32
1928,30.71,30.48,30.44,30.90,31.44,30.55,30.30,30.72,30.92,31.11,31.46,30.04
