,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,30.27,29.94,30.93,30.92,31.18,29.89,30.48,30.24,30.92,31.77,32.00,30.40
1902,30.08,29.88,30.29,30.65,31.18,29.95,29.78,30.37,30.98,31.90,32.00,30.84
1903,30.85,30.20,30.61,30.60,31.18,29.95,29.86,30.37,30.98,31.33,32.00,30.21
1904,29.95,29.69,30.93,30.34,31.18,30.65,30.48,30.05,31.62,31.20,32.00,30.40
1905,30.33,30.14,30.61,30.47,31.18,30.40,30.05,30.29,30.98,32.02,32.00,30.98
1906,30.62,30.79,30.61,30.85,31.18,30.13,29.99,30.29,30.92,31.33,32.00,30.34
1907,30.08,29.94,30.17,30.54,31.18,29.89,29.78,30.11,31.62,31.53,32.00,30.46
1908,30.40,30.20,30.55,30.79,31.18,29.89,30.48,30.29,31.62,31.39,32.00,30.59
1909,30.46,30.20,30.35,30.73,31.18,30.65,29.73,30.43,30.92,31.39,32.00,30.46
1910,30.40,30.33,30.29,30.47,31.18,29.95,29.93,30.24,31.62,31.14,32.00,30.46
1911,30.15,30.01,30.61,30.73,31.18,30.01,29.73,30.17,31.10,31.39,32.00,30.65
1912,30.33,30.39,30.41,31.24,31.18,30.08,29.86,30.69,31.05,31.53,32.00,30.65
1913,30.40,30.39,30.23,30.60,31.18,30.01,30.05,30.43,31.18,31.84,32.00,30.72
1914,30.52,30.39,30.61,30.73,31.18,30.21,29.99,30.43,31.05,32.16,32.00,30.98
1915,30.07,29.81,30.72,30.84,30.58,30.46,30.28,30.66,31.10,31.77,32.00,30.59
1916,29.32,29.42,30.29,30.44,30.18,29.55,29.88,30.28,30.98,31.65,32.00,30.27
1917,29.52,29.51,29.83,30.06,30.38,29.85,30.10,30.68,31.62,32.26,32.00,31.15
1918,29.34,28.91,29.73,30.64,30.98,29.85,29.75,30.15,31.18,31.96,32.00,30.72
1919,30.52,30.55,30.63,30.64,30.48,29.89,29.48,29.95,31.05,31.77,32.00,30.65
1920,29.62,29.55,29.93,30.44,30.88,29.99,30.30,30.71,31.62,32.26,32.00,30.65
1921,30.34,30.04,29.83,30.24,29.98,29.95,30.02,30.71,30.92,31.45,32.00,30.27
1922,30.09,29.41,29.87,30.54,30.18,29.95,30.00,30.30,31.05,31.45,32.00,30.65
1923,30.32,30.27,30.14,30.86,30.58,30.15,29.59,29.47,30.92,32.09,32.00,30.65
1924,30.82,30.21,30.53,30.61,31.38,30.41,30.30,30.80,31.44,31.33,32.00,30.40
1925,30.34,29.61,29.73,30.64,30.88,30.15,29.95,30.65,31.44,31.90,32.00,30.91
1926,30.22,30.41,30.43,31.34,31.48,30.55,30.19,31.02,31.30,31.84,32.00,30.59
1927,30.22,30.58,30.55,30.99,31.08,30.28,30.37,30.83,31.30,31.77,32.00,30.77
1928,30.94,30.61,30.43,30.86,31.28,30.37,30.17,30.81,31.24,31.77,32.00,30.59
1929,30.24,30.42,29.94,30.74,30.08,30.05,29.38,30.25,31.37,31.96,32.00,30.53
1930,30.72,30.11,30.64,30.43,31.18,29.85,29.95,30.75,31.44,31.96,32.00,31.04
1931,31.12,30.81,31.00,31.16,31.38,30.74,30.37,30.96,31.49,31.84,32.00,30.72
1932,30.47,30.02,30.13,30.64,31.18,30.11,30.18,30.62,31.37,31.96,32.00,30.65
