,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,30.12,29.97,30.76,30.50,30.92,30.21,30.70,30.41,30.46,30.86,30.88,30.11
1902,30.01,29.93,30.37,30.35,30.92,30.25,30.29,30.49,30.50,30.94,30.88,30.37
1903,30.47,30.12,30.56,30.31,30.92,30.25,30.32,30.49,30.50,30.60,30.88,29.99
1904,29.93,29.81,30.76,30.16,30.92,30.67,30.70,30.29,30.88,30.51,30.88,30.11
1905,30.17,30.09,30.56,30.23,30.92,30.52,30.44,30.45,30.50,31.02,30.88,30.45
1906,30.33,30.46,30.56,30.46,30.92,30.36,30.40,30.45,30.46,30.60,30.88,30.07
1907,30.01,29.97,30.30,30.27,30.92,30.21,30.29,30.33,30.88,30.71,30.88,30.15
1908,30.20,30.12,30.53,30.42,30.91,30.21,30.70,30.45,30.88,30.63,30.88,30.22
1909,30.24,30.12,30.41,30.38,30.92,30.67,30.25,30.53,30.46,30.63,30.88,30.15
1910,30.20,30.20,30.37,30.23,30.91,30.25,30.36,30.41,30.88,30.48,30.88,30.15
1911,30.21,30.42,30.78,30.70,31.08,30.64,30.74,30.66,30.87,30.96,31.41,30.64
1912,30.64,30.60,30.93,30.91,31.08,30.52,30.63,30.86,30.84,31.04,31.21,30.62
1913,30.44,30.55,30.84,30.51,31.08,30.45,30.69,30.82,30.89,31.22,31.29,30.69
1914,30.49,30.65,30.83,30.68,31.48,30.54,30.72,30.94,30.96,31.36,31.48,30.90
1915,30.39,30.40,30.86,30.77,31.02,30.81,30.70,31.03,30.87,31.18,31.41,30.60
1916,30.08,30.30,30.68,30.63,30.77,30.41,30.42,30.67,30.85,31.15,31.33,30.46
1917,30.03,30.02,30.45,30.44,30.54,30.44,30.65,30.71,31.00,31.36,31.33,30.76
1918,29.67,29.64,30.44,30.54,30.80,30.37,30.59,30.73,30.84,31.11,31.33,30.41
1919,30.55,30.64,30.94,30.74,31.03,30.64,30.45,30.75,30.87,31.15,31.24,30.52
1920,30.18,30.26,30.79,30.60,31.03,30.67,30.78,30.75,31.20,31.44,31.48,30.26
1921,30.39,30.27,30.53,30.53,30.62,30.32,30.63,30.88,30.85,30.92,31.13,30.51
1922,30.47,30.18,30.48,30.44,30.63,30.47,30.64,30.65,30.87,30.96,31.48,30.74
1923,30.32,30.45,30.60,30.77,30.85,30.62,30.43,30.40,30.58,31.19,31.24,30.57
1924,30.63,30.45,30.64,30.62,30.93,30.56,30.76,30.99,30.77,30.60,30.92,30.36
1925,30.30,29.97,30.34,30.59,30.97,30.67,30.67,30.89,30.93,31.08,31.13,30.55
1926,30.27,30.49,30.76,31.02,31.18,30.73,30.74,30.99,30.86,31.08,31.17,30.60
1927,30.31,30.43,30.79,30.67,30.93,30.59,30.74,30.93,30.89,30.99,31.08,30.66
1928,30.57,30.44,30.66,30.65,31.06,30.62,30.69,30.83,30.86,31.06,31.00,30.62
1929,30.28,30.29,30.36,30.66,30.81,30.40,30.55,30.79,30.89,31.09,30.88,30.45
1930,30.49,30.36,30.68,30.60,30.93,30.47,30.82,31.16,30.99,31.13,31.17,30.77
1931,30.73,30.78,30.99,30.85,31.13,30.82,30.75,31.21,30.96,31.11,31.16,30.46
1932,30.30,30.34,30.50,30.52,30.84,30.40,30.67,30.80,30.84,31.17,30.89,30.58
1933,30.53,30.23,30.55,30.55,31.03,30.63,30.66,31.10,30.65,30.96,30.81,30.36
1934,30.08,29.96,30.25,30.40,30.83,30.48,30.69,30.82,30.84,31.05,31.05,30.60
1935,30.48,30.55,30.87,30.55,30.81,30.37,30.62,30.69,30.98,31.13,31.17,30.72
1936,30.48,30.64,30.73,30.61,31.02,30.53,30.70,30.83,30.90,30.93,31.05,30.71
1937,30.42,30.59,30.98,30.65,30.72,30.56,30.63,30.89,30.89,31.01,31.13,30.59
1938,30.56,30.69,30.75,30.69,30.85,30.53,30.64,30.60,30.90,31.17,31.13,30.64
1939,30.57,30.46,30.71,30.68,30.79,30.36,30.75,30.85,30.72,30.96,31.13,30.63
1940,30.40,30.41,30.70,30.63,30.42,30.46,31.27,30.70,31.17,31.48,31.12,31.11
1941,31.39,31.49,31.55,31.50,31.49,31.65,31.24,31.55,31.25,31.85,31.24,30.88
1942,30.59,30.61,30.92,30.64,30.99,30.75,30.41,30.73,30.85,31.02,30.88,30.56
1943,30.08,30.16,30.45,30.42,30.92,30.33,30.36,30.57,30.73,30.83,30.88,30.41
1944,30.42,30.36,30.72,30.47,30.60,30.46,30.39,30.62,30.81,31.15,30.88,30.54
1945,30.58,30.46,30.67,30.60,30.80,30.31,30.39,30.71,30.73,30.91,30.88,30.56
1946,30.73,30.31,30.76,30.67,30.57,30.72,30.98,31.31,30.77,31.16,30.88,30.68
1947,30.80,30.68,30.73,30.40,30.99,30.72,30.63,30.84,30.81,31.06,30.88,30.83
1948,29.83,30.55,30.96,30.94,31.22,30.99,30.77,30.89,31.05,31.44,31.08,30.92
1949,30.70,30.65,30.84,30.70,30.71,30.56,30.51,30.73,30.80,31.15,31.23,31.20
1950,31.23,30.55,31.09,30.68,30.86,30.80,30.97,30.51,31.14,30.89,30.88,30.70
1951,31.03,30.50,31.13,30.84,31.01,31.00,30.37,31.16,30.88,30.96,31.72,31.02
1952,31.03,31.03,30.90,31.10,30.79,30.87,30.86,31.02,31.00,31.08,30.62,30.69
1953,31.14,30.90,31.45,31.33,31.02,30.94,30.53,31.69,31.12,31.52,31.32,31.57
1954,31.78,31.35,31.61,31.12,31.45,30.53,30.76,31.06,31.06,30.87,30.70,30.98
1955,31.18,30.58,31.02,31.17,31.24,30.77,30.63,30.54,30.60,31.46,30.78,30.59
1956,30.63,30.72,30.91,31.25,30.92,30.29,30.25,30.66,30.66,30.66,30.38,30.10
1957,30.25,30.38,30.63,30.95,30.86,30.85,30.93,31.12,30.99,31.48,31.25,31.10
1958,31.29,30.80,31.35,31.39,31.24,30.87,30.94,30.57,31.01,31.11,30.41,30.24
1959,30.43,31.03,30.99,30.80,30.68,29.98,30.61,30.68,30.63,31.16,30.96,30.75
1960,30.52,30.29,31.21,30.86,31.08,30.58,30.30,31.31,30.87,31.34,30.74,31.02
1961,30.45,30.30,30.73,30.48,30.98,30.22,30.66,30.76,30.63,30.96,31.15,30.62
1962,29.70,29.36,30.20,30.15,30.72,30.23,30.89,30.05,30.57,30.89,30.58,29.91
1963,28.42,28.64,29.49,30.45,30.14,31.00,30.52,30.21,30.96,30.96,31.20,30.75
1964,31.27,30.42,30.50,30.18,30.84,30.12,29.78,30.69,30.48,30.68,30.16,29.94
1965,29.63,30.26,30.00,30.12,30.31,30.46,30.86,30.19,30.71,30.93,31.42,31.02
1966,31.14,30.71,31.17,30.87,31.21,30.13,30.13,30.14,31.10,30.84,30.94,30.91
1967,30.48,30.08,30.22,30.49,30.50,30.28,30.48,31.11,30.83,31.15,30.73,30.12
1968,30.10,30.10,30.12,30.41,30.79,30.52,30.23,30.71,31.13,30.84,31.06,30.63
1969,31.23,30.79,30.94,30.65,30.74,30.31,30.47,30.16,31.09,30.94,30.65,29.98
1970,30.49,30.75,31.22,30.42,30.67,30.35,30.16,30.42,30.52,31.10,30.49,30.59
1971,30.08,29.74,30.75,30.79,31.27,30.72,30.93,30.08,31.00,31.12,30.57,30.48
1972,30.02,30.77,30.66,30.61,31.17,30.71,31.94,31.27,31.11,31.75,31.58,31.91
1973,31.43,31.38,31.16,31.23,31.00,30.79,31.22,30.95,30.62,31.55,30.99,30.21
1974,30.13,29.73,30.70,30.93,30.69,30.42,30.24,31.17,30.37,31.19,31.27,31.17
1975,31.34,30.74,31.09,31.14,31.02,30.66,30.64,31.45,30.68,31.25,30.85,30.63
1976,28.97,30.36,30.55,30.49,31.03,30.40,30.68,30.62,31.37,31.01,30.79,30.78
1977,30.27,29.17,29.80,30.57,30.87,30.55,30.61,30.62,31.36,31.17,30.88,30.60
