,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,29.40,29.41,29.18,30.49,30.58,30.12,30.03,30.35,30.54,31.18,30.64,29.62
1902,29.36,29.41,29.07,30.44,30.58,30.14,29.90,30.38,30.56,31.22,30.64,29.72
1903,29.48,29.47,29.13,30.43,30.58,30.14,29.92,30.38,30.56,31.10,30.64,29.60
1904,29.34,29.38,29.18,30.38,30.58,30.26,30.03,30.32,30.67,31.07,30.64,29.62
1905,29.41,29.46,29.13,30.40,30.58,30.23,29.95,30.37,30.56,31.24,30.64,29.75
1906,29.45,29.56,29.13,30.48,30.58,30.18,29.94,30.37,30.54,31.10,30.64,29.62
1907,29.36,29.41,29.03,30.42,30.58,30.12,29.90,30.33,30.67,31.13,30.64,29.64
1908,29.42,29.47,29.12,30.46,30.58,30.12,30.03,30.37,30.67,31.11,30.64,29.67
1909,29.44,29.47,29.08,30.45,30.58,30.26,29.89,30.40,30.54,31.11,30.64,29.64
1910,29.42,29.50,29.07,30.40,30.58,30.14,29.93,30.35,30.67,31.06,30.64,29.64
1911,29.37,29.43,29.13,30.45,30.58,30.16,29.89,30.34,30.59,31.11,30.64,29.68
1912,29.41,29.51,29.09,30.56,30.58,30.17,29.92,30.44,30.57,31.13,30.64,29.68
1913,29.42,29.51,29.05,30.43,30.58,30.16,29.95,30.40,30.60,31.19,30.64,29.69
1914,29.45,29.51,29.13,30.45,30.58,30.19,29.94,30.40,30.57,31.27,30.64,29.75
1915,28.94,28.73,28.93,30.21,30.15,30.22,29.87,30.34,30.59,31.18,30.64,29.67
1916,28.44,28.42,29.07,29.85,29.84,29.43,29.62,30.09,30.56,31.16,30.64,29.61
1917,28.65,28.64,28.28,29.65,30.00,29.66,29.79,30.44,30.67,31.27,30.64,29.77
1918,28.60,28.20,28.26,29.99,30.48,29.66,29.44,29.91,30.60,31.22,30.64,29.69
1919,29.41,29.53,28.97,30.10,30.07,29.76,29.26,29.77,30.57,31.18,30.64,29.68
1920,28.72,28.55,28.42,30.05,30.38,29.85,30.03,30.70,30.67,31.27,30.64,29.68
1921,29.31,29.19,28.28,29.75,29.69,29.88,29.82,30.45,30.54,31.12,30.64,29.61
1922,28.99,28.53,28.25,29.97,29.84,29.79,29.71,29.94,30.57,31.12,30.64,29.68
1923,29.40,29.34,28.62,30.31,30.15,29.93,29.50,29.28,30.54,31.25,30.64,29.68
1924,29.55,29.12,28.87,30.14,30.77,30.21,29.93,30.43,30.65,31.10,30.64,29.62
1925,29.35,28.71,28.27,30.10,30.38,29.82,29.60,30.28,30.65,31.22,30.64,29.73
1926,29.17,29.38,28.85,30.56,30.84,30.16,29.75,30.64,30.62,31.19,30.64,29.67
1927,29.17,29.57,28.99,30.51,30.52,30.13,30.04,30.48,30.62,31.18,30.64,29.71
1928,29.75,29.55,28.79,30.31,30.68,30.23,29.90,30.67,30.61,31.18,30.64,29.67
1929,29.23,29.38,28.43,30.13,29.78,29.80,29.14,29.93,30.63,31.22,30.64,29.66
1930,29.55,29.11,28.98,29.89,30.58,29.61,29.60,30.29,30.65,31.22,30.64,29.77
1931,29.82,29.57,29.37,30.48,30.77,30.49,30.04,30.58,30.67,31.19,30.64,29.69
1932,29.45,29.09,28.57,30.05,30.58,29.97,29.80,30.12,30.63,31.22,30.64,29.68
1933,29.77,28.89,28.65,30.04,30.68,30.05,29.66,31.27,30.54,31.17,30.64,29.68
1934,29.38,28.81,28.35,29.91,30.07,29.95,29.98,30.14,30.57,31.22,30.64,29.68
1935,29.57,29.56,29.15,30.04,30.58,29.66,29.35,29.75,30.62,31.19,30.64,29.77
1936,29.42,29.44,28.90,30.10,30.68,30.05,29.73,30.48,30.65,31.19,30.64,29.75
1937,29.12,29.66,29.28,30.19,30.15,29.61,29.28,29.67,30.63,31.19,30.64,29.69
1938,29.93,29.66,29.08,30.36,30.52,29.53,29.71,29.93,30.65,31.24,30.64,29.71
1939,29.94,29.86,28.81,30.27,29.92,29.45,30.17,30.48,30.62,31.18,30.64,29.73
1940,29.78,29.46,28.65,29.86,29.59,29.51,29.93,29.85,30.79,31.39,30.67,29.88
1941,30.17,29.96,29.72,30.95,30.98,30.45,29.68,30.23,30.75,31.53,30.64,29.77
1942,30.29,30.15,29.55,30.44,30.77,30.54,29.11,30.12,30.67,31.24,30.64,29.77
1943,29.39,29.48,29.09,30.46,30.58,30.17,29.93,30.40,30.63,31.17,30.64,29.73
1944,30.04,29.65,29.45,29.83,29.84,29.60,29.04,29.67,30.67,31.27,30.64,29.77
1945,30.16,29.76,29.08,30.41,30.30,29.02,29.04,30.00,30.63,31.19,30.64,29.77
1946,29.93,28.87,29.18,30.34,29.78,30.46,31.02,31.92,30.65,31.27,30.64,29.80
1947,30.26,30.13,28.98,29.53,30.77,30.46,30.03,30.48,30.67,31.25,30.64,29.85
1948,27.36,29.56,29.18,30.14,31.06,30.84,29.93,29.73,30.67,31.30,30.64,29.77
