,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,29.75,29.61,29.95,30.11,30.00,29.33,29.38,29.18,29.39,30.07,30.38,29.77
1902,29.66,29.58,29.65,29.98,30.00,29.37,29.05,29.24,29.41,30.14,30.38,29.98
1903,30.02,29.73,29.81,29.96,30.00,29.37,29.09,29.24,29.41,29.86,30.38,29.67
1904,29.60,29.48,29.95,29.83,30.00,29.69,29.38,29.09,29.71,29.80,30.38,29.77
1905,29.79,29.70,29.81,29.89,30.00,29.58,29.18,29.21,29.41,30.20,30.38,30.04
1906,29.91,29.99,29.81,30.07,30.00,29.46,29.14,29.21,29.39,29.86,30.38,29.74
1907,29.66,29.60,29.59,29.92,30.00,29.33,29.05,29.12,29.71,29.96,30.38,29.80
1908,29.82,29.73,29.77,30.04,30.00,29.33,29.38,29.21,29.71,29.89,30.38,29.86
1909,29.85,29.73,29.69,30.01,30.00,29.69,29.03,29.28,29.39,29.89,30.38,29.80
1910,29.82,29.79,29.65,29.89,30.00,29.37,29.12,29.18,29.71,29.77,30.38,29.80
1911,29.74,29.74,29.86,30.09,30.03,29.48,29.14,29.23,29.55,29.98,30.46,29.98
1912,29.89,29.90,29.83,30.30,30.03,29.48,29.16,29.44,29.52,30.04,30.43,29.98
1913,29.87,29.90,29.74,30.01,30.03,29.44,29.24,29.35,29.58,30.18,30.44,30.01
1914,29.92,29.91,29.87,30.09,30.09,29.52,29.23,29.37,29.55,30.31,30.47,30.13
1915,29.60,29.45,29.84,30.05,29.72,29.66,29.26,29.43,29.55,30.15,30.46,29.95
1916,29.19,29.22,29.73,29.80,29.46,29.07,29.03,29.17,29.50,30.10,30.45,29.82
1917,29.29,29.25,29.31,29.60,29.52,29.23,29.20,29.41,29.73,30.33,30.45,30.15
1918,29.15,28.87,29.25,29.86,29.91,29.21,28.96,29.09,29.57,30.20,30.45,29.95
1919,29.92,29.95,29.84,29.96,29.67,29.32,28.80,29.00,29.53,30.15,30.44,29.95
1920,29.38,29.29,29.44,29.86,29.89,29.38,29.35,29.51,29.76,30.35,30.47,29.88
1921,29.81,29.64,29.33,29.69,29.33,29.29,29.17,29.45,29.48,29.99,30.42,29.82
1922,29.64,29.23,29.31,29.82,29.44,29.31,29.14,29.13,29.53,30.01,30.47,30.00
1923,29.82,29.79,29.53,30.09,29.69,29.43,28.91,28.63,29.43,30.26,30.44,29.97
1924,30.05,29.69,29.71,29.94,30.14,29.60,29.32,29.49,29.63,29.86,30.38,29.84
1925,29.80,29.30,29.25,29.92,29.87,29.41,29.08,29.38,29.67,30.17,30.42,30.04
1926,29.69,29.84,29.71,30.36,30.23,29.64,29.23,29.62,29.61,30.15,30.42,29.95
1927,29.70,29.94,29.79,30.18,29.99,29.53,29.36,29.50,29.62,30.11,30.41,30.03
1928,30.16,29.94,29.67,30.06,30.10,29.60,29.25,29.54,29.59,30.13,30.40,29.95
1929,29.74,29.81,29.37,29.97,29.41,29.31,28.77,29.13,29.64,30.19,30.38,29.90
1930,30.01,29.64,29.80,29.80,30.00,29.23,29.11,29.46,29.68,30.20,30.42,30.13
1931,30.25,30.08,30.07,30.26,30.17,29.81,29.36,29.63,29.70,30.16,30.42,29.96
1932,29.86,29.61,29.49,29.89,30.00,29.40,29.21,29.30,29.63,30.21,30.38,29.97
1933,30.16,29.48,29.55,29.88,30.10,29.50,29.13,29.99,29.45,30.08,30.38,29.92
1934,29.80,29.37,29.29,29.78,29.64,29.42,29.31,29.28,29.52,30.19,30.40,29.97
1935,29.99,29.99,29.92,29.88,30.00,29.21,28.91,29.02,29.64,30.16,30.42,30.12
1936,29.88,29.92,29.77,29.92,30.10,29.48,29.17,29.49,29.67,30.12,30.40,30.10
1937,29.72,30.07,30.06,29.99,29.66,29.24,28.89,29.07,29.64,30.13,30.42,29.99
1938,30.21,30.06,29.90,30.13,29.96,29.17,29.12,29.09,29.67,30.23,30.41,30.02
1939,30.23,30.08,29.70,30.06,29.53,29.10,29.41,29.49,29.59,30.11,30.42,30.06
1940,30.06,29.85,29.59,29.85,29.16,29.15,29.58,29.13,29.94,30.51,30.46,30.42
1941,30.81,30.67,30.60,30.84,30.49,30.23,29.43,29.71,29.89,30.74,30.44,30.17
1942,30.46,30.36,30.23,30.17,30.16,29.87,28.77,29.28,29.70,30.20,30.38,30.12
1943,29.72,29.76,29.72,30.04,30.00,29.43,29.12,29.31,29.60,30.04,30.38,30.01
1944,30.24,29.95,30.06,29.78,29.40,29.25,28.72,29.00,29.66,30.30,30.38,30.11
1945,30.40,30.08,29.86,30.13,29.78,28.88,28.72,29.22,29.60,30.11,30.38,30.12
1946,30.39,29.57,29.95,30.14,29.35,29.82,30.01,30.48,29.63,30.30,30.38,30.22
1947,30.58,30.39,29.85,29.61,30.16,29.82,29.33,29.52,29.66,30.23,30.38,30.34
1948,28.37,29.98,29.98,30.05,30.40,30.07,29.32,29.09,29.73,30.43,30.41,30.21
1949,30.25,30.16,29.69,29.95,29.58,29.29,28.83,29.00,29.41,30.25,30.42,30.37
1950,30.53,29.84,30.22,30.13,29.90,29.74,29.24,29.03,29.87,30.09,29.94,29.92
1951,30.44,29.99,30.17,30.22,29.89,29.90,28.98,29.51,29.75,30.20,31.23,30.42
1952,30.66,30.56,29.81,30.44,29.70,29.64,29.32,29.46,29.82,30.08,29.83,30.17
1953,30.57,30.33,30.53,30.71,29.97,29.88,29.06,29.73,29.94,30.63,30.45,30.85
1954,31.12,30.57,30.50,30.64,30.54,29.64,29.38,29.42,29.90,29.88,29.77,30.38
1955,30.68,30.01,30.00,30.46,30.24,29.69,29.22,29.35,29.55,30.41,29.80,30.17
1956,30.12,30.21,30.03,30.61,30.06,29.40,28.99,29.41,29.50,29.79,29.92,29.66
1957,29.88,29.83,29.84,30.54,30.10,29.85,29.56,29.62,29.61,30.57,30.71,30.56
1958,30.90,30.24,30.54,30.77,30.39,29.95,29.46,29.37,29.60,30.12,29.73,29.81
1959,29.95,30.44,29.96,30.29,30.10,29.10,29.12,29.23,29.44,30.41,30.56,30.04
1960,30.04,29.93,30.19,30.21,29.92,29.56,29.12,29.83,29.77,30.45,30.15,30.53
1961,30.00,30.02,30.08,30.29,29.99,29.31,29.05,29.11,29.37,30.17,30.58,30.33
1962,29.44,29.14,29.55,29.85,29.75,29.48,29.52,29.00,29.54,30.23,30.29,29.74
1963,28.62,28.85,29.05,30.31,29.45,29.84,29.10,28.83,29.65,30.29,30.90,30.36
1964,30.75,30.16,29.83,29.93,30.00,29.28,28.80,29.38,29.51,29.78,29.63,29.69
1965,29.35,29.83,29.48,29.87,29.51,29.54,29.34,28.99,29.54,30.31,31.01,30.60
1966,30.62,30.17,30.27,30.46,30.33,29.36,28.99,29.16,29.96,30.20,30.50,30.22
1967,29.93,29.81,29.60,30.06,29.78,29.33,29.15,29.73,29.62,30.32,30.42,29.87
1968,29.86,29.63,29.59,29.94,29.89,29.69,29.10,29.37,29.91,30.09,30.55,30.22
1969,30.70,30.41,30.23,30.28,30.07,29.53,29.36,29.19,29.87,30.27,30.48,29.81
1970,30.27,30.37,30.39,30.05,29.94,29.59,29.07,29.28,29.55,30.40,30.15,30.07
1971,29.63,29.39,29.82,30.10,30.25,29.60,29.34,29.05,29.76,30.17,29.86,30.06
1972,29.60,30.19,29.84,30.29,30.24,29.71,30.19,29.88,29.90,30.71,31.17,31.28
1973,30.91,30.81,30.45,30.79,30.17,29.99,29.92,29.88,29.67,30.72,30.36,29.98
1974,29.68,29.37,29.79,30.49,29.93,29.57,28.95,29.68,29.56,30.29,30.51,30.43
1975,30.56,30.17,30.13,30.47,30.05,29.75,29.54,29.98,29.63,30.27,30.25,30.15
1976,28.87,29.80,29.72,30.35,30.11,29.41,29.21,29.31,29.92,30.18,30.22,30.35
1977,29.86,29.10,29.36,30.10,29.97,29.49,29.19,29.21,29.86,30.41,30.49,30.09
1978,29.91,29.93,29.86,30.34,29.98,29.63,29.19,29.65,29.67,30.34,30.09,29.86
1979,30.04,30.37,30.07,30.53,30.40,29.62,29.45,29.95,29.64,30.50,30.45,29.94
1980,29.76,30.04,30.21,30.26,30.36,29.70,29.92,29.52,30.07,30.55,30.59,30.02
1981,29.78,30.11,30.21,30.38,30.42,30.38,29.86,30.92,29.85,30.58,30.57,29.90
1982,29.62,30.11,30.18,30.34,30.02,30.00,29.77,29.71,30.07,30.34,31.16,30.96
1983,30.67,30.93,30.80,30.97,30.26,30.13,29.65,29.89,29.81,30.40,29.83,29.87
1984,29.61,29.51,29.67,30.00,29.44,29.58,29.01,29.76,29.23,29.93,29.92,29.96
1985,30.17,30.36,29.92,30.33,30.06,30.05,28.95,29.54,29.47,30.09,30.37,30.10
1986,29.58,30.03,29.87,30.11,30.29,29.80,29.64,29.74,29.89,30.12,30.02,30.20
1987,29.66,29.99,30.40,30.79,30.35,30.31,29.99,29.67,30.08,30.42,30.70,30.10
1988,30.25,30.33,30.36,30.73,30.21,29.94,29.27,29.11,29.53,30.47,29.87,29.38
1989,30.19,29.49,29.86,30.29,29.90,29.55,29.71,29.82,29.77,30.15,30.22,30.12
1990,29.86,30.28,30.09,30.64,30.38,30.21,29.58,30.03,29.95,30.53,30.74,30.16
1991,30.17,30.08,30.29,30.53,29.89,30.20,29.79,29.79,29.83,30.21,30.18,30.18
1992,30.11,30.24,30.46,30.76,30.00,29.88,29.37,30.10,29.84,30.03,29.97,29.88
1993,30.17,30.22,30.04,30.40,29.73,29.95,29.54,29.89,29.50,30.15,30.58,30.54
1994,30.39,30.53,29.78,30.51,29.95,29.65,29.71,29.56,30.16,30.16,30.68,30.58
1995,30.39,30.10,29.92,30.25,30.12,30.05,29.56,29.24,29.83,30.54,30.23,30.15
1996,29.77,29.46,30.01,30.40,30.48,29.68,30.11,29.60,30.19,30.22,30.62,30.27
1997,30.21,30.00,30.61,30.31,29.99,30.13,29.53,30.21,29.67,30.32,30.76,31.07
