,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,29.13,29.65,30.08,30.64,30.73,30.60,30.26,30.41,30.60,30.32,30.08,29.61
1902,29.13,29.65,30.08,30.64,30.73,30.60,30.26,30.41,30.60,30.32,30.08,29.61
1903,29.13,29.64,30.07,30.63,30.73,30.60,30.25,30.40,30.59,30.30,30.06,29.59
1904,29.10,29.61,30.05,30.60,30.68,30.57,30.25,30.37,30.60,30.29,30.04,29.58
1905,29.11,29.62,30.07,30.64,30.73,30.59,30.32,30.38,30.58,30.22,30.04,29.66
1906,29.12,29.65,30.08,30.64,30.73,30.58,30.25,30.39,30.58,30.29,30.05,29.61
1907,28.94,29.22,29.73,30.34,30.71,30.59,30.24,30.38,30.57,30.17,30.05,29.65
1908,29.26,29.84,30.09,30.51,30.52,30.58,29.99,30.40,30.59,30.31,30.05,29.62
1909,29.20,29.70,30.07,30.44,30.71,30.60,30.25,30.40,30.58,30.31,29.79,29.45
1910,29.13,29.65,30.07,30.51,30.52,30.59,30.26,30.12,30.39,30.26,29.93,29.70
1911,29.36,29.76,30.22,30.51,30.52,30.40,29.97,30.18,30.38,30.13,29.98,29.65
1912,29.17,29.74,30.08,30.52,30.73,30.37,30.25,30.11,30.31,30.14,30.00,29.68
1913,29.33,29.82,30.10,30.54,30.70,30.59,30.07,30.15,30.37,30.30,30.06,29.80
1914,29.10,29.63,30.08,30.64,30.72,30.59,30.26,30.40,30.55,30.27,30.08,29.72
1915,29.15,29.68,30.15,30.55,30.55,30.38,30.25,30.41,30.60,30.14,30.17,29.72
1916,29.22,29.74,30.13,30.65,30.51,30.33,29.93,30.21,30.44,30.29,30.14,29.66
1917,29.14,29.59,29.97,30.44,30.51,30.33,30.21,30.22,30.55,30.30,30.14,29.77
1918,28.96,29.46,29.95,30.52,30.54,30.36,30.13,30.30,30.57,30.28,30.06,29.61
1919,29.20,29.72,30.05,30.54,30.50,30.41,29.83,30.26,30.39,30.10,29.83,29.44
1920,28.94,29.42,29.89,30.34,30.69,30.54,30.27,30.47,30.59,30.30,29.78,29.45
1921,28.98,29.56,29.83,30.21,30.56,30.28,30.24,30.15,30.60,30.04,30.00,29.49
1922,29.01,29.51,29.72,30.27,30.59,30.53,30.21,29.99,30.36,30.31,29.88,29.65
1923,29.10,29.64,29.78,30.61,30.64,30.32,30.19,29.95,30.60,30.03,29.87,29.51
1924,29.10,29.54,29.78,30.59,30.75,30.60,29.96,30.09,30.41,30.13,29.94,29.63
1925,29.15,29.47,29.66,30.31,30.68,30.26,30.19,30.38,30.60,30.12,29.86,29.38
1926,28.80,29.66,30.06,30.55,30.77,30.31,30.21,30.43,30.60,30.05,29.93,29.46
1927,29.04,29.70,29.93,30.50,30.71,30.59,30.26,30.13,30.61,30.15,30.05,29.74
1928,29.38,29.68,30.00,30.52,30.73,30.34,30.25,30.28,30.48,30.17,29.90,29.61
1929,29.22,29.56,29.82,30.40,30.58,30.30,29.84,30.03,30.41,30.11,29.92,29.73
1930,29.25,29.77,30.11,30.45,30.49,30.21,30.06,30.19,30.39,30.25,30.00,29.66
1931,29.27,29.71,30.08,30.60,30.77,30.44,30.27,30.23,30.60,30.11,30.02,29.60
1932,29.05,29.60,30.02,30.57,30.71,30.57,30.23,30.35,30.37,30.16,29.97,29.51
1933,29.15,29.52,29.81,30.57,30.74,30.38,29.91,30.56,30.37,30.06,30.08,29.88
1934,29.20,29.56,29.89,30.39,30.52,30.35,30.26,30.36,30.46,30.15,29.90,29.61
1935,29.21,29.72,30.00,30.55,30.55,30.51,30.16,30.06,30.41,30.15,29.90,29.66
1936,29.22,29.90,29.98,30.39,30.74,30.36,30.22,30.40,30.35,30.06,29.88,29.59
1937,29.11,29.72,30.06,30.34,30.65,30.29,29.90,30.01,30.60,30.15,29.90,29.47
1938,29.05,29.60,29.89,30.60,30.71,30.46,30.22,30.34,30.61,30.03,29.82,29.43
1939,29.03,29.54,29.81,30.61,30.60,30.48,30.31,30.41,30.35,30.06,29.90,29.44
1940,29.13,29.12,29.58,30.49,30.38,30.28,30.48,30.33,30.75,30.34,29.99,29.90
1941,29.92,30.33,30.52,31.17,31.24,31.28,30.52,30.94,30.68,30.82,30.08,29.61
1942,29.28,29.76,30.14,30.63,30.75,30.65,30.10,30.34,30.60,30.32,30.08,29.61
1943,29.13,29.65,30.08,30.64,30.73,30.60,30.26,30.41,30.60,30.32,30.08,29.61
1944,29.24,29.67,30.14,30.52,30.61,30.48,30.08,30.26,30.60,30.32,30.08,29.61
1945,29.25,29.69,30.08,30.63,30.69,30.38,30.08,30.32,30.60,30.32,30.08,29.61
1946,29.19,29.52,30.08,30.61,30.60,30.64,30.45,30.67,30.60,30.32,30.08,29.61
1947,29.28,29.75,30.06,30.47,30.75,30.66,30.29,30.43,30.63,30.33,30.08,29.61
1948,28.79,29.64,30.05,30.58,30.80,30.71,30.25,30.26,30.59,30.32,30.05,29.60
