,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,29.93,30.18,30.93,30.93,31.26,30.50,30.45,30.12,30.38,30.87,31.16,30.24
1902,29.82,30.16,30.61,30.81,31.26,30.53,30.11,30.17,30.41,30.94,31.16,30.46
1903,30.20,30.31,30.77,30.76,31.26,30.53,30.14,30.17,30.41,30.64,31.16,30.15
1904,29.77,30.06,30.93,30.65,31.26,30.88,30.45,30.01,30.73,30.58,31.16,30.24
1905,29.95,30.28,30.77,30.71,31.26,30.76,30.24,30.15,30.41,31.00,31.16,30.52
1906,30.10,30.59,30.77,30.90,31.26,30.62,30.20,30.15,30.38,30.64,31.16,30.21
1907,29.82,30.18,30.55,30.74,31.26,30.50,30.11,30.05,30.73,30.73,31.16,30.27
1908,30.00,30.31,30.74,30.86,31.26,30.50,30.45,30.15,30.73,30.68,31.16,30.34
1909,30.02,30.31,30.65,30.83,31.26,30.88,30.07,30.19,30.38,30.68,31.16,30.27
1910,30.00,30.37,30.61,30.71,31.26,30.53,30.17,30.12,30.73,30.54,31.16,30.27
1911,30.07,31.06,31.27,31.43,31.64,31.24,31.14,30.49,31.05,31.18,32.40,31.26
1912,31.23,31.32,31.85,31.67,31.64,30.82,30.68,30.75,31.03,31.31,31.93,31.18
1913,30.60,31.18,31.72,30.96,31.64,30.66,30.74,30.77,31.08,31.61,32.11,31.33
1914,30.64,31.48,31.40,31.37,32.59,30.80,30.86,31.15,31.40,31.81,32.58,31.77
1915,30.77,31.22,31.46,31.60,32.03,31.50,30.61,31.37,31.05,31.51,32.40,31.16
1916,30.30,31.20,31.16,31.45,31.46,30.85,30.00,30.38,31.09,31.55,32.21,30.97
1917,29.92,30.12,30.79,31.11,30.51,30.70,30.55,30.20,31.00,31.58,32.21,31.09
1918,28.78,29.14,30.86,30.94,30.99,30.40,30.67,30.76,30.94,31.16,32.21,30.46
1919,30.93,31.42,31.81,31.66,32.11,31.38,30.44,30.97,31.12,31.44,32.01,30.90
1920,30.37,30.96,31.78,31.33,31.84,31.40,30.87,30.29,31.50,31.77,32.58,30.38
1921,30.50,30.54,31.07,31.25,31.06,30.50,30.54,30.82,31.14,30.97,31.73,31.12
1922,31.04,30.78,30.86,30.70,30.99,30.70,30.61,30.36,31.12,31.13,32.58,31.55
1923,30.28,30.96,31.02,31.61,31.46,31.09,30.22,30.13,30.34,31.32,32.01,31.02
1924,30.71,30.86,30.72,31.25,31.06,30.63,30.88,31.19,30.63,30.57,31.14,30.54
1925,30.29,29.87,30.48,31.20,31.86,31.50,30.79,31.18,31.29,31.20,32.01,30.93
1926,30.25,31.36,31.79,32.26,31.94,31.29,31.05,31.17,31.14,31.34,32.11,31.16
1927,30.27,30.79,31.43,31.07,31.59,31.02,30.71,31.10,31.15,31.05,31.80,31.34
1928,30.81,30.54,31.09,31.28,31.80,31.11,30.92,30.72,31.24,31.32,31.60,31.23
1929,30.38,30.21,30.08,31.50,31.71,30.61,30.99,31.21,31.19,31.50,31.28,31.03
1930,30.80,31.20,30.79,31.67,31.34,31.16,31.50,32.06,31.40,31.15,31.88,31.66
1931,31.05,32.15,31.95,31.79,32.00,31.27,30.87,31.90,31.20,31.34,31.88,30.54
1932,30.01,31.07,30.50,30.90,31.06,30.47,30.73,30.81,30.91,31.32,31.33,31.29
1933,30.21,30.91,30.75,30.96,31.62,31.21,30.64,30.82,30.67,30.92,30.90,30.59
1934,29.24,29.81,29.86,30.66,31.44,30.57,30.54,30.83,31.12,30.82,31.58,31.42
1935,30.99,31.32,31.44,31.10,30.87,30.35,30.74,30.60,31.20,31.21,31.90,31.44
1936,30.70,31.77,30.94,31.21,31.29,30.66,30.65,30.61,30.98,30.74,31.45,31.41
1937,30.97,31.07,31.85,31.03,31.07,31.16,30.91,31.43,31.01,30.90,31.89,31.05
1938,30.59,31.61,30.88,31.14,31.02,31.27,30.77,30.26,30.88,31.47,31.79,31.36
1939,30.51,30.55,31.38,31.18,31.55,30.58,30.93,30.73,30.41,30.72,31.98,30.88
1940,30.55,30.76,31.81,31.72,31.57,31.24,31.12,30.39,30.91,31.80,32.13,31.52
1941,31.24,31.74,31.98,31.95,31.96,32.26,31.56,31.20,31.49,32.04,31.95,31.54
1942,30.10,30.56,31.03,31.04,31.26,30.88,30.44,30.47,30.70,31.00,31.16,30.62
1943,29.89,30.35,30.68,30.86,31.26,30.59,30.17,30.25,30.61,30.83,31.16,30.51
1944,29.95,30.40,30.74,31.04,31.26,30.85,30.44,30.47,30.66,31.11,31.16,30.61
1945,30.16,30.54,30.83,30.97,31.26,30.88,30.44,30.47,30.61,30.90,31.16,30.62
1946,30.46,30.59,30.84,31.08,31.19,30.79,30.44,30.45,30.56,31.02,31.08,30.81
1947,30.51,30.51,30.49,30.69,31.02,30.51,30.36,30.37,30.63,30.86,31.10,30.65
1948,30.12,30.69,31.33,32.36,31.89,31.52,30.81,31.24,31.38,31.88,31.41,31.86
1949,31.28,31.12,31.91,31.30,31.10,30.96,30.61,31.07,31.11,31.14,31.75,31.39
1950,31.21,31.08,31.15,30.98,31.20,31.11,30.81,30.59,30.87,30.81,31.65,30.98
1951,29.48,29.71,30.78,31.17,30.99,31.22,30.19,30.80,30.73,31.04,31.80,30.89
1952,30.03,30.26,30.83,31.11,31.00,31.04,30.38,30.29,30.92,31.18,30.79,30.69
1953,30.19,29.94,30.62,30.84,30.81,31.04,30.23,31.10,30.71,31.44,31.67,31.34
1954,30.25,30.66,30.88,30.94,30.87,30.55,30.11,30.44,30.69,30.58,30.95,30.43
1955,29.72,30.46,31.02,30.83,31.64,30.67,30.17,29.76,30.59,30.93,31.04,30.34
1956,29.48,30.31,30.82,31.09,30.78,30.49,30.11,30.03,30.48,30.59,30.78,30.08
1957,30.07,30.60,30.66,31.18,30.93,31.17,30.46,30.37,30.73,31.11,31.55,30.28
1958,30.93,30.76,31.22,31.74,31.60,31.32,31.21,30.30,31.16,31.26,30.69,30.90
1959,30.37,31.30,30.85,30.67,31.08,30.67,30.28,29.99,30.66,31.01,30.98,31.11
1960,30.02,30.05,31.23,30.93,31.41,30.83,30.24,30.82,30.82,31.36,30.92,30.70
1961,29.84,30.31,30.91,30.70,31.19,30.47,30.39,30.39,30.62,30.88,31.12,30.40
1962,29.32,29.97,30.18,30.67,31.29,30.54,30.50,29.62,30.41,30.80,31.10,30.38
1963,28.75,29.24,30.37,31.52,31.25,31.09,30.47,30.29,30.77,30.81,31.37,30.84
1964,30.89,30.21,30.54,30.78,31.16,30.52,29.70,30.36,30.47,30.52,30.78,29.96
1965,29.57,30.30,30.40,30.62,30.82,30.67,30.32,30.17,30.56,30.84,31.62,30.79
1966,30.30,30.68,31.03,31.26,31.25,30.49,30.00,29.99,30.81,30.72,31.13,30.72
1967,29.82,29.60,30.55,30.66,30.75,30.50,29.97,30.38,30.64,30.95,30.58,30.12
1968,29.91,30.72,30.78,31.15,31.00,30.83,30.14,30.28,30.73,30.67,31.33,30.53
1969,30.72,31.00,31.44,31.47,31.44,30.71,30.33,29.97,30.84,31.11,30.72,30.24
1970,30.24,30.82,31.34,30.98,31.14,30.66,30.06,30.30,30.42,30.71,30.93,30.67
