,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,28.83,28.66,30.45,30.22,31.15,29.36,30.55,29.71,29.79,30.50,30.71,28.73
1902,28.53,28.56,29.45,29.83,31.15,29.46,29.45,29.91,29.89,30.68,30.71,29.41
1903,29.68,29.06,29.95,29.75,31.15,29.46,29.55,29.91,29.89,29.82,30.71,28.44
1904,28.33,28.26,30.45,29.35,31.15,30.55,30.55,29.41,30.89,29.63,30.71,28.73
1905,28.91,28.96,29.95,29.55,31.15,30.15,29.85,29.81,29.89,30.88,30.71,29.61
1906,29.42,29.96,29.95,30.12,31.15,29.75,29.75,29.81,29.79,29.82,30.71,28.63
1907,28.53,28.66,29.26,29.65,31.15,29.36,29.45,29.51,30.89,30.12,30.71,28.82
1908,29.02,29.06,29.85,30.02,31.15,29.36,30.55,29.81,30.89,29.92,30.71,29.02
1909,29.13,29.06,29.55,29.92,31.15,30.55,29.36,30.01,29.79,29.92,30.71,28.82
1910,29.02,29.26,29.45,29.55,31.15,29.46,29.65,29.71,30.89,29.54,30.71,28.82
1911,28.93,29.54,30.36,30.56,31.39,30.22,30.28,30.20,30.64,30.62,31.48,29.83
1912,29.67,29.98,30.50,31.10,31.39,30.06,30.15,30.73,30.59,30.77,31.18,29.80
1913,29.41,29.91,30.28,30.23,31.39,29.93,30.35,30.55,30.71,31.20,31.28,29.93
1914,29.52,30.06,30.43,30.53,31.97,30.15,30.35,30.75,30.76,31.53,31.59,30.36
1915,29.50,29.91,30.74,30.86,31.39,30.67,30.49,31.04,30.64,31.10,31.48,29.74
1916,28.83,29.70,30.05,30.63,31.08,29.99,29.95,30.30,30.56,31.01,31.37,29.38
1917,28.67,28.99,29.85,30.17,30.69,30.05,30.37,30.34,31.08,31.59,31.37,30.22
1918,27.90,28.94,29.77,30.71,31.00,30.20,30.29,30.52,30.64,31.07,31.37,29.50
1919,29.68,30.11,30.75,30.72,31.42,30.35,29.99,30.55,30.63,31.06,31.25,29.65
1920,28.95,29.61,30.67,30.36,31.37,30.41,30.49,30.14,31.36,31.69,31.59,29.12
1921,29.34,29.35,30.00,30.38,30.87,29.52,30.22,30.69,30.53,30.57,31.07,29.46
1922,29.61,29.38,30.01,30.21,30.87,30.07,30.35,30.47,30.63,30.64,31.59,29.97
1923,29.07,29.71,30.06,30.76,31.14,30.35,29.80,29.98,30.13,31.27,31.25,29.72
1924,29.87,29.89,30.18,30.42,31.15,30.20,30.63,31.00,30.59,29.82,30.79,29.30
1925,29.11,28.90,29.60,30.46,31.27,30.54,30.46,30.83,30.88,31.00,31.07,29.80
1926,29.12,29.88,30.35,31.36,31.50,30.63,30.64,30.99,30.73,30.97,31.12,29.74
1927,29.20,29.73,30.36,30.48,31.16,30.19,30.48,30.86,30.77,30.80,31.02,29.92
1928,29.73,29.82,30.20,30.53,31.34,30.20,30.37,30.41,30.70,30.91,30.90,29.77
1929,29.13,29.56,29.70,30.65,31.15,29.96,30.22,30.67,30.78,31.03,30.71,29.49
1930,29.61,29.67,30.35,30.48,31.20,30.19,30.72,31.34,30.96,31.10,31.12,30.17
1931,30.13,30.57,30.73,31.00,31.44,30.64,30.48,31.37,30.95,31.01,31.12,29.57
1932,29.13,29.56,29.93,30.40,31.03,29.85,30.43,30.81,30.71,31.17,30.71,29.72
1933,29.63,29.42,30.03,30.40,31.30,30.31,30.45,30.91,30.24,30.74,30.61,29.40
1934,28.83,28.96,29.45,30.19,31.12,30.15,30.39,30.72,30.59,30.98,30.95,29.75
1935,29.41,30.06,30.54,30.40,30.99,29.95,30.34,30.59,30.91,31.05,31.12,30.10
1936,29.44,30.23,30.44,30.46,31.30,30.12,30.48,30.68,30.86,30.77,30.95,30.07
1937,29.47,30.09,30.85,30.60,30.93,30.34,30.50,31.14,30.78,30.87,31.07,29.78
1938,29.52,30.21,30.35,30.71,31.05,30.26,30.30,30.32,30.86,31.20,31.07,29.88
1939,29.58,29.60,30.34,30.66,31.09,29.99,30.41,30.71,30.49,30.77,31.07,29.93
1940,29.34,29.79,30.68,30.84,30.89,30.56,30.72,30.55,30.93,31.80,31.28,30.27
1941,30.02,30.57,31.15,31.45,31.58,31.19,30.97,31.04,31.07,31.67,31.25,30.37
1942,29.61,30.03,30.76,30.61,31.20,30.64,30.22,30.69,30.79,30.88,30.71,29.91
1943,28.73,29.16,29.65,30.02,31.15,29.65,29.65,30.11,30.49,30.40,30.71,29.51
1944,29.16,29.50,30.07,30.41,30.91,30.28,30.20,30.63,30.69,31.18,30.71,29.81
1945,29.65,29.85,30.17,30.41,31.06,30.19,30.20,30.73,30.49,30.60,30.71,29.91
1946,30.42,29.97,30.45,30.81,30.90,30.61,30.77,31.36,30.59,31.28,30.71,30.21
1947,30.43,30.33,30.46,30.47,31.20,30.61,30.35,30.81,30.69,30.98,30.71,30.61
1948,29.01,30.04,30.76,31.29,31.50,30.90,30.73,31.09,31.11,31.78,31.02,30.50
1949,29.79,30.07,30.71,30.86,30.97,30.61,30.29,30.84,30.79,31.18,31.02,30.20
1950,29.96,29.91,30.53,30.58,31.14,30.38,30.18,30.51,30.63,30.58,30.58,29.71
1951,28.73,29.04,30.54,30.82,30.87,30.61,30.15,30.61,30.89,31.08,31.10,29.97
1952,29.56,29.92,30.02,30.83,31.00,30.60,30.38,30.58,30.70,30.95,30.25,29.71
1953,29.53,29.62,30.24,30.61,30.81,30.58,30.17,30.81,30.89,31.58,30.68,30.41
1954,29.59,29.76,30.57,30.65,31.06,30.25,30.17,30.49,30.58,30.39,30.07,29.51
1955,29.22,29.66,30.18,30.51,31.24,30.29,29.76,30.03,30.44,30.78,30.34,29.40
