,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,30.63,30.06,30.18,30.47,30.15,29.93,28.70,28.71,29.56,30.69,31.00,30.64
1902,29.90,30.21,30.45,30.69,30.30,29.76,29.00,29.10,29.44,30.42,31.00,30.44
1903,30.27,30.28,30.52,30.62,30.30,29.45,29.24,29.40,29.95,30.69,31.00,30.34
1904,29.64,30.04,30.25,30.12,30.30,29.15,29.04,29.04,29.77,30.53,30.91,30.40
1905,29.89,30.09,30.76,30.54,30.54,29.81,29.35,29.15,29.80,30.59,31.07,30.90
1906,30.56,30.62,30.67,31.11,30.73,30.27,29.54,29.43,29.77,30.59,30.58,30.49
1907,30.13,30.15,30.45,30.35,30.27,29.50,29.07,29.24,29.71,30.73,31.07,30.34
1908,30.20,30.28,30.45,30.59,30.39,29.37,29.04,29.37,29.80,30.62,31.07,30.34
1909,30.29,30.45,30.42,30.32,30.15,29.83,29.24,29.45,29.71,30.83,30.80,30.49
1910,30.13,30.12,30.29,30.15,30.23,29.58,29.41,29.58,30.04,30.77,30.88,30.44
1911,30.23,30.35,30.98,30.30,29.92,29.11,28.77,28.81,29.60,30.53,31.03,30.76
1912,30.16,30.09,30.35,30.44,30.23,29.70,29.31,29.01,29.95,30.69,30.97,30.64
1913,29.96,30.18,30.29,30.44,29.38,28.92,28.65,28.98,29.39,30.50,31.41,30.82
1914,29.99,30.58,30.61,30.65,30.19,29.23,28.49,28.96,29.63,30.45,30.91,30.56
1915,30.03,30.39,30.67,30.80,30.15,29.64,29.50,29.37,30.13,30.80,31.15,30.17
1916,29.99,30.15,30.42,30.69,30.36,30.07,29.68,29.63,30.04,30.69,30.83,30.40
1917,29.82,30.09,30.45,30.30,29.89,29.54,29.44,29.50,30.04,30.59,31.00,30.07
1918,29.66,29.89,30.45,30.32,30.07,29.45,28.84,29.31,29.56,30.73,31.33,30.60
1919,29.99,30.48,30.49,30.50,30.04,29.31,28.52,28.93,29.60,30.38,30.83,30.60
1920,30.06,30.15,30.56,30.65,30.36,30.17,29.70,29.60,30.02,30.69,31.00,30.37
1921,29.99,30.12,30.23,30.41,30.39,30.17,29.18,29.13,29.87,30.77,31.15,30.56
1922,30.16,30.21,30.32,30.59,30.07,29.43,28.65,28.65,29.63,30.53,31.21,30.44
1923,30.06,30.21,30.29,30.41,30.23,29.45,28.61,28.58,29.44,30.45,31.03,30.44
1924,30.32,30.23,30.65,30.24,30.54,29.70,29.21,29.15,29.92,30.69,31.31,30.37
