,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,29.67,30.00,30.39,30.57,30.84,30.45,30.11,30.26,30.49,30.75,30.45,30.13
1902,29.65,30.00,30.39,30.58,30.84,30.44,30.11,30.27,30.49,30.75,30.45,30.13
1903,29.66,30.00,30.39,30.57,30.84,30.43,30.12,30.28,30.49,30.75,30.45,30.13
1904,29.64,30.00,30.39,30.57,30.84,30.43,30.11,30.27,30.49,30.75,30.45,30.13
1905,29.65,30.00,30.40,30.57,30.85,30.44,30.12,30.27,30.49,30.75,30.45,30.14
1906,29.67,30.01,30.40,30.59,30.85,30.46,30.12,30.28,30.49,30.75,30.45,30.13
1907,29.65,30.00,30.39,30.57,30.84,30.43,30.11,30.27,30.49,30.75,30.45,30.13
1908,29.65,30.00,30.39,30.57,30.84,30.43,30.11,30.28,30.49,30.75,30.45,30.13
1909,29.66,30.01,30.39,30.57,30.84,30.44,30.12,30.28,30.49,30.76,30.45,30.13
1910,29.65,30.00,30.39,30.57,30.84,30.44,30.12,30.28,30.50,30.75,30.45,30.13
1911,29.65,30.00,30.41,30.57,30.83,30.43,30.11,30.27,30.49,30.75,30.45,30.13
1912,29.65,30.00,30.39,30.57,30.84,30.44,30.12,30.27,30.49,30.75,30.45,30.13
1913,29.65,30.00,30.39,30.57,30.82,30.43,30.11,30.27,30.48,30.75,30.46,30.13
1914,29.65,30.01,30.40,30.58,30.84,30.43,30.10,30.27,30.49,30.75,30.45,30.13
1915,29.65,30.00,30.40,30.58,30.84,30.44,30.12,30.28,30.50,30.75,30.46,30.12
1916,29.65,30.00,30.39,30.58,30.84,30.45,30.13,30.28,30.50,30.75,30.45,30.13
1917,29.65,30.00,30.39,30.57,30.83,30.44,30.12,30.28,30.50,30.75,30.45,30.12
1918,29.64,30.00,30.39,30.57,30.84,30.43,30.11,30.28,30.49,30.75,30.46,30.13
1919,29.65,30.01,30.39,30.57,30.84,30.43,30.10,30.27,30.49,30.75,30.45,30.13
1920,29.65,30.00,30.39,30.58,30.84,30.46,30.13,30.28,30.50,30.75,30.45,30.13
1921,29.65,30.00,30.39,30.57,30.84,30.46,30.12,30.27,30.49,30.75,30.46,30.13
