province_name,year,month,max_temp
Aceh,1901,Jan,30.68
Aceh,1901,Feb,30.96
Aceh,1901,Mar,30.89
Aceh,1901,Apr,31.34
Aceh,1901,May,31.63
Aceh,1901,Jun,31.12
Aceh,1901,Jul,31.19
Aceh,1901,Aug,31.35
Aceh,1901,Sep,31.21
Aceh,1901,Oct,31.7
Aceh,1901,Nov,31.36
Aceh,1901,Dec,31.0
Aceh,1902,Jan,30.48
Aceh,1902,Feb,30.66
Aceh,1902,Mar,31.28
Aceh,1902,Apr,31.74
Aceh,1902,May,31.61
Aceh,1902,Jun,31.04
Aceh,1902,Jul,31.26
Aceh,1902,Aug,31.28
Aceh,1902,Sep,31.41
Aceh,1902,Oct,31.91
Aceh,1902,Nov,31.36
Aceh,1902,Dec,31.08
Aceh,1903,Jan,30.49
Aceh,1903,Feb,30.82
Aceh,1903,Mar,31.18
Aceh,1903,Apr,31.77
Aceh,1903,May,31.78
Aceh,1903,Jun,30.96
Aceh,1903,Jul,31.11
Aceh,1903,Aug,31.29
Aceh,1903,Sep,31.43
Aceh,1903,Oct,31.72
Aceh,1903,Nov,31.2
Aceh,1903,Dec,30.84
Aceh,1904,Jan,30.37
Aceh,1904,Feb,30.59
Aceh,1904,Mar,31.14
Aceh,1904,Apr,31.33
Aceh,1904,May,31.49
Aceh,1904,Jun,30.91
Aceh,1904,Jul,31.03
Aceh,1904,Aug,31.35
Aceh,1904,Sep,31.37
Aceh,1904,Oct,31.78
Aceh,1904,Nov,31.2
Aceh,1904,Dec,30.93
Aceh,1905,Jan,30.31
Aceh,1905,Feb,30.7
Aceh,1905,Mar,31.27
Aceh,1905,Apr,31.65
Aceh,1905,May,31.34
Aceh,1905,Jun,30.93
Aceh,1905,Jul,31.24
Aceh,1905,Aug,31.35
Aceh,1905,Sep,31.56
Aceh,1905,Oct,31.77
Aceh,1905,Nov,31.46
Aceh,1905,Dec,31.09
Aceh,1906,Jan,30.54
Aceh,1906,Feb,30.7
Aceh,1906,Mar,30.92
Aceh,1906,Apr,31.79
Aceh,1906,May,31.89
Aceh,1906,Jun,31.0
Aceh,1906,Jul,31.18
Aceh,1906,Aug,31.31
Aceh,1906,Sep,31.53
Aceh,1906,Oct,31.68
Aceh,1906,Nov,31.27
Aceh,1906,Dec,31.05
Aceh,1907,Jan,30.44
Aceh,1907,Feb,30.64
Aceh,1907,Mar,31.03
Aceh,1907,Apr,31.62
Aceh,1907,May,31.34
Aceh,1907,Jun,30.98
Aceh,1907,Jul,31.02
Aceh,1907,Aug,31.23
Aceh,1907,Sep,31.5
Aceh,1907,Oct,31.62
Aceh,1907,Nov,31.21
Aceh,1907,Dec,30.79
Aceh,1908,Jan,30.33
Aceh,1908,Feb,30.47
Aceh,1908,Mar,31.14
Aceh,1908,Apr,31.67
Aceh,1908,May,31.41
Aceh,1908,Jun,30.88
Aceh,1908,Jul,30.99
Aceh,1908,Aug,31.12
Aceh,1908,Sep,31.31
Aceh,1908,Oct,31.66
Aceh,1908,Nov,31.18
Aceh,1908,Dec,30.92
Aceh,1909,Jan,30.36
Aceh,1909,Feb,30.7
Aceh,1909,Mar,31.12
Aceh,1909,Apr,31.44
Aceh,1909,May,31.41
Aceh,1909,Jun,30.88
Aceh,1909,Jul,30.97
Aceh,1909,Aug,31.17
Aceh,1909,Sep,31.4
Aceh,1909,Oct,31.65
Aceh,1909,Nov,31.13
Aceh,1909,Dec,30.83
Aceh,1910,Jan,30.33
Aceh,1910,Feb,30.66
Aceh,1910,Mar,30.87
Aceh,1910,Apr,31.34
Aceh,1910,May,31.59
Aceh,1910,Jun,30.9
Aceh,1910,Jul,31.18
Aceh,1910,Aug,31.3
Aceh,1910,Sep,31.25
Aceh,1910,Oct,31.57
Aceh,1910,Nov,31.23
Aceh,1910,Dec,30.82
Aceh,1911,Jan,30.35
Aceh,1911,Feb,30.81
Aceh,1911,Mar,31.2
Aceh,1911,Apr,31.55
Aceh,1911,May,31.58
Aceh,1911,Jun,31.1
Aceh,1911,Jul,31.36
Aceh,1911,Aug,31.35
Aceh,1911,Sep,31.54
Aceh,1911,Oct,31.69
Aceh,1911,Nov,31.73
Aceh,1911,Dec,31.29
Aceh,1912,Jan,30.67
Aceh,1912,Feb,30.94
Aceh,1912,Mar,31.45
Aceh,1912,Apr,31.85
Aceh,1912,May,31.69
Aceh,1912,Jun,30.95
Aceh,1912,Jul,31.16
Aceh,1912,Aug,31.29
Aceh,1912,Sep,31.52
Aceh,1912,Oct,31.76
Aceh,1912,Nov,31.38
Aceh,1912,Dec,31.19
Aceh,1913,Jan,30.59
Aceh,1913,Feb,30.94
Aceh,1913,Mar,31.5
Aceh,1913,Apr,31.59
Aceh,1913,May,31.74
Aceh,1913,Jun,30.87
Aceh,1913,Jul,31.14
Aceh,1913,Aug,31.44
Aceh,1913,Sep,31.5
Aceh,1913,Oct,31.86
Aceh,1913,Nov,31.48
Aceh,1913,Dec,31.22
Aceh,1914,Jan,30.54
Aceh,1914,Feb,30.89
Aceh,1914,Mar,31.31
Aceh,1914,Apr,31.69
Aceh,1914,May,31.93
Aceh,1914,Jun,30.9
Aceh,1914,Jul,31.2
Aceh,1914,Aug,31.43
