,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,30.02,30.02,30.18,30.93,30.73,30.23,30.13,30.52,31.56,32.06,31.44,30.44
1902,30.02,30.02,30.17,30.93,30.73,30.23,30.11,30.53,31.57,32.06,31.44,30.46
1903,30.02,30.04,30.18,30.92,30.73,30.23,30.12,30.53,31.57,32.04,31.44,30.44
1904,30.01,30.02,30.18,30.92,30.73,30.25,30.13,30.52,31.58,32.04,31.44,30.44
1905,30.02,30.04,30.18,30.92,30.73,30.25,30.12,30.53,31.57,32.06,31.44,30.46
1906,30.02,30.04,30.18,30.93,30.73,30.25,30.12,30.53,31.56,32.04,31.44,30.44
1907,30.02,30.02,30.16,30.92,30.73,30.23,30.11,30.52,31.58,32.04,31.44,30.44
1908,30.02,30.04,30.18,30.93,30.73,30.23,30.13,30.53,31.58,32.04,31.44,30.46
1909,30.02,30.04,30.17,30.93,30.73,30.25,30.11,30.54,31.56,32.04,31.44,30.44
1910,30.02,30.04,30.17,30.92,30.73,30.23,30.12,30.52,31.58,32.04,31.44,30.44
1911,30.02,30.02,30.18,30.93,30.73,30.25,30.11,30.52,31.58,32.04,31.44,30.46
1912,30.02,30.04,30.18,30.94,30.73,30.25,30.12,30.54,31.57,32.04,31.44,30.46
1913,30.02,30.04,30.16,30.92,30.73,30.25,30.12,30.54,31.58,32.06,31.44,30.46
1914,30.02,30.04,30.18,30.93,30.73,30.25,30.12,30.54,31.57,32.06,31.44,30.46
1915,29.40,29.06,29.87,30.57,30.26,30.25,29.96,30.44,31.58,32.06,31.44,30.46
1916,28.90,28.72,30.17,30.15,29.94,29.35,29.71,30.17,31.57,32.05,31.44,30.44
1917,29.14,29.06,29.20,29.97,30.10,29.59,29.89,30.57,31.58,32.06,31.44,30.46
1918,29.14,28.55,29.20,30.32,30.60,29.59,29.49,29.94,31.58,32.06,31.44,30.46
1919,30.00,30.04,29.94,30.48,30.19,29.75,29.31,29.76,31.57,32.06,31.44,30.46
1920,29.24,28.90,29.36,30.46,30.51,29.84,30.22,30.99,31.58,32.06,31.44,30.46
1921,29.90,29.71,29.20,30.06,29.75,29.92,29.96,30.57,31.56,32.04,31.44,30.44
1922,29.48,28.90,29.11,30.32,29.94,29.76,29.80,29.94,31.57,32.04,31.44,30.46
1923,30.02,29.87,29.59,30.72,30.26,29.92,29.63,29.21,31.56,32.06,31.44,30.46
1924,30.12,29.54,29.85,30.55,30.93,30.25,30.03,30.54,31.58,32.04,31.44,30.44
1925,29.99,29.16,29.20,30.48,30.51,29.76,29.64,30.34,31.58,32.06,31.44,30.46
1926,29.74,29.87,29.85,30.94,31.01,30.15,29.82,30.74,31.58,32.06,31.44,30.46
1927,29.74,30.14,30.01,30.94,30.66,30.15,30.22,30.57,31.58,32.06,31.44,30.46
1928,30.39,30.04,29.77,30.72,30.83,30.33,30.03,30.92,31.58,32.06,31.44,30.46
1929,29.81,29.87,29.36,30.48,29.85,29.76,29.15,29.94,31.58,32.06,31.44,30.45
1930,30.12,29.54,29.94,30.24,30.73,29.52,29.64,30.34,31.58,32.06,31.44,30.46
1931,30.39,30.04,30.44,30.91,30.93,30.57,30.22,30.64,31.58,32.06,31.44,30.46
1932,30.02,29.54,29.54,30.40,30.73,30.00,29.89,30.09,31.58,32.06,31.44,30.46
1933,30.39,29.30,29.60,30.40,30.83,30.08,29.72,31.56,31.56,32.06,31.44,30.46
1934,30.00,29.22,29.28,30.24,30.19,29.92,30.13,30.17,31.57,32.06,31.44,30.46
1935,30.22,30.04,30.18,30.40,30.73,29.59,29.39,29.68,31.58,32.06,31.44,30.46
1936,30.02,29.87,29.85,30.47,30.83,30.08,29.80,30.57,31.58,32.06,31.44,30.46
1937,29.65,30.23,30.28,30.56,30.26,29.52,29.24,29.54,31.58,32.06,31.44,30.46
1938,30.65,30.23,30.08,30.74,30.66,29.43,29.80,29.94,31.58,32.06,31.44,30.46
1939,30.65,30.52,29.77,30.65,30.01,29.35,30.38,30.57,31.58,32.06,31.44,30.46
1940,30.76,30.29,29.23,29.35,28.77,28.64,29.56,29.14,31.58,32.07,31.45,30.46
1941,30.88,30.33,30.83,31.04,31.01,30.01,29.04,29.30,31.58,32.06,31.43,30.46
1942,31.00,30.75,30.61,30.84,30.98,30.64,29.06,30.14,31.60,32.06,31.44,30.45
1943,30.02,30.04,30.18,30.93,30.73,30.25,30.12,30.55,31.57,32.06,31.44,30.46
1944,30.77,30.23,30.57,30.08,29.95,29.42,28.93,29.57,31.59,32.06,31.45,30.44
1945,30.82,30.30,30.08,30.82,30.43,28.73,28.91,30.00,31.58,32.05,31.42,30.44
1946,30.46,29.16,30.18,30.61,29.88,30.47,31.34,32.24,31.56,32.06,31.42,30.44
1947,30.88,30.68,29.90,29.66,30.88,30.49,30.14,30.54,31.58,32.05,31.43,30.44
1948,27.80,30.04,30.18,30.47,31.21,30.91,29.93,29.61,31.56,32.05,31.43,30.44
1949,30.64,30.40,29.69,30.32,30.14,29.52,29.27,29.66,31.17,32.04,31.26,30.44
1950,30.27,29.69,30.52,30.38,30.43,30.17,28.63,29.47,31.57,32.04,30.09,29.34
1951,29.70,29.66,29.98,30.35,29.89,30.39,29.39,29.58,31.48,32.01,32.32,30.18
1952,30.46,30.46,29.30,30.57,30.04,29.64,29.49,29.79,31.73,31.54,30.15,30.21
1953,30.15,29.94,30.28,30.88,29.99,30.18,29.11,29.45,31.67,32.32,30.74,30.68
1954,30.68,30.12,30.10,31.16,30.99,30.30,29.73,29.54,31.65,31.11,29.68,29.93
1955,30.41,29.84,30.01,30.70,30.60,30.05,29.55,30.34,31.37,31.44,30.00,30.20
1956,29.83,30.02,30.04,30.94,30.58,29.98,29.61,30.34,31.06,31.33,30.73,29.60
1957,30.02,29.74,29.88,31.27,30.85,30.39,29.96,29.90,30.78,32.06,31.62,30.26
1958,31.04,30.08,30.81,31.29,31.21,30.51,29.73,30.49,30.67,31.41,30.40,29.91
1959,29.61,30.34,29.85,30.68,31.47,29.74,29.38,29.76,31.02,32.36,31.73,29.72
1960,29.80,30.00,30.18,30.85,30.09,29.88,29.90,30.44,31.73,32.23,31.19,30.83
1961,30.30,30.56,30.93,31.26,30.67,30.28,29.05,29.15,31.08,32.04,31.21,30.74
1962,28.99,29.06,29.85,30.23,29.98,30.01,29.55,29.69,31.37,31.59,32.04,30.62
1963,29.57,29.97,29.87,31.07,30.53,30.24,29.61,29.41,31.17,32.56,32.63,31.05
1964,30.96,30.71,30.26,31.44,31.21,30.74,30.33,30.77,31.81,30.75,30.59,30.97
1965,30.41,30.76,30.18,31.30,31.16,31.43,30.83,31.08,32.40,33.26,32.99,32.00
1966,31.11,30.48,30.47,31.68,31.85,30.56,31.36,30.99,31.78,32.53,32.25,30.54
1967,29.75,30.37,30.57,31.48,31.62,30.61,29.85,30.97,31.81,33.12,32.43,30.73
1968,30.27,29.60,30.42,30.68,30.42,30.82,29.76,30.23,31.92,32.01,31.70,30.70
1969,31.48,31.12,30.93,31.45,31.67,30.41,30.72,31.06,32.20,33.01,32.32,30.88
1970,31.77,31.13,31.54,31.73,31.57,31.05,30.65,31.27,31.88,32.62,31.91,30.38
1971,29.58,29.31,29.39,31.02,31.04,30.02,29.65,30.70,31.39,31.43,30.23,30.49
1972,30.14,30.50,30.31,31.04,31.37,30.72,30.76,32.19,32.54,33.14,33.13,32.10
1973,31.23,31.57,30.71,31.64,31.07,30.83,31.00,32.10,31.45,32.75,30.60,30.69
1974,29.29,29.14,29.82,30.93,31.30,30.53,29.53,30.30,31.91,31.63,30.98,30.45
1975,30.43,30.28,30.26,30.77,30.50,30.68,31.08,30.52,31.58,31.80,30.60,30.03
1976,29.13,29.76,29.68,31.30,31.41,29.99,29.06,30.38,31.21,31.61,30.86,30.86
1977,29.71,28.84,29.11,30.65,31.25,29.81,29.91,30.19,31.28,33.14,31.95,30.21
1978,29.62,29.54,29.71,30.65,30.24,29.09,29.44,30.05,30.88,31.66,30.81,29.81
1979,29.90,30.83,29.84,31.06,30.43,30.15,30.50,30.66,31.64,32.41,32.10,30.03
1980,29.56,29.57,30.25,30.58,31.31,30.75,30.86,31.43,32.31,32.54,31.90,29.77
1981,29.08,29.44,30.16,30.40,30.70,30.65,31.22,31.76,31.37,31.94,30.96,29.58
1982,28.95,29.48,29.35,30.40,30.38,30.19,30.04,30.35,31.75,32.39,33.12,31.48
1983,30.53,30.65,30.85,30.78,29.09,30.06,29.80,30.35,31.47,31.07,29.54,29.91
1984,30.09,28.94,29.63,29.95,29.64,29.97,29.98,30.25,30.06,31.23,30.23,29.40
1985,30.18,29.77,29.84,30.35,30.20,29.81,29.98,29.95,31.58,32.09,30.99,30.41
1986,29.26,30.54,30.38,30.85,30.86,29.11,29.85,29.78,31.80,30.79,30.93,30.19
1987,29.42,29.77,30.63,30.99,31.22,30.62,30.36,31.07,31.84,32.17,31.24,29.96
1988,30.07,30.03,30.65,30.68,30.76,30.29,29.81,29.84,31.21,31.64,30.18,29.06
1989,29.93,29.27,29.47,30.03,29.82,29.74,30.59,30.16,31.27,30.81,30.92,30.96
1990,29.85,30.34,30.58,31.35,30.74,30.47,30.51,30.54,31.58,32.06,32.60,30.46
1991,30.22,30.24,30.13,31.27,30.73,30.50,29.95,30.14,31.19,31.78,30.87,30.86
1992,30.62,30.45,30.43,30.96,30.77,31.53,30.80,30.84,31.77,31.79,31.24,30.27
1993,30.61,30.42,30.01,30.98,30.76,30.28,30.38,30.56,31.14,31.86,32.12,31.12
1994,30.04,30.04,29.55,30.94,30.73,30.26,29.86,30.52,31.58,31.86,32.90,30.48
1995,30.02,30.04,29.75,30.99,30.35,30.73,30.96,30.99,31.81,32.63,30.98,30.90
1996,30.52,30.24,30.34,31.61,30.72,31.06,31.21,31.49,32.19,33.14,31.74,31.18
1997,30.28,30.24,31.04,31.33,30.73,31.03,29.89,30.44,31.27,32.06,32.12,31.70
1998,30.07,30.07,30.22,31.85,30.73,30.28,30.16,30.59,32.62,32.79,32.14,30.82
1999,30.19,30.51,30.38,30.98,30.72,30.65,30.20,30.92,32.06,32.16,31.44,30.25
2000,29.72,29.94,30.25,30.94,30.73,30.23,30.53,30.72,32.22,32.36,31.44,30.47
2001,29.64,30.14,29.98,30.95,30.73,30.75,30.61,30.77,31.98,32.26,31.64,30.06
2002,29.86,29.94,30.00,30.61,30.75,29.95,30.58,30.04,30.81,31.81,32.14,30.96
2003,29.95,30.25,29.99,30.78,30.74,30.01,30.15,29.78,30.75,31.81,31.64,30.27
2004,29.55,30.14,30.38,31.09,30.75,29.47,30.55,30.16,31.08,31.92,31.19,30.56
2005,30.44,30.94,30.63,31.04,30.74,30.94,31.22,30.74,31.48,32.06,31.06,29.97
2006,29.72,29.84,30.35,30.61,30.73,29.85,29.80,30.34,30.70,31.60,32.53,31.38
2007,30.27,30.89,29.92,30.94,30.49,29.61,30.88,29.97,31.31,32.47,31.32,30.36
2008,29.94,29.60,29.88,30.54,31.26,30.52,30.17,31.21,31.63,32.47,31.64,30.31
2009,29.97,28.88,30.48,31.63,30.48,31.12,31.16,30.97,31.58,31.99,33.13,31.53
2010,30.85,30.79,31.36,30.74,30.01,30.83,30.46,30.48,31.36,31.98,31.96,30.43
2011,29.96,30.39,30.31,29.71,30.98,29.33,30.23,30.74,31.72,32.25,32.05,30.98
2012,30.22,30.48,30.41,30.82,31.48,30.88,29.41,30.22,31.26,32.69,32.35,31.06
2013,30.37,30.52,30.51,30.60,30.91,30.54,30.12,31.15,31.32,32.64,32.05,30.80
2014,30.17,29.74,31.19,31.99,30.79,31.34,31.11,31.31,32.81,33.15,33.15,31.28
2015,30.22,31.22,30.60,31.54,30.97,30.95,30.47,30.63,31.39,32.11,32.53,31.54
2016,30.03,30.72,31.74,32.33,30.75,30.30,30.15,32.00,32.81,32.65,31.67,30.86
2017,30.47,31.09,30.65,31.20,30.73,30.55,30.83,30.77,32.08,32.75,31.35,30.85
2018,29.70,29.49,30.97,30.97,30.73,30.15,30.00,29.81,31.52,31.98,31.35,32.12
2019,30.84,30.85,30.75,30.99,30.49,29.98,30.26,30.22,31.12,32.86,32.36,31.58
2020,31.74,31.52,31.44,31.77,30.48,31.13,30.60,31.08,32.23,32.53,33.02,30.86
2021,30.04,29.94,30.25,31.22,30.73,31.25,31.67,31.56,31.82,32.66,30.96,30.88
