,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,30.64,29.99,29.93,30.54,30.13,29.86,29.21,29.56,30.40,31.42,31.38,30.69
1902,30.20,30.09,30.11,30.67,30.21,29.75,29.41,29.80,30.34,31.24,31.38,30.56
1903,30.42,30.13,30.14,30.62,30.21,29.57,29.55,29.99,30.64,31.42,31.38,30.51
1904,30.04,29.97,29.98,30.32,30.21,29.37,29.43,29.76,30.54,31.32,31.32,30.55
1905,30.18,30.02,30.29,30.58,30.35,29.77,29.61,29.85,30.56,31.36,31.42,30.85
1906,30.61,30.33,30.25,30.92,30.47,30.07,29.74,30.01,30.54,31.36,31.12,30.61
1907,30.34,30.04,30.11,30.48,30.19,29.59,29.45,29.89,30.50,31.44,31.42,30.51
1908,30.38,30.13,30.11,30.60,30.27,29.50,29.43,29.97,30.56,31.38,31.42,30.51
1909,30.44,30.23,30.09,30.44,30.13,29.79,29.55,30.03,30.50,31.51,31.24,30.61
1910,30.34,30.03,30.00,30.34,30.17,29.63,29.66,30.09,30.70,31.46,31.31,30.56
1911,30.40,30.17,30.43,30.43,29.97,29.35,29.26,29.62,30.42,31.32,31.40,30.78
1912,30.36,30.02,30.04,30.52,30.17,29.71,29.60,29.76,30.64,31.42,31.36,30.69
1913,30.24,30.07,30.00,30.52,29.64,29.23,29.20,29.72,30.30,31.31,31.62,30.82
1914,30.26,30.32,30.21,30.64,30.15,29.41,29.09,29.71,30.44,31.26,31.32,30.65
1915,30.15,29.98,30.17,30.67,30.03,29.67,29.67,29.94,30.76,31.48,31.46,30.41
1916,30.02,29.76,30.09,30.50,30.08,29.73,29.73,30.05,30.70,31.42,31.26,30.55
1917,29.95,29.81,29.89,30.22,29.81,29.46,29.62,30.04,30.70,31.36,31.38,30.35
1918,29.87,29.57,29.89,30.31,30.03,29.42,29.17,29.80,30.40,31.44,31.59,30.67
1919,30.26,30.25,30.08,30.47,29.93,29.38,28.94,29.52,30.42,31.22,31.26,30.67
1920,30.13,29.80,29.99,30.55,30.20,29.90,29.85,30.21,30.68,31.42,31.38,30.54
1921,30.23,29.96,29.77,30.32,30.06,29.93,29.47,29.82,30.60,31.46,31.46,30.65
1922,30.25,29.84,29.80,30.47,29.90,29.44,29.13,29.40,30.44,31.32,31.51,30.56
1923,30.30,30.05,29.88,30.46,30.07,29.50,29.07,29.19,30.34,31.26,31.40,30.56
1924,30.49,30.01,30.15,30.30,30.39,29.71,29.53,29.84,30.62,31.42,31.56,30.54
1925,30.30,29.73,29.77,30.10,29.90,29.28,29.17,29.66,30.36,31.26,31.44,30.75
1926,30.30,30.25,30.34,30.66,30.03,29.52,29.28,29.96,30.70,31.52,31.56,30.69
1927,30.26,30.45,30.24,30.54,30.12,29.81,29.44,29.71,30.51,31.46,31.38,30.82
1928,30.32,30.29,29.96,30.64,30.05,29.32,29.35,29.98,30.68,31.51,31.52,30.71
1929,30.36,30.05,29.89,30.24,29.68,29.20,28.92,29.70,30.44,31.36,31.64,30.63
1930,30.55,29.93,29.99,30.48,30.19,29.23,29.37,29.78,30.44,31.36,31.38,30.55
1931,30.38,30.03,30.18,30.58,30.35,29.96,29.55,29.92,30.64,31.22,31.32,30.75
1932,30.56,30.17,29.94,30.55,30.15,29.66,29.12,29.55,30.54,31.46,31.36,30.55
1933,30.61,29.91,29.91,30.51,30.22,29.59,29.12,30.07,30.56,31.40,31.31,30.37
1934,30.23,29.72,29.75,30.42,29.97,29.64,29.49,29.63,30.49,31.33,31.40,30.82
1935,30.43,30.19,29.94,30.39,30.04,29.34,29.00,29.64,30.50,31.31,31.42,30.78
1936,30.32,30.15,30.07,30.51,30.20,29.65,29.53,30.04,30.68,31.40,31.44,30.67
1937,30.11,30.34,30.05,30.47,30.07,29.47,28.94,29.43,30.58,31.33,31.51,30.55
1938,30.33,30.08,30.24,30.66,30.30,29.57,29.26,29.72,30.54,31.28,31.06,30.56
1939,30.28,30.13,29.90,30.28,29.83,29.29,29.47,29.61,30.30,31.21,31.28,30.63
1940,30.19,29.96,29.81,30.14,29.39,29.16,29.07,29.53,30.46,31.32,31.44,30.61
1941,30.44,30.28,30.07,30.55,30.00,29.35,29.09,29.27,30.05,30.80,30.94,30.34
1942,30.09,29.90,30.64,30.91,30.87,30.23,29.39,29.90,30.87,31.50,31.07,30.05
1943,30.23,29.88,29.95,30.35,29.71,29.12,29.32,29.87,30.06,31.06,31.10,30.37
1944,30.35,30.16,29.88,30.25,29.68,29.14,28.81,29.60,30.64,31.37,31.37,29.65
1945,29.92,30.30,29.80,30.34,29.61,28.94,28.40,30.01,30.23,30.77,30.79,29.87
1946,29.99,29.79,30.31,29.30,30.00,28.55,29.52,29.65,29.80,31.36,30.72,29.87
1947,30.70,30.17,29.63,29.72,29.48,29.39,29.56,29.76,30.09,30.89,30.94,30.01
1948,30.11,30.17,30.13,29.92,29.72,28.69,29.16,29.01,29.68,31.04,31.09,29.85
1949,30.50,29.58,29.76,29.60,29.25,28.64,28.34,29.03,29.88,30.67,30.87,29.71
1950,29.91,29.77,30.46,30.05,29.85,29.35,28.12,29.18,29.91,30.67,30.23,29.00
1951,30.18,29.57,30.07,30.59,29.36,29.70,28.79,29.26,30.10,31.31,31.59,30.64
1952,30.41,30.84,30.05,30.79,30.12,28.94,29.43,29.08,30.55,31.19,30.91,30.45
1953,30.24,30.12,30.42,30.55,29.32,29.67,28.86,28.77,30.20,31.64,30.89,30.47
1954,30.43,30.62,30.52,30.84,29.94,29.10,28.84,29.44,30.19,30.67,30.34,29.60
1955,30.10,29.98,30.00,30.39,29.82,29.62,29.20,30.16,30.50,31.03,30.39,30.16
1956,30.02,29.56,30.02,30.62,29.91,29.42,29.41,29.57,29.55,30.77,30.78,29.86
1957,30.29,29.84,29.86,31.12,29.83,29.83,29.18,29.15,29.79,31.25,31.41,30.18
1958,30.65,30.58,30.69,31.05,31.02,30.11,29.82,30.10,30.01,31.17,31.23,30.64
1959,30.11,30.59,30.29,30.36,29.78,29.29,29.18,29.56,30.56,31.54,31.44,30.57
1960,29.98,29.85,29.95,30.58,29.35,29.00,29.25,29.49,30.55,31.50,31.63,30.77
1961,30.36,30.22,30.47,30.89,29.73,29.24,28.59,28.79,30.26,31.50,31.20,31.27
1962,29.60,29.78,30.19,30.02,29.73,30.11,29.59,29.36,30.53,31.53,31.99,31.00
1963,29.71,29.79,29.95,30.51,29.74,29.36,28.62,29.03,30.07,31.52,32.09,31.17
1964,30.33,30.86,30.08,30.89,30.19,29.52,29.32,29.79,30.76,30.90,30.78,30.62
1965,30.61,30.71,29.74,30.26,30.44,30.10,28.74,29.60,30.67,31.73,31.69,30.78
1966,30.46,30.23,30.13,30.98,30.17,29.88,29.60,29.72,30.66,31.22,31.51,30.71
1967,29.97,29.76,29.96,30.53,30.21,28.88,28.65,29.51,30.18,31.51,31.65,30.90
1968,30.19,29.33,29.92,30.32,29.63,29.90,29.10,29.56,30.51,31.17,31.31,30.81
1969,30.58,30.04,30.29,30.39,30.39,29.36,30.01,30.02,30.36,31.35,31.80,30.96
1970,31.33,30.61,30.75,30.87,30.28,30.23,29.39,29.84,30.77,31.84,31.58,30.22
1971,30.34,29.66,29.50,30.05,29.92,28.97,29.04,30.29,30.82,31.29,30.70,30.37
