,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,29.23,29.31,29.27,29.43,29.06,28.63,27.87,27.97,28.64,29.44,29.63,29.44
1902,29.19,29.31,29.27,29.44,29.07,28.62,27.88,27.98,28.64,29.43,29.63,29.44
1903,29.35,29.35,29.38,29.46,29.03,28.61,27.90,27.93,28.60,29.30,29.60,29.44
1904,29.21,29.28,29.27,29.39,29.02,28.48,27.76,27.79,28.47,29.31,29.48,29.44
1905,29.28,29.18,29.29,29.49,29.05,28.67,27.78,27.79,28.56,29.40,29.53,29.55
1906,29.32,29.51,29.35,29.57,29.08,28.63,27.87,27.87,28.62,29.31,29.61,29.50
1907,29.18,29.32,29.22,29.45,29.02,28.63,27.83,27.89,28.47,29.30,29.54,29.44
1908,29.18,29.37,29.30,29.42,29.02,28.48,27.83,27.96,28.59,29.26,29.56,29.42
1909,29.26,29.43,29.31,29.50,29.17,28.71,28.08,28.10,28.65,29.47,29.64,29.42
1910,29.28,29.33,29.30,29.48,29.10,28.68,27.98,28.05,28.70,29.50,29.63,29.54
1911,29.32,29.30,29.36,29.47,29.02,28.55,27.80,27.96,28.43,29.33,29.62,29.59
1912,29.21,29.44,29.34,29.56,29.01,28.77,27.89,27.83,28.59,29.35,29.63,29.53
1913,29.30,29.32,29.34,29.43,29.03,28.57,27.82,27.85,28.42,29.23,29.65,29.45
1914,29.29,29.31,29.37,29.55,29.08,28.58,27.76,27.75,28.41,29.18,29.45,29.44
1915,29.22,29.41,29.34,29.44,29.11,28.62,27.98,27.97,28.75,29.43,29.70,29.53
1916,29.15,29.41,29.35,29.50,29.04,28.68,28.05,28.09,28.66,29.46,29.69,29.49
1917,29.23,29.38,29.26,29.48,29.08,28.60,28.02,28.01,28.68,29.45,29.70,29.34
1918,29.20,29.23,29.25,29.41,28.93,28.47,27.65,27.81,28.40,29.30,29.67,29.47
1919,29.19,29.39,29.31,29.43,29.03,28.43,27.67,27.79,28.48,29.25,29.61,29.44
1920,29.19,29.29,29.38,29.50,29.06,28.71,27.90,27.96,28.59,29.37,29.55,29.43
1921,29.19,29.40,29.38,29.36,29.04,28.71,27.88,27.85,28.62,29.42,29.57,29.46
1922,29.31,29.41,29.29,29.40,28.91,28.60,27.90,27.79,28.61,29.42,29.55,29.51
1923,29.29,29.26,29.16,29.38,29.02,28.47,27.62,27.93,28.37,29.34,29.61,29.54
1924,29.28,29.42,29.40,29.45,29.06,28.63,27.80,27.92,28.62,29.48,29.74,29.45
1925,29.29,29.39,29.30,29.34,28.95,28.53,27.76,27.83,28.53,29.26,29.58,29.52
1926,29.21,29.44,29.43,29.51,29.15,28.61,27.88,28.00,28.67,29.47,29.63,29.50
1927,29.22,29.40,29.45,29.49,29.11,28.71,27.88,27.82,28.47,29.31,29.56,29.46
1928,29.24,29.44,29.34,29.56,29.03,28.52,27.75,27.89,28.62,29.44,29.64,29.60
1929,29.18,29.22,29.27,29.50,28.93,28.57,27.85,27.82,28.45,29.36,29.64,29.38
