,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,30.22,30.17,30.04,29.90,29.47,28.96,28.39,28.44,29.14,29.85,30.38,30.33
1902,30.18,30.17,30.05,29.92,29.48,28.95,28.41,28.46,29.13,29.84,30.38,30.31
1903,30.20,30.18,30.06,29.91,29.48,28.92,28.43,28.48,29.16,29.85,30.38,30.31
1904,30.16,30.17,30.04,29.88,29.48,28.91,28.41,28.46,29.14,29.84,30.38,30.31
1905,30.17,30.17,30.07,29.91,29.50,28.95,28.43,28.46,29.14,29.84,30.39,30.35
1906,30.22,30.20,30.07,29.95,29.51,28.98,28.45,28.49,29.14,29.84,30.36,30.31
1907,30.18,30.17,30.05,29.90,29.48,28.93,28.42,28.47,29.14,29.85,30.39,30.31
1908,30.19,30.18,30.05,29.91,29.49,28.92,28.41,28.48,29.14,29.84,30.39,30.31
1909,30.20,30.19,30.05,29.90,29.47,28.95,28.43,28.49,29.14,29.86,30.38,30.31
1910,30.18,30.17,30.04,29.89,29.47,28.93,28.44,28.50,29.16,29.86,30.38,30.31
1911,30.20,30.19,30.09,29.90,29.46,28.91,28.40,28.45,29.14,29.84,30.39,30.34
1912,30.18,30.17,30.04,29.90,29.47,28.94,28.43,28.46,29.16,29.85,30.38,30.33
1913,30.18,30.17,30.04,29.90,29.42,28.89,28.39,28.46,29.12,29.84,30.42,30.34
1914,30.18,30.20,30.06,29.92,29.47,28.92,28.38,28.46,29.14,29.84,30.38,30.32
1915,30.18,30.19,30.07,29.93,29.47,28.93,28.45,28.48,29.17,29.86,30.40,30.30
1916,30.18,30.17,30.05,29.92,29.49,28.97,28.46,28.50,29.16,29.85,30.38,30.31
1917,30.17,30.17,30.05,29.90,29.46,28.93,28.44,28.49,29.16,29.84,30.38,30.29
1918,30.16,30.16,30.05,29.90,29.46,28.92,28.40,28.48,29.14,29.85,30.41,30.32
1919,30.18,30.19,30.06,29.90,29.46,28.92,28.38,28.46,29.14,29.84,30.38,30.32
1920,30.18,30.17,30.06,29.92,29.49,28.97,28.46,28.50,29.16,29.85,30.38,30.31
1921,30.18,30.17,30.04,29.90,29.49,28.97,28.42,28.46,29.15,29.86,30.40,30.32
1922,30.18,30.17,30.04,29.91,29.46,28.92,28.39,28.43,29.14,29.84,30.40,30.31
1923,30.18,30.17,30.04,29.90,29.47,28.92,28.39,28.43,29.13,29.84,30.39,30.31
1924,30.08,30.10,29.99,29.78,29.38,28.87,28.33,28.43,29.04,29.75,30.29,30.17
1925,30.11,30.09,29.97,29.80,29.34,28.85,28.32,28.43,29.07,29.76,30.28,30.25
