,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,31.14,31.55,32.17,32.09,32.38,31.60,31.66,31.51,31.67,31.90,31.83,30.88
1902,31.06,31.52,31.93,31.99,32.38,31.62,31.39,31.56,31.70,31.95,31.83,31.06
1903,31.35,31.65,32.05,31.96,32.38,31.62,31.42,31.56,31.70,31.72,31.83,30.81
1904,31.01,31.46,32.17,31.87,32.38,31.89,31.66,31.44,31.94,31.68,31.83,30.88
1905,31.16,31.62,32.05,31.91,32.38,31.79,31.50,31.54,31.70,31.99,31.83,31.11
1906,31.26,31.84,32.05,32.07,32.38,31.70,31.47,31.54,31.67,31.72,31.83,30.85
1907,31.06,31.55,31.88,31.93,32.38,31.60,31.39,31.47,31.94,31.79,31.83,30.90
1908,31.19,31.65,32.02,32.04,32.38,31.60,31.66,31.54,31.94,31.75,31.83,30.96
1909,31.21,31.65,31.96,32.02,32.38,31.89,31.37,31.58,31.67,31.75,31.83,30.90
1910,31.19,31.69,31.93,31.91,32.38,31.62,31.45,31.51,31.94,31.64,31.83,30.90
1911,31.29,32.43,32.56,32.63,32.78,32.34,32.48,31.88,32.35,32.23,33.12,31.91
1912,32.53,32.70,33.22,32.85,32.78,31.89,31.95,32.10,32.34,32.34,32.62,31.82
1913,31.84,32.54,33.08,32.11,32.78,31.71,32.01,32.19,32.37,32.67,32.82,32.00
1914,31.87,32.86,32.72,32.55,33.76,31.85,32.15,32.59,32.74,32.84,33.30,32.47
1915,32.02,32.56,32.74,32.78,33.17,32.60,31.84,32.80,32.35,32.58,33.12,31.80
1916,31.53,32.57,32.46,32.65,32.58,31.93,31.20,31.76,32.39,32.62,32.92,31.63
1917,31.14,31.44,32.07,32.30,31.58,31.75,31.81,31.56,32.24,32.58,32.92,31.67
1918,29.93,30.36,32.17,32.05,32.08,31.39,31.93,32.17,32.22,32.16,32.92,31.05
1919,32.19,32.80,33.15,32.87,33.27,32.50,31.70,32.39,32.41,32.50,32.72,31.50
1920,31.63,32.33,33.06,32.54,32.98,32.52,32.17,31.67,32.74,32.78,33.30,30.98
1921,31.74,31.88,32.38,32.44,32.18,31.60,31.82,32.20,32.46,32.01,32.43,31.79
1922,32.32,32.12,32.13,31.84,32.08,31.75,31.87,31.69,32.41,32.17,33.30,32.22
1923,31.51,32.33,32.33,32.81,32.58,32.16,31.49,31.48,31.59,32.36,32.72,31.66
1924,31.70,32.05,31.78,32.44,32.10,31.61,32.15,32.62,31.87,31.59,31.70,31.11
1925,31.63,31.14,31.76,32.40,33.22,32.73,32.05,32.82,32.76,32.30,32.89,31.71
1926,31.53,32.99,33.50,33.55,33.08,32.45,32.48,32.69,32.56,32.52,32.99,31.80
1927,31.43,32.22,32.85,32.23,32.92,32.24,31.97,32.65,32.55,32.14,32.64,32.05
1928,32.13,31.68,32.43,32.53,33.11,32.37,32.40,32.29,32.75,32.51,32.44,31.82
1929,31.69,31.44,31.41,32.79,32.94,31.70,32.34,32.58,32.45,32.52,32.02,31.65
1930,32.08,32.60,32.12,32.90,32.48,32.26,32.88,33.51,32.68,32.30,32.56,32.25
1931,32.21,33.60,33.34,32.92,33.20,32.37,32.13,33.35,32.48,32.45,32.65,31.09
1932,31.34,32.44,31.85,32.09,32.23,31.49,32.03,32.19,32.22,32.41,31.92,31.99
1933,31.44,32.32,32.07,32.13,32.86,32.32,31.92,32.29,32.03,31.96,31.65,31.18
1934,30.40,31.00,31.12,31.76,32.65,31.60,31.90,32.21,32.45,31.88,32.32,32.11
1935,32.24,32.72,32.78,32.32,32.03,31.41,32.07,31.97,32.54,32.23,32.53,32.02
1936,31.84,33.11,32.26,32.44,32.50,31.73,31.94,31.93,32.26,31.77,32.19,32.05
1937,32.20,32.43,33.07,32.20,32.14,32.23,32.20,32.87,32.28,31.94,32.52,31.63
1938,31.86,32.97,31.99,32.22,32.16,32.41,32.07,31.56,32.15,32.54,32.49,31.99
1939,31.66,31.97,32.67,32.33,32.68,31.67,32.24,32.09,31.65,31.70,32.62,31.54
1940,32.03,32.26,33.30,32.92,32.75,32.39,32.42,31.71,32.12,32.91,32.98,32.24
1941,32.41,33.03,33.35,33.11,33.15,33.41,32.98,32.42,32.79,33.15,32.63,32.13
1942,31.27,31.83,32.24,32.16,32.38,31.89,31.66,31.79,31.93,31.99,31.84,31.17
1943,31.11,31.70,31.98,32.05,32.38,31.69,31.47,31.65,31.86,31.88,31.83,31.08
1944,31.16,31.72,32.03,32.17,32.38,31.90,31.66,31.78,31.90,32.08,31.84,31.16
1945,31.30,31.83,32.10,32.12,32.38,31.89,31.66,31.78,31.85,31.91,31.84,31.17
1946,31.44,31.69,31.88,32.02,32.15,31.76,31.66,31.76,31.77,32.02,31.76,31.31
1947,31.59,31.79,31.69,31.85,32.16,31.58,31.58,31.64,31.88,31.91,31.84,31.09
1948,31.28,31.89,32.52,33.51,33.06,32.67,32.04,32.59,32.69,32.91,32.17,32.67
