,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,28.49,28.63,28.52,29.23,28.98,28.70,28.51,28.91,29.21,29.81,29.26,28.71
1902,28.49,28.63,28.52,29.23,28.98,28.70,28.51,28.91,29.21,29.81,29.26,28.71
1903,28.49,28.63,28.52,29.23,28.98,28.70,28.51,28.91,29.21,29.81,29.26,28.71
1904,28.49,28.63,28.52,29.23,28.98,28.70,28.51,28.91,29.21,29.81,29.26,28.71
1905,28.49,28.63,28.52,29.23,28.98,28.70,28.51,28.91,29.21,29.81,29.26,28.71
1906,28.49,28.63,28.52,29.23,28.98,28.70,28.51,28.91,29.21,29.81,29.26,28.71
1907,28.49,28.63,28.52,29.23,28.98,28.70,28.51,28.91,29.21,29.81,29.26,28.71
1908,28.49,28.63,28.52,29.23,28.98,28.70,28.51,28.91,29.21,29.81,29.26,28.71
1909,28.49,28.63,28.52,29.23,28.98,28.70,28.51,28.91,29.21,29.81,29.26,28.71
1910,28.49,28.63,28.52,29.23,28.98,28.70,28.51,28.91,29.21,29.81,29.26,28.71
1911,28.49,28.63,28.52,29.23,28.98,28.70,28.51,28.91,29.21,29.81,29.26,28.71
1912,28.49,28.63,28.52,29.23,28.98,28.70,28.51,28.91,29.21,29.81,29.26,28.71
1913,28.49,28.63,28.52,29.23,28.98,28.70,28.51,28.91,29.21,29.81,29.26,28.71
1914,28.49,28.63,28.52,29.23,28.98,28.70,28.51,28.91,29.21,29.81,29.26,28.71
1915,28.29,28.33,28.43,29.11,28.84,28.70,28.47,28.90,29.21,29.81,29.26,28.71
1916,28.14,28.21,28.52,29.00,28.75,28.43,28.39,28.80,29.21,29.81,29.26,28.71
1917,28.23,28.33,28.22,28.95,28.79,28.51,28.45,28.91,29.21,29.81,29.26,28.71
1918,28.23,28.19,28.22,29.04,28.96,28.51,28.32,28.72,29.21,29.81,29.26,28.71
1919,28.49,28.63,28.45,29.09,28.82,28.55,28.27,28.68,29.21,29.81,29.26,28.71
1920,28.25,28.28,28.28,29.09,28.92,28.57,28.52,29.05,29.21,29.81,29.26,28.71
1921,28.48,28.54,28.22,28.97,28.70,28.61,28.47,28.91,29.21,29.81,29.26,28.71
1922,28.32,28.28,28.20,29.04,28.75,28.55,28.43,28.72,29.21,29.81,29.26,28.71
1923,28.49,28.58,28.34,29.17,28.84,28.61,28.37,28.49,29.21,29.81,29.26,28.71
1924,28.51,28.48,28.43,29.11,29.03,28.70,28.51,28.91,29.21,29.81,29.26,28.71
1925,28.49,28.36,28.22,29.09,28.92,28.55,28.37,28.85,29.21,29.81,29.26,28.71
1926,28.41,28.58,28.43,29.23,29.07,28.70,28.43,28.98,29.21,29.81,29.26,28.71
1927,28.41,28.63,28.47,29.23,28.98,28.70,28.52,28.91,29.21,29.81,29.26,28.71
1928,28.61,28.63,28.39,29.17,29.00,28.70,28.51,29.03,29.21,29.81,29.26,28.71
1929,28.42,28.58,28.28,29.09,28.72,28.55,28.22,28.72,29.21,29.81,29.26,28.71
1930,28.51,28.48,28.45,29.03,28.98,28.47,28.37,28.85,29.21,29.81,29.26,28.71
1931,28.61,28.63,28.60,29.23,29.03,28.79,28.52,28.95,29.21,29.81,29.26,28.71
1932,28.49,28.48,28.32,29.07,28.98,28.63,28.45,28.77,29.21,29.81,29.26,28.71
1933,28.61,28.40,28.34,29.07,29.00,28.65,28.39,29.23,29.21,29.81,29.26,28.71
1934,28.49,28.39,28.24,29.03,28.82,28.61,28.51,28.80,29.21,29.81,29.26,28.71
1935,28.56,28.63,28.52,29.07,28.98,28.51,28.28,28.65,29.21,29.81,29.26,28.71
1936,28.49,28.58,28.43,29.09,29.00,28.65,28.43,28.91,29.21,29.81,29.26,28.71
1937,28.36,28.69,28.52,29.11,28.84,28.47,28.24,28.59,29.21,29.81,29.26,28.71
1938,28.68,28.69,28.52,29.17,28.98,28.44,28.43,28.72,29.21,29.81,29.26,28.71
1939,28.68,28.78,28.39,29.15,28.76,28.43,28.59,28.91,29.21,29.81,29.26,28.71
1940,28.62,28.60,28.34,28.98,28.66,28.42,28.50,28.69,29.26,29.84,29.26,28.77
1941,28.76,28.79,28.74,29.36,29.14,28.78,28.41,28.83,29.25,29.94,29.26,28.71
1942,28.81,28.86,28.66,29.22,29.03,28.79,28.16,28.77,29.21,29.81,29.26,28.71
1943,28.49,28.63,28.52,29.23,28.98,28.70,28.51,28.91,29.21,29.81,29.26,28.71
1944,28.73,28.69,28.66,28.97,28.75,28.44,28.14,28.59,29.21,29.81,29.26,28.71
1945,28.75,28.70,28.52,29.22,28.90,28.22,28.14,28.72,29.21,29.81,29.26,28.71
1946,28.63,28.36,28.52,29.15,28.72,28.78,28.89,29.46,29.21,29.81,29.26,28.71
1947,28.75,28.83,28.45,28.83,29.03,28.78,28.51,28.91,29.21,29.81,29.26,28.71
1948,27.78,28.63,28.52,29.09,29.15,28.93,28.47,28.63,29.21,29.81,29.26,28.71
1949,28.68,28.77,27.97,28.41,28.81,27.92,28.27,28.64,29.04,29.81,29.06,28.71
1950,28.65,28.21,29.22,29.15,28.96,29.13,28.35,28.72,29.26,29.81,28.41,27.81
1951,28.54,28.38,28.41,29.16,28.87,29.22,28.38,28.81,29.21,30.18,30.14,28.74
1952,28.71,29.20,27.97,29.15,28.86,28.50,28.42,28.81,29.67,29.82,28.61,28.56
1953,28.60,28.62,28.67,29.47,28.90,29.15,28.34,28.76,29.70,30.44,28.92,29.00
1954,28.76,28.93,28.52,29.62,29.07,28.87,28.46,28.76,29.37,29.33,28.28,28.40
1955,28.65,28.43,28.52,29.23,28.99,28.50,28.41,28.90,29.21,29.66,28.22,28.61
1956,28.49,28.63,28.52,29.43,28.96,28.50,28.38,28.88,28.87,29.12,28.73,27.88
1957,28.49,28.33,28.49,29.64,29.02,29.11,28.53,28.86,28.82,30.08,29.43,28.78
1958,28.82,28.90,29.31,29.63,29.11,28.81,28.50,28.91,29.12,29.56,28.96,28.60
1959,28.46,28.74,28.23,29.08,29.09,28.36,28.38,28.76,29.08,30.07,29.38,28.54
1960,28.49,28.62,28.61,29.28,28.91,28.59,28.45,29.01,29.26,30.11,29.44,29.30
1961,28.51,29.04,28.99,29.64,28.98,28.47,28.27,28.53,28.83,29.83,29.53,29.21
1962,28.39,28.40,28.54,29.25,28.88,28.89,28.63,28.78,29.23,30.24,29.69,28.89
1963,28.22,28.46,28.15,29.53,28.88,28.81,28.40,28.57,29.01,30.11,30.20,29.37
1964,28.81,29.18,28.52,29.44,28.99,28.60,28.42,28.89,29.29,29.28,28.59,28.36
1965,28.31,28.54,28.55,29.05,28.83,28.85,28.43,28.75,29.18,30.23,29.46,28.88
