,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,29.25,29.26,29.11,29.53,29.42,28.98,28.92,29.25,29.75,30.32,29.94,29.30
1902,29.25,29.26,29.11,29.53,29.42,28.98,28.92,29.25,29.75,30.32,29.94,29.30
1903,29.25,29.26,29.11,29.53,29.42,28.98,28.92,29.25,29.75,30.32,29.94,29.30
1904,29.25,29.26,29.11,29.53,29.42,28.98,28.92,29.25,29.75,30.32,29.94,29.30
1905,29.25,29.26,29.11,29.53,29.42,28.98,28.92,29.25,29.75,30.32,29.94,29.30
1906,29.25,29.26,29.11,29.53,29.42,28.98,28.92,29.25,29.75,30.32,29.94,29.30
1907,29.25,29.26,29.11,29.53,29.42,28.98,28.92,29.25,29.75,30.32,29.94,29.30
1908,29.25,29.26,29.11,29.53,29.42,28.98,28.92,29.25,29.75,30.32,29.94,29.30
1909,29.25,29.26,29.11,29.53,29.42,28.98,28.92,29.25,29.75,30.32,29.94,29.30
1910,29.25,29.26,29.11,29.53,29.42,28.98,28.92,29.25,29.75,30.32,29.94,29.30
1911,29.25,29.26,29.11,29.53,29.42,28.98,28.92,29.25,29.75,30.32,29.94,29.30
1912,29.25,29.26,29.11,29.53,29.42,28.98,28.92,29.25,29.75,30.32,29.94,29.30
1913,29.25,29.26,29.11,29.53,29.42,28.98,28.92,29.25,29.75,30.32,29.94,29.30
1914,29.25,29.26,29.11,29.53,29.42,28.98,28.92,29.25,29.75,30.32,29.94,29.30
1915,29.07,28.97,29.02,29.43,29.28,28.98,28.88,29.24,29.75,30.32,29.94,29.30
1916,28.91,28.86,29.11,29.30,29.18,28.70,28.79,29.15,29.75,30.32,29.94,29.30
1917,28.98,28.97,28.82,29.24,29.23,28.78,28.85,29.25,29.75,30.32,29.94,29.30
1918,28.98,28.82,28.82,29.36,29.39,28.78,28.73,29.07,29.75,30.32,29.94,29.30
1919,29.25,29.26,29.05,29.40,29.26,28.83,28.67,29.02,29.75,30.32,29.94,29.30
1920,29.01,28.92,28.86,29.40,29.35,28.85,28.93,29.40,29.75,30.32,29.94,29.30
1921,29.22,29.17,28.82,29.27,29.12,28.88,28.88,29.25,29.75,30.32,29.94,29.30
1922,29.09,28.92,28.80,29.36,29.18,28.83,28.82,29.07,29.75,30.32,29.94,29.30
1923,29.25,29.22,28.95,29.47,29.28,28.88,28.77,28.84,29.75,30.32,29.94,29.30
1924,29.29,29.12,29.02,29.43,29.48,28.98,28.92,29.25,29.75,30.32,29.94,29.30
1925,29.25,28.99,28.82,29.40,29.35,28.83,28.77,29.19,29.75,30.32,29.94,29.30
1926,29.17,29.22,29.02,29.53,29.49,28.98,28.82,29.32,29.75,30.32,29.94,29.30
1927,29.17,29.27,29.07,29.53,29.42,28.98,28.93,29.25,29.75,30.32,29.94,29.30
1928,29.36,29.26,28.99,29.47,29.44,28.98,28.92,29.37,29.75,30.32,29.94,29.30
1929,29.18,29.22,28.86,29.40,29.15,28.83,28.62,29.07,29.75,30.32,29.94,29.30
1930,29.29,29.12,29.05,29.33,29.42,28.76,28.77,29.19,29.75,30.32,29.94,29.30
1931,29.36,29.26,29.19,29.53,29.48,29.08,28.93,29.29,29.75,30.32,29.94,29.30
1932,29.25,29.12,28.92,29.37,29.42,28.91,28.85,29.12,29.75,30.32,29.94,29.30
1933,29.36,29.05,28.95,29.37,29.44,28.93,28.79,29.58,29.75,30.32,29.94,29.30
1934,29.25,29.01,28.84,29.33,29.26,28.88,28.92,29.15,29.75,30.32,29.94,29.30
1935,29.31,29.26,29.11,29.37,29.42,28.78,28.70,29.00,29.75,30.32,29.94,29.30
1936,29.25,29.22,29.02,29.40,29.44,28.93,28.82,29.25,29.75,30.32,29.94,29.30
1937,29.14,29.32,29.12,29.43,29.28,28.76,28.65,28.96,29.75,30.32,29.94,29.30
1938,29.43,29.32,29.11,29.47,29.42,28.73,28.82,29.07,29.75,30.32,29.94,29.30
1939,29.43,29.42,28.99,29.46,29.21,28.70,28.99,29.25,29.75,30.32,29.94,29.30
1940,29.45,29.31,28.86,29.13,28.93,28.55,28.80,28.89,29.76,30.32,29.94,29.30
1941,29.51,29.35,29.32,29.61,29.50,28.94,28.66,28.96,29.75,30.35,29.94,29.30
1942,29.57,29.50,29.24,29.51,29.48,29.08,28.57,29.13,29.75,30.32,29.94,29.30
1943,29.25,29.26,29.11,29.53,29.42,28.98,28.92,29.25,29.75,30.32,29.94,29.30
1944,29.48,29.32,29.24,29.27,29.18,28.73,28.55,28.96,29.75,30.32,29.94,29.30
1945,29.51,29.33,29.11,29.51,29.33,28.50,28.55,29.07,29.75,30.32,29.94,29.30
1946,29.38,29.00,29.11,29.45,29.15,29.05,29.30,29.81,29.75,30.32,29.94,29.30
1947,29.51,29.48,29.05,29.15,29.48,29.05,28.92,29.25,29.75,30.32,29.94,29.30
1948,28.55,29.26,29.11,29.40,29.58,29.21,28.88,28.96,29.75,30.32,29.94,29.30
1949,29.43,29.39,28.54,28.70,29.25,28.18,28.67,28.98,29.60,30.32,29.74,29.30
1950,29.35,28.75,29.89,29.40,29.35,29.37,28.56,28.97,29.75,30.32,28.79,28.09
1951,29.18,28.85,28.91,29.39,29.22,29.51,28.72,29.02,29.75,30.72,30.88,29.25
1952,29.40,29.77,28.36,29.30,29.24,28.63,28.75,29.07,30.26,30.25,29.07,29.05
1953,29.32,29.13,29.10,29.63,29.25,29.37,28.65,28.98,30.28,31.01,29.39,29.50
1954,29.46,29.46,29.01,29.92,29.48,29.18,28.83,28.99,29.87,29.74,28.62,28.78
1955,29.38,29.02,29.15,29.48,29.39,28.78,28.77,29.20,29.74,29.97,28.71,29.12
1956,29.21,29.25,29.09,29.70,29.39,28.74,28.76,29.20,29.31,29.54,29.29,28.29
1957,29.25,28.96,29.01,30.02,29.46,29.39,28.89,29.12,29.16,30.53,30.03,29.16
1958,29.56,29.46,29.94,29.93,29.54,29.05,28.83,29.25,29.54,29.94,29.54,29.06
