,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,28.69,28.79,28.79,28.94,28.98,28.65,28.40,28.85,28.98,29.84,29.09,28.87
1902,28.69,28.79,28.79,28.94,28.98,28.65,28.40,28.85,28.98,29.84,29.09,28.87
1903,28.69,28.79,28.79,28.94,28.98,28.65,28.39,28.85,28.98,29.83,29.08,28.87
1904,28.69,28.79,28.78,28.94,28.97,28.64,28.40,28.84,28.98,29.83,29.08,28.87
1905,28.69,28.79,28.79,28.94,28.98,28.65,28.40,28.84,28.98,29.83,29.08,28.87
1906,28.69,28.79,28.79,28.94,28.98,28.64,28.40,28.85,28.98,29.83,29.08,28.87
1907,28.68,28.77,28.75,28.93,28.97,28.65,28.39,28.84,28.98,29.83,29.09,28.87
1908,28.69,28.81,28.78,28.94,28.96,28.64,28.38,28.85,28.98,29.84,29.08,28.87
1909,28.69,28.79,28.79,28.94,28.97,28.65,28.39,28.85,28.98,29.84,29.07,28.86
1910,28.69,28.79,28.79,28.93,28.96,28.65,28.40,28.83,28.97,29.84,29.08,28.87
1911,28.71,28.79,28.79,28.93,28.96,28.63,28.38,28.83,28.97,29.83,29.08,28.87
1912,28.69,28.80,28.79,28.94,28.98,28.63,28.39,28.83,28.97,29.83,29.08,28.87
1913,28.71,28.81,28.79,28.93,28.97,28.65,28.38,28.83,28.97,29.83,29.09,28.88
1914,28.69,28.79,28.79,28.94,28.98,28.65,28.40,28.85,28.98,29.84,29.09,28.87
1915,28.68,28.78,28.79,28.94,28.97,28.63,28.40,28.85,28.98,29.83,29.09,28.87
1916,28.68,28.78,28.79,28.94,28.96,28.61,28.38,28.84,28.98,29.84,29.09,28.87
1917,28.68,28.77,28.76,28.92,28.95,28.62,28.40,28.84,28.98,29.83,29.09,28.88
1918,28.67,28.75,28.76,28.93,28.96,28.62,28.38,28.83,28.98,29.84,29.09,28.87
1919,28.69,28.80,28.79,28.94,28.96,28.63,28.36,28.83,28.97,29.82,29.08,28.86
1920,28.67,28.76,28.77,28.93,28.98,28.65,28.40,28.85,28.98,29.83,29.07,28.85
1921,28.68,28.79,28.75,28.91,28.95,28.63,28.40,28.84,28.98,29.82,29.09,28.86
1922,28.69,28.76,28.74,28.92,28.96,28.65,28.40,28.82,28.97,29.84,29.08,28.87
1923,28.69,28.79,28.75,28.94,28.97,28.63,28.39,28.80,28.98,29.82,29.08,28.86
1924,28.69,28.79,28.77,28.94,28.98,28.65,28.38,28.83,28.97,29.82,29.08,28.87
1925,28.69,28.77,28.74,28.93,28.97,28.63,28.39,28.85,28.98,29.82,29.08,28.85
1926,28.68,28.79,28.79,28.94,28.98,28.63,28.40,28.85,28.98,29.82,29.08,28.86
1927,28.69,28.79,28.77,28.94,28.98,28.65,28.40,28.83,28.98,29.83,29.09,28.88
1928,28.71,28.79,28.78,28.94,28.98,28.63,28.40,28.84,28.98,29.83,29.08,28.87
1929,28.70,28.79,28.76,28.93,28.96,28.63,28.36,28.82,28.97,29.82,29.08,28.87
1930,28.69,28.80,28.79,28.92,28.96,28.62,28.38,28.84,28.97,29.83,29.08,28.87
1931,28.70,28.79,28.79,28.94,28.98,28.64,28.40,28.84,28.98,29.82,29.09,28.87
1932,28.69,28.79,28.77,28.94,28.98,28.65,28.40,28.85,28.97,29.83,29.08,28.86
1933,28.70,28.78,28.76,28.94,28.98,28.63,28.37,28.88,28.97,29.82,29.09,28.89
1934,28.69,28.77,28.76,28.92,28.96,28.63,28.40,28.85,28.98,29.83,29.08,28.87
1935,28.69,28.80,28.78,28.94,28.96,28.63,28.38,28.82,28.97,29.83,29.08,28.87
1936,28.69,28.81,28.78,28.93,28.98,28.63,28.40,28.85,28.97,29.82,29.08,28.87
1937,28.69,28.79,28.79,28.93,28.97,28.62,28.36,28.81,28.98,29.83,29.08,28.86
1938,28.69,28.78,28.77,28.94,28.98,28.63,28.40,28.84,28.98,29.82,29.08,28.86
1939,28.69,28.79,28.77,28.94,28.96,28.63,28.40,28.85,28.97,29.82,29.08,28.86
1940,28.69,28.71,28.73,28.93,28.94,28.63,28.43,28.84,29.01,29.86,29.08,28.92
1941,28.81,28.89,28.87,29.05,29.07,28.75,28.44,28.94,29.00,29.93,29.09,28.87
1942,28.72,28.81,28.79,28.94,28.98,28.65,28.37,28.85,28.98,29.84,29.09,28.87
1943,28.69,28.79,28.79,28.94,28.98,28.65,28.40,28.85,28.98,29.84,29.09,28.87
1944,28.72,28.79,28.79,28.93,28.96,28.63,28.37,28.82,28.98,29.84,29.09,28.87
1945,28.72,28.79,28.79,28.94,28.98,28.60,28.37,28.84,28.98,29.84,29.09,28.87
1946,28.70,28.77,28.79,28.94,28.96,28.65,28.43,28.90,28.98,29.84,29.09,28.87
1947,28.72,28.81,28.79,28.91,28.98,28.65,28.40,28.85,28.99,29.84,29.09,28.87
1948,28.64,28.79,28.78,28.94,28.99,28.67,28.40,28.83,28.98,29.84,29.08,28.87
1949,28.70,28.80,28.26,28.06,28.96,28.01,28.38,28.83,28.98,29.84,28.94,28.87
1950,28.79,28.35,29.67,28.95,28.97,29.30,28.43,28.85,29.01,29.83,28.34,27.98
1951,28.79,28.54,28.57,28.90,28.95,29.12,28.26,28.86,28.92,30.25,29.73,28.88
1952,28.78,29.23,28.37,28.85,28.93,28.48,28.34,28.77,29.31,29.89,28.59,28.63
1953,28.67,28.64,28.69,29.06,28.94,29.14,28.24,28.74,29.36,30.37,28.70,28.88
1954,28.78,28.93,28.61,29.20,28.84,28.72,28.24,28.74,28.92,29.47,28.25,28.41
1955,28.65,28.54,28.80,28.92,28.86,28.40,28.25,28.77,28.97,29.65,28.29,28.61
1956,28.57,28.74,28.73,29.06,28.72,28.40,28.18,28.67,28.65,29.21,28.60,28.05
1957,28.61,28.52,28.79,29.29,28.98,29.10,28.41,28.83,28.64,30.04,29.12,28.86
1958,28.86,29.03,29.43,29.21,29.02,28.74,28.46,28.82,28.97,29.61,28.97,28.75
1959,28.65,28.82,28.54,28.81,28.93,28.45,28.25,28.70,28.84,29.96,29.09,28.75
1960,28.71,28.68,28.83,29.19,28.93,28.63,28.35,28.97,28.86,30.07,29.34,29.37
1961,28.56,29.12,29.15,29.23,28.92,28.52,28.30,28.72,28.78,29.80,29.42,29.30
1962,28.59,28.75,28.74,28.99,28.89,28.77,28.41,28.67,28.94,30.22,29.43,29.06
1963,28.40,28.74,28.42,28.99,28.88,28.81,28.40,28.63,28.88,30.03,29.88,29.52
1964,28.83,29.21,28.74,29.24,28.90,28.55,28.21,28.74,29.02,29.47,28.55,28.48
1965,28.36,28.67,28.74,28.88,28.82,28.85,28.30,28.65,29.13,30.25,29.15,28.92
1966,28.81,29.13,28.87,29.32,29.02,28.65,28.26,28.76,29.13,29.90,29.17,29.03
1967,28.67,28.72,28.79,28.57,28.86,28.48,28.30,28.85,28.57,29.46,28.91,28.86
1968,28.56,28.30,28.75,28.66,28.84,28.80,28.42,28.80,28.71,29.48,28.90,28.95
1969,28.69,28.99,29.13,29.07,29.05,28.64,28.36,28.73,28.90,29.84,29.13,28.68
1970,28.70,28.91,28.98,29.05,28.90,28.56,28.32,28.75,28.96,29.90,29.05,28.60
1971,28.57,28.40,28.51,28.51,28.93,28.27,28.32,28.72,28.80,29.46,28.38,28.67
1972,28.51,28.65,28.28,28.64,28.90,28.33,28.56,28.84,29.16,30.02,29.77,29.69
1973,28.79,29.32,29.02,29.21,28.93,29.13,28.47,28.83,28.88,29.94,28.64,28.74
1974,28.50,28.43,28.70,28.77,28.94,28.49,28.34,28.98,29.11,29.59,28.94,28.73
1975,28.73,28.83,28.47,28.97,28.89,28.70,28.37,28.98,28.74,29.54,28.73,28.71
1976,28.54,28.29,28.29,28.63,28.88,28.15,28.28,28.79,28.95,29.84,28.80,28.75
1977,28.79,28.20,28.39,28.69,29.07,28.11,28.36,28.78,28.99,29.96,29.06,28.77
1978,28.69,28.64,28.97,28.77,28.99,28.46,28.37,28.87,28.96,29.62,28.56,28.54
1979,28.72,29.37,28.28,28.96,28.98,28.87,28.37,28.96,29.23,29.84,29.18,28.05
1980,28.74,28.60,28.71,28.85,29.12,28.86,28.45,28.82,29.30,30.12,29.16,28.56
1981,28.64,28.61,28.62,28.87,28.99,28.70,28.48,29.09,29.08,29.92,29.19,28.53
1982,28.75,28.85,28.86,28.94,29.02,28.64,28.48,28.86,29.07,29.87,29.86,29.64
1983,28.90,29.39,29.67,29.41,29.10,28.82,28.43,28.99,29.25,29.85,28.63,28.71
1984,28.73,28.40,28.63,28.56,28.89,28.33,28.36,28.95,28.45,29.41,28.86,28.93
1985,28.75,29.07,28.91,28.78,28.99,28.72,28.25,28.94,28.95,29.84,29.18,28.92
