,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,30.24,30.17,30.07,30.08,29.70,29.08,28.85,29.38,30.21,31.16,31.08,30.53
1902,30.24,30.17,30.07,30.08,29.70,29.08,28.85,29.38,30.21,31.16,31.08,30.53
1903,30.24,30.17,30.07,30.08,29.70,29.08,28.85,29.38,30.21,31.16,31.08,30.53
1904,30.24,30.17,30.07,30.08,29.70,29.08,28.85,29.38,30.21,31.16,31.08,30.53
1905,30.24,30.17,30.07,30.08,29.70,29.08,28.85,29.38,30.21,31.16,31.08,30.53
1906,30.24,30.17,30.07,30.08,29.70,29.08,28.85,29.38,30.21,31.16,31.08,30.53
1907,30.24,30.17,30.07,30.08,29.70,29.08,28.85,29.38,30.21,31.16,31.08,30.53
1908,30.24,30.17,30.07,30.08,29.70,29.08,28.85,29.38,30.21,31.16,31.08,30.53
1909,30.24,30.17,30.07,30.08,29.70,29.08,28.85,29.38,30.21,31.16,31.08,30.53
1910,30.24,30.17,30.07,30.08,29.70,29.08,28.85,29.38,30.21,31.16,31.08,30.53
1911,30.24,30.17,30.07,30.08,29.70,29.08,28.85,29.38,30.21,31.16,31.08,30.53
1912,30.24,30.17,30.07,30.08,29.70,29.08,28.85,29.38,30.21,31.16,31.08,30.53
1913,30.24,30.17,30.07,30.08,29.70,29.08,28.85,29.38,30.21,31.16,31.08,30.53
1914,30.24,30.17,30.07,30.08,29.70,29.08,28.85,29.38,30.21,31.16,31.08,30.53
1915,30.21,30.12,30.07,30.08,29.69,29.08,28.85,29.38,30.21,31.16,31.08,30.53
1916,30.19,30.09,30.07,30.04,29.66,29.04,28.84,29.38,30.21,31.16,31.08,30.53
1917,30.20,30.12,30.02,30.04,29.67,29.05,28.85,29.38,30.21,31.16,31.08,30.53
1918,30.20,30.09,30.02,30.05,29.70,29.05,28.82,29.35,30.21,31.16,31.08,30.53
1919,30.24,30.17,30.07,30.07,29.68,29.07,28.80,29.35,30.21,31.16,31.08,30.53
1920,30.20,30.11,30.03,30.07,29.70,29.08,28.85,29.39,30.21,31.16,31.08,30.53
1921,30.24,30.17,30.02,30.04,29.66,29.08,28.85,29.38,30.21,31.16,31.08,30.53
1922,30.23,30.11,30.02,30.05,29.66,29.07,28.85,29.35,30.21,31.16,31.08,30.53
1923,30.24,30.17,30.05,30.08,29.69,29.08,28.83,29.30,30.21,31.16,31.08,30.53
1924,30.24,30.15,30.07,30.08,29.70,29.08,28.85,29.38,30.21,31.16,31.08,30.53
1925,30.24,30.12,30.02,30.07,29.70,29.07,28.83,29.38,30.21,31.16,31.08,30.53
1926,30.24,30.17,30.07,30.08,29.71,29.08,28.85,29.38,30.21,31.16,31.08,30.53
1927,30.24,30.17,30.07,30.08,29.70,29.08,28.85,29.38,30.21,31.16,31.08,30.53
1928,30.24,30.17,30.07,30.08,29.70,29.08,28.85,29.39,30.21,31.16,31.08,30.53
1929,30.24,30.17,30.03,30.07,29.66,29.07,28.80,29.35,30.21,31.16,31.08,30.53
