,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,27.85,27.98,28.35,27.47,28.76,28.22,27.92,28.19,27.91,28.18,27.70,27.78
1902,27.85,27.98,28.35,27.47,28.76,28.22,27.92,28.19,27.91,28.18,27.70,27.78
1903,27.86,27.95,28.33,27.44,28.76,28.22,27.89,28.18,27.87,28.14,27.67,27.74
1904,27.82,27.90,28.29,27.38,28.68,28.15,27.89,28.12,27.90,28.11,27.62,27.71
1905,27.83,27.92,28.34,27.46,28.75,28.19,27.85,28.15,27.85,28.12,27.63,27.77
1906,27.84,27.99,28.34,27.47,28.76,28.18,27.89,28.17,27.84,28.12,27.64,27.77
1907,27.82,27.94,28.29,27.41,28.72,28.19,27.86,28.13,27.84,28.16,27.68,27.76
1908,27.84,27.97,28.32,27.45,28.70,28.18,27.88,28.18,27.87,28.16,27.66,27.75
1909,27.85,27.97,28.33,27.45,28.73,28.21,27.89,28.18,27.84,28.15,27.64,27.71
1910,27.85,27.98,28.32,27.41,28.70,28.20,27.91,28.17,27.84,28.15,27.64,27.77
1911,27.86,27.95,28.32,27.40,28.69,28.16,27.89,28.16,27.85,28.15,27.66,27.77
1912,27.84,27.98,28.35,27.47,28.76,28.24,27.89,28.16,27.88,28.14,27.66,27.76
1913,27.87,27.98,28.34,27.41,28.70,28.21,27.89,28.16,27.88,28.14,27.67,27.78
1914,27.83,27.95,28.35,27.47,28.75,28.20,27.91,28.18,27.87,28.17,27.70,27.79
1915,27.86,27.99,28.37,27.48,28.76,28.24,27.93,28.20,27.90,28.16,27.70,27.77
1916,27.84,27.98,28.32,27.41,28.66,28.18,27.91,28.19,27.88,28.15,27.66,27.78
1917,27.84,27.95,28.34,27.44,28.69,28.19,27.90,28.17,27.87,28.14,27.66,27.77
1918,27.76,27.90,28.27,27.39,28.73,28.15,27.91,28.15,27.90,28.15,27.67,27.74
1919,27.85,27.99,28.35,27.47,28.76,28.21,27.90,28.18,27.87,28.15,27.67,27.76
1920,27.84,27.98,28.34,27.46,28.73,28.22,27.91,28.18,27.88,28.14,27.67,27.75
1921,27.83,27.98,28.33,27.41,28.71,28.19,27.91,28.18,27.89,28.15,27.67,27.74
1922,27.85,27.98,28.34,27.47,28.73,28.21,27.89,28.17,27.88,28.17,27.69,27.77
1923,27.83,27.98,28.29,27.44,28.73,28.20,27.91,28.17,27.89,28.15,27.67,27.78
1924,27.84,27.98,28.33,27.46,28.75,28.21,27.90,28.18,27.89,28.16,27.66,27.71
1925,27.85,27.96,28.32,27.44,28.72,28.19,27.90,28.18,27.89,28.14,27.67,27.75
1926,27.82,27.98,28.33,27.47,28.77,28.22,27.90,28.18,27.89,28.17,27.67,27.74
1927,27.83,27.99,28.35,27.47,28.74,28.21,27.90,28.17,27.92,28.15,27.69,27.78
1928,27.87,27.98,28.35,27.46,28.75,28.21,27.91,28.19,27.90,28.16,27.70,27.77
1929,27.79,27.97,28.32,27.44,28.73,28.22,27.89,28.17,27.90,28.16,27.67,27.75
1930,27.84,27.97,28.34,27.45,28.73,28.21,27.91,28.18,27.90,28.19,27.69,27.77
