,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,30.41,30.40,30.87,31.29,31.67,30.79,31.09,31.17,31.53,32.00,31.72,30.67
1902,30.34,30.37,30.62,31.18,31.67,30.80,30.81,31.23,31.56,32.05,31.72,30.85
1903,30.62,30.49,30.75,31.15,31.67,30.80,30.84,31.23,31.56,31.82,31.72,30.59
1904,30.28,30.31,30.87,31.06,31.67,31.08,31.09,31.10,31.81,31.78,31.72,30.67
1905,30.44,30.47,30.75,31.12,31.67,30.99,30.92,31.20,31.56,32.10,31.72,30.90
1906,30.54,30.70,30.75,31.26,31.67,30.88,30.89,31.20,31.53,31.82,31.72,30.64
1907,30.34,30.40,30.57,31.14,31.67,30.79,30.81,31.13,31.81,31.90,31.72,30.69
1908,30.47,30.49,30.72,31.23,31.67,30.79,31.09,31.20,31.81,31.86,31.72,30.74
1909,30.49,30.49,30.64,31.20,31.67,31.08,30.79,31.25,31.53,31.86,31.72,30.69
1910,30.47,30.55,30.62,31.12,31.67,30.80,30.87,31.17,31.81,31.73,31.72,30.69
1911,30.55,31.19,31.21,31.77,32.05,31.46,31.78,31.51,32.15,32.29,32.87,31.58
1912,31.65,31.44,31.78,31.98,32.05,31.06,31.33,31.73,32.15,32.39,32.43,31.52
1913,31.04,31.30,31.66,31.30,32.05,30.90,31.39,31.79,32.18,32.69,32.61,31.68
1914,31.08,31.57,31.34,31.68,32.90,31.03,31.50,32.14,32.49,32.86,33.05,32.10
1915,31.20,31.31,31.39,31.91,32.37,31.69,31.24,32.33,32.15,32.62,32.87,31.50
1916,30.75,31.32,31.11,31.78,31.86,31.08,30.66,31.41,32.19,32.65,32.69,31.34
1917,30.41,30.32,30.77,31.46,30.97,30.95,31.21,31.23,32.10,32.64,32.69,31.41
1918,29.34,29.38,30.84,31.26,31.38,30.63,31.32,31.77,32.04,32.25,32.69,30.84
1919,31.35,31.53,31.73,31.97,32.46,31.60,31.10,31.97,32.20,32.53,32.52,31.24
1920,30.84,31.11,31.67,31.67,32.20,31.62,31.52,31.32,32.51,32.82,33.05,30.77
1921,30.95,30.70,31.05,31.58,31.48,30.79,31.20,31.81,32.24,32.09,32.25,31.47
1922,31.45,30.91,30.82,31.06,31.38,30.95,31.26,31.37,32.20,32.25,33.05,31.88
1923,30.73,31.11,31.00,31.92,31.86,31.31,30.90,31.16,31.48,32.42,32.52,31.37
1924,31.06,30.95,30.61,31.58,31.45,30.86,31.47,32.15,31.75,31.75,31.68,30.91
