,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,29.56,29.45,31.05,31.20,31.99,30.77,31.60,31.02,30.97,31.47,31.48,29.54
1902,29.30,29.37,30.15,30.84,31.99,30.87,30.63,31.21,31.06,31.65,31.48,30.15
1903,30.35,29.81,30.59,30.76,31.99,30.87,30.73,31.21,31.06,30.85,31.48,29.27
1904,29.12,29.10,31.05,30.39,31.99,31.85,31.60,30.76,31.96,30.66,31.48,29.54
1905,29.65,29.71,30.59,30.57,31.99,31.48,30.99,31.11,31.06,31.83,31.48,30.33
1906,30.10,30.62,30.59,31.11,31.99,31.13,30.90,31.11,30.97,30.85,31.48,29.44
1907,29.30,29.45,29.97,30.66,31.99,30.77,30.63,30.85,31.96,31.12,31.48,29.62
1908,29.75,29.81,30.50,31.02,31.99,30.77,31.60,31.11,31.96,30.93,31.48,29.80
1909,29.85,29.81,30.24,30.93,31.99,31.85,30.55,31.29,30.97,30.93,31.48,29.62
1910,29.75,29.99,30.15,30.57,31.99,30.87,30.81,31.02,31.96,30.58,31.48,29.62
1911,29.79,30.44,31.07,31.64,32.33,31.73,31.61,31.63,31.89,31.72,32.57,30.70
1912,30.59,30.83,31.33,32.07,32.33,31.51,31.40,32.05,31.84,31.86,32.16,30.65
1913,30.24,30.73,31.15,31.27,32.33,31.38,31.54,31.95,31.93,32.23,32.32,30.79
1914,30.34,30.91,31.17,31.60,33.16,31.56,31.58,32.18,32.06,32.52,32.74,31.20
1915,30.37,30.76,31.38,31.87,32.58,32.07,31.60,32.41,31.89,32.15,32.57,30.61
1916,29.76,30.61,30.84,31.68,32.10,31.45,31.06,31.65,31.84,32.09,32.40,30.32
1917,29.55,29.82,30.60,31.27,31.33,31.47,31.50,31.61,32.22,32.57,32.40,31.01
1918,28.70,29.25,30.56,31.58,31.75,31.42,31.49,31.90,31.84,32.02,32.40,30.25
1919,30.51,30.93,31.48,31.78,32.65,31.82,31.22,31.99,31.88,32.09,32.23,30.48
1920,29.87,30.49,31.70,31.42,32.44,31.87,31.64,31.43,32.63,32.73,32.74,29.89
1921,30.16,30.15,30.79,31.45,31.76,30.82,31.37,32.02,31.83,31.63,31.99,30.41
1922,30.49,30.25,30.74,31.20,31.70,31.47,31.50,31.78,31.88,31.72,32.74,30.88
1923,29.89,30.51,30.79,31.79,32.12,31.74,31.00,31.39,31.34,32.19,32.23,30.56
1924,30.65,30.67,30.84,31.46,31.92,31.55,31.72,32.33,31.68,30.85,31.58,30.15
1925,29.90,29.69,30.34,31.47,32.30,31.97,31.63,32.17,32.04,31.97,32.00,30.54
1926,29.93,30.66,31.09,32.34,32.55,31.97,31.79,32.25,31.90,31.97,32.08,30.61
1927,30.01,30.43,31.08,31.44,32.09,31.57,31.60,32.16,31.94,31.80,31.92,30.75
1928,30.45,30.51,30.90,31.53,32.32,31.58,31.51,31.72,31.90,31.92,31.75,30.65
1929,29.95,30.20,30.30,31.65,32.25,31.37,31.50,32.11,31.98,32.04,31.49,30.38
1930,30.37,30.53,30.89,31.57,32.07,31.67,31.98,32.83,32.20,32.04,32.10,31.02
1931,30.86,31.39,31.44,31.98,32.49,31.98,31.64,32.79,32.11,32.03,32.05,30.33
1932,29.85,30.42,30.54,31.31,31.73,31.23,31.62,32.13,31.85,32.13,31.52,30.60
1933,30.31,30.27,30.68,31.37,32.24,31.74,31.58,32.11,31.48,31.72,31.27,30.20
1934,29.47,29.69,30.06,31.10,32.10,31.45,31.47,32.05,31.84,31.88,31.81,30.64
1935,30.28,30.81,31.20,31.37,31.64,31.27,31.54,31.92,32.08,32.01,32.07,30.92
1936,30.32,31.07,31.00,31.45,32.15,31.48,31.62,31.93,32.00,31.70,31.78,30.88
1937,30.37,30.80,31.53,31.53,31.72,31.78,31.71,32.55,31.96,31.81,32.02,30.62
1938,30.26,30.99,31.01,31.63,31.79,31.73,31.49,31.64,31.96,32.16,31.99,30.72
1939,30.32,30.25,31.05,31.60,32.11,31.40,31.57,32.02,31.62,31.70,32.04,30.65
1940,30.11,30.50,31.53,31.94,32.11,32.05,31.90,31.89,32.05,32.72,32.36,31.04
1941,30.78,31.33,31.78,32.34,32.64,32.63,32.25,32.43,32.31,32.69,32.23,31.17
1942,30.16,30.57,31.33,31.49,32.00,31.86,31.44,31.99,31.86,31.83,31.48,30.58
1943,29.48,29.89,30.33,31.02,31.99,31.04,30.81,31.38,31.59,31.38,31.48,30.24
1944,29.73,30.13,30.57,31.42,31.93,31.70,31.44,32.03,31.76,32.06,31.48,30.48
1945,30.23,30.45,30.77,31.30,31.97,31.73,31.44,32.06,31.59,31.56,31.48,30.58
1946,31.12,30.78,31.05,31.69,31.92,31.84,31.60,32.28,31.65,32.14,31.47,30.88
1947,31.09,30.89,31.05,31.45,31.92,31.75,31.39,32.00,31.76,31.88,31.44,31.16
1948,30.09,30.76,31.45,32.62,32.49,32.20,31.78,32.45,32.23,32.67,31.84,31.24
1949,30.58,30.80,31.45,31.76,31.86,31.98,31.50,32.26,31.99,32.13,31.90,30.94
1950,30.80,30.72,31.15,31.49,31.99,31.80,31.44,31.92,31.81,31.58,31.72,30.52
1951,29.41,29.65,30.99,31.73,31.67,31.97,31.29,31.98,31.96,32.01,31.89,30.65
1952,30.13,30.45,30.74,31.68,31.83,31.94,31.47,31.85,31.91,31.96,31.14,30.42
1953,30.23,30.15,30.71,31.41,31.53,31.94,31.35,32.22,31.96,32.49,31.71,31.01
1954,30.13,30.38,31.06,31.49,31.72,31.55,31.30,31.87,31.75,31.43,30.95,30.19
1955,29.79,30.32,30.84,31.36,32.15,31.65,30.96,31.25,31.62,31.76,31.24,30.08
1956,29.38,30.24,30.86,31.54,31.55,31.31,31.10,31.53,31.61,31.69,31.10,30.15
1957,30.05,30.34,30.79,31.78,31.68,32.04,31.42,31.77,31.89,32.17,31.60,30.32
1958,30.60,30.56,31.16,32.09,32.31,32.07,31.80,31.79,32.12,32.21,31.10,30.44
1959,30.14,30.93,30.83,31.42,31.97,31.71,31.31,31.63,31.83,32.24,31.40,30.64
1960,29.44,30.01,30.91,30.99,31.79,31.84,31.29,32.22,31.87,32.08,31.10,30.52
1961,29.61,30.19,31.02,31.25,31.77,31.52,31.32,31.92,32.00,32.17,31.34,30.46
1962,29.38,29.98,30.36,31.10,31.84,31.27,31.29,31.17,31.66,31.45,31.20,30.18
1963,28.82,29.53,30.58,32.10,31.86,31.97,31.34,31.94,31.97,32.10,31.54,30.60
1964,30.62,30.59,30.59,31.21,31.81,31.37,30.84,31.58,31.42,30.98,31.05,29.90
1965,29.07,30.34,30.45,31.25,31.56,31.65,31.29,31.81,31.88,31.67,31.74,30.76
1966,30.26,30.51,30.89,31.88,31.81,31.66,31.13,31.78,32.02,31.56,31.25,30.32
1967,30.27,29.73,30.81,31.01,31.73,31.80,30.96,32.02,31.78,32.09,30.93,29.86
1968,29.97,29.86,31.21,31.95,31.81,31.62,30.91,31.24,31.70,31.73,31.30,30.20
1969,30.71,30.61,31.54,31.96,31.93,31.67,31.50,31.65,31.66,32.05,31.29,30.27
1970,30.30,30.57,31.41,31.72,31.70,31.54,31.30,31.81,31.56,31.73,31.16,30.23
1971,29.98,29.67,30.99,31.93,32.11,31.62,31.34,31.62,32.26,31.85,30.91,30.33
1972,29.33,30.71,30.53,31.53,31.66,32.10,32.12,32.42,32.30,33.32,31.83,31.10
1973,30.72,31.13,30.92,32.03,31.92,32.00,32.20,32.10,31.73,32.32,31.62,30.37
1974,29.52,30.17,31.05,31.98,31.69,31.77,31.42,32.03,31.75,32.46,31.45,30.93
1975,30.80,30.41,31.13,32.11,31.81,31.82,31.30,32.33,31.85,32.14,31.05,30.55
1976,29.20,30.41,30.76,31.60,31.94,31.95,31.61,32.13,32.04,32.14,31.26,30.82
1977,30.13,29.85,30.49,32.32,31.98,31.51,31.93,32.05,32.12,33.02,31.60,30.98
1978,30.31,30.98,30.92,31.61,31.65,31.36,31.36,32.06,31.73,31.81,31.44,30.52
1979,30.47,31.08,31.62,31.64,32.48,31.61,31.67,32.28,31.94,32.31,31.32,30.54
1980,30.42,30.80,31.35,31.47,32.27,32.13,32.20,31.68,32.08,32.29,31.65,30.45
1981,29.56,30.59,31.21,31.79,31.80,32.42,31.87,32.80,31.89,32.57,31.93,30.70
1982,30.36,30.92,31.17,31.55,32.09,32.37,32.17,32.55,32.65,32.89,32.30,31.44
1983,30.67,31.78,32.34,33.02,32.46,32.34,31.98,32.46,32.37,32.69,31.60,30.43
1984,29.82,29.87,30.65,31.50,31.79,31.87,31.49,32.00,31.51,31.98,31.47,30.32
1985,30.58,31.02,31.04,31.39,32.18,32.23,31.40,32.30,31.90,31.96,31.52,30.99
1986,29.77,30.88,30.66,31.62,32.45,31.96,32.08,32.80,31.96,32.00,31.57,31.09
1987,29.99,31.02,31.79,32.20,32.20,32.75,32.50,32.49,32.52,32.82,32.45,30.96
1988,30.83,31.17,31.47,32.17,32.57,32.08,31.63,31.91,32.10,32.31,31.40,30.80
1989,30.41,30.40,30.83,31.62,31.94,31.80,32.09,32.35,31.99,32.20,31.89,30.76
1990,30.25,31.08,31.94,32.60,32.70,32.46,31.91,32.75,32.35,32.56,32.05,30.99
1991,30.56,30.93,31.67,32.38,32.21,32.90,32.39,32.83,32.42,32.64,31.49,30.49
1992,30.08,31.14,31.58,32.29,32.19,32.35,31.90,32.78,32.39,32.01,31.44,30.66
1993,30.00,30.89,31.19,31.67,32.11,32.45,32.23,32.86,32.47,32.56,31.85,31.12
1994,30.65,31.13,30.67,32.23,32.05,32.03,32.28,32.57,32.52,32.52,31.59,31.43
1995,30.66,30.73,31.19,32.24,32.31,32.65,32.40,32.42,32.76,32.82,32.04,30.74
1996,30.11,30.41,31.52,31.87,32.76,32.14,32.89,32.68,32.87,32.43,32.26,30.95
1997,30.43,31.26,32.08,32.02,32.78,33.44,32.46,33.08,32.72,32.71,32.05,31.54
