,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,31.16,31.51,31.70,31.75,31.99,31.66,31.43,31.56,31.33,31.43,31.03,31.06
1902,31.15,31.50,31.71,31.76,31.99,31.66,31.43,31.55,31.33,31.43,31.03,31.06
1903,31.15,31.51,31.70,31.76,32.00,31.65,31.43,31.55,31.34,31.43,31.02,31.05
1904,31.15,31.50,31.70,31.75,31.99,31.65,31.43,31.55,31.33,31.42,31.02,31.06
1905,31.15,31.50,31.71,31.75,31.99,31.65,31.43,31.55,31.34,31.43,31.04,31.06
1906,31.16,31.50,31.70,31.76,32.00,31.66,31.43,31.55,31.34,31.43,31.03,31.06
1907,31.15,31.50,31.70,31.75,31.99,31.65,31.43,31.55,31.34,31.42,31.03,31.05
1908,31.15,31.50,31.70,31.75,31.99,31.65,31.43,31.55,31.33,31.43,31.02,31.06
1909,31.15,31.50,31.70,31.75,31.99,31.65,31.42,31.55,31.33,31.43,31.02,31.05
1910,31.15,31.50,31.70,31.75,31.99,31.65,31.43,31.55,31.33,31.42,31.03,31.05
1911,31.33,32.27,32.17,32.30,32.31,32.28,32.45,31.87,31.88,31.81,32.07,31.92
1912,32.47,32.44,32.87,32.39,32.32,31.83,31.89,31.94,31.88,31.89,31.65,31.83
1913,31.78,32.28,32.81,31.85,32.31,31.65,31.90,32.10,31.88,32.13,31.81,32.00
1914,31.78,32.60,32.33,32.22,33.11,31.75,32.05,32.48,32.27,32.22,32.21,32.40
1915,31.94,32.29,32.26,32.39,32.62,32.43,31.68,32.66,31.89,32.05,32.06,31.82
1916,31.61,32.36,32.17,32.31,32.16,31.89,31.12,31.72,31.95,32.13,31.89,31.75
1917,31.24,31.34,31.79,32.07,31.37,31.66,31.67,31.46,31.58,31.82,31.89,31.45
1918,30.14,30.32,31.94,31.59,31.76,31.27,31.83,32.10,31.73,31.61,31.90,31.06
1919,32.10,32.52,32.72,32.53,32.71,32.43,31.67,32.33,31.97,31.98,31.74,31.53
1920,31.70,32.12,32.42,32.30,32.47,32.43,32.06,31.72,31.96,31.98,32.20,31.05
1921,31.70,31.74,32.10,32.15,31.83,31.65,31.74,32.10,32.03,31.60,31.50,31.92
1922,32.25,31.96,31.79,31.52,31.76,31.65,31.74,31.55,31.96,31.74,32.20,32.22
1923,31.54,32.11,32.01,32.45,32.16,32.04,31.52,31.46,31.17,31.74,31.74,31.69
1924,31.55,31.77,31.41,32.14,31.72,31.47,31.95,32.43,31.34,31.27,30.88,31.20
1925,31.64,31.03,31.51,32.09,32.76,32.57,31.90,32.66,32.23,31.75,31.99,31.67
1926,31.50,32.74,33.17,33.09,32.55,32.26,32.27,32.50,32.05,31.98,32.07,31.83
1927,31.40,31.97,32.49,31.91,32.53,32.17,31.82,32.50,32.05,31.63,31.73,32.03
1928,32.00,31.40,32.07,32.20,32.63,32.31,32.30,32.27,32.27,31.98,31.59,31.88
1929,31.77,31.20,31.33,32.57,32.53,31.64,32.30,32.24,31.90,31.95,31.28,31.58
1930,32.11,32.42,31.81,32.67,32.20,32.11,32.64,33.08,31.96,31.79,31.54,32.07
1931,31.92,33.29,33.05,32.55,32.72,32.22,31.89,33.03,31.86,31.86,31.84,31.16
1932,31.51,32.25,31.72,31.88,32.03,31.43,31.74,31.96,31.74,31.86,31.02,32.05
1933,31.30,32.26,31.85,31.89,32.54,32.21,31.77,32.19,31.70,31.47,30.94,31.22
1934,30.39,30.77,30.94,31.57,32.30,31.49,31.80,32.03,31.96,31.34,31.47,32.12
1935,32.14,32.44,32.39,32.16,31.73,31.43,32.00,31.84,32.10,31.73,31.53,31.86
1936,31.63,32.68,31.98,32.21,32.14,31.69,31.80,31.73,31.65,31.21,31.35,31.96
1937,32.10,32.22,32.52,31.96,31.78,32.07,31.99,32.58,31.72,31.42,31.55,31.58
1938,31.84,32.61,31.40,31.82,31.82,32.30,31.92,31.36,31.57,31.92,31.53,31.98
1939,31.54,31.83,32.21,31.94,32.25,31.55,32.03,31.79,31.13,31.19,31.54,31.39
1940,31.92,32.06,32.65,32.50,32.27,32.16,32.20,31.55,31.55,32.17,31.83,32.15
1941,32.20,32.48,32.74,32.65,32.61,33.00,32.58,32.13,32.12,32.40,31.65,32.22
1942,31.17,31.47,31.62,31.64,31.89,31.65,31.40,31.53,31.26,31.36,31.06,31.05
1943,31.15,31.71,31.70,31.85,32.06,31.79,31.58,31.80,31.47,31.46,31.09,31.04
1944,31.23,31.57,31.77,31.82,32.06,31.77,31.42,31.55,31.33,31.42,31.14,31.03
1945,31.16,31.47,31.62,31.81,32.02,31.65,31.42,31.55,31.38,31.37,31.14,31.11
1946,30.97,31.20,31.36,31.52,31.71,31.61,31.49,31.57,31.25,31.47,31.07,31.15
1947,31.21,31.41,31.28,31.54,31.89,31.51,31.43,31.40,31.33,31.32,31.16,30.82
1948,31.12,31.51,31.95,32.78,32.57,32.51,31.82,32.31,32.11,32.17,31.36,32.65
1949,32.54,32.02,32.80,32.07,31.93,31.73,31.63,32.12,31.94,31.47,31.47,31.79
1950,32.13,32.18,32.01,31.64,32.02,31.90,31.89,31.79,31.55,31.35,31.42,31.61
1951,30.15,30.20,31.40,31.70,31.50,31.94,31.00,31.77,31.37,31.42,31.47,31.28
1952,31.10,31.04,31.24,31.51,31.74,31.86,31.28,31.27,31.60,31.48,30.56,31.00
1953,30.93,30.59,31.02,31.19,31.49,31.74,31.03,32.07,31.04,31.58,31.37,31.50
1954,30.82,31.30,31.31,31.36,31.52,31.45,31.02,31.43,31.20,30.83,30.72,30.81
1955,30.51,31.22,31.85,31.28,32.21,31.45,31.27,30.93,31.42,31.16,30.61,30.80
1956,30.35,30.99,31.28,31.38,31.50,31.33,31.01,30.96,31.04,30.97,30.74,30.45
1957,31.12,31.52,31.43,31.61,31.68,32.11,31.45,31.45,31.30,31.36,31.49,30.69
1958,31.85,31.77,31.93,32.55,32.40,32.07,32.17,31.43,31.84,31.45,30.59,31.76
1959,31.60,32.19,31.74,31.32,31.99,31.54,31.28,31.10,31.40,31.32,30.86,31.57
1960,31.28,31.24,32.01,31.48,32.20,31.66,31.48,32.05,31.65,31.89,30.74,31.22
1961,31.01,31.43,31.41,31.31,32.16,31.42,31.63,31.75,31.42,31.14,31.10,30.99
1962,30.46,31.23,31.01,31.39,32.20,31.46,31.58,30.93,31.37,31.19,31.02,31.10
1963,30.16,30.87,31.65,32.41,32.24,31.66,31.69,31.55,31.51,30.99,31.13,31.31
1964,31.81,31.26,31.48,31.57,31.72,31.36,30.71,31.46,31.10,30.89,30.72,30.63
1965,31.08,31.41,31.32,31.12,31.44,31.59,31.33,31.21,31.02,31.27,31.28,30.91
1966,31.06,31.69,31.53,31.85,31.87,31.30,31.06,31.07,31.57,31.02,30.92,30.81
1967,30.15,30.46,31.46,31.44,31.50,31.31,31.12,31.33,31.35,31.17,30.67,30.78
1968,30.89,31.97,31.75,31.69,31.65,31.67,31.11,31.44,31.23,30.96,31.56,31.15
1969,31.54,31.84,32.32,32.31,32.13,31.51,31.52,31.12,31.53,31.40,30.35,30.90
1970,31.31,31.91,32.01,31.70,31.88,31.56,31.03,31.52,30.97,30.89,30.88,30.91
1971,30.25,30.51,30.86,31.79,31.94,31.25,30.95,30.56,31.49,31.24,30.51,30.18
1972,31.12,31.41,31.71,31.17,32.21,31.44,32.09,31.89,31.29,31.92,31.23,31.26
1973,31.79,32.21,31.70,31.74,31.73,31.59,31.54,31.34,31.02,31.18,30.91,29.97
1974,30.48,30.61,31.59,31.33,31.48,31.25,31.23,31.78,30.96,31.58,30.84,31.27
1975,31.22,30.85,31.07,31.48,31.48,30.87,30.70,31.48,30.99,31.44,30.33,30.14
1976,30.64,31.46,31.54,31.33,31.72,31.42,31.17,31.42,31.15,31.25,30.60,31.24
1977,31.53,30.70,31.46,32.43,32.29,31.83,31.64,31.28,31.54,31.55,30.95,31.87
1978,31.67,32.08,32.06,32.02,32.13,31.67,31.10,31.63,31.26,31.47,31.12,31.48
1979,31.85,32.21,32.60,31.80,32.68,31.75,31.21,32.08,31.55,31.69,30.72,31.84
1980,31.80,31.96,31.92,31.74,32.27,31.80,31.56,30.99,31.43,31.74,30.85,30.79
1981,30.91,31.36,32.33,31.40,31.62,32.25,31.90,32.83,31.37,31.76,31.15,31.26
1982,31.61,31.79,31.81,31.37,31.98,31.83,31.28,31.51,31.77,31.58,31.60,31.51
1983,31.90,32.85,33.05,33.27,32.63,32.19,31.64,31.46,31.37,31.87,31.40,30.36
1984,30.35,30.05,30.91,31.40,31.59,31.33,31.17,31.95,31.42,31.69,31.32,30.86
1985,31.85,31.56,31.02,31.72,31.92,32.21,31.45,31.49,31.19,31.25,30.89,31.38
1986,30.44,31.62,31.24,31.72,32.13,31.93,32.19,32.61,31.28,31.33,31.06,31.75
1987,31.07,32.07,32.45,32.40,31.94,32.27,32.28,31.59,31.64,32.04,31.84,31.15
1988,32.03,31.87,31.78,32.04,32.33,31.97,31.33,31.37,31.24,32.00,30.86,31.06
1989,31.49,31.37,31.09,31.50,31.94,32.02,31.66,31.66,31.26,31.27,31.63,31.66
1990,31.56,32.13,32.75,32.36,32.50,32.37,31.70,32.61,31.73,31.84,31.65,31.68
1991,31.73,32.23,32.42,31.97,32.15,32.67,32.12,32.03,31.72,31.62,31.10,30.66
1992,31.87,31.96,32.70,32.72,32.32,31.80,31.49,31.95,31.99,31.67,30.79,30.99
1993,31.44,31.44,31.43,31.52,32.21,32.18,31.66,32.07,31.67,31.48,31.28,31.03
1994,31.82,31.79,30.78,32.03,31.87,31.78,32.33,31.65,31.57,31.60,31.02,32.05
1995,31.42,31.16,31.91,32.10,32.59,32.32,31.83,31.17,31.97,32.04,31.19,30.74
1996,31.05,31.07,32.23,31.85,32.42,32.00,32.15,31.53,32.06,31.50,31.63,30.86
1997,31.87,31.67,32.36,31.84,33.04,32.49,32.20,32.48,31.85,32.05,31.77,31.92
1998,32.64,33.31,33.55,32.81,33.78,32.64,32.19,31.79,32.02,32.29,31.75,31.20
1999,31.26,31.22,31.68,32.04,31.91,31.95,31.89,31.62,31.85,31.46,31.63,30.80
2000,31.33,31.21,31.61,31.58,32.59,31.55,32.29,31.98,31.97,32.30,31.46,32.08
2001,31.30,31.64,32.01,31.94,32.50,32.17,32.61,32.27,32.14,31.96,31.64,31.97
2002,32.02,32.49,32.86,32.70,33.11,33.00,32.72,32.50,32.06,32.47,32.03,32.46
2003,31.79,31.92,32.54,32.24,33.13,32.54,31.61,32.25,32.01,31.64,31.76,31.53
2004,32.30,32.09,32.33,32.75,33.13,32.54,31.38,32.32,31.75,31.57,31.92,31.51
2005,31.76,32.95,32.47,32.48,32.24,32.46,31.89,32.35,32.57,31.42,31.30,30.85
2006,31.23,31.73,31.99,31.82,31.74,31.75,31.88,31.96,31.41,32.03,31.69,31.78
2007,30.85,31.69,31.93,31.83,32.34,31.84,31.49,31.74,31.95,31.39,31.31,31.42
2008,31.62,31.46,30.81,31.61,32.10,31.47,31.14,31.63,31.75,32.05,31.29,31.14
2009,30.86,31.69,31.26,32.02,32.42,32.80,32.02,31.80,32.06,32.17,31.19,31.41
2010,31.89,32.61,32.49,32.92,33.46,32.45,31.83,32.22,31.83,32.40,31.62,31.03
2011,30.81,31.80,30.91,31.60,32.57,32.25,32.04,31.86,31.92,31.80,31.50,31.17
2012,31.57,31.78,31.54,31.76,32.48,32.67,31.86,32.17,31.76,31.81,31.86,31.62
2013,31.66,30.93,32.44,32.39,32.85,32.90,31.85,32.06,31.73,32.00,31.50,31.16
2014,30.94,32.27,32.50,32.40,32.48,32.87,32.50,31.73,31.86,32.09,31.81,31.42
2015,31.53,31.95,32.44,32.46,32.87,32.65,32.52,32.12,31.93,32.13,31.58,32.03
2016,32.31,31.99,32.74,33.17,33.00,32.42,32.40,32.53,32.35,32.25,31.53,31.65
2017,31.19,31.67,31.64,31.63,32.43,32.53,32.66,31.63,31.52,31.91,31.68,32.09
2018,31.32,32.34,32.79,32.98,32.42,32.72,32.61,32.94,31.30,31.45,31.53,32.44
2019,33.00,33.04,32.88,32.93,32.94,32.73,32.84,32.38,31.90,31.73,31.70,31.49
2020,33.38,32.92,32.69,32.63,32.79,31.82,31.87,31.86,31.56,32.47,31.95,31.26
2021,32.11,31.77,31.95,32.14,32.33,32.03,31.82,31.29,31.62,32.62,31.50,31.64
