,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,30.34,29.94,31.19,31.00,31.60,30.14,30.92,30.24,30.37,30.97,31.35,29.84
1902,30.06,29.84,30.29,30.62,31.60,30.22,29.94,30.39,30.47,31.17,31.35,30.52
1903,31.14,30.32,30.70,30.54,31.60,30.22,30.02,30.39,30.47,30.32,31.35,29.56
1904,29.88,29.56,31.19,30.15,31.60,31.22,30.92,29.96,31.37,30.17,31.35,29.84
1905,30.44,30.22,30.70,30.35,31.60,30.82,30.32,30.29,30.47,31.37,31.35,30.66
1906,30.90,31.12,30.70,30.90,31.60,30.52,30.22,30.29,30.37,30.32,31.35,29.76
1907,30.06,29.94,30.09,30.44,31.60,30.14,29.94,30.04,31.37,30.61,31.35,29.92
1908,30.54,30.32,30.63,30.80,31.60,30.14,30.92,30.29,31.37,30.42,31.35,30.12
1909,30.64,30.32,30.33,30.72,31.60,31.22,29.84,30.49,30.37,30.42,31.35,29.92
1910,30.54,30.47,30.29,30.35,31.60,30.22,30.12,30.24,31.37,30.09,31.35,29.92
1911,30.16,30.02,30.70,30.72,31.60,30.32,29.84,30.14,30.67,30.42,31.35,30.22
1912,30.44,30.56,30.49,31.44,31.60,30.42,30.02,30.84,30.57,30.61,31.35,30.22
1913,30.54,30.56,30.19,30.54,31.60,30.32,30.32,30.49,30.72,31.07,31.35,30.32
1914,30.74,30.56,30.70,30.72,31.60,30.57,30.22,30.49,30.57,31.51,31.35,30.66
1915,30.34,30.22,30.99,31.10,31.00,31.02,30.72,30.94,30.67,30.97,31.35,30.12
1916,29.64,29.82,30.29,30.70,30.61,30.12,30.32,30.54,30.47,30.79,31.35,29.66
1917,29.74,29.82,30.09,30.30,30.81,30.42,30.52,30.86,31.37,31.67,31.35,30.92
1918,29.54,29.22,29.99,30.90,31.40,30.42,30.22,30.44,30.72,31.27,31.35,30.32
1919,30.74,30.82,30.89,30.90,30.90,30.42,29.92,30.24,30.57,30.97,31.35,30.22
1920,29.84,29.92,30.19,30.60,31.30,30.52,30.62,30.79,31.37,31.67,31.35,30.22
1921,30.54,30.32,30.09,30.50,30.46,30.42,30.42,30.94,30.37,30.51,31.35,29.66
1922,30.34,29.82,30.19,30.80,30.61,30.52,30.42,30.64,30.57,30.51,31.35,30.22
1923,30.44,30.52,30.39,31.10,31.00,30.72,29.94,29.84,30.37,31.47,31.35,30.22
1924,31.03,30.52,30.79,30.80,31.80,30.92,30.72,31.04,31.07,30.32,31.35,29.84
1925,30.54,29.92,29.99,30.90,31.30,30.72,30.42,30.94,31.07,31.17,31.35,30.56
1926,30.44,30.72,30.69,31.60,31.90,31.12,30.72,31.24,30.91,31.07,31.35,30.12
1927,30.44,30.82,30.79,31.20,31.50,30.82,30.72,31.04,30.91,30.97,31.35,30.42
1928,31.14,30.92,30.69,31.10,31.70,30.82,30.52,30.94,30.82,30.97,31.35,30.12
1929,30.44,30.72,30.27,31.00,30.56,30.62,29.82,30.54,30.97,31.27,31.35,30.02
1930,30.94,30.42,30.99,30.68,31.60,30.48,30.42,31.04,31.07,31.27,31.35,30.72
1931,31.34,31.12,31.19,31.40,31.80,31.22,30.72,31.24,31.17,31.07,31.35,30.32
1932,30.64,30.32,30.39,30.90,31.60,30.62,30.62,30.94,30.97,31.27,31.35,30.22
1933,31.18,30.20,30.49,30.80,31.70,30.72,30.52,31.64,30.37,30.87,31.35,30.22
1934,30.64,30.10,30.09,30.70,30.90,30.72,30.62,30.74,30.57,31.27,31.35,30.22
1935,30.74,31.02,30.99,30.80,31.60,30.42,30.02,30.44,30.91,31.07,31.35,30.72
1936,30.54,30.92,30.89,30.80,31.70,30.72,30.52,31.04,31.07,31.07,31.35,30.66
1937,30.44,31.12,31.29,31.00,31.00,30.48,30.22,30.64,30.97,31.07,31.35,30.32
1938,31.14,31.02,31.09,31.30,31.50,30.32,30.42,30.54,31.07,31.37,31.35,30.42
1939,31.14,30.92,30.79,31.10,30.76,30.28,30.72,31.04,30.91,30.97,31.35,30.56
1940,30.94,30.92,30.54,30.50,29.30,30.12,30.52,30.20,31.27,31.97,31.35,30.82
1941,31.54,31.32,31.73,31.80,31.90,31.12,30.28,30.50,31.07,31.47,31.35,30.82
1942,31.54,31.52,31.59,31.33,31.80,31.42,30.18,30.94,31.27,31.37,31.35,30.92
