,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,24.75,25.00,24.80,25.35,25.50,25.06,24.86,24.93,24.88,25.40,25.42,25.13
1902,24.54,24.70,25.18,25.74,25.49,24.98,24.92,24.86,25.08,25.62,25.42,25.21
1903,24.56,24.86,25.09,25.78,25.66,24.90,24.78,24.88,25.11,25.42,25.26,24.97
1904,24.43,24.64,25.04,25.34,25.37,24.86,24.70,24.94,25.04,25.48,25.26,25.07
1905,24.37,24.74,25.18,25.66,25.22,24.87,24.91,24.93,25.23,25.47,25.53,25.22
1906,24.60,24.74,24.82,25.80,25.77,24.95,24.84,24.89,25.20,25.39,25.34,25.19
1907,24.50,24.68,24.94,25.62,25.22,24.92,24.69,24.81,25.17,25.33,25.28,24.93
1908,24.39,24.52,25.04,25.68,25.29,24.82,24.65,24.71,24.99,25.36,25.24,25.06
1909,24.42,24.74,25.02,25.45,25.28,24.82,24.64,24.76,25.07,25.35,25.19,24.96
1910,24.39,24.70,24.78,25.35,25.47,24.85,24.85,24.88,24.92,25.27,25.30,24.96
1911,24.41,24.86,25.11,25.55,25.46,25.04,25.03,24.93,25.21,25.39,25.79,25.43
1912,24.73,24.99,25.36,25.85,25.57,24.89,24.83,24.88,25.19,25.47,25.44,25.32
1913,24.65,24.98,25.41,25.59,25.62,24.81,24.80,25.02,25.17,25.56,25.54,25.36
1914,24.60,24.94,25.21,25.69,25.81,24.84,24.87,25.02,25.42,25.75,25.87,25.57
1915,24.77,25.05,25.30,25.82,25.71,25.04,24.88,25.11,25.33,25.53,25.63,25.13
1916,24.37,24.85,25.22,25.91,25.43,24.92,24.60,24.84,25.26,25.56,25.52,25.14
1917,24.24,24.56,24.93,25.63,25.13,24.87,24.74,24.72,25.08,25.41,25.54,25.05
1918,24.02,24.01,25.03,25.43,25.19,24.64,24.87,24.94,25.21,25.37,25.61,25.04
1919,24.84,25.03,25.32,25.84,25.71,25.09,24.80,25.13,25.37,25.63,25.51,25.22
1920,24.56,24.67,25.33,25.72,25.54,25.09,24.94,24.83,25.23,25.44,25.66,24.97
1921,24.64,24.58,25.17,25.67,25.31,24.90,24.77,24.94,25.20,25.34,25.34,25.31
1922,24.69,24.69,24.87,25.28,25.26,24.81,24.72,24.73,25.23,25.40,25.57,25.26
1923,24.45,24.61,25.03,25.67,25.36,24.95,24.54,24.74,24.89,25.42,25.49,25.35
1924,24.72,24.73,25.10,25.63,25.36,24.83,24.75,25.08,25.11,25.24,25.25,24.94
1925,24.35,24.33,24.89,25.53,25.49,24.97,24.89,24.92,25.21,25.28,25.43,25.05
1926,24.42,24.81,25.24,25.98,25.79,25.06,24.88,24.96,25.09,25.37,25.45,25.22
1927,24.46,24.68,25.20,25.46,25.28,24.85,24.83,24.94,25.26,25.28,25.39,25.25
1928,24.60,24.69,24.96,25.43,25.47,24.92,24.85,24.86,25.21,25.36,25.44,25.44
1929,24.50,24.45,24.80,25.59,25.45,24.69,24.96,24.94,25.24,25.26,25.24,25.19
1930,24.47,24.67,24.88,25.63,25.51,24.81,25.06,25.30,25.18,25.53,25.48,25.24
1931,24.68,25.01,25.32,25.86,25.65,25.07,24.85,25.29,25.21,25.40,25.47,25.01
1932,24.34,24.64,24.97,25.45,25.40,24.67,24.79,24.71,25.05,25.47,25.23,25.13
1933,24.53,24.62,25.03,25.58,25.57,24.97,24.80,25.07,25.07,25.28,25.19,24.93
1934,24.16,24.31,24.74,25.34,25.48,24.77,24.88,24.90,25.26,25.37,25.31,25.05
1935,24.45,24.68,25.25,25.56,25.22,24.73,24.94,24.86,25.22,25.50,25.36,25.14
1936,24.50,24.82,24.99,25.60,25.55,24.80,24.81,24.78,25.24,25.27,25.41,25.35
1937,24.59,24.81,25.22,25.67,25.26,24.94,24.84,25.09,25.23,25.32,25.49,25.14
1938,24.59,24.94,24.93,25.57,25.30,24.97,24.79,24.77,25.17,25.45,25.31,25.21
1939,24.72,24.57,25.00,25.57,25.44,24.67,24.78,24.91,25.00,25.26,25.43,24.80
1940,24.09,24.60,25.07,25.69,25.46,25.04,24.86,24.72,25.12,25.54,25.53,25.26
1941,24.74,24.86,25.11,25.90,25.68,25.24,24.99,25.07,25.35,25.71,25.66,25.61
1942,24.60,24.75,24.80,25.35,25.22,24.69,24.52,24.61,24.88,25.15,25.10,24.85
1943,24.17,24.44,24.80,25.31,25.22,24.69,24.52,24.61,24.88,25.15,25.10,24.83
1944,24.21,24.46,24.80,25.35,25.22,24.69,24.52,24.61,24.88,25.15,25.10,24.81
1945,24.20,24.47,24.79,25.35,25.22,24.69,24.52,24.61,24.88,25.15,25.13,24.87
1946,24.43,24.84,25.28,25.60,25.52,24.98,24.82,24.81,25.15,25.45,25.48,25.28
1947,24.32,24.81,25.18,25.62,25.65,24.91,24.77,24.61,25.18,25.46,25.37,25.14
1948,24.57,24.74,25.26,25.77,25.56,25.13,24.87,25.12,25.31,25.59,25.41,25.55
1949,24.59,24.89,25.42,25.69,25.52,24.93,24.78,25.02,25.25,25.40,25.46,25.35
1950,24.77,24.94,25.26,25.55,25.51,24.93,24.72,24.87,25.04,25.36,25.49,25.07
1951,23.61,23.58,24.47,25.16,24.86,24.74,24.14,24.69,24.90,25.12,25.39,24.96
1952,24.34,24.50,24.67,25.15,25.14,24.69,24.45,24.33,24.90,25.14,24.61,24.21
1953,23.95,23.88,24.37,25.00,24.94,24.71,24.23,24.91,24.71,25.27,25.20,24.94
1954,24.28,24.39,24.66,25.15,24.91,24.52,24.18,24.51,24.59,24.69,24.65,24.54
1955,23.72,24.09,24.64,24.89,25.22,24.31,24.28,24.16,24.91,24.86,24.64,24.27
1956,23.48,23.97,24.44,25.03,24.69,24.23,24.06,24.23,24.63,24.76,24.78,24.23
1957,23.89,24.19,24.58,25.42,25.30,25.14,24.59,24.65,24.93,25.14,25.43,25.06
1958,24.80,24.69,25.03,25.80,25.96,25.00,24.86,24.58,25.28,25.24,24.74,24.91
1959,24.53,24.93,24.83,25.20,25.27,24.93,24.39,24.45,24.89,25.06,25.16,25.25
