,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.40,25.27,25.55,25.42,25.35,24.43,24.33,24.11,24.66,25.49,25.78,25.54
1902,25.33,25.27,25.34,25.33,25.35,24.43,24.11,24.15,24.66,25.52,25.78,25.66
1903,25.59,25.36,25.46,25.33,25.35,24.43,24.11,24.15,24.66,25.33,25.78,25.46
1904,25.28,25.17,25.55,25.23,25.35,24.65,24.33,24.03,24.88,25.31,25.78,25.54
1905,25.41,25.31,25.46,25.25,25.35,24.56,24.20,24.11,24.66,25.54,25.78,25.73
1906,25.50,25.49,25.46,25.42,25.35,24.52,24.20,24.11,24.66,25.33,25.78,25.54
1907,25.33,25.27,25.33,25.33,25.35,24.43,24.11,24.10,24.88,25.41,25.78,25.54
1908,25.41,25.36,25.42,25.37,25.35,24.43,24.33,24.11,24.88,25.33,25.78,25.59
1909,25.47,25.36,25.38,25.33,25.35,24.65,24.11,24.19,24.66,25.33,25.78,25.54
1910,25.41,25.36,25.34,25.25,25.35,24.43,24.16,24.11,24.88,25.28,25.78,25.54
1911,25.37,25.27,25.46,25.33,25.35,24.43,24.11,24.11,24.75,25.33,25.78,25.63
1912,25.41,25.39,25.42,25.55,25.35,24.48,24.11,24.24,24.71,25.41,25.78,25.63
1913,25.41,25.39,25.33,25.33,25.35,24.43,24.20,24.19,24.75,25.50,25.78,25.63
1914,25.50,25.39,25.46,25.33,25.35,24.52,24.20,24.19,24.71,25.62,25.78,25.73
1915,24.83,24.42,25.25,25.06,24.76,24.55,24.13,24.13,24.75,25.49,25.78,25.59
1916,24.20,24.06,25.34,24.65,24.36,23.55,23.83,23.80,24.66,25.41,25.78,25.46
1917,24.47,24.29,24.45,24.36,24.56,23.85,24.03,24.24,24.88,25.63,25.78,25.76
1918,24.37,23.70,24.35,24.85,25.15,23.85,23.53,23.55,24.75,25.53,25.78,25.63
1919,25.40,25.40,25.25,24.95,24.66,23.98,23.33,23.42,24.71,25.49,25.78,25.63
1920,24.53,24.19,24.55,24.86,25.05,24.08,24.30,24.53,24.88,25.63,25.78,25.63
1921,25.30,24.99,24.45,24.48,24.22,24.12,24.03,24.25,24.66,25.41,25.78,25.46
1922,24.90,24.19,24.36,24.75,24.36,24.05,23.93,23.63,24.71,25.41,25.78,25.63
1923,25.41,25.19,24.85,25.22,24.76,24.22,23.61,22.83,24.66,25.60,25.78,25.63
1924,25.63,24.89,25.15,24.98,25.55,24.55,24.23,24.23,24.81,25.33,25.78,25.54
1925,25.37,24.39,24.36,24.95,25.05,24.05,23.73,24.04,24.81,25.52,25.78,25.67
1926,25.10,25.26,25.12,25.55,25.65,24.55,24.03,24.52,24.78,25.50,25.78,25.59
1927,25.10,25.49,25.27,25.42,25.25,24.45,24.33,24.32,24.78,25.49,25.78,25.63
1928,25.90,25.46,25.05,25.22,25.45,24.58,24.14,24.51,24.75,25.49,25.78,25.59
1929,25.20,25.29,24.56,24.95,24.28,24.05,23.23,23.63,24.79,25.53,25.78,25.54
1930,25.60,24.89,25.25,24.66,25.35,23.85,23.73,24.13,24.81,25.53,25.78,25.76
1931,26.00,25.56,25.75,25.45,25.55,24.92,24.33,24.43,24.85,25.50,25.78,25.63
1932,25.47,24.89,24.75,24.85,25.35,24.25,24.03,23.86,24.79,25.53,25.78,25.63
1933,25.90,24.59,24.85,24.85,25.45,24.35,23.83,25.30,24.66,25.45,25.78,25.63
1934,25.40,24.49,24.45,24.66,24.66,24.25,24.24,23.88,24.71,25.53,25.78,25.63
1935,25.61,25.49,25.48,24.85,25.35,23.85,23.43,23.40,24.78,25.50,25.78,25.76
1936,25.41,25.29,25.18,24.92,25.45,24.35,23.93,24.32,24.81,25.50,25.78,25.73
1937,25.10,25.69,25.65,25.05,24.76,23.85,23.36,23.32,24.79,25.50,25.78,25.63
1938,26.07,25.59,25.45,25.25,25.25,23.65,23.93,23.63,24.81,25.54,25.78,25.63
1939,26.10,25.86,25.05,25.15,24.48,23.65,24.50,24.32,24.78,25.49,25.78,25.67
1940,26.17,25.66,24.56,23.88,23.02,22.97,23.73,22.86,24.88,25.71,25.78,25.76
1941,26.40,25.79,26.25,25.75,25.65,24.45,23.22,23.06,24.81,25.60,25.78,25.76
1942,26.53,26.26,26.05,25.35,25.55,24.95,23.16,23.86,24.88,25.54,25.78,25.76
1943,25.37,25.36,25.42,25.37,25.35,24.48,24.16,24.19,24.79,25.45,25.78,25.67
1944,26.21,25.56,25.86,24.65,24.36,23.82,23.11,23.32,24.85,25.63,25.78,25.76
1945,26.40,25.70,25.45,25.35,24.95,23.08,23.11,23.73,24.79,25.50,25.78,25.76
1946,26.17,24.66,25.55,25.25,24.28,24.88,25.56,26.11,24.81,25.63,25.78,25.83
1947,26.57,26.19,25.35,24.26,25.55,24.88,24.33,24.33,24.85,25.60,25.78,25.89
1948,22.80,25.49,25.55,25.05,25.95,25.36,24.16,23.36,24.88,25.71,25.78,25.76
1949,26.07,25.86,25.05,24.95,24.65,23.95,23.43,23.36,24.38,25.60,25.68,25.76
1950,25.80,25.09,25.84,24.95,24.95,24.46,22.76,23.13,24.75,25.41,24.27,24.66
1951,25.10,25.09,25.44,24.85,24.35,24.70,23.53,23.23,24.78,25.51,26.78,25.36
1952,26.00,25.89,24.64,25.15,24.45,24.03,23.56,23.53,24.93,24.93,24.19,25.56
1953,25.70,25.39,25.65,25.45,24.45,24.46,23.23,23.16,24.89,25.83,25.00,26.06
1954,26.27,25.49,25.54,25.75,25.65,24.65,23.93,23.22,24.88,24.53,23.74,25.35
1955,25.97,25.29,25.31,25.25,25.15,24.35,23.54,23.94,24.58,24.93,24.17,25.46
1956,25.27,25.49,25.38,25.45,25.15,24.32,23.73,24.03,24.29,24.83,24.98,24.86
1957,25.50,25.19,25.16,25.85,25.55,24.75,24.13,23.63,24.06,25.61,25.98,25.56
1958,26.67,25.49,26.15,25.86,25.85,24.85,23.83,24.20,23.91,24.93,24.39,25.06
1959,25.00,25.79,25.15,25.25,26.25,24.05,23.43,23.36,24.27,25.84,26.18,24.94
1960,25.30,25.49,25.45,25.37,24.65,24.22,24.20,24.30,24.98,25.65,25.45,25.96
1961,25.80,25.99,26.02,25.88,25.05,24.16,23.36,22.76,24.15,25.64,25.57,26.24
1962,25.17,24.96,25.52,25.48,24.75,25.05,24.63,24.33,24.87,26.02,26.27,25.79
1963,25.10,25.31,25.22,25.62,25.05,24.55,23.70,23.10,24.28,26.05,26.75,26.16
1964,26.40,26.09,25.65,25.72,25.55,24.55,24.30,24.33,25.05,24.75,24.95,25.67
1965,25.57,25.66,25.67,25.05,24.95,24.60,23.74,23.93,24.42,25.94,27.11,26.99
1966,26.27,25.79,25.73,25.85,25.88,24.52,24.03,24.60,25.35,25.91,26.11,25.43
1967,25.50,25.59,25.52,25.25,25.25,24.05,23.73,24.30,24.75,25.83,26.30,25.69
1968,25.89,25.19,25.45,25.25,25.55,25.15,24.53,24.20,25.15,25.56,26.08,25.86
1969,26.33,26.29,26.08,25.83,25.85,24.72,24.73,24.73,24.86,26.00,26.58,25.86
1970,26.39,26.19,26.15,26.07,25.85,24.95,24.33,24.33,24.98,26.10,25.88,25.66
1971,24.80,24.79,25.06,25.15,25.45,24.25,23.73,24.36,24.98,25.13,24.40,25.56
1972,25.02,25.62,25.23,25.35,25.55,24.54,24.33,24.63,24.78,25.76,26.88,26.76
