,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.68,25.39,26.92,26.71,27.35,26.18,26.90,26.12,26.07,26.61,26.96,25.24
1902,25.40,25.29,25.99,26.34,27.35,26.26,25.92,26.31,26.16,26.81,26.96,25.86
1903,26.48,25.72,26.44,26.24,27.35,26.26,26.01,26.31,26.16,25.96,26.96,24.95
1904,25.21,25.01,26.92,25.88,27.35,27.26,26.90,25.88,27.06,25.78,26.96,25.24
1905,25.78,25.65,26.44,26.06,27.35,26.89,26.29,26.21,26.16,27.00,26.96,26.04
1906,26.23,26.57,26.44,26.62,27.35,26.52,26.19,26.21,26.07,25.96,26.96,25.14
1907,25.40,25.39,25.83,26.15,27.35,26.18,25.92,25.97,27.06,26.24,26.96,25.33
1908,25.88,25.72,26.36,26.53,27.35,26.18,26.90,26.21,27.06,26.06,26.96,25.51
1909,25.98,25.72,26.07,26.44,27.35,27.26,25.82,26.41,26.07,26.06,26.96,25.33
1910,25.88,25.92,25.99,26.06,27.35,26.26,26.10,26.12,27.06,25.69,26.96,25.33
1911,25.91,26.37,26.93,27.14,27.70,27.12,26.90,26.75,26.98,26.85,28.05,26.40
1912,26.71,26.76,27.19,27.58,27.70,26.91,26.69,27.17,26.93,27.00,27.63,26.37
1913,26.36,26.67,26.99,26.78,27.70,26.76,26.84,27.06,27.02,27.38,27.79,26.50
1914,26.46,26.86,27.03,27.11,28.51,26.96,26.86,27.28,27.16,27.68,28.22,26.91
1915,26.43,26.61,27.22,27.38,27.76,27.48,26.89,27.54,26.98,27.30,28.05,26.32
1916,25.83,26.43,26.69,27.15,27.30,26.82,26.39,26.80,26.92,27.24,27.87,26.02
1917,25.63,25.73,26.43,26.75,26.70,26.83,26.79,26.79,27.32,27.73,27.87,26.73
1918,24.87,25.17,26.40,27.05,27.12,26.79,26.75,26.99,26.93,27.18,27.87,25.98
1919,26.63,26.86,27.31,27.30,27.81,27.22,26.49,27.07,26.97,27.25,27.70,26.18
1920,25.95,26.33,27.33,26.95,27.68,27.27,26.98,26.69,27.73,27.90,28.22,25.60
1921,26.28,26.12,26.61,26.93,27.01,26.30,26.69,27.16,26.90,26.77,27.46,26.12
1922,26.57,26.14,26.54,26.70,26.99,26.86,26.78,26.88,26.97,26.85,28.22,26.60
1923,26.07,26.46,26.65,27.32,27.37,27.13,26.32,26.46,26.43,27.35,27.70,26.28
