,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.29,24.79,26.39,26.19,26.83,25.31,26.32,25.37,25.63,26.22,26.74,25.14
1902,24.94,24.69,25.39,25.79,26.83,25.41,25.22,25.57,25.73,26.42,26.74,25.84
1903,26.19,25.19,25.89,25.69,26.83,25.41,25.32,25.57,25.73,25.52,26.74,24.84
1904,24.79,24.39,26.39,25.29,26.83,26.51,26.32,25.07,26.73,25.32,26.74,25.14
1905,25.32,25.09,25.89,25.49,26.83,26.11,25.62,25.47,25.73,26.62,26.74,26.04
1906,25.82,26.09,25.89,26.09,26.83,25.71,25.52,25.47,25.63,25.52,26.74,25.04
1907,24.94,24.79,25.19,25.59,26.83,25.31,25.22,25.17,26.73,25.82,26.74,25.24
1908,25.47,25.19,25.79,25.99,26.83,25.31,26.32,25.47,26.73,25.62,26.74,25.44
1909,25.59,25.19,25.49,25.89,26.83,26.51,25.12,25.67,25.63,25.62,26.74,25.24
1910,25.47,25.39,25.39,25.49,26.83,25.41,25.42,25.37,26.73,25.22,26.74,25.24
1911,25.24,25.34,26.10,26.25,26.93,25.87,25.67,25.59,26.24,26.07,27.10,25.96
1912,25.78,25.85,26.06,26.93,26.93,25.83,25.68,26.25,26.17,26.21,26.95,25.91
1913,25.69,25.81,25.81,25.97,26.93,25.72,25.90,25.95,26.31,26.68,27.00,26.06
1914,25.84,25.88,26.15,26.24,27.20,25.97,25.88,26.06,26.28,27.08,27.13,26.48
1915,25.67,25.65,26.46,26.63,26.80,26.46,26.18,26.43,26.24,26.58,27.10,25.88
1916,24.93,25.33,25.73,26.31,26.54,25.70,25.72,25.85,26.09,26.47,27.03,25.41
1917,24.93,24.94,25.56,25.91,26.46,25.86,26.06,26.04,26.83,27.16,27.03,26.48
1918,24.39,25.14,25.44,26.61,26.73,26.15,25.86,25.92,26.28,26.72,27.03,25.81
1919,25.94,26.05,26.41,26.43,26.78,26.03,25.54,25.89,26.19,26.56,26.98,25.85
1920,25.11,25.33,26.21,26.11,26.83,26.10,26.17,25.86,26.94,27.22,27.13,25.54
1921,25.65,25.35,25.61,26.11,26.41,25.58,25.87,26.23,26.05,26.06,26.90,25.46
1922,25.72,25.13,25.68,26.09,26.46,25.92,25.98,25.99,26.19,26.08,27.13,26.03
1923,25.44,25.65,25.83,26.54,26.70,26.16,25.47,25.36,25.83,26.92,26.98,25.89
1924,26.15,25.78,26.03,26.24,26.92,26.19,26.26,26.52,26.43,25.52,26.74,25.48
1925,25.49,24.94,25.37,26.29,26.83,26.26,26.01,26.33,26.61,26.62,26.90,26.10
1926,25.47,25.84,26.07,27.13,27.04,26.49,26.27,26.57,26.43,26.56,26.94,25.88
1927,25.53,25.81,26.13,26.43,26.83,26.11,26.22,26.43,26.43,26.42,26.88,26.09
1928,26.14,25.89,25.99,26.43,26.93,26.12,26.02,26.08,26.34,26.47,26.84,25.88
1929,25.49,25.69,25.53,26.43,26.56,25.91,25.64,26.09,26.51,26.67,26.74,25.68
1930,25.99,25.64,26.19,26.21,26.83,25.98,26.15,26.68,26.63,26.72,26.94,26.40
1931,26.47,26.44,26.54,26.84,27.03,26.56,26.22,26.77,26.67,26.57,26.94,25.84
1932,25.59,25.54,25.73,26.24,26.83,25.82,26.10,26.35,26.43,26.76,26.74,25.89
1933,26.09,25.37,25.83,26.24,26.93,26.16,26.07,26.68,25.88,26.32,26.70,25.71
1934,25.42,25.09,25.30,26.06,26.65,26.02,26.12,26.22,26.17,26.62,26.84,25.90
1935,25.79,26.11,26.34,26.24,26.78,25.81,25.78,26.02,26.51,26.58,26.94,26.35
1936,25.70,26.14,26.23,26.27,26.93,26.02,26.08,26.29,26.57,26.42,26.84,26.30
1937,25.68,26.19,26.64,26.43,26.60,26.06,25.97,26.40,26.51,26.52,26.90,25.98
1938,26.00,26.15,26.29,26.59,26.77,25.93,25.93,25.88,26.57,26.82,26.90,26.08
1939,26.07,25.76,26.13,26.53,26.60,25.78,26.13,26.33,26.33,26.42,26.90,26.18
1940,25.80,25.89,26.22,26.35,26.12,26.04,26.21,25.86,26.73,27.47,27.00,26.50
1941,26.49,26.54,27.04,27.27,27.11,26.84,26.25,26.29,26.69,27.11,26.98,26.58
1942,26.26,26.29,26.78,26.59,26.93,26.62,25.81,26.27,26.63,26.62,26.74,26.34
1943,25.19,25.29,25.59,25.99,26.83,25.61,25.42,25.77,26.33,26.12,26.74,25.94
