,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,24.76,24.04,25.20,25.24,25.70,24.69,25.31,24.73,24.96,25.48,26.07,24.92
1902,24.53,23.97,24.43,24.95,25.70,24.78,24.50,24.89,25.04,25.63,26.07,25.45
1903,25.44,24.35,24.81,24.86,25.70,24.78,24.57,24.89,25.04,24.95,26.07,24.69
1904,24.37,23.74,25.20,24.55,25.70,25.61,25.31,24.50,25.79,24.81,26.07,24.92
1905,24.84,24.26,24.81,24.71,25.70,25.30,24.80,24.80,25.04,25.79,26.07,25.60
1906,25.18,25.05,24.81,25.17,25.70,25.01,24.72,24.80,24.96,24.95,26.07,24.83
1907,24.53,24.04,24.29,24.80,25.70,24.69,24.50,24.59,25.79,25.17,26.07,25.00
1908,24.90,24.35,24.73,25.11,25.70,24.69,25.31,24.80,25.79,25.02,26.07,25.13
1909,24.98,24.35,24.50,25.02,25.70,25.61,24.42,24.96,24.96,25.02,26.07,25.00
1910,24.90,24.49,24.43,24.71,25.70,24.78,24.64,24.73,25.79,24.72,26.07,25.00
1911,24.95,24.91,25.24,25.64,26.00,25.53,25.36,25.25,25.77,25.69,27.07,25.97
1912,25.71,25.25,25.49,26.02,26.00,25.31,25.16,25.63,25.70,25.83,26.70,25.90
1913,25.37,25.16,25.33,25.32,26.00,25.19,25.28,25.53,25.79,26.16,26.84,26.03
1914,25.44,25.33,25.32,25.61,26.78,25.37,25.32,25.75,25.93,26.42,27.23,26.40
1915,25.49,25.21,25.52,25.85,26.32,25.81,25.32,25.96,25.77,26.07,27.07,25.88
1916,24.95,25.08,25.04,25.70,25.87,25.27,24.80,25.24,25.72,26.04,26.92,25.62
1917,24.73,24.32,24.83,25.32,25.09,25.28,25.24,25.20,26.02,26.45,26.92,26.20
1918,23.93,23.80,24.79,25.60,25.49,25.23,25.24,25.49,25.71,25.95,26.92,25.53
1919,25.63,25.34,25.61,25.78,26.38,25.61,25.00,25.58,25.76,26.03,26.76,25.75
1920,25.04,24.96,25.88,25.44,26.16,25.67,25.37,25.04,26.42,26.60,27.23,25.22
1921,25.28,24.61,24.99,25.48,25.53,24.69,25.12,25.58,25.71,25.62,26.54,25.70
1922,25.63,24.75,24.95,25.22,25.49,25.28,25.24,25.36,25.76,25.71,27.23,26.12
1923,25.03,24.96,24.98,25.76,25.87,25.53,24.77,25.03,25.25,26.11,26.76,25.81
1924,25.74,25.12,25.03,25.48,25.61,25.31,25.45,25.88,25.56,24.95,26.17,25.45
1925,25.04,24.20,24.57,25.49,25.99,25.74,25.37,25.69,25.88,25.92,26.54,25.78
1926,25.07,25.08,25.25,26.28,26.24,25.73,25.50,25.79,25.76,25.91,26.61,25.88
1927,25.15,24.86,25.25,25.43,25.80,25.36,25.33,25.69,25.80,25.74,26.45,26.01
1928,25.55,24.95,25.07,25.52,25.99,25.36,25.24,25.28,25.75,25.87,26.29,25.90
1929,25.07,24.65,24.60,25.65,25.99,25.15,25.24,25.62,25.80,25.92,26.07,25.62
1930,25.47,24.92,25.10,25.55,25.80,25.40,25.68,26.26,25.97,25.99,26.61,26.17
1931,25.91,25.71,25.55,25.95,26.17,25.74,25.33,26.26,25.92,25.95,26.61,25.62
1932,25.03,24.84,24.82,25.40,25.49,25.02,25.29,25.68,25.71,26.07,26.07,25.81
1933,25.47,24.71,24.89,25.43,25.92,25.50,25.32,25.66,25.38,25.71,25.91,25.46
1934,24.65,24.19,24.36,25.20,25.87,25.28,25.24,25.62,25.70,25.85,26.37,25.88
1935,25.33,25.21,25.36,25.43,25.41,25.16,25.32,25.54,25.96,26.00,26.61,26.07
1936,25.41,25.41,25.25,25.53,25.92,25.28,25.37,25.49,25.84,25.64,26.37,26.07
1937,25.45,25.21,25.62,25.61,25.49,25.57,25.46,26.09,25.80,25.78,26.54,25.87
1938,25.38,25.37,25.18,25.64,25.54,25.53,25.20,25.24,25.84,26.08,26.54,25.95
1939,25.39,24.75,25.20,25.65,25.87,25.22,25.24,25.54,25.49,25.71,26.54,25.96
1940,25.24,24.95,25.61,25.94,25.91,25.86,25.63,25.54,25.88,26.58,26.84,26.24
1941,25.79,25.67,25.88,26.32,26.38,26.33,25.92,26.00,26.09,26.57,26.76,26.39
1942,25.19,24.95,25.42,25.49,25.70,25.61,25.22,25.58,25.70,25.79,26.07,25.81
1943,24.68,24.43,24.59,25.11,25.70,24.91,24.64,25.03,25.49,25.42,26.07,25.53
1944,24.84,24.58,24.74,25.48,25.70,25.50,25.22,25.65,25.64,26.01,26.07,25.73
1945,25.29,24.85,24.96,25.32,25.70,25.60,25.22,25.65,25.49,25.55,26.07,25.81
1946,26.12,25.24,25.20,25.70,25.70,25.61,25.24,25.72,25.56,26.06,26.07,26.06
1947,26.05,25.26,25.29,25.64,25.70,25.61,25.18,25.58,25.64,25.87,26.07,26.37
1948,25.38,25.17,25.58,26.61,26.17,25.95,25.54,26.04,26.10,26.55,26.45,26.44
1949,25.66,25.21,25.61,25.81,25.69,25.81,25.29,25.87,25.89,26.06,26.44,26.17
1950,25.80,25.13,25.36,25.56,25.79,25.60,25.20,25.57,25.67,25.57,26.42,25.78
1951,24.57,24.12,25.18,25.73,25.45,25.76,25.03,25.57,25.79,25.96,26.36,25.93
