,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,26.10,25.80,27.40,27.20,28.00,26.40,27.30,26.40,26.60,27.30,27.80,26.10
1902,25.80,25.70,26.40,26.80,28.00,26.50,26.20,26.60,26.70,27.50,27.80,26.80
1903,27.00,26.20,26.90,26.70,28.00,26.50,26.30,26.60,26.70,26.60,27.80,25.80
1904,25.60,25.40,27.40,26.30,28.00,27.60,27.30,26.10,27.70,26.40,27.80,26.10
1905,26.20,26.10,26.90,26.50,28.00,27.20,26.60,26.50,26.70,27.70,27.80,27.00
1906,26.70,27.10,26.90,27.10,28.00,26.80,26.50,26.50,26.60,26.60,27.80,26.00
1907,25.80,25.80,26.20,26.60,28.00,26.40,26.20,26.20,27.70,26.90,27.80,26.20
1908,26.30,26.20,26.80,27.00,28.00,26.40,27.30,26.50,27.70,26.70,27.80,26.40
1909,26.40,26.20,26.50,26.90,28.00,27.60,26.10,26.70,26.60,26.70,27.80,26.20
1910,26.30,26.40,26.40,26.50,28.00,26.50,26.40,26.40,27.70,26.30,27.80,26.20
1911,26.10,26.30,27.10,27.30,28.10,27.00,26.60,26.60,27.20,27.10,28.20,26.90
1912,26.60,26.90,27.10,27.90,28.10,26.90,26.70,27.30,27.10,27.30,28.00,26.90
1913,26.50,26.80,26.80,27.00,28.10,26.80,26.90,27.00,27.30,27.80,28.10,27.00
1914,26.70,26.90,27.20,27.30,28.40,27.10,26.90,27.10,27.20,28.20,28.20,27.40
1915,26.40,26.60,27.40,27.60,27.90,27.50,27.20,27.50,27.20,27.70,28.20,26.80
1916,25.70,26.30,26.70,27.30,27.60,26.80,26.70,26.90,27.10,27.50,28.10,26.40
1917,25.70,25.90,26.50,26.90,27.50,26.90,27.00,27.10,27.80,28.20,28.10,27.40
1918,25.20,26.00,26.40,27.50,27.90,27.20,26.80,26.90,27.30,27.80,28.10,26.80
1919,26.70,27.10,27.40,27.40,27.90,27.10,26.50,26.90,27.20,27.60,28.00,26.80
1920,25.90,26.30,27.10,27.10,28.00,27.20,27.20,27.00,27.90,28.30,28.20,26.50
1921,26.50,26.40,26.60,27.10,27.50,26.70,26.90,27.30,27.00,27.10,28.00,26.40
1922,26.50,26.10,26.70,27.10,27.50,27.00,27.00,27.00,27.20,27.20,28.20,27.00
1923,26.30,26.70,26.80,27.60,27.80,27.20,26.50,26.40,26.80,28.00,28.00,26.90
1924,27.00,26.80,27.00,27.30,28.10,27.30,27.20,27.50,27.40,26.60,27.80,26.40
1925,26.30,25.90,26.40,27.30,28.00,27.30,27.00,27.40,27.60,27.70,28.00,27.10
1926,26.30,26.80,27.10,28.10,28.30,27.60,27.20,27.60,27.40,27.60,28.00,26.80
1927,26.30,26.90,27.10,27.50,28.00,27.20,27.20,27.50,27.40,27.50,27.90,27.10
1928,27.00,26.90,27.00,27.40,28.10,27.30,27.00,27.20,27.30,27.60,27.90,26.80
1929,26.30,26.70,26.50,27.40,27.60,27.00,26.60,27.10,27.50,27.80,27.80,26.60
1930,26.80,26.60,27.20,27.20,28.00,27.00,27.10,27.70,27.60,27.80,28.00,27.40
1931,27.30,27.40,27.60,27.90,28.20,27.70,27.20,27.80,27.60,27.70,28.00,26.80
1932,26.40,26.50,26.70,27.30,28.00,27.00,27.10,27.40,27.40,27.80,27.80,26.90
1933,26.90,26.40,26.80,27.30,28.10,27.20,27.00,27.80,26.90,27.40,27.80,26.70
1934,26.30,26.10,26.30,27.10,27.80,27.10,27.10,27.20,27.10,27.70,27.90,26.90
1935,26.60,27.10,27.40,27.30,27.90,26.90,26.70,27.00,27.50,27.70,28.00,27.30
1936,26.50,27.10,27.20,27.30,28.10,27.10,27.10,27.40,27.50,27.50,27.90,27.30
1937,26.50,27.20,27.70,27.40,27.70,27.10,26.90,27.30,27.50,27.60,28.00,26.90
1938,26.90,27.20,27.30,27.60,27.90,27.00,26.90,26.90,27.50,27.90,28.00,27.00
1939,26.90,26.80,27.10,27.50,27.70,26.80,27.20,27.40,27.30,27.50,28.00,27.10
1940,26.70,26.90,27.20,27.30,27.10,27.00,27.20,26.80,27.70,28.60,28.10,27.50
1941,27.30,27.50,28.10,28.30,28.30,27.90,27.10,27.20,27.70,28.20,28.00,27.50
1942,27.10,27.30,27.80,27.60,28.10,27.80,26.70,27.30,27.60,27.70,27.80,27.30
1943,26.00,26.30,26.60,27.00,28.00,26.70,26.40,26.80,27.30,27.20,27.80,26.90
1944,26.70,26.80,27.20,27.30,27.40,27.20,26.70,27.10,27.50,28.00,27.80,27.20
1945,27.10,27.10,27.20,27.50,27.80,26.90,26.70,27.30,27.30,27.40,27.80,27.30
1946,27.60,26.80,27.40,27.70,27.30,27.70,27.80,28.40,27.40,28.10,27.80,27.60
1947,27.70,27.60,27.30,27.20,28.10,27.70,27.10,27.50,27.50,27.80,27.80,28.00
1948,25.50,27.10,27.50,27.90,28.40,28.00,27.30,27.30,27.80,28.50,27.90,27.70
1949,27.00,27.20,27.30,27.70,27.70,27.30,26.70,27.10,27.30,27.90,27.90,27.40
1950,27.10,26.90,27.30,27.40,27.90,27.10,26.50,26.80,27.30,27.20,27.00,26.80
1951,26.10,26.40,27.50,27.60,27.50,27.40,26.70,26.90,27.70,27.70,28.40,27.20
1952,27.00,27.20,26.70,27.70,27.70,27.30,26.90,27.00,27.40,27.30,26.70,27.00
1953,26.80,26.90,27.40,27.60,27.50,27.30,26.60,27.00,27.60,28.30,27.50,27.80
1954,27.10,26.90,27.60,27.80,28.10,27.30,26.90,26.80,27.30,26.90,26.50,26.90
1955,26.80,26.80,27.00,27.40,28.00,27.30,26.40,26.90,27.10,27.40,26.90,26.70
1956,26.10,26.90,27.30,27.60,27.80,27.00,26.70,27.10,27.10,27.50,27.30,26.80
1957,26.60,26.70,27.00,28.00,28.00,27.50,27.00,27.00,27.20,28.10,28.00,27.20
1958,27.40,26.90,27.60,28.20,28.20,27.80,27.00,27.20,27.30,27.60,26.60,26.50
1959,26.40,27.30,27.10,27.50,28.40,27.10,26.60,26.80,27.40,28.30,28.10,26.70
1960,26.30,26.70,27.10,27.40,27.70,27.30,27.20,27.50,27.60,27.90,27.20,27.20
1961,26.50,27.10,27.60,27.80,27.90,27.00,26.50,26.70,27.00,27.70,27.70,27.40
1962,26.10,26.20,26.90,27.40,27.70,27.30,27.30,27.00,27.30,27.80,27.70,26.90
1963,26.00,26.20,26.80,27.80,27.80,27.40,26.70,26.60,27.20,28.30,28.10,27.30
1964,27.40,27.40,27.30,27.70,28.10,27.20,27.00,27.30,27.50,27.10,27.30,26.80
1965,26.10,26.90,27.10,27.30,27.70,27.30,26.90,27.20,27.20,27.60,28.40,27.90
1966,27.20,27.30,27.50,28.20,28.30,27.30,26.90,27.70,28.30,28.20,28.10,26.90
1967,27.00,26.90,27.30,27.40,27.90,27.20,26.70,27.70,27.80,28.60,28.20,27.00
1968,26.80,26.50,27.40,27.70,27.90,27.70,27.10,27.00,28.00,28.30,28.00,27.20
1969,27.30,27.70,28.00,28.20,28.20,27.70,27.50,27.60,27.80,28.50,28.40,27.40
1970,27.30,27.50,27.90,28.10,28.10,27.70,27.30,27.50,27.70,28.30,27.80,27.20
1971,26.30,26.50,27.20,27.90,28.00,27.30,27.10,27.40,28.00,27.70,27.00,27.20
1972,26.20,27.20,27.20,27.70,28.00,27.80,27.30,27.80,27.70,28.60,28.30,28.30
1973,27.60,27.80,27.90,28.50,28.00,28.10,28.00,28.10,27.80,28.40,27.50,27.30
1974,26.00,26.40,26.90,27.80,27.80,27.20,26.80,27.10,27.80,28.10,27.50,27.50
1975,27.00,26.90,27.40,27.90,27.80,27.50,27.50,27.80,27.70,27.70,27.30,27.30
1976,25.70,26.60,27.00,27.50,28.00,27.40,26.80,27.40,27.60,27.90,27.60,27.60
1977,26.50,26.40,27.00,28.00,28.10,27.30,27.20,27.20,27.50,28.50,27.90,27.30
1978,26.70,27.10,27.40,27.90,28.00,27.40,27.20,27.50,27.50,27.90,27.50,27.00
1979,26.70,27.20,27.50,28.00,28.10,27.60,27.50,27.80,27.80,28.20,27.90,26.90
1980,26.50,26.90,27.40,28.00,28.20,28.00,28.10,27.50,27.80,28.10,27.90,27.10
1981,26.10,26.90,27.80,27.90,28.30,28.30,27.90,28.40,27.80,28.50,28.00,27.20
1982,26.30,27.10,27.20,27.80,27.90,27.80,27.30,27.50,27.70,28.20,28.40,27.80
1983,27.10,27.80,27.90,28.40,28.10,28.00,27.70,27.80,28.00,28.20,27.40,27.20
1984,26.00,26.50,26.80,27.60,27.90,27.60,27.50,27.70,27.30,27.70,27.00,26.80
1985,26.90,27.20,27.40,27.60,28.10,27.80,27.10,27.90,27.70,27.90,27.80,27.40
1986,26.40,27.20,27.50,28.10,28.20,28.00,27.70,27.70,28.10,28.00,27.60,27.50
1987,26.60,27.20,27.70,28.40,28.60,28.40,28.20,27.90,28.00,28.50,28.10,27.60
1988,27.00,27.40,27.60,28.10,28.40,27.90,27.40,27.60,27.80,28.20,27.50,27.30
1989,26.80,27.00,27.30,27.90,28.00,27.60,28.20,27.90,27.90,28.20,27.90,27.50
1990,26.50,27.50,27.80,28.70,28.20,27.80,27.70,27.80,27.80,28.20,28.50,27.30
1991,26.80,27.10,27.80,28.50,28.10,28.50,27.70,28.00,28.00,28.60,27.80,27.40
1992,27.10,27.70,28.30,28.30,28.10,28.50,27.90,28.20,28.00,28.00,27.70,27.40
1993,27.00,27.50,27.70,28.00,28.10,28.40,27.90,28.40,28.20,28.60,27.90,27.90
1994,28.00,27.60,27.40,28.40,28.10,28.30,27.20,28.10,28.20,28.70,28.00,28.30
1995,27.50,27.50,27.80,28.40,28.20,28.50,28.30,28.30,28.40,28.60,27.90,27.60
1996,27.00,26.90,28.00,28.40,28.30,27.80,28.60,28.30,28.50,28.30,28.00,27.80
1997,27.00,27.50,28.40,28.30,28.10,28.80,27.40,28.10,28.20,28.90,28.10,28.60
1998,26.90,28.30,28.60,28.90,28.30,28.40,28.10,28.40,28.70,28.60,28.10,28.10
1999,27.00,27.20,28.00,28.60,28.10,28.10,27.50,28.10,28.50,28.20,28.00,27.50
2000,26.90,27.20,27.90,28.20,28.30,27.80,28.50,28.10,28.60,28.80,28.00,28.40
2001,26.70,27.10,27.50,28.00,28.30,27.80,28.30,27.70,27.90,28.30,27.90,27.40
2002,26.80,27.10,27.60,28.10,28.30,27.80,28.70,27.70,27.80,28.20,28.00,27.60
2003,26.70,27.10,27.50,27.90,28.30,27.70,27.10,27.60,27.70,28.70,28.00,27.80
2004,27.80,27.90,27.50,29.20,28.20,27.70,28.60,28.70,27.70,28.10,27.60,27.40
2005,27.70,28.20,28.50,28.00,28.10,27.80,28.70,28.70,27.80,28.20,27.80,27.30
2006,26.70,27.10,28.40,28.50,28.00,27.60,27.50,28.60,27.70,28.20,27.90,27.50
2007,26.70,27.60,28.30,28.40,28.20,28.50,28.40,28.30,27.80,28.90,28.00,27.60
2008,28.00,26.80,27.30,28.20,28.50,28.00,27.40,28.70,28.10,29.20,27.90,27.90
2009,27.10,27.50,27.40,28.90,28.20,27.80,28.30,27.70,28.50,29.40,28.40,28.70
2010,27.50,28.40,28.10,28.40,28.30,28.70,28.60,28.70,27.80,28.20,27.90,27.70
2011,27.20,27.80,28.10,28.40,28.40,27.90,27.90,27.80,28.00,28.50,27.60,28.40
2012,26.90,28.10,27.70,28.50,28.70,28.40,27.70,27.90,28.30,29.40,28.40,28.30
2013,27.40,28.20,28.10,28.20,28.50,28.50,28.30,28.60,28.10,29.30,28.00,27.80
2014,26.70,27.50,28.00,28.80,28.20,27.90,28.40,28.20,28.20,28.70,28.40,27.60
2015,27.20,27.30,27.50,28.10,28.20,27.80,28.10,28.60,27.90,29.60,28.00,28.50
