,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.95,25.70,26.81,26.83,27.33,26.30,26.72,26.27,26.69,26.79,26.98,26.05
1902,25.77,25.64,26.17,26.57,27.33,26.36,26.03,26.41,26.75,26.92,26.98,26.50
1903,26.52,25.95,26.48,26.51,27.33,26.36,26.10,26.41,26.75,26.34,26.98,25.85
1904,25.64,25.47,26.81,26.27,27.33,27.06,26.72,26.10,27.39,26.21,26.98,26.05
1905,26.01,25.89,26.48,26.38,27.33,26.80,26.29,26.34,26.75,27.04,26.98,26.61
1906,26.29,26.54,26.48,26.76,27.33,26.55,26.22,26.34,26.69,26.34,26.98,25.99
1907,25.77,25.70,26.04,26.45,27.33,26.30,26.03,26.15,27.39,26.54,26.98,26.11
1908,26.08,25.95,26.42,26.69,27.33,26.30,26.72,26.34,27.39,26.41,26.98,26.23
1909,26.14,25.95,26.24,26.63,27.33,27.06,25.98,26.47,26.69,26.41,26.98,26.11
1910,26.08,26.08,26.17,26.38,27.33,26.36,26.16,26.27,27.39,26.18,26.98,26.11
1911,26.12,26.61,26.95,27.28,27.73,27.14,27.01,26.75,27.49,27.04,28.22,27.13
1912,27.09,26.95,27.35,27.64,27.73,26.84,26.69,27.11,27.45,27.18,27.75,27.07
1913,26.62,26.85,27.19,26.86,27.73,26.68,26.80,27.07,27.53,27.54,27.94,27.21
1914,26.70,27.07,27.07,27.22,28.67,26.86,26.88,27.36,27.73,27.78,28.40,27.66
1915,26.77,26.88,27.24,27.49,28.10,27.45,26.79,27.59,27.49,27.44,28.22,27.03
1916,26.20,26.78,26.77,27.31,27.53,26.82,26.22,26.72,27.47,27.42,28.03,26.79
1917,25.92,25.86,26.49,26.92,26.57,26.77,26.72,26.61,27.69,27.76,28.03,27.28
1918,24.93,25.04,26.48,27.04,27.03,26.58,26.75,27.03,27.41,27.20,28.03,26.54
1919,26.92,27.05,27.43,27.45,28.19,27.25,26.49,27.17,27.50,27.38,27.84,26.84
1920,26.30,26.60,27.67,27.09,27.91,27.29,26.91,26.53,28.16,27.95,28.40,26.30
1921,26.52,26.21,26.72,27.09,27.13,26.30,26.62,27.11,27.49,26.92,27.55,26.89
1922,26.96,26.39,26.61,26.72,27.03,26.77,26.73,26.78,27.50,27.02,28.40,27.35
1923,26.26,26.60,26.69,27.43,27.53,27.08,26.26,26.48,26.86,27.39,27.84,26.95
1924,27.04,26.76,26.69,27.09,27.23,26.77,26.95,27.43,27.20,26.34,27.08,26.52
1925,26.22,25.67,26.18,27.06,27.73,27.30,26.88,27.22,27.57,27.18,27.55,26.81
1926,26.26,26.72,27.00,27.96,28.01,27.27,26.97,27.30,27.43,27.20,27.66,27.03
1927,26.37,26.45,27.00,26.99,27.43,26.88,26.83,27.22,27.49,26.98,27.47,27.14
1928,26.76,26.51,26.75,27.09,27.73,26.89,26.75,26.79,27.45,27.17,27.28,27.09
1929,26.26,26.16,26.19,27.24,27.73,26.57,26.80,27.15,27.47,27.17,26.98,26.71
1930,26.66,26.51,26.71,27.18,27.43,26.88,27.27,27.93,27.68,27.28,27.66,27.30
1931,27.16,27.42,27.32,27.57,27.91,27.30,26.83,27.93,27.59,27.26,27.66,26.66
1932,26.19,26.44,26.44,26.92,27.03,26.45,26.73,27.08,27.36,27.39,26.98,26.95
1933,26.59,26.28,26.53,26.99,27.63,27.04,26.81,27.19,27.03,26.96,26.78,26.44
1934,25.66,25.60,25.88,26.65,27.53,26.73,26.73,27.13,27.45,27.08,27.38,27.01
1935,26.58,26.80,27.11,26.99,26.94,26.58,26.90,27.01,27.71,27.30,27.66,27.18
1936,26.67,27.10,26.91,27.13,27.63,26.77,26.88,26.94,27.50,26.87,27.38,27.20
1937,26.73,26.80,27.35,27.19,27.03,27.12,26.98,27.64,27.47,27.02,27.55,26.99
1938,26.60,27.08,26.81,27.17,27.13,27.10,26.69,26.67,27.50,27.37,27.55,27.09
1939,26.63,26.35,26.89,27.22,27.53,26.70,26.75,26.99,27.09,26.92,27.55,27.05
1940,26.54,26.58,27.39,27.54,27.63,27.44,27.16,26.98,27.51,27.91,27.93,27.38
1941,27.06,27.34,27.66,27.96,28.19,27.99,27.50,27.53,27.84,28.02,27.84,27.55
1942,26.30,26.46,27.00,27.01,27.33,27.06,26.66,26.98,27.30,27.04,26.98,26.79
1943,25.88,26.01,26.29,26.69,27.33,26.49,26.16,26.53,27.13,26.72,26.98,26.56
1944,26.01,26.13,26.42,27.01,27.33,26.97,26.66,27.03,27.28,27.27,26.98,26.74
1945,26.39,26.38,26.61,26.89,27.33,27.06,26.66,27.03,27.13,26.86,26.98,26.79
1946,27.08,26.71,26.81,27.24,27.33,27.06,26.66,27.09,27.20,27.27,26.98,26.99
1947,27.03,26.71,26.89,27.14,27.33,27.06,26.62,26.98,27.28,27.10,26.98,27.25
1948,26.59,26.76,27.29,28.30,27.91,27.56,27.02,27.60,27.81,27.86,27.47,27.64
1949,27.00,26.88,27.41,27.41,27.33,27.30,26.78,27.39,27.60,27.27,27.47,27.28
1950,27.11,26.78,27.02,27.05,27.43,27.12,26.67,26.98,27.33,26.82,27.46,26.86
1951,25.60,25.50,26.72,27.15,26.95,27.26,26.40,26.98,27.39,27.17,27.29,26.99
1952,26.41,26.38,26.54,27.14,27.24,27.16,26.62,26.82,27.29,27.17,26.71,26.60
1953,26.37,25.99,26.44,26.94,26.94,27.20,26.45,27.28,27.33,27.48,27.26,27.14
1954,26.29,26.37,26.74,26.88,26.94,26.76,26.33,26.88,27.19,26.60,26.52,26.44
1955,25.99,26.26,26.65,26.83,27.43,26.83,26.15,26.25,27.13,26.97,26.78,26.31
1956,25.61,26.13,26.57,26.97,26.80,26.49,26.20,26.48,27.05,26.87,26.68,26.35
1957,26.25,26.26,26.57,27.24,27.03,27.36,26.62,26.83,27.39,27.27,27.15,26.64
1958,26.79,26.56,26.91,27.64,27.83,27.36,26.98,26.80,27.65,27.37,26.77,26.81
1959,26.53,26.92,26.71,26.94,27.33,27.06,26.57,26.68,27.33,27.29,26.88,26.90
1960,26.22,26.18,26.80,26.88,27.42,27.02,26.62,27.31,27.49,27.37,26.88,26.87
1961,26.09,26.40,26.81,27.05,27.34,26.67,26.52,26.88,27.14,26.97,26.88,26.79
1962,25.99,26.06,26.35,26.86,27.34,26.63,26.62,26.39,27.22,27.07,26.98,26.68
1963,25.56,25.68,26.59,27.52,27.47,27.06,26.74,26.91,27.52,27.27,27.08,26.90
1964,26.93,26.52,26.71,27.06,27.41,26.76,26.22,26.70,27.19,26.67,26.86,26.26
1965,25.71,26.25,26.35,26.77,27.03,26.92,26.51,26.74,27.19,26.86,27.12,26.89
1966,26.36,26.56,26.71,27.25,27.33,26.67,26.42,26.88,27.57,26.99,26.88,26.69
1967,26.29,25.86,26.51,26.57,26.93,26.83,26.34,26.95,27.29,27.19,26.59,26.39
1968,25.99,26.01,26.59,26.94,26.93,26.77,26.38,26.63,27.29,26.97,26.95,26.59
1969,26.56,26.62,27.11,27.36,27.44,27.06,26.72,26.68,27.39,27.26,26.73,26.69
1970,26.49,26.56,27.01,27.14,27.17,26.96,26.59,26.97,27.13,27.07,26.88,26.59
1971,26.02,25.86,26.43,27.26,27.05,26.78,26.59,26.55,27.55,27.12,26.54,26.47
1972,25.81,26.51,26.47,26.93,27.11,27.15,27.20,27.28,27.57,27.75,27.22,27.28
1973,26.84,27.13,26.93,27.57,27.02,27.26,27.06,27.02,27.29,27.30,26.91,26.32
1974,25.65,25.95,26.42,27.03,26.73,26.66,26.32,27.04,27.03,27.37,26.88,26.91
1975,26.54,26.16,26.52,27.23,26.82,26.71,26.19,27.02,27.10,27.07,26.36,26.48
1976,25.52,26.06,26.44,26.64,27.03,26.63,26.58,26.78,27.29,27.07,26.68,26.79
1977,26.39,25.77,26.54,27.51,27.23,26.79,26.85,26.76,27.46,27.55,26.88,27.19
1978,26.61,26.85,27.09,27.24,27.43,26.96,26.62,27.17,27.29,27.17,26.88,26.79
1979,26.59,26.86,27.21,27.24,27.62,27.06,26.63,27.26,27.40,27.37,26.78,26.84
1980,26.50,26.60,26.91,27.25,27.53,27.36,27.04,26.60,27.41,27.47,26.98,26.59
1981,26.01,26.46,27.11,27.20,27.27,27.53,27.02,27.67,27.47,27.64,27.27,26.89
1982,26.49,26.88,27.05,26.98,27.47,27.36,26.93,27.09,27.74,27.39,27.43,27.23
1983,26.86,27.48,27.84,28.27,27.97,27.71,27.12,27.32,27.53,27.76,27.27,26.59
1984,25.99,25.75,26.41,27.04,27.03,27.09,26.53,27.09,27.19,27.26,26.99,26.60
1985,26.69,26.86,26.63,27.24,27.39,27.35,26.52,27.18,27.29,27.20,26.98,26.99
1986,26.08,26.56,26.51,27.22,27.63,27.36,27.22,27.80,27.39,27.29,26.98,27.26
1987,26.29,26.79,27.41,27.74,27.45,27.92,27.51,27.28,27.89,27.97,27.86,27.19
1988,27.19,27.08,27.34,27.72,27.93,27.36,26.92,27.08,27.59,27.85,27.08,26.86
1989,26.79,26.41,26.47,27.14,27.43,27.16,27.23,27.34,27.49,27.47,27.41,27.17
1990,26.53,27.14,27.79,28.04,27.83,27.75,27.02,27.76,27.78,27.76,27.59,27.34
1991,26.87,26.95,27.41,27.76,27.63,28.11,27.60,27.78,27.88,27.67,26.98,26.79
1992,26.89,27.06,27.74,28.00,27.83,27.81,27.00,27.68,27.84,27.50,26.94,26.91
1993,26.76,26.74,27.00,27.34,27.82,27.85,27.45,27.77,27.89,27.67,27.38,27.38
1994,27.29,27.03,26.71,27.74,27.63,27.56,27.55,27.50,27.99,27.80,27.18,27.77
1995,27.08,26.76,27.29,27.82,28.06,28.04,27.54,27.51,28.28,28.03,27.60,26.94
1996,26.59,26.53,27.44,27.74,28.09,27.86,27.73,27.60,28.28,27.63,27.68,27.10
1997,26.99,27.04,27.80,27.70,28.35,28.23,27.79,28.21,28.25,28.17,27.98,27.94
1998,27.94,27.89,28.24,27.95,29.07,28.17,27.75,27.68,28.41,28.25,28.13,27.49
1999,26.86,26.76,27.34,28.04,27.66,27.65,27.30,27.49,28.09,27.57,27.68,27.19
2000,26.79,26.77,27.30,27.64,28.27,27.46,27.75,27.65,28.29,28.17,27.86,27.92
2001,26.87,26.96,27.51,27.81,28.23,27.76,27.90,28.06,28.29,28.11,27.78,27.76
2002,27.39,27.55,28.10,28.31,28.63,28.26,28.17,28.13,28.22,28.32,27.97,28.20
2003,27.22,27.26,27.80,27.91,28.52,28.04,27.35,28.17,28.30,27.96,27.77,27.47
2004,27.61,27.44,27.85,28.37,28.37,28.02,27.29,28.07,27.81,27.63,27.56,27.33
2005,27.15,27.81,27.87,28.17,27.92,28.11,27.62,28.15,28.66,27.77,27.54,27.27
2006,26.89,27.13,27.67,27.74,27.53,27.44,27.72,27.89,27.88,28.13,27.47,27.75
2007,26.86,27.05,27.49,27.74,28.03,27.86,27.62,27.86,28.25,27.94,27.58,27.28
