,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,24.55,24.06,25.49,25.12,25.74,23.97,24.79,23.94,24.33,25.02,25.83,24.24
1902,24.25,23.96,24.49,24.72,25.74,24.07,23.69,24.14,24.43,25.22,25.83,24.94
1903,25.45,24.46,24.99,24.62,25.74,24.07,23.79,24.14,24.43,24.32,25.83,23.94
1904,24.05,23.66,25.49,24.22,25.74,25.17,24.79,23.64,25.43,24.12,25.83,24.24
1905,24.61,24.36,24.99,24.42,25.74,24.77,24.09,24.04,24.43,25.42,25.83,25.14
1906,25.11,25.36,24.99,25.02,25.74,24.37,23.99,24.04,24.33,24.32,25.83,24.14
1907,24.25,24.06,24.29,24.52,25.74,23.97,23.69,23.74,25.43,24.62,25.83,24.34
1908,24.74,24.46,24.89,24.92,25.74,23.97,24.79,24.04,25.43,24.42,25.83,24.54
1909,24.85,24.46,24.59,24.82,25.74,25.17,23.59,24.24,24.33,24.42,25.83,24.34
1910,24.74,24.66,24.49,24.42,25.74,24.07,23.89,23.94,25.43,24.02,25.83,24.34
1911,24.40,24.39,25.11,25.04,25.80,24.35,23.88,23.99,24.78,24.66,26.00,24.87
1912,24.84,24.95,24.94,25.76,25.80,24.39,23.98,24.72,24.71,24.85,25.93,24.85
1913,24.83,24.92,24.66,24.79,25.80,24.27,24.24,24.38,24.87,25.32,25.95,24.96
1914,25.00,24.97,25.12,25.03,25.93,24.56,24.18,24.44,24.74,25.77,26.02,25.37
1915,24.65,24.60,25.41,25.37,25.46,24.96,24.59,24.78,24.78,25.23,26.00,24.77
1916,23.90,24.22,24.66,25.00,25.13,24.14,24.19,24.34,24.62,25.06,25.97,24.31
1917,24.00,24.07,24.47,24.58,25.16,24.39,24.41,24.63,25.46,25.88,25.97,25.50
1918,23.65,23.94,24.32,25.31,25.63,24.60,24.12,24.28,24.85,25.43,25.97,24.84
1919,25.00,25.12,25.27,25.14,25.41,24.44,23.81,24.16,24.71,25.21,25.94,24.81
1920,24.13,24.29,24.95,24.85,25.64,24.53,24.52,24.49,25.53,25.90,26.02,24.64
1921,24.78,24.55,24.50,24.78,24.97,24.30,24.29,24.74,24.54,24.71,25.91,24.33
1922,24.66,24.12,24.58,24.98,25.09,24.47,24.33,24.44,24.71,24.74,26.02,24.91
1923,24.65,24.79,24.74,25.32,25.40,24.67,23.82,23.70,24.42,25.63,25.94,24.83
1924,25.25,24.84,25.09,25.05,25.89,24.87,24.62,24.90,25.13,24.32,25.83,24.42
1925,24.70,24.16,24.34,25.12,25.61,24.73,24.31,24.76,25.22,25.34,25.91,25.14
1926,24.64,24.97,25.01,25.87,26.04,25.07,24.60,25.05,25.02,25.26,25.92,24.77
1927,24.64,25.06,25.09,25.33,25.73,24.70,24.59,24.87,25.04,25.14,25.90,25.03
1928,25.35,25.15,25.00,25.28,25.84,24.77,24.41,24.66,24.95,25.17,25.85,24.77
1929,24.65,24.96,24.59,25.22,25.09,24.57,23.81,24.45,25.11,25.42,25.83,24.62
1930,25.15,24.72,25.29,24.94,25.74,24.47,24.35,24.93,25.24,25.44,25.92,25.38
1931,25.64,25.50,25.51,25.65,25.94,25.17,24.59,25.08,25.29,25.27,25.92,24.86
1932,24.85,24.62,24.72,25.12,25.74,24.57,24.49,24.82,25.09,25.46,25.83,24.83
1933,25.35,24.49,24.82,25.05,25.84,24.67,24.39,25.33,24.45,25.06,25.83,24.74
1934,24.80,24.36,24.39,24.92,25.33,24.67,24.49,24.61,24.71,25.41,25.87,24.84
1935,24.95,25.27,25.32,25.05,25.74,24.37,24.00,24.36,25.07,25.28,25.92,25.37
1936,24.84,25.19,25.23,25.05,25.84,24.67,24.41,24.84,25.19,25.21,25.87,25.28
1937,24.72,25.36,25.62,25.22,25.34,24.50,24.16,24.61,25.11,25.23,25.91,24.92
1938,25.25,25.26,25.39,25.48,25.64,24.35,24.29,24.34,25.19,25.54,25.91,25.02
1939,25.35,25.06,25.10,25.33,25.20,24.27,24.59,24.84,24.94,25.13,25.91,25.17
1940,25.06,25.11,24.98,24.89,24.24,24.27,24.44,24.15,25.36,26.21,25.95,25.47
1941,25.75,25.67,26.06,26.06,26.05,25.22,24.33,24.48,25.26,25.75,25.94,25.52
1942,25.62,25.65,25.89,25.52,25.93,25.37,24.14,24.80,25.33,25.42,25.83,25.44
1943,24.45,24.56,24.69,24.92,25.74,24.27,23.89,24.34,25.03,24.92,25.83,25.04
1944,25.20,25.06,25.37,25.15,25.01,24.67,24.11,24.56,25.23,25.72,25.83,25.34
1945,25.58,25.35,25.29,25.42,25.46,24.36,24.11,24.76,25.03,25.12,25.83,25.44
1946,25.99,25.01,25.49,25.62,24.94,25.27,25.37,26.06,25.13,25.82,25.83,25.74
1947,26.15,25.85,25.39,25.07,25.93,25.27,24.59,25.04,25.23,25.52,25.83,26.14
1948,23.29,25.29,25.55,25.58,26.21,25.48,24.74,24.60,25.42,26.21,25.90,25.69
1949,25.31,25.31,25.24,25.50,25.27,24.87,24.05,24.48,24.78,25.61,25.90,25.47
1950,25.45,24.99,25.33,25.29,25.51,24.61,23.74,24.28,24.92,24.86,24.63,24.78
1951,24.63,24.66,25.59,25.43,25.09,24.82,24.09,24.29,25.35,25.34,26.64,25.16
1952,25.48,25.56,24.79,25.57,25.19,24.70,24.29,24.54,25.00,24.80,24.25,25.05
