,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.31,24.80,26.16,25.86,26.35,24.62,25.30,24.42,24.93,25.78,26.43,24.95
1902,25.03,24.70,25.21,25.49,26.35,24.70,24.29,24.61,25.03,25.97,26.43,25.60
1903,26.12,25.17,25.68,25.39,26.35,24.70,24.39,24.61,25.03,25.14,26.43,24.67
1904,24.85,24.42,26.16,25.03,26.35,25.74,25.30,24.15,25.96,24.95,26.43,24.95
1905,25.40,25.08,25.68,25.21,26.35,25.35,24.66,24.51,25.03,26.15,26.43,25.78
1906,25.86,26.02,25.68,25.76,26.35,24.99,24.57,24.51,24.93,25.14,26.43,24.86
1907,25.03,24.80,25.04,25.31,26.35,24.62,24.29,24.24,25.96,25.41,26.43,25.04
1908,25.50,25.17,25.60,25.67,26.35,24.62,25.30,24.51,25.96,25.23,26.43,25.23
1909,25.61,25.17,25.31,25.59,26.35,25.74,24.20,24.70,24.93,25.23,26.43,25.04
1910,25.50,25.36,25.21,25.21,26.35,24.70,24.47,24.42,25.96,24.85,26.43,25.04
1911,25.13,24.92,25.69,25.60,26.35,24.81,24.23,24.34,25.23,25.24,26.44,25.35
1912,25.41,25.46,25.43,26.33,26.35,24.91,24.41,25.07,25.14,25.42,26.43,25.35
1913,25.51,25.45,25.15,25.41,26.35,24.80,24.68,24.71,25.32,25.89,26.43,25.45
1914,25.71,25.46,25.69,25.60,26.36,25.08,24.60,24.72,25.15,26.34,26.44,25.80
1915,25.31,25.12,26.01,25.98,25.79,25.54,25.10,25.17,25.23,25.80,26.44,25.25
1916,24.60,24.74,25.23,25.58,25.41,24.64,24.70,24.77,25.04,25.61,26.43,24.79
1917,24.71,24.72,25.06,25.18,25.59,24.94,24.90,25.09,25.96,26.49,26.43,26.05
1918,24.50,24.17,24.96,25.78,26.15,24.96,24.60,24.67,25.31,26.07,26.43,25.43
1919,25.71,25.72,25.86,25.78,25.70,24.94,24.30,24.50,25.14,25.80,26.43,25.35
1920,24.81,24.83,25.21,25.48,26.08,25.04,25.00,25.01,25.97,26.49,26.44,25.32
1921,25.51,25.22,25.06,25.38,25.21,24.94,24.80,25.17,24.97,25.33,26.43,24.79
1922,25.31,24.70,25.16,25.67,25.41,25.04,24.80,24.87,25.14,25.33,26.44,25.35
1923,25.41,25.42,25.36,25.98,25.79,25.24,24.31,24.07,24.94,26.26,26.43,25.35
