,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.89,25.50,26.35,26.09,26.36,24.92,25.36,24.92,25.49,26.47,27.03,25.86
1902,25.70,25.44,25.72,25.83,26.36,24.99,24.67,25.05,25.55,26.60,27.03,26.30
1903,26.46,25.75,26.03,25.78,26.36,24.99,24.74,25.05,25.55,26.03,27.03,25.67
1904,25.57,25.25,26.35,25.51,26.36,25.68,25.36,24.73,26.19,25.90,27.03,25.86
1905,25.95,25.69,26.03,25.64,26.36,25.44,24.94,24.97,25.55,26.72,27.03,26.44
1906,26.23,26.34,26.03,26.02,26.36,25.17,24.87,24.97,25.49,26.03,27.03,25.80
1907,25.70,25.50,25.60,25.71,26.36,24.92,24.67,24.79,26.19,26.23,27.03,25.92
1908,26.02,25.75,25.97,25.96,26.36,24.92,25.36,24.97,26.19,26.09,27.03,26.05
1909,26.08,25.75,25.78,25.90,26.36,25.68,24.61,25.11,25.49,26.09,27.03,25.92
1910,26.02,25.88,25.72,25.64,26.36,24.99,24.81,24.92,26.19,25.84,27.03,25.92
1911,25.77,25.56,26.03,25.90,26.36,25.05,24.61,24.85,25.67,26.09,27.03,26.11
1912,25.95,25.94,25.84,26.41,26.36,25.11,24.74,25.37,25.62,26.23,27.03,26.11
1913,26.02,25.94,25.66,25.78,26.36,25.05,24.94,25.11,25.75,26.54,27.03,26.18
1914,26.14,25.94,26.03,25.90,26.36,25.24,24.87,25.11,25.62,26.86,27.03,26.44
1915,25.69,25.36,26.14,26.01,25.76,25.49,25.16,25.34,25.67,26.47,27.03,26.05
1916,24.93,24.98,25.72,25.61,25.36,24.58,24.76,24.97,25.55,26.35,27.03,25.73
1917,25.14,25.06,25.25,25.23,25.56,24.88,24.98,25.36,26.19,26.96,27.03,26.61
1918,24.96,24.46,25.15,25.81,26.16,24.88,24.63,24.83,25.75,26.66,27.03,26.18
1919,26.13,26.10,26.05,25.81,25.66,24.92,24.36,24.63,25.62,26.47,27.03,26.11
1920,25.23,25.10,25.35,25.61,26.06,25.02,25.18,25.39,26.19,26.96,27.03,26.11
1921,25.96,25.59,25.25,25.41,25.16,24.98,24.90,25.39,25.49,26.15,27.03,25.73
1922,25.71,24.96,25.30,25.71,25.36,24.99,24.88,24.98,25.62,26.15,27.03,26.11
1923,25.94,25.82,25.57,26.03,25.76,25.18,24.47,24.15,25.49,26.79,27.03,26.11
1924,26.43,25.76,25.95,25.79,26.56,25.44,25.18,25.48,26.01,26.03,27.03,25.86
1925,25.96,25.16,25.15,25.81,26.06,25.18,24.83,25.33,26.01,26.60,27.03,26.37
1926,25.83,25.96,25.86,26.51,26.66,25.58,25.07,25.70,25.87,26.54,27.03,26.05
1927,25.83,26.13,25.97,26.17,26.26,25.31,25.26,25.51,25.87,26.47,27.03,26.23
1928,26.56,26.16,25.85,26.03,26.46,25.40,25.06,25.49,25.81,26.47,27.03,26.05
1929,25.86,25.97,25.36,25.91,25.26,25.08,24.26,24.93,25.94,26.66,27.03,25.99
1930,26.33,25.66,26.06,25.60,26.36,24.88,24.83,25.43,26.01,26.66,27.03,26.50
1931,26.73,26.36,26.43,26.33,26.56,25.77,25.26,25.64,26.06,26.54,27.03,26.18
