,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.67,25.56,26.28,26.15,26.52,25.75,26.02,25.60,25.84,26.09,26.25,25.61
1902,25.56,25.53,25.90,26.00,26.52,25.79,25.61,25.68,25.88,26.17,26.25,25.88
1903,26.02,25.72,26.09,25.96,26.52,25.79,25.64,25.68,25.88,25.83,26.25,25.50
1904,25.48,25.41,26.28,25.81,26.52,26.22,26.02,25.48,26.26,25.75,26.25,25.61
1905,25.72,25.68,26.09,25.88,26.52,26.07,25.76,25.64,25.88,26.25,26.25,25.96
1906,25.88,26.05,26.09,26.11,26.52,25.91,25.72,25.64,25.84,25.83,26.25,25.58
1907,25.56,25.56,25.82,25.92,26.52,25.75,25.61,25.52,26.26,25.95,26.25,25.66
1908,25.75,25.72,26.05,26.07,26.52,25.75,26.02,25.64,26.26,25.87,26.25,25.73
1909,25.79,25.72,25.93,26.03,26.52,26.22,25.57,25.72,25.84,25.87,26.25,25.66
1910,25.75,25.80,25.90,25.88,26.52,25.79,25.69,25.60,26.26,25.71,26.25,25.66
1911,25.76,26.01,26.31,26.35,26.69,26.18,26.06,25.85,26.24,26.19,26.77,26.15
1912,26.19,26.20,26.45,26.56,26.69,26.06,25.95,26.05,26.22,26.27,26.57,26.13
1913,25.99,26.15,26.37,26.16,26.69,25.99,26.02,26.01,26.27,26.45,26.65,26.20
1914,26.04,26.24,26.36,26.33,27.09,26.08,26.04,26.13,26.34,26.60,26.85,26.41
1915,25.94,25.99,26.38,26.42,26.63,26.35,26.02,26.22,26.24,26.41,26.77,26.11
1916,25.63,25.89,26.20,26.28,26.38,25.95,25.75,25.86,26.22,26.39,26.69,25.97
1917,25.58,25.61,25.97,26.09,26.15,25.98,25.98,25.90,26.38,26.59,26.69,26.27
1918,25.22,25.24,25.96,26.19,26.41,25.91,25.91,25.93,26.22,26.34,26.69,25.91
1919,26.10,26.23,26.46,26.39,26.64,26.19,25.78,25.94,26.25,26.39,26.61,26.03
1920,25.73,25.86,26.31,26.25,26.63,26.21,26.10,25.94,26.58,26.68,26.85,25.76
1921,25.94,25.87,26.05,26.18,26.23,25.86,25.95,26.07,26.22,26.15,26.49,26.02
1922,26.02,25.78,26.01,26.09,26.24,26.01,25.97,25.84,26.25,26.20,26.85,26.25
1923,25.87,26.04,26.13,26.42,26.46,26.16,25.75,25.59,25.96,26.42,26.61,26.08
1924,26.18,26.04,26.17,26.26,26.54,26.10,26.09,26.18,26.15,25.83,26.28,25.87
1925,25.85,25.56,25.86,26.24,26.58,26.21,25.99,26.08,26.31,26.31,26.49,26.05
1926,25.82,26.09,26.29,26.67,26.79,26.27,26.06,26.18,26.24,26.31,26.53,26.11
1927,25.86,26.03,26.31,26.32,26.54,26.13,26.07,26.12,26.27,26.22,26.45,26.17
1928,26.12,26.04,26.18,26.30,26.67,26.16,26.02,26.02,26.24,26.29,26.37,26.13
1929,25.83,25.88,25.89,26.31,26.41,25.94,25.87,25.98,26.27,26.31,26.25,25.96
1930,26.04,25.95,26.20,26.25,26.55,26.01,26.14,26.34,26.36,26.36,26.53,26.26
1931,26.28,26.38,26.51,26.50,26.74,26.36,26.07,26.40,26.33,26.33,26.53,25.97
1932,25.85,25.93,26.03,26.18,26.46,25.94,25.99,25.99,26.22,26.41,26.25,26.08
1933,26.08,25.82,26.08,26.21,26.63,26.17,25.98,26.30,26.03,26.19,26.18,25.86
1934,25.64,25.56,25.78,26.05,26.44,26.03,26.02,26.01,26.22,26.29,26.41,26.11
1935,26.03,26.15,26.39,26.21,26.42,25.92,25.95,25.88,26.36,26.36,26.53,26.22
1936,26.02,26.23,26.26,26.27,26.63,26.07,26.02,26.02,26.28,26.17,26.41,26.22
1937,25.97,26.18,26.50,26.32,26.33,26.10,25.95,26.08,26.27,26.24,26.49,26.10
1938,26.11,26.28,26.27,26.34,26.46,26.07,25.96,25.79,26.28,26.40,26.49,26.15
1939,26.12,26.06,26.23,26.34,26.40,25.91,26.07,26.03,26.10,26.19,26.49,26.15
1940,26.02,25.76,26.17,26.27,26.15,26.05,26.26,25.85,26.46,26.73,26.54,26.39
1941,26.64,26.67,26.93,27.04,27.15,26.79,26.30,26.41,26.50,26.92,26.61,26.39
1942,26.14,26.20,26.45,26.29,26.60,26.29,25.74,25.92,26.23,26.25,26.25,26.06
1943,25.63,25.76,25.97,26.07,26.52,25.87,25.69,25.76,26.11,26.06,26.25,25.92
1944,25.97,25.95,26.24,26.12,26.21,26.00,25.72,25.81,26.19,26.39,26.25,26.05
1945,26.13,26.05,26.20,26.25,26.41,25.85,25.72,25.90,26.11,26.14,26.25,26.06
1946,26.28,25.91,26.28,26.32,26.18,26.27,26.30,26.51,26.15,26.39,26.25,26.19
1947,26.35,26.27,26.26,26.06,26.60,26.27,25.96,26.03,26.19,26.29,26.25,26.35
1948,25.38,26.14,26.48,26.59,26.82,26.53,26.10,26.09,26.43,26.67,26.45,26.43
1949,26.25,26.25,26.37,26.36,26.32,26.11,25.83,25.92,26.18,26.38,26.42,26.26
1950,26.45,25.98,26.49,26.28,26.50,26.29,26.03,25.84,26.37,26.22,26.12,26.10
1951,26.14,25.97,26.47,26.49,26.47,26.48,25.85,26.15,26.44,26.41,27.03,26.45
1952,26.60,26.55,26.16,26.62,26.42,26.37,26.05,26.07,26.33,26.34,25.96,26.19
1953,26.42,26.24,26.72,26.71,26.47,26.51,25.89,26.19,26.45,26.68,26.46,26.75
1954,26.69,26.37,26.63,26.58,26.82,26.14,25.97,25.99,26.40,25.93,25.86,26.23
