,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.90,25.84,25.99,26.68,26.69,26.10,25.88,25.92,26.14,26.66,26.65,26.00
1902,25.85,25.83,25.89,26.63,26.69,26.11,25.75,25.95,26.15,26.70,26.65,26.09
1903,25.98,25.90,25.95,26.62,26.69,26.11,25.77,25.95,26.15,26.58,26.65,25.97
1904,25.84,25.80,25.99,26.58,26.69,26.24,25.88,25.89,26.26,26.55,26.65,26.00
1905,25.91,25.88,25.95,26.60,26.69,26.20,25.80,25.94,26.15,26.72,26.65,26.12
1906,25.95,25.98,25.95,26.67,26.69,26.15,25.79,25.94,26.14,26.58,26.65,26.00
1907,25.85,25.84,25.85,26.61,26.69,26.10,25.75,25.90,26.26,26.61,26.65,26.01
1908,25.92,25.90,25.93,26.66,26.69,26.10,25.88,25.94,26.26,26.59,26.65,26.04
1909,25.94,25.90,25.89,26.65,26.69,26.24,25.74,25.96,26.14,26.59,26.65,26.01
1910,25.92,25.92,25.89,26.60,26.69,26.11,25.78,25.92,26.26,26.54,26.65,26.01
1911,25.87,25.85,25.95,26.65,26.69,26.13,25.74,25.91,26.18,26.59,26.65,26.06
1912,25.91,25.93,25.91,26.75,26.69,26.14,25.77,26.01,26.16,26.61,26.65,26.06
1913,25.92,25.93,25.87,26.62,26.69,26.13,25.80,25.96,26.19,26.67,26.65,26.07
1914,25.95,25.93,25.95,26.65,26.69,26.16,25.79,25.96,26.16,26.75,26.65,26.12
1915,25.44,25.15,25.75,26.40,26.26,26.19,25.72,25.91,26.18,26.66,26.65,26.04
1916,24.94,24.84,25.89,26.05,25.96,25.41,25.47,25.66,26.15,26.64,26.65,25.98
1917,25.15,25.07,25.10,25.85,26.11,25.64,25.64,26.01,26.26,26.75,26.65,26.14
1918,25.10,24.62,25.08,26.19,26.59,25.64,25.29,25.48,26.19,26.70,26.65,26.07
1919,25.91,25.95,25.78,26.29,26.19,25.74,25.11,25.34,26.16,26.66,26.65,26.06
1920,25.22,24.97,25.24,26.24,26.50,25.82,25.88,26.27,26.26,26.75,26.65,26.06
1921,25.81,25.61,25.10,25.95,25.81,25.85,25.67,26.02,26.14,26.60,26.65,25.98
1922,25.49,24.95,25.07,26.17,25.96,25.76,25.56,25.51,26.16,26.60,26.65,26.06
1923,25.90,25.77,25.44,26.50,26.26,25.90,25.35,24.85,26.14,26.73,26.65,26.06
1924,26.05,25.55,25.69,26.34,26.88,26.19,25.78,26.00,26.24,26.58,26.65,26.00
1925,25.85,25.13,25.08,26.29,26.50,25.80,25.45,25.85,26.24,26.70,26.65,26.10
1926,25.67,25.80,25.66,26.75,26.96,26.14,25.60,26.21,26.22,26.67,26.65,26.04
1927,25.67,25.99,25.80,26.71,26.64,26.10,25.89,26.05,26.22,26.66,26.65,26.08
1928,26.25,25.97,25.61,26.50,26.79,26.21,25.75,26.24,26.20,26.66,26.65,26.04
1929,25.73,25.81,25.25,26.32,25.89,25.77,24.99,25.50,26.22,26.70,26.65,26.03
1930,26.05,25.53,25.79,26.09,26.69,25.59,25.45,25.86,26.24,26.70,26.65,26.14
1931,26.31,26.00,26.19,26.68,26.88,26.46,25.89,26.15,26.26,26.67,26.65,26.07
1932,25.95,25.51,25.39,26.24,26.69,25.94,25.65,25.69,26.22,26.70,26.65,26.06
1933,26.27,25.31,25.47,26.23,26.79,26.03,25.51,26.84,26.14,26.65,26.65,26.06
1934,25.88,25.23,25.17,26.10,26.19,25.92,25.83,25.71,26.16,26.70,26.65,26.06
1935,26.07,25.98,25.97,26.23,26.69,25.64,25.20,25.31,26.22,26.67,26.65,26.14
1936,25.92,25.86,25.71,26.29,26.79,26.03,25.58,26.05,26.24,26.67,26.65,26.12
1937,25.62,26.09,26.09,26.38,26.26,25.59,25.13,25.24,26.22,26.67,26.65,26.07
1938,26.43,26.08,25.90,26.55,26.64,25.50,25.56,25.50,26.24,26.72,26.65,26.08
1939,26.43,26.28,25.63,26.47,26.03,25.43,26.02,26.05,26.22,26.66,26.65,26.10
