,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.97,25.84,26.30,26.38,26.47,25.67,25.59,25.32,25.62,26.09,26.38,25.88
1902,25.87,25.81,26.00,26.26,26.47,25.70,25.26,25.38,25.65,26.15,26.38,26.09
1903,26.23,25.96,26.15,26.23,26.47,25.70,25.30,25.38,25.65,25.87,26.38,25.79
1904,25.81,25.72,26.30,26.11,26.47,26.03,25.59,25.23,25.95,25.81,26.38,25.88
1905,26.00,25.94,26.15,26.17,26.47,25.92,25.39,25.35,25.65,26.22,26.38,26.15
1906,26.13,26.22,26.15,26.35,26.47,25.80,25.35,25.35,25.62,25.87,26.38,25.85
1907,25.87,25.84,25.94,26.20,26.47,25.67,25.26,25.26,25.95,25.97,26.38,25.91
1908,26.03,25.96,26.12,26.32,26.47,25.67,25.59,25.35,25.95,25.91,26.38,25.97
1909,26.06,25.96,26.03,26.29,26.47,26.03,25.24,25.42,25.62,25.91,26.38,25.91
1910,26.03,26.03,26.00,26.17,26.47,25.70,25.33,25.32,25.95,25.78,26.38,25.91
1911,25.95,25.97,26.20,26.37,26.50,25.82,25.35,25.37,25.78,25.99,26.46,26.09
1912,26.10,26.14,26.17,26.58,26.50,25.82,25.37,25.58,25.76,26.06,26.43,26.09
1913,26.09,26.13,26.09,26.29,26.50,25.78,25.45,25.49,25.81,26.19,26.44,26.12
1914,26.14,26.15,26.22,26.37,26.56,25.86,25.44,25.51,25.78,26.33,26.47,26.24
1915,25.82,25.68,26.18,26.33,26.19,25.99,25.47,25.58,25.78,26.17,26.46,26.06
1916,25.41,25.45,26.07,26.07,25.93,25.40,25.24,25.32,25.73,26.12,26.45,25.93
1917,25.50,25.48,25.66,25.87,25.99,25.57,25.41,25.55,25.97,26.35,26.45,26.26
1918,25.37,25.11,25.60,26.14,26.37,25.55,25.17,25.23,25.80,26.22,26.45,26.06
1919,26.14,26.19,26.19,26.23,26.14,25.66,25.01,25.14,25.76,26.16,26.44,26.07
1920,25.60,25.52,25.79,26.14,26.36,25.72,25.56,25.65,25.99,26.36,26.47,26.00
