,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.23,25.49,25.88,26.34,26.39,26.13,25.90,25.93,26.01,25.94,25.86,25.62
1902,25.23,25.49,25.88,26.34,26.39,26.13,25.90,25.93,26.01,25.94,25.86,25.62
1903,25.23,25.48,25.86,26.33,26.39,26.13,25.88,25.92,25.99,25.92,25.85,25.60
1904,25.21,25.46,25.85,26.30,26.35,26.11,25.88,25.89,26.01,25.91,25.83,25.59
1905,25.22,25.46,25.87,26.34,26.39,26.12,25.86,25.90,25.99,25.92,25.83,25.62
1906,25.22,25.49,25.88,26.34,26.39,26.12,25.88,25.91,25.98,25.92,25.84,25.62
1907,25.21,25.47,25.85,26.32,26.37,26.12,25.87,25.90,25.98,25.93,25.85,25.61
1908,25.23,25.49,25.86,26.33,26.36,26.12,25.87,25.92,26.00,25.93,25.84,25.61
1909,25.23,25.49,25.87,26.33,26.37,26.13,25.88,25.92,25.99,25.93,25.84,25.60
1910,25.23,25.49,25.86,26.31,26.36,26.13,25.89,25.92,25.98,25.93,25.84,25.62
1911,25.23,25.48,25.86,26.31,26.35,26.11,25.88,25.91,25.99,25.93,25.84,25.61
1912,25.22,25.49,25.88,26.34,26.39,26.14,25.88,25.91,26.00,25.92,25.84,25.61
1913,25.23,25.49,25.87,26.31,26.36,26.13,25.88,25.91,26.00,25.92,25.85,25.62
1914,25.21,25.47,25.88,26.34,26.38,26.13,25.89,25.92,26.00,25.94,25.86,25.62
1915,25.14,25.35,25.85,26.29,26.33,26.14,25.88,25.93,26.01,25.93,25.86,25.62
1916,25.06,25.30,25.86,26.20,26.23,25.98,25.84,25.87,26.00,25.93,25.84,25.62
1917,25.10,25.34,25.73,26.19,26.26,26.02,25.85,25.92,25.99,25.92,25.84,25.62
1918,25.06,25.24,25.70,26.22,26.36,26.01,25.80,25.82,26.01,25.93,25.85,25.60
1919,25.23,25.50,25.85,26.28,26.31,26.06,25.77,25.82,26.00,25.93,25.85,25.61
1920,25.11,25.33,25.75,26.27,26.35,26.08,25.90,25.99,26.00,25.92,25.85,25.61
1921,25.21,25.45,25.73,26.19,26.22,26.07,25.88,25.92,26.00,25.93,25.85,25.60
1922,25.15,25.32,25.71,26.25,26.26,26.06,25.84,25.83,26.00,25.94,25.86,25.62
1923,25.22,25.47,25.77,26.30,26.31,26.08,25.82,25.72,26.00,25.93,25.85,25.62
1924,25.24,25.42,25.83,26.29,26.42,26.13,25.89,25.93,26.01,25.94,25.85,25.60
1925,25.23,25.35,25.72,26.26,26.35,26.05,25.83,25.90,26.00,25.93,25.86,25.60
1926,25.17,25.48,25.83,26.34,26.43,26.13,25.85,25.95,26.01,25.93,25.85,25.61
1927,25.18,25.50,25.86,26.34,26.38,26.13,25.89,25.92,26.02,25.93,25.86,25.62
1928,25.30,25.49,25.82,26.31,26.39,26.13,25.88,25.99,26.01,25.93,25.86,25.62
1929,25.18,25.47,25.74,26.26,26.25,26.06,25.74,25.83,26.01,25.94,25.85,25.61
1930,25.24,25.42,25.85,26.24,26.38,26.03,25.83,25.91,26.02,25.95,25.86,25.62
1931,25.29,25.50,25.92,26.35,26.43,26.20,25.90,25.94,26.01,25.94,25.86,25.62
1932,25.21,25.41,25.78,26.27,26.38,26.10,25.86,25.87,26.01,25.94,25.86,25.62
1933,25.29,25.39,25.80,26.27,26.40,26.11,25.84,26.08,26.01,25.93,25.85,25.62
1934,25.23,25.35,25.74,26.23,26.30,26.09,25.90,25.88,26.00,25.94,25.86,25.61
1935,25.24,25.50,25.88,26.26,26.38,26.04,25.79,25.81,26.00,25.94,25.86,25.61
1936,25.23,25.49,25.84,26.28,26.40,26.12,25.85,25.92,26.01,25.94,25.86,25.63
1937,25.19,25.53,25.88,26.29,26.31,26.05,25.77,25.78,26.01,25.93,25.86,25.63
1938,25.32,25.52,25.88,26.30,26.38,25.99,25.85,25.86,26.01,25.93,25.86,25.62
1939,25.32,25.55,25.82,26.30,26.26,26.01,25.94,25.93,26.01,25.94,25.86,25.61
1940,25.30,25.04,25.63,26.26,26.17,25.98,26.19,25.86,26.28,26.15,25.96,25.89
1941,26.00,26.12,26.46,27.04,27.02,26.71,26.19,26.47,26.23,26.48,25.86,25.62
1942,25.38,25.61,25.94,26.33,26.42,26.18,25.73,25.87,26.01,25.94,25.86,25.62
1943,25.23,25.49,25.88,26.34,26.39,26.13,25.90,25.93,26.01,25.94,25.86,25.62
1944,25.34,25.52,25.94,26.22,26.28,26.01,25.71,25.78,26.01,25.94,25.86,25.62
1945,25.36,25.53,25.88,26.33,26.35,25.91,25.71,25.84,26.01,25.94,25.86,25.62
1946,25.30,25.37,25.88,26.30,26.26,26.17,26.08,26.19,26.01,25.94,25.86,25.62
1947,25.38,25.60,25.86,26.16,26.42,26.19,25.93,25.95,26.04,25.95,25.86,25.63
1948,24.89,25.48,25.85,26.28,26.46,26.25,25.88,25.78,26.00,25.94,25.84,25.62
1949,25.30,25.54,25.63,25.96,26.28,25.81,25.76,25.78,25.93,25.93,25.78,25.62
1950,25.82,25.31,26.36,26.35,26.38,26.55,26.17,25.91,26.27,25.95,25.69,25.52
1951,25.85,25.66,25.98,26.44,26.49,26.51,25.77,26.17,26.14,26.19,26.60,26.01
1952,26.01,26.18,25.85,26.59,26.33,26.25,25.96,26.00,26.15,26.03,25.66,25.64
1953,25.74,25.75,26.35,26.79,26.50,26.61,25.80,26.05,26.29,26.29,25.94,26.06
1954,26.04,25.87,26.11,26.62,26.57,26.09,25.85,25.96,26.10,25.65,25.54,25.67
1955,25.67,25.43,25.69,26.36,26.53,25.99,25.84,25.89,26.03,26.17,25.57,25.67
1956,25.23,25.62,25.89,26.54,26.23,25.91,25.58,25.78,25.92,25.54,25.60,25.20
1957,25.17,25.27,25.98,26.57,26.54,26.49,26.19,26.20,26.04,26.28,26.15,26.16
1958,26.08,25.92,26.52,26.71,26.70,26.50,26.26,25.93,26.14,25.96,25.65,25.73
1959,25.49,25.85,25.81,26.35,26.38,25.89,25.79,25.82,25.80,26.07,25.95,25.72
1960,25.53,25.48,25.94,26.56,26.40,26.16,25.80,26.46,26.01,26.14,25.96,26.01
1961,25.00,25.53,25.97,26.24,26.40,25.84,25.68,25.64,25.68,25.64,26.05,25.67
1962,25.01,25.06,25.56,26.05,26.23,25.85,25.99,25.31,25.84,26.03,25.79,25.45
1963,24.27,24.81,25.23,26.01,26.09,26.29,25.81,25.50,26.09,25.83,26.24,25.79
1964,25.83,25.76,25.85,26.33,26.30,25.77,25.41,25.64,25.77,25.50,25.28,25.01
1965,24.30,25.10,25.39,25.89,25.93,25.94,25.69,25.35,25.83,25.98,26.19,25.78
1966,25.63,25.66,26.04,26.52,26.56,25.89,25.58,25.61,26.14,25.82,25.89,25.70
1967,25.12,25.25,25.55,25.97,26.12,26.00,25.71,25.98,25.74,25.61,25.66,25.44
1968,24.91,24.90,25.59,25.91,26.07,26.05,25.69,25.79,25.98,25.66,25.76,25.68
1969,25.55,25.61,26.01,26.49,26.49,26.10,25.80,25.47,26.02,25.83,25.74,25.35
1970,25.33,25.55,26.09,26.30,26.23,26.01,25.65,25.61,25.83,25.87,25.65,25.45
1971,25.09,25.10,25.68,26.15,26.48,26.00,25.92,25.54,26.02,25.84,25.52,25.53
1972,24.77,25.50,25.52,26.17,26.51,26.08,26.65,26.15,26.27,26.31,26.48,26.50
1973,25.93,26.25,26.43,26.79,26.46,26.47,26.28,26.09,25.93,26.32,25.84,25.47
1974,24.87,25.17,25.69,26.29,26.31,26.00,25.71,26.22,25.94,25.86,26.00,25.69
1975,25.54,25.55,25.75,26.56,26.28,26.11,25.74,26.28,25.80,25.88,25.73,25.59
1976,24.52,24.97,25.45,25.87,26.17,25.62,25.63,25.59,26.01,25.85,25.75,25.57
1977,25.18,24.88,25.48,26.17,26.27,25.78,25.81,25.71,26.24,25.87,25.80,25.52
1978,25.14,25.40,25.97,26.25,26.41,25.99,25.71,26.04,25.91,25.92,25.54,25.55
1979,25.33,25.86,25.79,26.37,26.55,26.13,25.85,26.26,25.91,25.94,25.89,25.27
1980,25.31,25.42,25.86,26.23,26.71,26.11,26.06,25.76,26.24,26.19,25.93,25.43
1981,25.07,25.58,26.09,26.49,26.65,26.52,26.15,26.79,26.19,26.17,26.02,25.57
1982,25.34,25.69,26.13,26.45,26.47,26.25,26.29,26.03,26.30,25.93,26.44,26.37
1983,26.01,26.45,26.83,27.24,26.84,26.61,26.26,26.41,26.21,26.16,25.67,25.48
1984,25.17,25.27,25.81,26.13,25.97,25.95,25.60,26.21,25.62,25.61,25.71,25.65
1985,25.33,25.98,26.02,26.28,26.45,26.40,25.44,26.01,25.80,25.77,25.96,25.65
1986,25.19,25.49,25.81,26.35,26.76,26.25,26.02,26.10,26.12,26.02,25.72,25.82
1987,25.32,25.53,26.45,26.99,26.62,26.78,26.35,26.18,26.52,26.35,26.39,25.92
1988,25.92,25.90,26.51,26.81,26.69,26.36,26.08,25.86,26.11,26.05,25.72,25.07
1989,25.57,25.20,25.61,26.11,26.27,25.95,26.19,26.24,26.17,26.02,25.94,25.79
1990,25.41,26.05,26.06,26.83,26.71,26.51,26.09,26.38,26.29,26.37,25.94,25.90
1991,25.76,25.87,26.36,26.62,26.50,26.80,26.43,26.35,26.40,25.89,25.86,25.83
1992,25.46,25.85,26.49,26.91,26.53,26.29,25.94,26.59,26.28,25.82,25.67,25.59
1993,25.45,25.72,25.95,26.49,26.29,26.47,26.06,26.27,25.96,25.97,26.22,25.99
1994,25.72,25.99,25.85,26.43,26.42,26.15,26.35,26.01,26.57,25.97,26.25,26.01
1995,25.84,25.87,26.06,26.65,26.69,26.56,26.03,25.95,26.28,26.25,26.00,25.71
1996,25.09,25.31,26.16,26.54,26.77,26.25,26.52,26.12,26.47,26.00,26.05,25.66
1997,25.40,25.49,26.35,26.46,26.49,26.66,26.46,26.96,26.47,26.24,26.42,26.52
1998,26.46,26.81,26.87,27.36,27.45,26.67,26.37,26.28,26.71,26.54,26.32,25.97
1999,25.86,25.86,26.22,26.78,26.23,26.49,26.36,26.26,26.47,26.05,26.22,25.89
2000,25.66,25.84,26.33,26.43,26.94,26.03,26.73,26.28,26.34,26.28,26.31,26.27
2001,25.74,25.99,26.26,26.64,27.00,26.30,26.71,26.70,26.48,26.29,26.15,26.00
2002,25.77,25.74,26.30,26.79,27.06,26.50,26.81,26.33,26.36,26.22,26.31,26.54
2003,25.95,26.14,26.19,26.67,26.97,26.34,26.16,26.52,26.38,25.95,26.12,25.63
2004,25.61,25.83,26.39,26.92,26.59,26.58,25.88,26.71,26.05,26.12,26.10,25.82
2005,25.65,26.19,26.23,26.87,26.60,26.44,26.24,26.59,26.59,26.18,26.01,25.75
2006,25.78,25.93,26.30,26.31,26.28,26.03,26.69,26.54,26.20,26.08,26.39,26.39
2007,25.66,25.89,26.28,26.74,26.84,26.27,26.18,26.28,26.11,26.39,25.67,25.77
2008,25.67,25.20,25.61,26.20,26.38,26.11,25.84,26.20,26.30,26.12,26.26,26.01
2009,25.29,25.59,25.96,26.73,26.64,26.66,26.27,26.64,26.81,26.29,26.47,26.08
2010,25.67,26.25,26.59,26.86,26.94,26.36,25.66,26.07,26.24,26.19,26.12,25.76
2011,25.36,25.40,25.90,26.33,26.34,26.41,26.42,26.48,26.52,26.29,26.53,26.17
2012,25.86,25.91,26.26,26.44,26.76,26.61,26.10,26.38,26.61,26.41,26.41,26.47
2013,26.12,26.06,26.75,26.85,26.78,26.97,26.29,26.42,26.38,26.09,26.21,26.13
2014,24.91,25.58,26.24,26.77,26.71,27.00,26.44,25.97,26.68,26.26,26.61,26.28
2015,25.34,25.80,26.30,26.97,27.02,26.85,26.84,26.48,26.98,26.77,26.66,26.69
2016,26.62,26.71,27.05,27.59,27.34,26.60,26.52,27.11,26.61,26.62,26.57,26.47
2017,26.33,26.10,26.18,26.68,26.88,26.44,26.82,26.39,26.49,26.48,26.43,26.09
2018,25.67,25.73,26.36,26.98,26.67,26.53,26.87,26.93,26.44,26.36,26.68,26.46
2019,26.30,26.27,26.54,27.25,27.30,26.81,26.45,26.77,26.75,26.30,26.64,26.15
2020,26.43,26.45,26.72,27.21,27.27,26.34,26.21,26.70,26.35,26.26,26.43,26.22
2021,25.51,25.75,26.30,26.78,26.92,26.67,26.81,26.28,26.41,26.79,26.38,26.25
