,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,26.11,26.24,26.92,26.91,27.35,26.71,26.79,26.44,26.51,26.77,27.03,26.27
1902,26.00,26.21,26.61,26.79,27.35,26.74,26.45,26.49,26.54,26.84,27.03,26.50
1903,26.38,26.36,26.76,26.74,27.35,26.74,26.48,26.49,26.54,26.54,27.03,26.18
1904,25.96,26.11,26.92,26.63,27.35,27.09,26.79,26.34,26.86,26.48,27.03,26.27
1905,26.14,26.33,26.76,26.69,27.35,26.98,26.59,26.47,26.54,26.91,27.03,26.56
1906,26.28,26.64,26.76,26.88,27.35,26.84,26.55,26.47,26.51,26.54,27.03,26.25
1907,26.00,26.24,26.54,26.71,27.35,26.71,26.45,26.37,26.86,26.63,27.03,26.31
1908,26.18,26.36,26.73,26.84,27.35,26.71,26.79,26.47,26.86,26.58,27.03,26.38
1909,26.20,26.36,26.64,26.81,27.35,27.09,26.41,26.52,26.51,26.58,27.03,26.31
1910,26.18,26.42,26.61,26.69,27.35,26.74,26.51,26.44,26.86,26.44,27.03,26.31
1911,26.26,27.11,27.26,27.41,27.72,27.45,27.49,26.81,27.18,27.08,28.28,27.30
1912,27.42,27.37,27.85,27.65,27.72,27.04,27.03,27.08,27.16,27.21,27.80,27.22
1913,26.79,27.24,27.71,26.94,27.72,26.87,27.09,27.10,27.21,27.52,27.98,27.37
1914,26.83,27.53,27.39,27.35,28.67,27.02,27.20,27.47,27.52,27.71,28.46,27.81
1915,26.95,27.27,27.45,27.58,28.11,27.72,26.95,27.69,27.18,27.42,28.28,27.20
1916,26.48,27.25,27.15,27.42,27.55,27.07,26.35,26.71,27.22,27.45,28.08,27.01
1917,26.10,26.18,26.78,27.09,26.60,26.92,26.90,26.52,27.13,27.48,28.08,27.13
1918,24.97,25.19,26.85,26.91,27.07,26.62,27.02,27.09,27.07,27.06,28.08,26.50
1919,27.12,27.47,27.80,27.64,28.20,27.60,26.78,27.30,27.25,27.34,27.88,26.94
1920,26.56,27.02,27.77,27.30,27.92,27.62,27.22,26.61,27.62,27.68,28.46,26.41
1921,26.69,26.59,27.06,27.23,27.15,26.71,26.89,27.14,27.26,26.88,27.61,27.15
1922,27.23,26.83,26.85,26.68,27.07,26.92,26.95,26.69,27.25,27.03,28.46,27.59
1923,26.47,27.02,27.02,27.59,27.55,27.30,26.57,26.45,26.47,27.22,27.88,27.06
1924,27.20,27.10,26.90,27.23,27.25,26.90,27.18,27.46,26.76,26.54,27.13,26.61
1925,26.35,25.92,26.44,27.11,27.72,27.50,27.13,27.20,27.16,27.02,27.61,26.77
1926,26.38,27.08,27.34,28.05,28.02,27.40,27.15,27.27,27.04,27.06,27.71,27.20
1927,26.53,26.72,27.34,27.05,27.45,27.05,27.05,27.20,27.11,26.84,27.51,27.25
1928,26.83,26.77,27.01,27.14,27.72,27.10,27.02,26.82,27.09,27.05,27.31,27.27
1929,26.38,26.34,26.37,27.31,27.72,26.65,27.16,27.16,27.06,27.00,27.03,26.81
1930,26.74,26.85,26.88,27.33,27.45,27.03,27.63,28.05,27.29,27.12,27.71,27.35
1931,27.23,27.77,27.68,27.62,27.92,27.50,27.05,28.05,27.16,27.15,27.71,26.66
1932,26.27,26.81,26.66,26.94,27.07,26.54,26.91,26.94,26.94,27.27,27.03,27.06
1933,26.63,26.58,26.76,27.05,27.62,27.29,27.00,27.17,26.69,26.83,26.83,26.40
1934,25.55,25.76,26.02,26.63,27.55,26.82,26.95,27.13,27.16,26.91,27.41,27.15
1935,26.75,27.07,27.41,27.05,26.97,26.70,27.26,26.98,27.41,27.24,27.71,27.18
1936,26.85,27.46,27.10,27.25,27.62,26.92,27.13,26.87,27.06,26.66,27.41,27.25
1937,26.94,27.07,27.60,27.30,27.07,27.33,27.20,27.62,27.06,26.87,27.61,27.09
1938,26.74,27.49,26.92,27.17,27.15,27.37,26.93,26.57,27.06,27.22,27.61,27.19
1939,26.77,26.70,27.13,27.25,27.55,26.83,27.02,26.90,26.59,26.77,27.61,27.06
1940,26.68,26.72,27.49,27.47,27.58,27.51,27.35,26.87,27.08,27.62,27.79,27.31
1941,27.13,27.57,27.85,27.97,28.19,28.14,27.65,27.47,27.43,27.92,27.88,27.66
1942,26.28,26.61,27.02,27.01,27.35,27.09,26.79,26.79,26.83,26.91,27.03,26.65
1943,26.07,26.40,26.67,26.84,27.35,26.81,26.51,26.57,26.74,26.73,27.03,26.55
1944,26.14,26.45,26.73,27.01,27.35,27.07,26.79,26.80,26.79,27.01,27.03,26.65
1945,26.35,26.59,26.83,26.94,27.35,27.09,26.79,26.80,26.74,26.80,27.03,26.65
