,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,24.85,24.41,25.93,25.63,26.27,24.65,25.55,24.57,24.79,25.56,26.13,24.61
1902,24.55,24.31,24.93,25.25,26.27,24.75,24.46,24.77,24.89,25.74,26.13,25.29
1903,25.71,24.80,25.43,25.17,26.27,24.75,24.56,24.77,24.89,24.87,26.13,24.31
1904,24.35,24.01,25.93,24.77,26.27,25.85,25.55,24.27,25.89,24.69,26.13,24.61
1905,24.93,24.70,25.43,24.97,26.27,25.45,24.86,24.67,24.89,25.94,26.13,25.49
1906,25.44,25.70,25.43,25.54,26.27,25.05,24.76,24.67,24.79,24.87,26.13,24.51
1907,24.55,24.41,24.73,25.07,26.27,24.65,24.46,24.37,25.89,25.18,26.13,24.70
1908,25.05,24.80,25.33,25.43,26.27,24.65,25.55,24.67,25.89,24.97,26.13,24.89
1909,25.15,24.80,25.03,25.34,26.27,25.85,24.36,24.87,24.79,24.97,26.13,24.70
1910,25.05,25.00,24.93,24.97,26.27,24.75,24.66,24.57,25.89,24.60,26.13,24.70
1911,24.96,25.29,25.84,25.97,26.50,25.51,25.29,25.06,25.64,25.68,26.90,25.71
1912,25.70,25.73,25.98,26.51,26.50,25.36,25.16,25.59,25.59,25.83,26.60,25.68
1913,25.43,25.66,25.76,25.64,26.50,25.22,25.35,25.41,25.71,26.25,26.70,25.81
1914,25.54,25.81,25.91,25.94,27.09,25.44,25.36,25.61,25.76,26.59,27.01,26.23
1915,25.52,25.66,26.22,26.28,26.51,25.96,25.50,25.91,25.64,26.15,26.90,25.61
1916,24.86,25.45,25.52,26.04,26.20,25.28,24.95,25.16,25.56,26.07,26.79,25.25
1917,24.70,24.74,25.33,25.59,25.81,25.35,25.38,25.20,26.08,26.64,26.79,26.10
1918,23.93,24.69,25.25,26.12,26.12,25.50,25.30,25.38,25.64,26.13,26.79,25.37
1919,25.70,25.86,26.23,26.13,26.54,25.65,25.00,25.41,25.63,26.12,26.67,25.53
1920,24.98,25.36,26.15,25.77,26.49,25.70,25.50,25.00,26.36,26.75,27.01,24.99
1921,25.37,25.10,25.48,25.80,25.99,24.81,25.22,25.55,25.53,25.63,26.49,25.34
1922,25.63,25.12,25.48,25.63,25.99,25.37,25.36,25.34,25.63,25.70,27.01,25.85
1923,25.10,25.46,25.54,26.18,26.26,25.64,24.81,24.84,25.13,26.33,26.67,25.60
1924,25.90,25.64,25.66,25.84,26.27,25.50,25.63,25.86,25.59,24.87,26.20,25.17
1925,25.13,24.64,25.08,25.88,26.39,25.84,25.47,25.69,25.88,26.06,26.49,25.67
1926,25.15,25.62,25.83,26.78,26.62,25.93,25.65,25.85,25.73,26.03,26.54,25.61
1927,25.22,25.47,25.84,25.89,26.28,25.49,25.49,25.72,25.76,25.86,26.44,25.80
1928,25.75,25.56,25.68,25.95,26.46,25.49,25.38,25.27,25.70,25.97,26.32,25.64
1929,25.15,25.30,25.18,26.06,26.27,25.25,25.22,25.54,25.78,26.09,26.13,25.36
1930,25.64,25.42,25.82,25.90,26.32,25.48,25.72,26.21,25.96,26.16,26.54,26.04
1931,26.15,26.31,26.21,26.41,26.56,25.93,25.49,26.23,25.95,26.07,26.54,25.45
