,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,26.56,25.89,25.85,26.11,25.97,25.97,24.73,24.59,25.23,26.10,26.40,26.30
1902,25.84,26.05,26.12,26.33,26.12,25.79,25.03,24.97,25.11,25.83,26.40,26.10
1903,26.20,26.12,26.19,26.26,26.12,25.49,25.27,25.27,25.61,26.10,26.40,26.00
1904,25.57,25.88,25.92,25.76,26.12,25.19,25.07,24.91,25.44,25.94,26.31,26.06
1905,25.82,25.93,26.43,26.18,26.36,25.85,25.38,25.03,25.47,26.00,26.48,26.57
1906,26.50,26.46,26.34,26.75,26.55,26.31,25.57,25.31,25.44,26.00,25.99,26.16
1907,26.06,25.99,26.12,25.99,26.09,25.54,25.10,25.11,25.38,26.14,26.48,26.00
1908,26.13,26.12,26.12,26.23,26.21,25.41,25.07,25.24,25.47,26.03,26.48,26.00
1909,26.22,26.29,26.10,25.96,25.97,25.87,25.27,25.33,25.38,26.24,26.20,26.16
1910,26.06,25.95,25.96,25.79,26.05,25.61,25.44,25.46,25.71,26.18,26.28,26.10
1911,26.17,26.19,26.65,25.94,25.74,25.15,24.80,24.68,25.27,25.94,26.43,26.42
1912,26.10,25.93,26.02,26.08,26.05,25.74,25.34,24.88,25.61,26.10,26.37,26.30
1913,25.90,26.02,25.96,26.08,25.20,24.96,24.69,24.85,25.05,25.91,26.82,26.48
1914,25.93,26.42,26.29,26.29,26.01,25.26,24.52,24.83,25.30,25.86,26.31,26.23
1915,25.96,26.22,26.34,26.44,25.97,25.68,25.54,25.24,25.79,26.21,26.55,25.83
1916,25.93,25.99,26.10,26.33,26.18,26.11,25.71,25.51,25.71,26.10,26.23,26.06
1917,25.75,25.93,26.12,25.94,25.71,25.58,25.47,25.37,25.71,26.00,26.40,25.74
1918,25.60,25.73,26.12,25.96,25.89,25.49,24.87,25.18,25.23,26.14,26.73,26.26
1919,25.93,26.32,26.16,26.14,25.85,25.35,24.55,24.80,25.27,25.79,26.23,26.26
1920,25.99,25.99,26.23,26.29,26.18,26.21,25.73,25.47,25.68,26.10,26.40,26.03
1921,25.93,25.95,25.90,26.05,26.21,26.21,25.21,25.00,25.53,26.18,26.55,26.23
1922,26.10,26.05,25.99,26.23,25.89,25.46,24.69,24.52,25.30,25.94,26.61,26.10
1923,25.99,26.05,25.96,26.05,26.05,25.49,24.65,24.45,25.11,25.86,26.43,26.10
1924,26.26,26.07,26.32,25.88,26.36,25.74,25.24,25.03,25.58,26.10,26.71,26.03
1925,25.99,25.81,25.90,25.56,25.71,25.23,24.81,24.83,25.15,25.86,26.52,26.39
1926,26.10,26.37,26.62,26.33,25.74,25.44,24.94,25.15,25.71,26.27,26.71,26.30
1927,26.01,26.62,26.43,26.11,25.97,25.92,25.07,24.83,25.41,26.18,26.40,26.48
1928,25.90,26.37,26.02,26.35,25.82,25.07,24.94,25.11,25.68,26.24,26.64,26.33
1929,26.17,26.05,26.04,25.79,25.55,25.07,24.58,25.00,25.30,26.00,26.86,26.18
1930,26.36,25.95,26.02,26.29,26.09,25.23,25.14,25.00,25.30,26.00,26.40,26.06
1931,25.99,25.95,26.16,26.18,26.27,26.04,25.24,25.11,25.61,25.79,26.31,26.39
1932,26.44,26.35,26.10,26.33,26.01,25.74,24.65,24.72,25.44,26.18,26.37,26.06
1933,26.40,26.02,25.99,26.26,26.12,25.61,24.73,25.03,25.47,26.05,26.28,25.76
1934,25.87,25.73,25.86,26.18,25.91,25.74,25.18,24.83,25.35,25.97,26.43,26.48
1935,26.13,26.22,25.86,26.05,25.85,25.35,24.61,25.00,25.38,25.91,26.48,26.42
1936,26.01,26.22,26.19,26.23,26.09,25.70,25.34,25.37,25.68,26.05,26.52,26.26
1937,25.82,26.37,26.02,26.11,26.05,25.61,24.58,24.72,25.49,25.97,26.61,26.06
1938,25.84,25.99,26.34,26.38,26.27,25.79,24.91,25.03,25.44,25.88,25.90,26.10
1939,25.75,25.95,25.92,25.79,25.78,25.35,25.03,24.64,25.19,25.79,26.25,26.16
1940,25.71,25.63,25.85,25.94,25.53,25.37,24.81,24.76,25.11,25.64,26.28,26.10
1941,25.90,25.89,25.85,25.88,25.55,25.11,24.55,24.31,24.92,25.57,25.90,25.93
1942,25.80,25.94,26.36,26.21,26.29,25.90,24.99,24.85,25.53,25.95,26.10,25.71
