,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.24,25.10,25.27,25.39,25.61,25.42,25.22,24.94,25.05,25.24,25.31,25.15
1902,25.22,25.10,25.27,25.39,25.61,25.42,25.22,24.94,25.05,25.24,25.31,25.15
1903,25.22,25.10,25.27,25.39,25.61,25.41,25.23,24.95,25.05,25.24,25.31,25.15
1904,25.21,25.10,25.27,25.38,25.61,25.41,25.22,24.94,25.05,25.24,25.31,25.15
1905,25.22,25.10,25.28,25.39,25.62,25.42,25.23,24.94,25.05,25.24,25.31,25.16
1906,25.24,25.11,25.28,25.40,25.62,25.43,25.23,24.95,25.05,25.24,25.30,25.15
1907,25.22,25.10,25.27,25.39,25.61,25.41,25.22,24.95,25.05,25.24,25.31,25.15
1908,25.22,25.10,25.27,25.39,25.61,25.41,25.22,24.95,25.05,25.24,25.31,25.15
1909,25.22,25.11,25.27,25.39,25.61,25.42,25.23,24.95,25.05,25.24,25.31,25.15
1910,25.22,25.10,25.27,25.38,25.61,25.41,25.23,24.95,25.06,25.24,25.31,25.15
1911,25.22,25.10,25.28,25.39,25.61,25.41,25.22,24.94,25.05,25.24,25.31,25.16
1912,25.22,25.10,25.27,25.39,25.61,25.42,25.23,24.94,25.05,25.24,25.31,25.15
1913,25.22,25.10,25.27,25.39,25.60,25.40,25.22,24.94,25.04,25.24,25.32,25.16
1914,25.22,25.11,25.27,25.39,25.61,25.41,25.22,24.94,25.05,25.24,25.31,25.15
1915,25.22,25.10,25.28,25.40,25.61,25.42,25.23,24.95,25.06,25.24,25.31,25.15
1916,25.22,25.10,25.27,25.39,25.61,25.43,25.25,24.96,25.06,25.24,25.31,25.15
1917,25.22,25.10,25.27,25.39,25.61,25.41,25.23,24.95,25.06,25.24,25.31,25.14
1918,25.21,25.10,25.27,25.39,25.61,25.41,25.22,24.95,25.05,25.24,25.32,25.15
1919,25.22,25.11,25.27,25.39,25.61,25.41,25.22,24.94,25.05,25.24,25.31,25.15
1920,25.22,25.10,25.27,25.39,25.61,25.43,25.25,24.95,25.06,25.24,25.31,25.15
1921,25.22,25.10,25.27,25.39,25.61,25.43,25.23,24.94,25.05,25.24,25.31,25.15
1922,25.22,25.10,25.27,25.39,25.61,25.41,25.22,24.94,25.05,25.24,25.31,25.15
1923,25.22,25.10,25.27,25.39,25.61,25.41,25.22,24.94,25.05,25.24,25.31,25.15
1924,25.13,25.05,25.22,25.30,25.52,25.37,25.16,24.92,24.96,25.16,25.22,25.04
1925,25.17,25.05,25.21,25.33,25.51,25.37,25.16,24.93,25.00,25.17,25.21,25.09
1926,25.16,25.07,25.23,25.38,25.61,25.41,25.20,24.90,25.00,25.24,25.26,25.11
1927,25.20,25.13,25.27,25.39,25.56,25.42,25.18,24.91,25.05,25.20,25.31,25.14
1928,25.22,25.10,25.27,25.40,25.59,25.36,25.26,24.94,25.04,25.22,25.31,25.10
1929,25.14,25.05,25.26,25.34,25.55,25.41,25.12,24.90,25.02,25.18,25.26,25.07
1930,25.16,25.01,25.21,25.34,25.54,25.39,25.18,24.93,24.96,25.23,25.26,25.08
1931,25.17,25.03,25.23,25.37,25.60,25.42,25.22,24.91,25.01,25.15,25.27,25.16
1932,25.18,25.06,25.26,25.37,25.53,25.40,25.17,24.94,25.00,25.23,25.25,25.13
1933,25.19,25.10,25.27,25.40,25.59,25.37,25.20,24.93,25.00,25.17,25.25,25.14
1934,25.22,25.10,25.26,25.37,25.56,25.40,25.22,24.91,24.98,25.22,25.24,25.11
1935,25.15,25.08,25.26,25.37,25.55,25.38,25.17,24.92,25.02,25.18,25.24,25.10
1936,25.18,25.07,25.24,25.32,25.54,25.35,25.18,24.88,25.01,25.18,25.27,25.12
1937,25.22,25.10,25.23,25.34,25.55,25.37,25.17,24.87,24.97,25.19,25.22,25.13
1938,25.20,25.10,25.23,25.34,25.52,25.38,25.19,24.94,24.98,25.18,25.23,25.08
1939,25.18,25.03,25.21,25.33,25.55,25.37,25.22,24.94,25.05,25.17,25.24,25.10
1940,25.16,25.02,25.21,25.33,25.55,25.36,25.19,24.89,25.00,25.16,25.24,25.11
1941,25.17,25.03,25.21,25.35,25.58,25.39,25.18,24.91,24.99,25.21,25.23,25.08
1942,25.16,25.08,25.25,25.33,25.56,25.40,25.19,24.91,24.98,25.20,25.24,25.10
1943,25.16,25.08,25.21,25.32,25.53,25.33,25.22,24.88,24.99,25.16,25.23,25.08
1944,25.22,25.10,25.26,25.39,25.60,25.41,25.22,24.94,25.05,25.24,25.30,25.15
1945,25.22,25.10,25.27,25.39,25.61,25.41,25.22,24.95,25.05,25.23,25.30,25.14
1946,25.21,25.10,25.27,25.39,25.61,25.41,25.22,24.94,25.05,25.24,25.31,25.15
1947,25.22,25.10,25.27,25.38,25.60,25.41,25.23,24.95,25.05,25.24,25.31,25.15
1948,25.22,25.10,25.26,25.40,25.59,25.39,25.23,24.94,25.04,25.22,25.31,25.10
1949,25.21,25.10,25.13,25.20,25.50,25.26,25.18,24.92,25.03,25.22,25.22,25.07
1950,25.17,24.93,25.38,25.39,25.55,25.54,25.22,24.90,25.00,25.18,25.06,24.84
1951,25.22,25.01,25.18,25.34,25.55,25.50,25.17,24.91,24.99,25.35,25.44,25.10
1952,25.22,25.20,25.13,25.33,25.57,25.32,25.18,24.86,25.08,25.23,25.14,25.05
1953,25.15,25.03,25.18,25.38,25.56,25.51,25.14,24.86,25.11,25.39,25.14,25.07
1954,25.20,25.14,25.19,25.42,25.48,25.40,25.13,24.86,24.97,25.06,25.00,24.93
1955,25.12,25.00,25.25,25.35,25.50,25.30,25.15,24.89,25.03,25.12,25.04,25.01
1956,25.07,25.08,25.19,25.37,25.44,25.30,25.11,24.84,24.87,25.03,25.13,24.84
1957,25.14,24.99,25.26,25.43,25.56,25.51,25.18,24.93,24.92,25.30,25.31,25.11
1958,25.23,25.14,25.41,25.47,25.64,25.48,25.25,24.95,25.07,25.20,25.29,25.09
1959,25.16,25.10,25.21,25.35,25.58,25.38,25.15,24.86,24.98,25.23,25.32,25.09
1960,25.22,25.08,25.31,25.47,25.56,25.37,25.18,24.94,24.99,25.32,25.40,25.27
1961,25.14,25.20,25.39,25.48,25.55,25.31,25.18,24.89,24.98,25.20,25.32,25.24
1962,25.17,25.08,25.22,25.39,25.51,25.42,25.22,24.88,24.95,25.33,25.44,25.19
1963,25.16,25.17,25.12,25.42,25.59,25.49,25.22,24.87,25.02,25.32,25.51,25.34
1964,25.24,25.23,25.22,25.51,25.60,25.40,25.18,24.86,25.10,25.13,25.11,25.01
1965,25.14,25.08,25.34,25.32,25.54,25.44,25.14,24.92,25.14,25.44,25.39,25.11
1966,25.21,25.19,25.29,25.55,25.60,25.47,25.20,24.94,25.15,25.27,25.34,25.18
1967,25.20,25.10,25.35,25.29,25.54,25.42,25.24,24.92,24.95,25.16,25.27,25.13
1968,25.20,25.00,25.32,25.33,25.58,25.53,25.31,24.94,24.97,25.19,25.20,25.17
1969,25.22,25.17,25.56,25.46,25.68,25.46,25.19,24.97,25.05,25.24,25.36,25.13
1970,25.25,25.21,25.44,25.47,25.62,25.45,25.22,24.94,25.08,25.27,25.32,25.10
1971,25.13,25.06,25.20,25.30,25.55,25.27,25.15,24.85,25.00,25.08,25.09,25.11
1972,25.14,25.07,25.03,25.28,25.55,25.30,25.23,24.87,25.04,25.21,25.47,25.35
1973,25.21,25.22,25.30,25.43,25.58,25.61,25.22,24.93,25.04,25.23,25.17,25.12
1974,25.21,25.05,25.31,25.41,25.59,25.37,25.21,25.01,25.16,25.17,25.25,25.04
1975,25.15,25.09,25.05,25.37,25.59,25.39,25.23,25.01,24.99,25.14,25.22,25.08
1976,25.22,24.89,24.98,25.30,25.61,25.24,25.22,24.94,25.05,25.20,25.21,25.11
1977,25.29,24.95,24.95,25.36,25.61,25.23,25.19,24.86,25.07,25.25,25.32,25.19
1978,25.19,25.06,25.43,25.35,25.63,25.38,25.26,24.93,24.98,25.18,25.14,25.05
1979,25.26,25.27,24.87,25.29,25.58,25.45,25.22,24.98,25.11,25.30,25.32,24.91
1980,25.26,25.01,25.19,25.39,25.68,25.47,25.22,24.87,25.16,25.29,25.32,25.07
1981,25.22,24.94,25.04,25.34,25.62,25.38,25.23,25.04,25.06,25.20,25.38,25.06
1982,25.27,25.15,25.27,25.40,25.61,25.41,25.25,24.94,25.05,25.21,25.47,25.35
1983,25.15,25.19,25.68,25.43,25.59,25.49,25.22,24.96,25.09,25.22,25.23,25.14
1984,25.22,25.01,25.22,25.26,25.59,25.27,25.20,24.95,24.85,25.11,25.29,25.22
1985,25.26,25.20,25.38,25.34,25.67,25.39,25.19,24.94,25.01,25.23,25.37,25.18
1986,25.26,25.13,25.28,25.42,25.70,25.51,25.30,25.02,25.13,25.30,25.30,25.15
1987,25.25,25.17,25.34,25.41,25.73,25.63,25.36,25.02,25.20,25.34,25.50,25.29
1988,25.39,25.14,25.71,25.49,25.68,25.43,25.29,25.03,25.06,25.24,25.31,25.02
1989,25.32,25.07,25.27,25.40,25.61,25.36,25.24,25.02,25.13,25.31,25.33,25.26
1990,25.30,25.18,25.45,25.53,25.67,25.41,25.32,25.06,25.12,25.38,25.32,25.23
1991,25.28,25.19,25.34,25.48,25.66,25.51,25.27,25.07,25.17,25.30,25.37,25.19
1992,25.22,25.14,25.36,25.42,25.67,25.48,25.24,25.10,25.18,25.31,25.31,25.16
1993,25.23,25.11,25.29,25.43,25.68,25.51,25.32,24.98,25.04,25.31,25.44,25.29
1994,25.28,25.22,25.34,25.41,25.68,25.45,25.32,24.97,25.06,25.31,25.40,25.15
1995,25.24,25.17,25.33,25.45,25.74,25.51,25.27,24.98,25.06,25.28,25.38,25.18
1996,25.21,25.20,25.33,25.41,25.64,25.46,25.27,24.95,25.13,25.26,25.37,25.20
1997,25.19,25.11,25.26,25.41,25.65,25.52,25.35,25.08,25.14,25.35,25.46,25.26
1998,25.25,25.23,25.35,25.50,25.75,25.51,25.34,25.08,25.15,25.33,25.38,25.21
1999,25.23,25.20,25.30,25.43,25.57,25.47,25.31,24.94,25.14,25.38,25.37,25.24
2000,25.33,25.22,25.39,25.38,25.69,25.43,25.33,25.01,25.19,25.25,25.38,25.25
2001,25.30,25.27,25.16,25.49,25.61,25.50,25.34,25.06,25.20,25.33,25.32,25.18
2002,25.31,25.22,25.29,25.45,25.68,25.51,25.32,25.06,25.20,25.39,25.45,25.16
2003,25.32,25.25,25.18,25.48,25.77,25.54,25.24,25.00,25.03,25.26,25.42,25.17
2004,25.27,25.24,25.56,25.54,25.67,25.51,25.29,25.05,25.10,25.32,25.40,25.27
2005,25.34,25.21,25.43,25.46,25.65,25.45,25.23,25.02,25.05,25.25,25.43,25.18
2006,25.32,25.17,25.28,25.44,25.67,25.39,25.34,25.08,25.10,25.27,25.35,25.29
2007,25.29,25.20,25.14,25.55,25.72,25.52,25.28,24.94,25.05,25.31,25.28,25.21
2008,25.29,25.06,25.15,25.34,25.53,25.50,25.24,24.94,25.10,25.26,25.44,25.35
2009,25.33,24.96,25.14,25.46,25.68,25.48,25.25,25.06,25.21,25.32,25.66,25.17
2010,25.22,25.11,25.15,25.46,25.73,25.54,25.27,24.99,25.20,25.22,25.47,25.26
2011,25.29,25.07,25.56,25.53,25.52,25.49,25.29,25.03,25.04,25.28,25.60,25.39
2012,25.40,25.25,25.47,25.44,25.66,25.53,25.25,24.95,25.06,25.36,25.36,25.27
2013,25.34,25.15,25.47,25.50,25.73,25.46,25.23,24.94,25.12,25.24,25.31,25.43
2014,25.20,25.00,25.28,25.67,25.70,25.56,25.35,24.98,25.20,25.32,25.69,25.49
2015,25.30,25.34,25.34,25.62,25.73,25.65,25.36,25.02,25.13,25.38,25.44,25.29
2016,25.43,25.29,25.46,25.61,25.78,25.58,25.37,25.08,25.14,25.31,25.38,25.24
2017,25.32,25.44,25.40,25.42,25.67,25.46,25.24,25.00,25.12,25.30,25.39,25.28
2018,25.30,25.30,25.73,25.50,25.71,25.50,25.40,25.08,25.14,25.26,25.41,25.27
2019,25.32,25.09,25.55,25.53,25.76,25.59,25.28,25.02,25.18,25.28,25.41,25.24
2020,25.37,25.31,25.46,25.49,25.75,25.42,25.30,25.01,25.14,25.25,25.42,25.25
2021,25.26,25.18,25.36,25.32,25.65,25.53,25.39,25.09,25.16,25.41,25.45,25.16
