province_name,year,month,mean_temp
Aceh,1901,Jan,24.75
Aceh,1901,Feb,25.0
Aceh,1901,Mar,24.8
Aceh,1901,Apr,25.35
Aceh,1901,May,25.5
Aceh,1901,Jun,25.06
Aceh,1901,Jul,24.86
Aceh,1901,Aug,24.93
Aceh,1901,Sep,24.88
Aceh,1901,Oct,25.4
Aceh,1901,Nov,25.42
Aceh,1901,Dec,25.13
Aceh,1902,Jan,24.54
Aceh,1902,Feb,24.7
Aceh,1902,Mar,25.18
Aceh,1902,Apr,25.74
Aceh,1902,May,25.49
Aceh,1902,Jun,24.98
Aceh,1902,Jul,24.92
Aceh,1902,Aug,24.86
Aceh,1902,Sep,25.08
Aceh,1902,Oct,25.62
Aceh,1902,Nov,25.42
Aceh,1902,Dec,25.21
Aceh,1903,Jan,24.56
Aceh,1903,Feb,24.86
Aceh,1903,Mar,25.09
Aceh,1903,Apr,25.78
Aceh,1903,May,25.66
Aceh,1903,Jun,24.9
Aceh,1903,Jul,24.78
Aceh,1903,Aug,24.88
Aceh,1903,Sep,25.11
Aceh,1903,Oct,25.42
Aceh,1903,Nov,25.26
Aceh,1903,Dec,24.97
Aceh,1904,Jan,24.43
Aceh,1904,Feb,24.64
Aceh,1904,Mar,25.04
Aceh,1904,Apr,25.34
Aceh,1904,May,25.37
Aceh,1904,Jun,24.86
Aceh,1904,Jul,24.7
Aceh,1904,Aug,24.94
Aceh,1904,Sep,25.04
Aceh,1904,Oct,25.48
Aceh,1904,Nov,25.26
Aceh,1904,Dec,25.07
Aceh,1905,Jan,24.37
Aceh,1905,Feb,24.74
Aceh,1905,Mar,25.18
Aceh,1905,Apr,25.66
Aceh,1905,May,25.22
Aceh,1905,Jun,24.87
Aceh,1905,Jul,24.91
Aceh,1905,Aug,24.93
Aceh,1905,Sep,25.23
Aceh,1905,Oct,25.47
Aceh,1905,Nov,25.53
Aceh,1905,Dec,25.22
Aceh,1906,Jan,24.6
Aceh,1906,Feb,24.74
Aceh,1906,Mar,24.82
Aceh,1906,Apr,25.8
Aceh,1906,May,25.77
Aceh,1906,Jun,24.95
Aceh,1906,Jul,24.84
Aceh,1906,Aug,24.89
Aceh,1906,Sep,25.2
Aceh,1906,Oct,25.39
Aceh,1906,Nov,25.34
Aceh,1906,Dec,25.19
Aceh,1907,Jan,24.5
Aceh,1907,Feb,24.68
Aceh,1907,Mar,24.94
Aceh,1907,Apr,25.62
Aceh,1907,May,25.22
Aceh,1907,Jun,24.92
Aceh,1907,Jul,24.69
Aceh,1907,Aug,24.81
Aceh,1907,Sep,25.17
Aceh,1907,Oct,25.33
Aceh,1907,Nov,25.28
Aceh,1907,Dec,24.93
Aceh,1908,Jan,24.39
Aceh,1908,Feb,24.52
Aceh,1908,Mar,25.04
Aceh,1908,Apr,25.68
Aceh,1908,May,25.29
Aceh,1908,Jun,24.82
Aceh,1908,Jul,24.65
Aceh,1908,Aug,24.71
Aceh,1908,Sep,24.99
Aceh,1908,Oct,25.36
Aceh,1908,Nov,25.24
Aceh,1908,Dec,25.06
Aceh,1909,Jan,24.42
Aceh,1909,Feb,24.74
Aceh,1909,Mar,25.02
Aceh,1909,Apr,25.45
Aceh,1909,May,25.28
Aceh,1909,Jun,24.82
Aceh,1909,Jul,24.64
Aceh,1909,Aug,24.76
Aceh,1909,Sep,25.07
Aceh,1909,Oct,25.35
Aceh,1909,Nov,25.19
Aceh,1909,Dec,24.96
Aceh,1910,Jan,24.39
Aceh,1910,Feb,24.7
Aceh,1910,Mar,24.78
Aceh,1910,Apr,25.35
Aceh,1910,May,25.47
Aceh,1910,Jun,24.85
Aceh,1910,Jul,24.85
Aceh,1910,Aug,24.88
Aceh,1910,Sep,24.92
Aceh,1910,Oct,25.27
Aceh,1910,Nov,25.3
Aceh,1910,Dec,24.96
Aceh,1911,Jan,24.41
Aceh,1911,Feb,24.86
Aceh,1911,Mar,25.11
Aceh,1911,Apr,25.55
Aceh,1911,May,25.46
Aceh,1911,Jun,25.04
Aceh,1911,Jul,25.03
Aceh,1911,Aug,24.93
Aceh,1911,Sep,25.21
Aceh,1911,Oct,25.39
