,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.34,25.18,25.30,25.51,25.15,24.50,24.02,24.13,25.13,25.96,26.10,25.55
1902,25.34,25.18,25.29,25.50,25.15,24.50,24.00,24.14,25.14,25.96,26.10,25.57
1903,25.34,25.20,25.30,25.49,25.15,24.50,24.01,24.14,25.14,25.94,26.10,25.55
1904,25.33,25.18,25.30,25.49,25.15,24.52,24.02,24.13,25.15,25.94,26.10,25.55
1905,25.34,25.19,25.30,25.49,25.15,24.52,24.02,24.14,25.14,25.96,26.10,25.57
1906,25.34,25.20,25.30,25.51,25.15,24.51,24.02,24.14,25.13,25.94,26.10,25.55
1907,25.34,25.18,25.28,25.49,25.15,24.50,24.00,24.13,25.15,25.94,26.10,25.55
1908,25.34,25.20,25.30,25.51,25.15,24.50,24.02,24.14,25.15,25.94,26.10,25.57
1909,25.34,25.20,25.29,25.50,25.15,24.52,24.00,24.15,25.13,25.94,26.10,25.55
1910,25.34,25.20,25.29,25.49,25.15,24.50,24.02,24.13,25.15,25.94,26.10,25.55
1911,25.34,25.18,25.30,25.50,25.15,24.51,24.00,24.13,25.15,25.94,26.10,25.57
1912,25.34,25.20,25.30,25.51,25.15,24.51,24.01,24.15,25.14,25.94,26.10,25.57
1913,25.34,25.20,25.28,25.49,25.15,24.51,24.02,24.15,25.15,25.96,26.10,25.57
1914,25.34,25.20,25.30,25.50,25.15,24.51,24.02,24.15,25.14,25.96,26.10,25.57
1915,24.72,24.22,24.99,25.14,24.68,24.52,23.85,24.05,25.15,25.96,26.10,25.57
1916,24.22,23.88,25.29,24.73,24.36,23.62,23.60,23.78,25.14,25.95,26.10,25.55
1917,24.46,24.22,24.32,24.55,24.52,23.86,23.78,24.18,25.15,25.96,26.10,25.57
1918,24.46,23.71,24.32,24.90,25.02,23.86,23.38,23.54,25.15,25.96,26.10,25.57
1919,25.32,25.20,25.07,25.05,24.61,24.01,23.20,23.37,25.14,25.96,26.10,25.57
1920,24.56,24.06,24.48,25.04,24.93,24.10,24.12,24.60,25.15,25.96,26.10,25.57
1921,25.22,24.87,24.32,24.63,24.17,24.18,23.85,24.18,25.13,25.94,26.10,25.55
1922,24.80,24.06,24.23,24.90,24.36,24.02,23.69,23.54,25.14,25.94,26.10,25.57
1923,25.34,25.03,24.71,25.29,24.68,24.18,23.52,22.82,25.13,25.96,26.10,25.57
1924,25.44,24.70,24.97,25.13,25.35,24.51,23.92,24.15,25.15,25.94,26.10,25.55
1925,25.31,24.32,24.32,25.05,24.93,24.02,23.54,23.95,25.15,25.96,26.10,25.57
1926,25.05,25.03,24.97,25.51,25.43,24.42,23.71,24.35,25.15,25.96,26.10,25.57
1927,25.05,25.30,25.13,25.51,25.08,24.41,24.12,24.18,25.15,25.96,26.10,25.57
1928,25.71,25.20,24.89,25.29,25.25,24.60,23.92,24.52,25.15,25.96,26.10,25.57
1929,25.13,25.03,24.48,25.05,24.27,24.02,23.04,23.54,25.15,25.96,26.10,25.56
1930,25.44,24.70,25.07,24.81,25.15,23.78,23.54,23.95,25.15,25.96,26.10,25.57
1931,25.71,25.20,25.57,25.49,25.35,24.83,24.12,24.25,25.15,25.96,26.10,25.57
1932,25.34,24.70,24.66,24.98,25.15,24.26,23.78,23.70,25.15,25.96,26.10,25.57
1933,25.71,24.46,24.73,24.98,25.25,24.34,23.61,25.17,25.13,25.96,26.10,25.57
1934,25.32,24.38,24.40,24.81,24.61,24.18,24.02,23.78,25.14,25.96,26.10,25.57
1935,25.54,25.20,25.30,24.98,25.15,23.86,23.28,23.29,25.15,25.96,26.10,25.57
1936,25.34,25.03,24.97,25.05,25.25,24.34,23.69,24.18,25.15,25.96,26.10,25.57
1937,24.97,25.38,25.40,25.14,24.68,23.78,23.13,23.15,25.15,25.96,26.10,25.57
1938,25.97,25.38,25.20,25.31,25.08,23.69,23.69,23.54,25.15,25.96,26.10,25.57
