,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.84,25.20,25.03,25.22,24.82,24.34,23.36,23.48,24.40,25.65,26.17,25.82
1902,25.39,25.30,25.21,25.35,24.90,24.24,23.57,23.72,24.34,25.47,26.17,25.68
1903,25.61,25.34,25.24,25.30,24.90,24.05,23.71,23.91,24.64,25.65,26.17,25.64
1904,25.23,25.18,25.08,25.00,24.90,23.86,23.59,23.68,24.54,25.55,26.11,25.68
1905,25.38,25.23,25.39,25.26,25.04,24.26,23.77,23.76,24.56,25.59,26.21,25.98
1906,25.80,25.54,25.35,25.60,25.16,24.56,23.89,23.93,24.54,25.59,25.91,25.74
1907,25.53,25.25,25.21,25.16,24.88,24.08,23.61,23.80,24.50,25.67,26.21,25.64
1908,25.57,25.34,25.21,25.28,24.96,23.99,23.59,23.88,24.56,25.60,26.21,25.64
1909,25.63,25.44,25.19,25.12,24.82,24.28,23.71,23.95,24.50,25.73,26.03,25.74
1910,25.53,25.24,25.10,25.02,24.86,24.12,23.81,24.01,24.70,25.69,26.10,25.68
1911,25.59,25.38,25.53,25.11,24.65,23.83,23.41,23.54,24.42,25.55,26.19,25.90
1912,25.55,25.23,25.14,25.20,24.86,24.20,23.76,23.67,24.64,25.65,26.15,25.82
1913,25.43,25.28,25.10,25.20,24.33,23.72,23.35,23.64,24.30,25.54,26.41,25.95
1914,25.45,25.53,25.31,25.32,24.84,23.90,23.24,23.63,24.44,25.49,26.11,25.78
1915,25.34,25.19,25.27,25.35,24.72,24.16,23.83,23.86,24.76,25.71,26.25,25.54
1916,25.21,24.97,25.19,25.18,24.77,24.22,23.88,23.97,24.70,25.65,26.05,25.68
1917,25.14,25.02,24.99,24.90,24.50,23.95,23.78,23.96,24.70,25.59,26.17,25.48
1918,25.07,24.78,24.99,24.99,24.72,23.91,23.32,23.72,24.40,25.67,26.38,25.80
1919,25.45,25.46,25.18,25.15,24.62,23.87,23.10,23.44,24.42,25.45,26.05,25.80
1920,25.33,25.00,25.09,25.23,24.89,24.39,24.00,24.13,24.68,25.65,26.17,25.67
1921,25.42,25.17,24.87,25.00,24.75,24.42,23.63,23.74,24.60,25.69,26.25,25.78
1922,25.44,25.05,24.90,25.15,24.59,23.93,23.28,23.32,24.44,25.55,26.30,25.68
1923,25.49,25.26,24.98,25.14,24.75,23.99,23.22,23.11,24.34,25.49,26.19,25.68
1924,25.68,25.22,25.25,24.98,25.08,24.20,23.68,23.76,24.62,25.65,26.35,25.67
1925,25.49,24.94,24.87,24.78,24.59,23.77,23.32,23.58,24.36,25.49,26.23,25.88
1926,25.49,25.46,25.44,25.34,24.72,24.01,23.44,23.87,24.70,25.75,26.35,25.82
1927,25.45,25.65,25.34,25.22,24.81,24.29,23.60,23.63,24.51,25.69,26.17,25.95
1928,25.51,25.50,25.06,25.32,24.74,23.80,23.51,23.89,24.68,25.73,26.31,25.84
1929,25.55,25.26,24.99,24.92,24.36,23.69,23.07,23.62,24.44,25.59,26.43,25.76
1930,25.74,25.13,25.09,25.16,24.87,23.71,23.53,23.70,24.44,25.59,26.17,25.68
1931,25.57,25.24,25.28,25.26,25.04,24.45,23.70,23.84,24.64,25.45,26.11,25.88
1932,25.75,25.37,25.04,25.23,24.83,24.15,23.27,23.47,24.54,25.69,26.15,25.68
1933,25.81,25.11,25.01,25.19,24.91,24.08,23.28,23.99,24.56,25.63,26.10,25.50
1934,25.42,24.93,24.85,25.10,24.66,24.13,23.65,23.55,24.49,25.56,26.19,25.95
1935,25.62,25.39,25.04,25.07,24.73,23.83,23.15,23.56,24.50,25.54,26.21,25.90
1936,25.51,25.36,25.17,25.19,24.89,24.14,23.68,23.96,24.68,25.63,26.23,25.80
1937,25.30,25.55,25.15,25.15,24.75,23.95,23.10,23.34,24.58,25.56,26.30,25.68
1938,25.53,25.29,25.34,25.34,24.99,24.05,23.41,23.63,24.54,25.51,25.85,25.68
1939,25.47,25.34,25.00,24.96,24.52,23.77,23.63,23.53,24.30,25.43,26.07,25.76
1940,25.39,25.17,24.91,24.82,24.08,23.64,23.23,23.45,24.46,25.55,26.23,25.73
1941,25.63,25.48,25.17,25.23,24.69,23.84,23.24,23.18,24.19,25.16,25.73,25.46
1942,25.28,25.15,25.74,25.64,25.73,24.93,23.75,24.01,25.07,25.73,25.86,25.18
1943,25.42,25.08,25.05,25.03,24.40,23.61,23.48,23.79,24.06,25.29,25.89,25.50
1944,25.54,25.36,24.98,24.93,24.36,23.63,22.96,23.52,24.64,25.59,26.16,24.80
1945,25.08,25.38,24.89,25.02,24.11,23.32,22.47,23.93,24.20,24.97,25.49,24.92
1946,25.13,24.94,25.17,23.98,24.51,22.97,23.63,23.47,23.73,25.48,25.42,25.01
1947,25.75,25.33,24.75,24.31,23.98,23.76,23.65,23.76,24.18,25.11,25.74,25.07
1948,25.13,25.29,25.09,24.63,24.24,23.12,23.29,22.81,23.59,25.16,25.82,24.91
1949,25.55,24.74,24.80,24.07,23.84,23.07,22.40,22.93,23.80,24.83,25.65,24.86
1950,25.04,24.92,25.48,24.57,24.43,23.92,22.28,23.01,23.95,24.95,25.01,24.13
1951,25.26,24.75,25.03,25.13,23.89,24.26,22.99,23.23,24.08,25.56,26.37,25.67
1952,25.52,25.88,24.93,25.34,24.67,23.23,23.59,22.93,24.51,25.37,25.60,25.47
1953,25.32,25.16,25.35,25.26,23.78,24.06,22.92,22.63,24.11,25.84,25.62,25.53
1954,25.51,25.64,25.43,25.57,24.47,23.53,22.90,23.34,24.07,24.92,25.10,24.69
1955,25.19,25.09,25.02,25.03,24.55,24.26,23.52,24.12,24.57,25.23,25.21,25.20
1956,25.12,24.77,25.00,25.27,24.65,23.93,23.67,23.49,23.43,24.92,25.50,24.90
1957,25.34,24.99,24.90,25.79,24.42,24.44,23.46,23.03,23.72,25.43,26.15,25.30
1958,25.71,25.67,25.71,25.71,25.71,24.58,23.89,23.99,23.80,25.31,25.94,25.70
1959,25.31,25.67,25.26,25.01,24.51,23.80,23.30,23.43,24.57,25.73,26.18,25.63
1960,25.13,25.03,25.00,25.30,24.13,23.42,23.35,23.31,24.45,25.64,26.27,25.86
1961,25.46,25.39,25.40,25.62,24.19,23.47,22.74,22.57,24.19,25.66,26.04,26.38
1962,24.95,25.06,25.24,24.89,24.35,24.78,24.07,23.45,24.46,25.89,26.70,26.05
1963,24.93,25.02,25.02,25.21,24.36,23.81,22.64,22.86,23.99,25.68,26.76,26.21
1964,25.50,25.96,25.12,25.46,24.77,23.83,23.28,23.62,24.86,25.22,25.60,25.55
1965,25.61,25.63,24.90,24.55,24.76,24.31,22.54,23.27,24.38,25.75,26.33,25.75
1966,25.51,25.34,25.08,25.48,24.65,24.25,23.37,23.65,24.67,25.37,26.05,25.66
1967,25.16,24.87,24.93,24.93,24.52,23.01,22.66,23.20,23.89,25.35,26.17,25.86
1968,25.40,24.57,24.90,24.91,24.55,24.35,23.59,23.55,24.45,25.39,26.05,25.73
1969,25.62,25.25,25.35,24.83,24.81,23.78,24.18,23.92,24.12,25.41,26.42,25.91
1970,26.27,25.68,25.51,25.45,24.92,24.50,23.31,23.42,24.68,25.95,26.15,25.37
1971,25.41,24.88,24.72,24.59,24.52,23.35,23.05,24.16,24.82,25.55,25.46,25.42
1972,25.58,25.34,24.73,24.96,24.38,23.96,23.44,24.18,24.50,25.65,26.67,26.49
1973,25.65,25.88,25.33,25.60,25.16,24.81,24.47,24.80,24.83,25.80,25.76,25.34
1974,24.52,24.71,24.67,24.62,24.38,23.47,23.06,23.85,24.86,25.50,25.64,25.22
1975,25.45,24.98,24.87,25.01,24.58,23.86,24.52,24.01,24.85,25.27,25.71,25.12
1976,24.80,24.90,24.59,24.76,23.80,23.28,23.00,23.06,23.67,25.30,25.77,25.69
1977,25.51,24.96,24.58,24.96,24.49,23.17,22.53,22.98,23.99,25.63,26.16,25.62
1978,25.34,25.05,25.10,25.06,25.36,23.98,23.72,24.00,24.12,25.17,25.68,25.44
1979,25.72,25.71,24.89,25.50,25.08,24.25,23.77,24.08,24.86,25.67,26.42,25.59
1980,25.41,24.84,25.18,25.30,25.12,24.49,23.86,24.11,24.75,25.84,26.30,25.53
1981,25.17,24.95,25.03,25.45,25.06,24.47,24.62,24.63,25.10,25.54,25.70,25.38
1982,25.15,25.00,24.89,25.16,24.34,23.89,22.89,23.37,24.20,25.13,26.49,26.19
1983,25.84,25.92,25.61,25.36,24.41,23.91,23.12,23.85,24.82,25.65,25.76,25.57
1984,25.03,24.72,24.72,24.81,25.02,23.64,23.20,23.84,24.10,25.25,25.94,25.43
1985,25.85,25.32,25.43,25.04,25.02,23.21,22.91,24.07,24.61,25.51,26.38,26.08
1986,25.29,25.70,25.50,25.54,25.30,24.70,23.68,23.36,24.79,25.56,26.08,26.02
1987,25.43,25.03,25.53,25.50,25.32,24.61,23.77,23.80,24.42,25.80,26.45,25.63
1988,26.00,25.72,25.87,25.59,25.57,23.86,23.86,24.48,24.98,26.36,25.88,24.75
1989,25.78,25.35,24.77,25.41,24.96,24.23,24.18,23.22,24.61,25.42,26.14,26.07
1990,25.54,25.61,25.69,25.76,24.85,24.25,24.20,23.53,24.51,25.80,26.72,25.67
1991,25.51,25.20,25.59,25.41,24.42,24.71,23.71,23.37,24.40,25.52,25.84,26.01
1992,25.96,25.78,25.73,25.53,25.63,24.63,23.83,24.22,24.90,25.53,25.91,25.73
1993,25.73,25.19,25.45,25.64,25.42,24.52,23.74,24.05,24.38,25.48,26.43,25.56
1994,25.63,25.41,24.87,24.98,24.47,23.68,23.09,23.08,24.12,25.45,26.69,25.24
1995,25.41,25.23,25.07,25.25,24.76,24.04,24.25,23.88,24.88,25.64,26.04,25.33
1996,25.82,25.49,25.16,25.28,24.25,24.79,23.94,24.41,24.67,26.16,26.29,25.30
1997,24.97,25.26,25.38,25.44,24.89,24.11,23.59,23.63,24.25,25.49,26.29,25.86
1998,25.44,25.73,25.83,26.11,25.02,24.80,24.62,24.49,25.33,26.40,26.54,25.20
1999,25.08,25.20,25.23,25.18,24.09,24.20,23.36,23.90,24.70,25.64,25.83,25.18
2000,25.01,25.00,24.89,25.21,24.55,23.36,23.70,23.87,24.93,25.73,26.10,25.16
2001,25.33,25.21,24.86,25.31,24.24,24.48,23.89,23.50,24.82,25.77,26.26,25.46
2002,25.91,25.12,25.48,25.74,25.27,23.68,23.40,23.19,24.32,25.79,26.59,26.18
