,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,24.57,24.56,24.61,24.72,24.48,24.06,23.40,23.42,23.80,24.39,24.63,24.73
1902,24.54,24.56,24.62,24.73,24.48,24.05,23.41,23.43,23.80,24.38,24.63,24.72
1903,24.69,24.60,24.72,24.75,24.45,24.04,23.42,23.38,23.77,24.25,24.60,24.73
1904,24.55,24.54,24.61,24.68,24.43,23.91,23.28,23.24,23.63,24.26,24.48,24.72
1905,24.62,24.44,24.64,24.78,24.47,24.10,23.31,23.24,23.72,24.35,24.53,24.83
1906,24.67,24.76,24.69,24.86,24.50,24.06,23.40,23.31,23.79,24.26,24.62,24.79
1907,24.52,24.57,24.56,24.74,24.43,24.06,23.35,23.34,23.64,24.26,24.55,24.73
1908,24.52,24.62,24.64,24.71,24.43,23.91,23.35,23.41,23.76,24.21,24.57,24.70
1909,24.60,24.69,24.65,24.79,24.59,24.14,23.60,23.55,23.81,24.42,24.65,24.71
1910,24.62,24.59,24.64,24.77,24.51,24.11,23.51,23.50,23.86,24.45,24.63,24.83
1911,24.66,24.56,24.71,24.76,24.44,23.98,23.32,23.40,23.60,24.29,24.63,24.88
1912,24.55,24.69,24.68,24.85,24.43,24.20,23.41,23.28,23.76,24.30,24.64,24.81
1913,24.64,24.57,24.68,24.72,24.44,24.00,23.35,23.29,23.59,24.19,24.66,24.73
1914,24.63,24.57,24.71,24.84,24.50,24.01,23.29,23.20,23.58,24.13,24.46,24.73
1915,24.56,24.67,24.68,24.73,24.52,24.05,23.50,23.42,23.91,24.38,24.70,24.82
1916,24.49,24.66,24.69,24.79,24.46,24.11,23.57,23.54,23.82,24.41,24.69,24.78
1917,24.58,24.64,24.60,24.77,24.50,24.03,23.55,23.46,23.85,24.40,24.70,24.62
1918,24.54,24.49,24.59,24.70,24.35,23.90,23.17,23.25,23.57,24.25,24.67,24.76
1919,24.54,24.65,24.65,24.72,24.45,23.86,23.20,23.23,23.64,24.20,24.62,24.73
1920,24.53,24.54,24.73,24.79,24.48,24.14,23.42,23.40,23.76,24.33,24.55,24.71
1921,24.53,24.65,24.72,24.65,24.46,24.14,23.40,23.29,23.79,24.38,24.57,24.74
1922,24.65,24.67,24.63,24.69,24.33,24.03,23.42,23.23,23.78,24.38,24.55,24.80
1923,24.64,24.51,24.50,24.67,24.43,23.90,23.14,23.38,23.53,24.30,24.62,24.82
1924,24.62,24.68,24.74,24.74,24.47,24.06,23.33,23.37,23.79,24.44,24.75,24.73
1925,24.63,24.64,24.64,24.63,24.36,23.96,23.29,23.28,23.69,24.21,24.58,24.80
1926,24.55,24.70,24.77,24.80,24.56,24.04,23.40,23.44,23.84,24.42,24.63,24.78
1927,24.56,24.66,24.79,24.78,24.52,24.15,23.41,23.26,23.63,24.26,24.56,24.74
1928,24.58,24.70,24.68,24.85,24.44,23.95,23.28,23.34,23.78,24.39,24.64,24.88
1929,24.52,24.48,24.61,24.79,24.35,24.01,23.37,23.26,23.62,24.32,24.64,24.66
1930,24.58,24.57,24.60,24.72,24.58,24.06,23.29,23.31,23.60,24.28,24.53,24.71
1931,24.68,24.57,24.58,24.55,24.41,23.89,23.21,23.43,23.62,24.37,24.50,24.73
1932,24.65,24.69,24.72,24.90,24.55,24.04,23.27,23.28,23.73,24.35,24.64,24.78
1933,24.69,24.65,24.73,24.78,24.46,24.04,23.44,23.42,23.81,24.38,24.61,24.72
1934,24.59,24.69,24.64,24.81,24.50,24.14,23.45,23.41,23.65,24.32,24.77,24.73
1935,24.68,24.71,24.66,24.71,24.40,24.02,23.45,23.29,23.75,24.37,24.57,24.77
1936,24.66,24.60,24.69,24.78,24.41,24.06,23.42,23.29,23.77,24.30,24.63,24.82
1937,24.61,24.65,24.71,24.75,24.53,24.10,23.45,23.36,23.77,24.36,24.68,24.82
1938,24.60,24.56,24.66,24.82,24.44,24.07,23.40,23.42,23.68,24.27,24.60,24.71
1939,24.57,24.56,24.60,24.74,24.41,24.03,23.42,23.34,23.74,24.31,24.64,24.84
1940,24.53,24.55,24.60,24.74,24.50,24.09,23.39,23.38,23.71,24.19,24.66,24.83
