,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,26.01,25.99,25.88,25.91,25.69,25.32,24.88,24.81,25.27,25.76,26.12,26.03
1902,25.96,25.99,25.90,25.93,25.70,25.31,24.89,24.83,25.26,25.75,26.12,26.02
1903,25.98,26.00,25.90,25.92,25.70,25.29,24.91,24.86,25.29,25.76,26.12,26.02
1904,25.94,25.99,25.88,25.89,25.70,25.27,24.90,24.83,25.28,25.76,26.12,26.02
1905,25.96,25.99,25.92,25.92,25.72,25.31,24.92,24.84,25.28,25.76,26.13,26.05
1906,26.00,26.02,25.92,25.96,25.73,25.35,24.94,24.86,25.28,25.76,26.10,26.02
1907,25.97,25.99,25.90,25.91,25.70,25.29,24.90,24.84,25.28,25.76,26.13,26.02
1908,25.98,26.00,25.90,25.92,25.71,25.28,24.90,24.86,25.28,25.76,26.13,26.02
1909,25.98,26.01,25.89,25.91,25.69,25.31,24.91,24.86,25.28,25.77,26.12,26.02
1910,25.97,25.99,25.88,25.90,25.70,25.30,24.93,24.87,25.30,25.77,26.12,26.02
1911,25.98,26.01,25.94,25.91,25.68,25.27,24.89,24.82,25.27,25.76,26.13,26.04
1912,25.97,25.99,25.89,25.91,25.70,25.30,24.92,24.83,25.29,25.76,26.12,26.03
1913,25.96,25.99,25.88,25.91,25.64,25.25,24.88,24.83,25.26,25.76,26.16,26.05
1914,25.96,26.02,25.91,25.93,25.69,25.28,24.87,24.83,25.28,25.76,26.12,26.03
1915,25.96,26.01,25.92,25.94,25.69,25.30,24.93,24.86,25.31,25.77,26.14,26.01
1916,25.96,25.99,25.89,25.93,25.71,25.33,24.94,24.88,25.30,25.76,26.12,26.02
1917,25.95,25.99,25.90,25.91,25.68,25.29,24.93,24.86,25.30,25.76,26.12,26.00
1918,25.94,25.98,25.90,25.91,25.69,25.29,24.89,24.85,25.27,25.76,26.15,26.03
1919,25.96,26.01,25.90,25.91,25.69,25.28,24.87,24.83,25.27,25.75,26.12,26.03
1920,25.96,25.99,25.90,25.93,25.71,25.34,24.95,24.87,25.29,25.76,26.12,26.02
1921,25.96,25.99,25.88,25.91,25.71,25.34,24.91,24.83,25.28,25.77,26.14,26.03
1922,25.97,25.99,25.88,25.92,25.69,25.28,24.88,24.81,25.28,25.76,26.14,26.02
1923,25.96,25.99,25.88,25.91,25.70,25.29,24.88,24.80,25.26,25.76,26.13,26.02
1924,25.87,25.92,25.84,25.79,25.60,25.23,24.82,24.80,25.17,25.66,26.03,25.88
1925,25.89,25.91,25.81,25.81,25.57,25.22,24.81,24.81,25.21,25.67,26.02,25.96
1926,25.89,25.96,25.86,25.90,25.68,25.28,24.87,24.79,25.22,25.78,26.08,25.98
