,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,26.38,26.58,27.22,27.23,27.49,26.77,26.75,26.54,26.73,26.92,26.97,26.33
1902,26.31,26.55,26.97,27.14,27.49,26.79,26.49,26.60,26.75,26.96,26.97,26.50
1903,26.59,26.68,27.10,27.11,27.49,26.79,26.51,26.60,26.75,26.74,26.97,26.26
1904,26.26,26.49,27.22,27.01,27.49,27.06,26.75,26.48,27.00,26.70,26.97,26.33
1905,26.40,26.65,27.10,27.06,27.49,26.96,26.59,26.57,26.75,27.01,26.97,26.55
1906,26.51,26.88,27.10,27.21,27.49,26.87,26.57,26.57,26.73,26.74,26.97,26.30
1907,26.31,26.58,26.93,27.08,27.49,26.77,26.49,26.50,27.00,26.81,26.97,26.35
1908,26.43,26.68,27.07,27.19,27.49,26.77,26.75,26.57,27.00,26.77,26.97,26.41
1909,26.46,26.68,27.00,27.16,27.49,27.06,26.47,26.62,26.73,26.77,26.97,26.35
1910,26.43,26.73,26.97,27.06,27.49,26.79,26.54,26.54,27.00,26.66,26.97,26.35
1911,26.53,27.47,27.61,27.78,27.89,27.51,27.57,26.91,27.41,27.25,28.26,27.35
1912,27.77,27.73,28.27,27.99,27.89,27.06,27.05,27.14,27.39,27.36,27.77,27.27
1913,27.08,27.58,28.13,27.26,27.89,26.88,27.11,27.23,27.42,27.69,27.96,27.45
1914,27.12,27.89,27.76,27.69,28.87,27.02,27.25,27.62,27.79,27.86,28.44,27.92
1915,27.26,27.59,27.79,27.93,28.28,27.77,26.94,27.84,27.41,27.59,28.26,27.25
1916,26.78,27.60,27.51,27.79,27.69,27.10,26.30,26.80,27.45,27.64,28.06,27.08
1917,26.38,26.48,27.12,27.44,26.70,26.92,26.91,26.59,27.30,27.59,28.06,27.11
1918,25.17,25.39,27.22,27.19,27.19,26.56,27.03,27.20,27.27,27.17,28.06,26.50
1919,27.43,27.83,28.19,28.01,28.38,27.68,26.80,27.43,27.47,27.52,27.86,26.95
1920,26.88,27.37,28.11,27.68,28.09,27.69,27.27,26.70,27.79,27.79,28.44,26.43
1921,26.99,26.91,27.43,27.58,27.29,26.77,26.92,27.24,27.51,27.03,27.57,27.23
1922,27.56,27.15,27.17,26.98,27.19,26.92,26.97,26.73,27.47,27.19,28.44,27.67
1923,26.75,27.37,27.38,27.95,27.69,27.34,26.59,26.52,26.64,27.37,27.86,27.11
1924,27.49,27.43,27.21,27.58,27.39,26.87,27.18,27.56,26.93,26.74,27.07,26.64
1925,26.63,26.17,26.76,27.45,27.89,27.54,27.15,27.30,27.34,27.16,27.57,26.79
1926,26.65,27.42,27.73,28.41,28.19,27.42,27.14,27.33,27.22,27.22,27.67,27.25
1927,26.81,27.02,27.73,27.38,27.59,27.08,27.07,27.30,27.30,26.96,27.47,27.30
1928,27.09,27.06,27.35,27.47,27.89,27.14,27.03,26.93,27.29,27.20,27.27,27.33
1929,26.65,26.57,26.65,27.65,27.89,26.61,27.21,27.26,27.24,27.09,26.97,26.83
1930,26.99,27.16,27.19,27.68,27.59,27.04,27.70,28.21,27.50,27.25,27.67,27.38
1931,27.50,28.12,28.04,27.96,28.09,27.54,27.07,28.21,27.36,27.30,27.67,26.65
1932,26.51,27.13,26.99,27.24,27.19,26.50,26.93,26.98,27.09,27.41,26.97,27.11
1933,26.90,26.89,27.09,27.38,27.79,27.32,27.01,27.28,26.88,26.94,26.77,26.40
1934,25.74,25.98,26.31,26.90,27.69,26.80,26.97,27.20,27.39,27.02,27.37,27.19
1935,27.07,27.34,27.78,27.38,27.09,26.68,27.31,27.04,27.62,27.37,27.67,27.22
1936,27.16,27.81,27.42,27.59,27.79,26.92,27.15,26.90,27.26,26.74,27.37,27.28
1937,27.24,27.34,27.95,27.63,27.19,27.35,27.24,27.71,27.24,26.98,27.57,27.13
1938,27.02,27.85,27.22,27.47,27.29,27.39,26.94,26.61,27.26,27.35,27.57,27.23
1939,27.05,27.02,27.46,27.59,27.69,26.84,27.03,26.99,26.74,26.88,27.57,27.10
1940,27.14,27.23,28.07,27.90,27.79,27.66,27.43,26.92,27.23,27.87,27.96,27.47
1941,27.45,27.98,28.31,28.32,28.38,28.29,27.81,27.54,27.74,28.24,27.86,27.72
1942,26.51,26.87,27.28,27.31,27.49,27.06,26.75,26.82,26.99,27.01,26.97,26.61
1943,26.35,26.70,27.02,27.19,27.49,26.85,26.54,26.64,26.90,26.89,26.97,26.52
1944,26.40,26.75,27.07,27.31,27.49,27.05,26.75,26.82,26.95,27.09,26.97,26.61
1945,26.54,26.87,27.15,27.26,27.49,27.06,26.75,26.82,26.90,26.93,26.97,26.61
1946,26.82,26.97,27.22,27.39,27.49,27.06,26.75,26.86,26.93,27.09,26.97,26.69
1947,26.79,26.97,27.22,27.36,27.49,27.06,26.71,26.82,26.95,27.04,26.97,26.79
1948,26.81,27.17,27.72,28.48,28.09,27.82,27.16,27.69,27.61,27.79,27.47,27.75
1949,27.58,27.59,28.14,27.79,27.49,27.36,27.05,27.43,27.46,27.21,27.47,27.31
1950,27.53,27.49,27.55,27.32,27.59,27.25,26.89,26.85,27.11,26.83,27.47,26.91
1951,25.81,25.88,27.01,27.29,27.09,27.28,26.36,26.90,27.00,26.99,27.27,26.88
1952,26.61,26.77,26.92,27.29,27.39,27.16,26.65,26.61,26.92,27.10,26.59,26.32
1953,26.41,26.25,26.77,27.07,27.09,27.21,26.45,27.18,26.87,27.22,27.18,26.91
1954,26.43,26.86,27.01,26.99,27.09,26.76,26.33,26.72,26.84,26.48,26.47,26.30
1955,26.13,26.64,27.10,26.91,27.52,26.77,26.31,26.16,26.83,26.79,26.69,26.12
1956,25.81,26.43,26.89,27.09,26.89,26.50,26.18,26.32,26.63,26.69,26.70,26.11
1957,26.34,26.67,26.92,27.36,27.21,27.42,26.73,26.73,27.00,27.07,27.19,26.55
