,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,23.74,23.80,24.22,24.23,24.18,23.73,23.34,23.47,23.68,24.28,24.13,23.89
1902,23.74,23.80,24.22,24.23,24.18,23.73,23.34,23.47,23.68,24.28,24.13,23.89
1903,23.74,23.80,24.22,24.23,24.18,23.73,23.34,23.47,23.68,24.28,24.13,23.89
1904,23.74,23.80,24.22,24.23,24.18,23.73,23.34,23.47,23.68,24.28,24.13,23.89
1905,23.74,23.80,24.22,24.23,24.18,23.73,23.34,23.47,23.68,24.28,24.13,23.89
1906,23.74,23.80,24.22,24.23,24.18,23.73,23.34,23.47,23.68,24.28,24.13,23.89
1907,23.74,23.80,24.22,24.23,24.18,23.73,23.34,23.47,23.68,24.28,24.13,23.89
1908,23.74,23.80,24.22,24.23,24.18,23.73,23.34,23.47,23.68,24.28,24.13,23.89
1909,23.74,23.80,24.22,24.23,24.18,23.73,23.34,23.47,23.68,24.28,24.13,23.89
1910,23.74,23.80,24.22,24.23,24.18,23.73,23.34,23.47,23.68,24.28,24.13,23.89
1911,23.74,23.80,24.22,24.23,24.18,23.73,23.34,23.47,23.68,24.28,24.13,23.89
1912,23.74,23.80,24.22,24.23,24.18,23.73,23.34,23.47,23.68,24.28,24.13,23.89
1913,23.74,23.80,24.22,24.23,24.18,23.73,23.34,23.47,23.68,24.28,24.13,23.89
1914,23.74,23.80,24.22,24.23,24.18,23.73,23.34,23.47,23.68,24.28,24.13,23.89
1915,23.55,23.51,24.13,24.10,24.04,23.73,23.29,23.46,23.68,24.28,24.13,23.89
1916,23.40,23.38,24.22,23.99,23.94,23.46,23.21,23.36,23.68,24.28,24.13,23.89
1917,23.48,23.51,23.92,23.94,23.99,23.54,23.27,23.47,23.68,24.28,24.13,23.89
1918,23.48,23.37,23.92,24.03,24.15,23.54,23.14,23.28,23.68,24.28,24.13,23.89
1919,23.74,23.80,24.15,24.09,24.02,23.58,23.10,23.24,23.68,24.28,24.13,23.89
1920,23.51,23.45,23.98,24.09,24.12,23.61,23.34,23.62,23.68,24.28,24.13,23.89
1921,23.73,23.72,23.92,23.97,23.90,23.64,23.29,23.47,23.68,24.28,24.13,23.89
1922,23.58,23.45,23.90,24.03,23.94,23.58,23.25,23.28,23.68,24.28,24.13,23.89
1923,23.74,23.76,24.05,24.16,24.04,23.64,23.19,23.05,23.68,24.28,24.13,23.89
1924,23.77,23.66,24.13,24.10,24.23,23.73,23.34,23.47,23.68,24.28,24.13,23.89
1925,23.74,23.53,23.92,24.09,24.12,23.58,23.19,23.41,23.68,24.28,24.13,23.89
1926,23.66,23.76,24.13,24.23,24.26,23.73,23.25,23.54,23.68,24.28,24.13,23.89
1927,23.66,23.80,24.17,24.23,24.18,23.73,23.34,23.47,23.68,24.28,24.13,23.89
1928,23.87,23.80,24.09,24.16,24.19,23.73,23.34,23.59,23.68,24.28,24.13,23.89
1929,23.68,23.76,23.98,24.09,23.91,23.58,23.04,23.28,23.68,24.28,24.13,23.89
1930,23.77,23.66,24.15,24.02,24.18,23.50,23.19,23.41,23.68,24.28,24.13,23.89
1931,23.87,23.80,24.30,24.23,24.23,23.82,23.34,23.52,23.68,24.28,24.13,23.89
1932,23.74,23.66,24.02,24.06,24.18,23.66,23.27,23.33,23.68,24.28,24.13,23.89
1933,23.87,23.57,24.05,24.06,24.19,23.68,23.21,23.79,23.68,24.28,24.13,23.89
1934,23.74,23.57,23.94,24.02,24.02,23.64,23.34,23.36,23.68,24.28,24.13,23.89
1935,23.81,23.80,24.22,24.06,24.18,23.54,23.10,23.22,23.68,24.28,24.13,23.89
1936,23.74,23.76,24.13,24.09,24.19,23.68,23.25,23.47,23.68,24.28,24.13,23.89
1937,23.62,23.86,24.22,24.10,24.04,23.50,23.06,23.15,23.68,24.28,24.13,23.89
1938,23.94,23.86,24.22,24.16,24.18,23.48,23.25,23.28,23.68,24.28,24.13,23.89
1939,23.94,23.96,24.09,24.15,23.96,23.46,23.42,23.47,23.68,24.28,24.13,23.89
1940,23.87,23.78,24.04,23.98,23.85,23.46,23.32,23.25,23.74,24.31,24.13,23.96
1941,24.01,23.96,24.44,24.35,24.34,23.82,23.24,23.40,23.73,24.41,24.13,23.89
1942,24.06,24.04,24.36,24.22,24.23,23.82,22.99,23.33,23.68,24.28,24.13,23.89
1943,23.74,23.80,24.22,24.23,24.18,23.73,23.34,23.47,23.68,24.28,24.13,23.89
1944,23.98,23.86,24.36,23.97,23.94,23.48,22.97,23.15,23.68,24.28,24.13,23.89
1945,24.01,23.88,24.22,24.22,24.09,23.25,22.97,23.28,23.68,24.28,24.13,23.89
1946,23.89,23.53,24.22,24.15,23.91,23.81,23.71,24.02,23.68,24.28,24.13,23.89
1947,24.01,24.00,24.15,23.83,24.23,23.81,23.34,23.47,23.68,24.28,24.13,23.89
1948,23.03,23.80,24.22,24.09,24.35,23.96,23.29,23.19,23.68,24.28,24.13,23.89
1949,23.94,23.95,23.67,23.41,24.00,22.96,23.10,23.20,23.52,24.28,23.93,23.89
