,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,24.58,24.59,24.82,24.72,24.71,24.16,23.76,23.85,24.23,24.82,24.90,24.62
1902,24.58,24.59,24.82,24.72,24.71,24.16,23.76,23.85,24.23,24.82,24.90,24.62
1903,24.58,24.59,24.82,24.72,24.71,24.16,23.76,23.85,24.23,24.82,24.90,24.62
1904,24.58,24.59,24.82,24.72,24.71,24.16,23.76,23.85,24.23,24.82,24.90,24.62
1905,24.58,24.59,24.82,24.72,24.71,24.16,23.76,23.85,24.23,24.82,24.90,24.62
1906,24.58,24.59,24.82,24.72,24.71,24.16,23.76,23.85,24.23,24.82,24.90,24.62
1907,24.58,24.59,24.82,24.72,24.71,24.16,23.76,23.85,24.23,24.82,24.90,24.62
1908,24.58,24.59,24.82,24.72,24.71,24.16,23.76,23.85,24.23,24.82,24.90,24.62
1909,24.58,24.59,24.82,24.72,24.71,24.16,23.76,23.85,24.23,24.82,24.90,24.62
1910,24.58,24.59,24.82,24.72,24.71,24.16,23.76,23.85,24.23,24.82,24.90,24.62
1911,24.58,24.59,24.82,24.72,24.71,24.16,23.76,23.85,24.23,24.82,24.90,24.62
1912,24.58,24.59,24.82,24.72,24.71,24.16,23.76,23.85,24.23,24.82,24.90,24.62
1913,24.58,24.59,24.82,24.72,24.71,24.16,23.76,23.85,24.23,24.82,24.90,24.62
1914,24.58,24.59,24.82,24.72,24.71,24.16,23.76,23.85,24.23,24.82,24.90,24.62
1915,24.40,24.30,24.72,24.62,24.57,24.16,23.72,23.83,24.23,24.82,24.90,24.62
1916,24.24,24.19,24.82,24.49,24.47,23.88,23.63,23.75,24.23,24.82,24.90,24.62
1917,24.31,24.30,24.52,24.43,24.52,23.96,23.69,23.85,24.23,24.82,24.90,24.62
1918,24.31,24.14,24.52,24.55,24.68,23.96,23.57,23.67,24.23,24.82,24.90,24.62
1919,24.58,24.59,24.75,24.59,24.55,24.01,23.51,23.61,24.23,24.82,24.90,24.62
1920,24.35,24.25,24.57,24.59,24.65,24.03,23.77,23.99,24.23,24.82,24.90,24.62
1921,24.55,24.50,24.52,24.46,24.42,24.07,23.72,23.85,24.23,24.82,24.90,24.62
1922,24.42,24.25,24.50,24.55,24.47,24.01,23.67,23.67,24.23,24.82,24.90,24.62
1923,24.58,24.54,24.65,24.66,24.57,24.07,23.61,23.43,24.23,24.82,24.90,24.62
1924,24.62,24.44,24.72,24.62,24.77,24.16,23.76,23.85,24.23,24.82,24.90,24.62
1925,24.58,24.32,24.52,24.59,24.65,24.01,23.61,23.79,24.23,24.82,24.90,24.62
1926,24.50,24.54,24.72,24.72,24.79,24.16,23.67,23.91,24.23,24.82,24.90,24.62
1927,24.50,24.59,24.78,24.72,24.71,24.16,23.77,23.85,24.23,24.82,24.90,24.62
1928,24.69,24.59,24.69,24.66,24.73,24.16,23.76,23.96,24.23,24.82,24.90,24.62
1929,24.52,24.54,24.57,24.59,24.44,24.01,23.47,23.67,24.23,24.82,24.90,24.62
1930,24.62,24.44,24.75,24.52,24.71,23.94,23.61,23.79,24.23,24.82,24.90,24.62
1931,24.69,24.59,24.89,24.72,24.77,24.26,23.77,23.88,24.23,24.82,24.90,24.62
1932,24.58,24.44,24.62,24.57,24.71,24.09,23.69,23.72,24.23,24.82,24.90,24.62
1933,24.69,24.37,24.65,24.57,24.73,24.11,23.63,24.17,24.23,24.82,24.90,24.62
1934,24.58,24.34,24.55,24.52,24.55,24.07,23.76,23.75,24.23,24.82,24.90,24.62
1935,24.64,24.59,24.82,24.57,24.71,23.96,23.54,23.59,24.23,24.82,24.90,24.62
1936,24.58,24.54,24.72,24.59,24.73,24.11,23.67,23.85,24.23,24.82,24.90,24.62
1937,24.47,24.64,24.82,24.62,24.57,23.94,23.49,23.55,24.23,24.82,24.90,24.62
1938,24.77,24.64,24.82,24.66,24.71,23.91,23.67,23.67,24.23,24.82,24.90,24.62
1939,24.77,24.74,24.69,24.65,24.50,23.88,23.84,23.85,24.23,24.82,24.90,24.62
1940,24.78,24.63,24.56,24.32,24.22,23.73,23.64,23.48,24.23,24.82,24.90,24.62
1941,24.84,24.68,25.02,24.80,24.80,24.12,23.50,23.55,24.23,24.85,24.90,24.62
1942,24.90,24.82,24.94,24.70,24.77,24.26,23.42,23.72,24.23,24.82,24.90,24.62
1943,24.58,24.59,24.82,24.72,24.71,24.16,23.76,23.85,24.23,24.82,24.90,24.62
1944,24.82,24.64,24.94,24.46,24.47,23.91,23.39,23.55,24.23,24.82,24.90,24.62
1945,24.85,24.66,24.82,24.70,24.62,23.68,23.39,23.67,24.23,24.82,24.90,24.62
1946,24.71,24.32,24.82,24.64,24.44,24.23,24.14,24.40,24.23,24.82,24.90,24.62
1947,24.85,24.80,24.75,24.34,24.77,24.23,23.76,23.85,24.23,24.82,24.90,24.62
1948,23.88,24.59,24.82,24.59,24.87,24.39,23.72,23.55,24.23,24.82,24.90,24.62
1949,24.77,24.72,24.24,23.89,24.54,23.36,23.51,23.58,24.07,24.82,24.70,24.62
1950,24.68,24.08,25.59,24.59,24.64,24.55,23.40,23.56,24.23,24.82,23.74,23.41
