,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,24.07,24.12,24.19,24.26,24.43,24.05,23.70,23.85,23.93,24.58,24.34,24.24
1902,24.07,24.12,24.19,24.26,24.43,24.05,23.70,23.85,23.93,24.58,24.34,24.24
1903,24.07,24.12,24.19,24.26,24.43,24.05,23.70,23.85,23.93,24.57,24.33,24.24
1904,24.07,24.11,24.19,24.26,24.42,24.05,23.70,23.85,23.93,24.57,24.33,24.24
1905,24.07,24.11,24.19,24.26,24.43,24.05,23.70,23.85,23.93,24.57,24.33,24.24
1906,24.07,24.12,24.19,24.26,24.43,24.05,23.70,23.85,23.93,24.57,24.33,24.24
1907,24.07,24.11,24.19,24.26,24.42,24.05,23.70,23.85,23.93,24.58,24.34,24.24
1908,24.07,24.12,24.19,24.26,24.42,24.05,23.70,23.85,23.93,24.58,24.33,24.24
1909,24.07,24.12,24.19,24.26,24.42,24.05,23.70,23.85,23.93,24.58,24.33,24.24
1910,24.07,24.12,24.19,24.26,24.42,24.05,23.70,23.85,23.93,24.58,24.33,24.24
1911,24.07,24.12,24.19,24.26,24.42,24.05,23.70,23.85,23.93,24.58,24.33,24.24
1912,24.07,24.12,24.19,24.26,24.43,24.05,23.70,23.85,23.93,24.57,24.33,24.24
1913,24.07,24.12,24.19,24.26,24.42,24.05,23.70,23.85,23.93,24.57,24.34,24.24
1914,24.07,24.11,24.19,24.26,24.43,24.05,23.70,23.85,23.93,24.58,24.34,24.24
1915,24.06,24.09,24.19,24.26,24.42,24.05,23.70,23.85,23.93,24.58,24.34,24.24
1916,24.04,24.09,24.19,24.25,24.41,24.03,23.70,23.85,23.93,24.58,24.33,24.24
1917,24.06,24.09,24.17,24.24,24.41,24.03,23.70,23.85,23.93,24.57,24.33,24.24
1918,24.05,24.08,24.17,24.25,24.42,24.03,23.69,23.83,23.93,24.58,24.34,24.24
1919,24.07,24.12,24.19,24.26,24.41,24.05,23.69,23.84,23.93,24.58,24.34,24.24
1920,24.06,24.09,24.18,24.26,24.43,24.05,23.70,23.86,23.93,24.58,24.34,24.24
1921,24.07,24.12,24.17,24.24,24.40,24.05,23.70,23.85,23.93,24.58,24.34,24.24
1922,24.07,24.09,24.17,24.25,24.41,24.05,23.70,23.84,23.93,24.58,24.34,24.24
1923,24.07,24.12,24.18,24.26,24.42,24.05,23.70,23.82,23.93,24.58,24.34,24.24
1924,24.07,24.12,24.19,24.26,24.43,24.05,23.70,23.85,23.93,24.58,24.33,24.24
1925,24.07,24.10,24.17,24.26,24.42,24.05,23.70,23.85,23.93,24.58,24.34,24.24
1926,24.07,24.12,24.19,24.26,24.43,24.05,23.70,23.85,23.93,24.58,24.34,24.24
1927,24.07,24.12,24.19,24.26,24.43,24.05,23.70,23.85,23.93,24.58,24.34,24.24
1928,24.08,24.12,24.19,24.26,24.43,24.05,23.70,23.85,23.93,24.58,24.34,24.24
1929,24.07,24.12,24.18,24.26,24.41,24.05,23.68,23.84,23.93,24.58,24.34,24.24
1930,24.07,24.12,24.19,24.25,24.43,24.04,23.70,23.85,23.93,24.58,24.34,24.24
1931,24.08,24.12,24.19,24.26,24.43,24.05,23.70,23.85,23.93,24.58,24.34,24.24
1932,24.07,24.12,24.18,24.26,24.43,24.05,23.70,23.85,23.93,24.58,24.34,24.24
1933,24.08,24.10,24.18,24.26,24.43,24.05,23.70,23.88,23.93,24.58,24.34,24.24
1934,24.07,24.10,24.17,24.25,24.41,24.05,23.70,23.85,23.93,24.58,24.34,24.24
1935,24.07,24.12,24.19,24.26,24.43,24.04,23.69,23.84,23.93,24.58,24.34,24.24
1936,24.07,24.12,24.19,24.26,24.43,24.05,23.70,23.85,23.93,24.58,24.34,24.24
1937,24.07,24.12,24.19,24.26,24.42,24.04,23.68,23.82,23.93,24.58,24.34,24.24
1938,24.09,24.12,24.19,24.26,24.43,24.03,23.70,23.84,23.93,24.58,24.34,24.24
1939,24.09,24.13,24.19,24.26,24.41,24.03,23.70,23.85,23.93,24.58,24.34,24.24
1940,24.08,24.05,24.16,24.25,24.39,24.03,23.75,23.84,23.98,24.62,24.34,24.28
1941,24.20,24.22,24.29,24.38,24.52,24.15,23.74,23.94,23.97,24.67,24.34,24.24
1942,24.10,24.14,24.20,24.26,24.43,24.05,23.67,23.85,23.93,24.58,24.34,24.24
1943,24.07,24.12,24.19,24.26,24.43,24.05,23.70,23.85,23.93,24.58,24.34,24.24
1944,24.10,24.12,24.20,24.25,24.41,24.04,23.67,23.82,23.93,24.58,24.34,24.24
1945,24.10,24.12,24.19,24.26,24.43,24.01,23.67,23.84,23.93,24.58,24.34,24.24
1946,24.08,24.10,24.19,24.26,24.41,24.05,23.73,23.90,23.93,24.58,24.34,24.24
1947,24.10,24.13,24.19,24.23,24.43,24.05,23.70,23.85,23.94,24.58,24.34,24.24
1948,24.02,24.12,24.19,24.26,24.44,24.07,23.70,23.83,23.93,24.58,24.33,24.24
1949,24.08,24.12,23.67,23.38,24.41,23.41,23.68,23.83,23.93,24.58,24.19,24.24
1950,24.17,23.67,25.07,24.27,24.43,24.72,23.75,23.85,23.98,24.58,23.60,23.35
1951,24.17,23.86,23.98,24.22,24.41,24.54,23.57,23.86,23.89,24.99,24.98,24.24
1952,24.16,24.56,23.77,24.17,24.39,23.90,23.65,23.78,24.27,24.64,23.84,24.00
1953,24.05,23.96,24.10,24.38,24.38,24.55,23.54,23.74,24.32,25.11,23.95,24.24
1954,24.13,24.24,24.01,24.50,24.28,24.12,23.55,23.73,23.86,24.20,23.50,23.78
1955,24.03,23.86,24.20,24.23,24.31,23.80,23.55,23.77,23.92,24.38,23.54,23.97
1956,23.95,24.06,24.13,24.38,24.18,23.81,23.48,23.67,23.59,23.95,23.85,23.42
1957,23.97,23.84,24.20,24.60,24.43,24.50,23.71,23.84,23.59,24.78,24.37,24.22
1958,24.24,24.35,24.84,24.53,24.47,24.14,23.76,23.82,23.92,24.35,24.22,24.12
1959,24.03,24.14,23.95,24.13,24.38,23.86,23.55,23.70,23.79,24.70,24.33,24.12
1960,24.09,24.01,24.23,24.52,24.38,24.03,23.66,23.97,23.82,24.81,24.59,24.74
1961,23.94,24.45,24.56,24.54,24.37,23.93,23.61,23.72,23.72,24.53,24.67,24.67
1962,23.98,24.09,24.17,24.32,24.35,24.18,23.71,23.67,23.89,24.97,24.68,24.44
