,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,24.09,24.13,24.38,23.79,24.63,24.23,23.96,24.00,23.81,24.02,23.96,24.09
1902,24.09,24.13,24.38,23.79,24.63,24.23,23.96,24.00,23.81,24.02,23.96,24.09
1903,24.09,24.11,24.36,23.77,24.63,24.23,23.93,23.99,23.77,23.99,23.94,24.05
1904,24.05,24.06,24.33,23.71,24.54,24.16,23.94,23.92,23.80,23.96,23.89,24.02
1905,24.06,24.07,24.37,23.78,24.62,24.21,23.90,23.95,23.75,23.96,23.89,24.08
1906,24.08,24.14,24.37,23.79,24.63,24.20,23.94,23.97,23.75,23.97,23.90,24.08
1907,24.05,24.10,24.32,23.73,24.60,24.21,23.90,23.93,23.75,24.01,23.95,24.07
1908,24.08,24.12,24.35,23.77,24.57,24.20,23.93,23.99,23.78,24.01,23.92,24.06
1909,24.09,24.12,24.37,23.78,24.61,24.22,23.93,23.99,23.75,24.00,23.91,24.02
1910,24.09,24.13,24.36,23.73,24.57,24.22,23.95,23.98,23.75,23.99,23.90,24.08
1911,24.10,24.10,24.35,23.73,24.55,24.17,23.93,23.96,23.75,24.00,23.93,24.07
1912,24.08,24.13,24.38,23.79,24.63,24.25,23.93,23.96,23.78,23.99,23.93,24.07
1913,24.10,24.13,24.37,23.73,24.57,24.22,23.94,23.96,23.78,23.99,23.94,24.08
1914,24.06,24.10,24.38,23.79,24.62,24.22,23.95,23.99,23.78,24.02,23.97,24.09
1915,24.10,24.14,24.40,23.80,24.63,24.25,23.97,24.00,23.80,24.01,23.96,24.08
1916,24.08,24.12,24.36,23.74,24.54,24.20,23.95,24.00,23.78,24.00,23.93,24.08
1917,24.08,24.10,24.37,23.77,24.55,24.20,23.94,23.98,23.77,23.99,23.93,24.07
1918,24.00,24.06,24.31,23.72,24.60,24.17,23.95,23.95,23.80,24.00,23.94,24.04
1919,24.09,24.14,24.38,23.80,24.63,24.22,23.95,23.99,23.78,24.00,23.94,24.06
1920,24.08,24.13,24.37,23.78,24.61,24.23,23.95,23.99,23.79,23.99,23.94,24.05
1921,24.07,24.13,24.37,23.74,24.58,24.20,23.95,23.99,23.79,24.00,23.94,24.05
1922,24.09,24.12,24.37,23.79,24.60,24.22,23.94,23.98,23.79,24.02,23.95,24.08
1923,24.07,24.12,24.32,23.77,24.60,24.22,23.95,23.97,23.79,24.00,23.94,24.08
1924,24.07,24.13,24.36,23.79,24.62,24.22,23.95,23.99,23.79,24.01,23.93,24.02
1925,24.09,24.11,24.36,23.77,24.59,24.21,23.95,23.99,23.79,23.99,23.94,24.05
1926,24.06,24.12,24.36,23.79,24.64,24.23,23.94,23.99,23.79,24.02,23.94,24.05
1927,24.06,24.14,24.38,23.79,24.61,24.22,23.95,23.98,23.82,24.00,23.95,24.09
1928,24.10,24.13,24.38,23.79,24.62,24.22,23.95,24.00,23.80,24.01,23.96,24.07
1929,24.03,24.12,24.35,23.76,24.60,24.23,23.93,23.97,23.80,24.01,23.94,24.05
1930,24.08,24.12,24.37,23.78,24.60,24.22,23.96,23.99,23.80,24.03,23.96,24.08
1931,24.09,24.14,24.39,23.80,24.65,24.26,23.96,24.00,23.80,24.01,23.95,24.08
1932,24.06,24.11,24.37,23.79,24.60,24.23,23.95,24.00,23.79,24.02,23.95,24.08
1933,24.08,24.14,24.38,23.80,24.63,24.22,23.96,24.00,23.80,23.99,23.94,24.08
1934,24.09,24.10,24.37,23.78,24.61,24.22,23.96,23.99,23.78,24.02,23.95,24.05
1935,24.06,24.13,24.38,23.78,24.61,24.23,23.95,24.00,23.79,24.02,23.94,24.07
1936,24.08,24.15,24.37,23.78,24.62,24.22,23.95,23.98,23.80,24.02,23.95,24.10
1937,24.10,24.15,24.38,23.79,24.61,24.24,23.95,23.99,23.79,24.00,23.95,24.09
1938,24.09,24.13,24.38,23.77,24.60,24.21,23.95,24.01,23.80,24.01,23.94,24.07
1939,24.08,24.11,24.37,23.79,24.58,24.23,23.97,24.00,23.82,24.02,23.95,24.06
1940,24.07,24.10,24.38,23.79,24.64,24.24,23.96,23.99,23.80,24.02,23.96,24.08
1941,24.07,24.11,24.37,23.79,24.63,24.23,23.96,23.99,23.80,24.02,23.95,24.07
